methods_section,sequence,archive_filename,role,sha256,historical_source,source_status,status,details
2.2,01,m2_2_01_run_lincs_preprocessing_pipeline.py,entry point,d8c4f6a3e113426b8b6ccccb204b897d6744ada4b98d3c3634430b61c897b77d,bio/preprocess/wrapper.py,not bundled,PASS,"name, checksum, and static compile passed"
2.2,02,m2_2_02_load_lincs_level3_profiles.py,pipeline stage,19991980a6185031ae6579da087fc01a165d810a911655e9bae71a511da2ccda,bio/preprocess/load.py,not bundled,PASS,"name, checksum, and static compile passed"
2.2,03,m2_2_03_compute_auxiliary_lincs_embeddings.py,pipeline stage,5f0dc9999aabb2a96e3ed9076bff31794a3c642fa9483913a99dff229977af83,bio/preprocess/embed.py,not bundled,PASS,"name, checksum, and static compile passed"
2.2,04,m2_2_04_merge_lincs_batches.py,pipeline stage,0749784866fe2939138cd0e8b39f3a5674b3cbcb05236addce7f02ba687bad73,bio/preprocess/merge.py,not bundled,PASS,"name, checksum, and static compile passed"
2.2,05,m2_2_05_filter_lincs_profiles.py,pipeline stage,e29e87d9bb04af129a3f7a47ad79ae4c682d2bbad3cd0ce51d676d6d23cade86,bio/preprocess/filter.py,not bundled,PASS,"name, checksum, and static compile passed"
2.2,06,m2_2_06_align_to_plate_dmso_controls.py,pipeline stage,3aeec215c9d4069f24533db45fee21c1ebb654bb7d08188dccfe9c116d443ed3,bio/preprocess/align.py,not bundled,PASS,"name, checksum, and static compile passed"
2.2,07,m2_2_07_aggregate_lincs_replicates.py,pipeline stage,7a0c8e98d36106dd4357156cdd5640ea9af1032f0c42020cf85800b5c9cebea8,bio/preprocess/aggregate.py,not bundled,PASS,"name, checksum, and static compile passed"
2.2,08,m2_2_08_join_extended_lincs_profiles.py,pipeline stage,a856c208b17a1a43e7556bf8a6edabd39d2f7bc2af8721de1ba4bd50b4c74f96,bio/preprocess/join_ext.py,not bundled,PASS,"name, checksum, and static compile passed"
2.2,09,m2_2_09_guard_preprocessing_memory.py,supporting module,9c393f5f169f02279d1ce1d336140c1f155316f83e0a05fab3ad157fc27542be,bio/preprocess/memory_guard.py,not bundled,PASS,"name, checksum, and static compile passed"
2.2,10,m2_2_10_build_matched_cohort_and_scaffold_split.py,entry point,a241628c81f280aa0e3a6892b473d19f18ff194a5e09d80a50c478ff02fb379d,backup/build_matched_cohort.py,hash differs (historical),PASS,"name, checksum, and static compile passed"
2.2,11,m2_2_11_build_landmark_gene_features.py,entry point,25255f007a777590d15f2d964c44acc8d183e9af59fea13ebd59743ac178c8e5,backup/build_gene_features.py,hash match,PASS,"name, checksum, and static compile passed"
2.2,12,m2_2_12_prepare_paired_timepoint_contexts.py,entry point,25cfee5e07246b797eb4b7bfefe412cb8295ba1a0027128c5573451ec8908105,backup/prepare_paired_timepoint_inputs_v1.py,hash match,PASS,"name, checksum, and static compile passed"
2.3,01,m2_3_01_fit_endpoint_specific_molecular_candidates.py,entry point,e8eaa6b4d0813bd9f95a686217cc26c04418f5629644d83bdeb0d5f2795811e1,backup/chem_stage1_per_task_offset.py,hash match,PASS,"name, checksum, and static compile passed"
2.3,02,m2_3_02_select_topk_molecular_ensemble.py,entry point,d3dfc270062f6251a2224f2ca52322bfca87f51e799f73ab369ed33673ba3211,backup/plot_topk_ensemble_publication.py,hash match,PASS,"name, checksum, and static compile passed"
2.3,03,m2_3_03_deploy_frozen_k4_ensemble.py,entry point,3d40095cd0b9249e3eaa7edd72e5d4b510410a331112d5c1532fd24d5571ca41,backup/deploy_stage1_k4_mean.py,hash match,PASS,"name, checksum, and static compile passed"
2.3,04,m2_3_04_optimize_offset_ridge_lbfgs.py,supporting module,01b39cac69b85edbb0ac5921db498b7c31921bed91f5346db55f8e0881c3f312,backup/offset_ridge_lbfgs.py,hash match,PASS,"name, checksum, and static compile passed"
2.3,05,m2_3_05_fit_calibrated_nested_cv_fold.py,supporting module,37c06e50a2144af29537bb7c98e34abfafeb730c4eca8e9a79cfb03309137cdf,backup/nested_cv_offset_logistic_calibrated_v2.py,hash differs (historical),PASS,"name, checksum, and static compile passed"
2.3,06,m2_3_06_repeat_nested_scaffold_cv.py,supporting module,8347fb96eaea36e224b2059529a3fcbcedd2fb2cd1111c0835d4c9000e6ddfb2,backup/nested_cv_offset_logistic_calibrated_repeated_v1.py,hash match,PASS,"name, checksum, and static compile passed"
2.3,07,m2_3_07_run_primary_20x5_analysis.py,entry point,684d28e65e4abeb51f3b11dcfc9cb288c8764e438b78218b562883d9cd44fbf6,backup/run_repeated_calibrated_pipeline_v1.py,hash match,PASS,"name, checksum, and static compile passed"
2.3,08,m2_3_08_run_paired_timepoint_20x5_analysis.py,entry point,8a7e78367f8211132ddadee0021a2b959a8507384b366c0a2e9da923d9413020,backup/run_repeated_calibrated_timepoint_innerseed_v3.py,hash match,PASS,"name, checksum, and static compile passed"
2.3,09,m2_3_09_paired_timepoint_runner_base.py,supporting module,69789669f2b9f2c25d5df16c3d32a8f889c39b174422feaeb4fbbfe9b7e554f4,backup/run_repeated_calibrated_timepoint_v1.py,hash match,PASS,"name, checksum, and static compile passed"
2.3,10,m2_3_10_summarize_repeated_cv.py,entry point,f2d70aa796bb220b25cd22c043e4c26d14e22e1fa9b9e0bb113e601ce66204d5,backup/summarize_repeated_cv_publication_v1.py,hash match,PASS,"name, checksum, and static compile passed"
2.3,11,m2_3_11_nadeau_bengio_corrected_test.py,supporting module,da6c1c6925e2873b2c0a878fbb1895ec06b727eb0c5bb125c4613828db1d2da0,backup/nadeau_bengio_test.py,hash match,PASS,"name, checksum, and static compile passed"
2.3,12,m2_3_12_repeated_cv_inference.py,supporting module,0238613e7f4325c38cb276dbf33c01e7c10f0aa4870ec0ab45b3a049652ccb08,backup/repeated_cv_inference.py,hash match,PASS,"name, checksum, and static compile passed"
2.3,13,m2_3_13_aggregate_offset_statistics.py,supporting module,4587052fc1ae0a68f836bc6ba3d8a3fcd29bacd5db3ba64d2b6dd82a677d9154,backup/aggregate_offset_logistic.py,hash match,PASS,"name, checksum, and static compile passed"
2.3,14,m2_3_14_shared_stage2_utilities.py,supporting module,ebc80fee7379eb72fe7ef039e126c51248223b8c5bb4ba6eaaabd45cfc782c91,backup/utils.py,hash match,PASS,"name, checksum, and static compile passed"
2.3,15,m2_3_15_run_calibration_offset_sensitivity.py,entry point,52762fdb19f48f7b41dd3a1ea612023ebf8f58a8a8575d45e182db4a8c88f685,backup/run_stage2_calibration_ridge_ablation_v1.py,hash match,PASS,"name, checksum, and static compile passed"
2.3,16,m2_3_16_optimize_fixed_offset_ridge.py,supporting module,18ee3ce0e9f6068d883261c18e402cef76b84dda27f5dfd5a8ab80714b6d0c5e,backup/offset_ridge_fixed_v1.py,hash match,PASS,"name, checksum, and static compile passed"
2.4,01,m2_4_01_compute_compound_rescue_summaries.py,entry point,e0b2e025073d6938bf16a7aa06a6796b54d296ce71bb9d98e9eedca6e9a8995c,backup/analyze_transcriptomic_rescue_chemical_properties_k4_residual_logit_v3.py,hash match,PASS,"name, checksum, and static compile passed"
2.4,02,m2_4_02_shared_scaffold_and_rescue_utilities.py,supporting module,ecfdc2214ef202b0b27535e7fc7babcc0f783bc1e5545ce4c5e2d9d00ed4d4f7,backup/analyze_residual_compound_scaffolds_v1.py,hash match,PASS,"name, checksum, and static compile passed"
2.4,03,m2_4_03_build_structure_pathway_atlas.py,entry point,bafbbe58e65d2ba2df8e4ba8e1e7ac7e88ad0c1c13ca9e3dad971b7b6ae5dc12,backup/build_publication_structural_pathway_atlas_final_v43.py,hash match,PASS,"name, checksum, and static compile passed"
