task,cell,variant,repeat_id,fold_id,inner_fold,branch,alpha,success,validation_deviance,d0_inner_intercept,warm_started,retry_used,n_iterations,gradient_inf_norm,objective,elapsed_seconds,message
NR-AR,MCF7,standardized,0,0,0,c1,100000000.0,True,0.8039918255734849,-1.8170506720966642,False,False,1,2.9637928943742134e-09,0.3614079621740031,0.0034673180198296905,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,MCF7,standardized,0,0,0,c1,31622776.60168379,True,0.8039918243996766,-1.8170506720966642,True,False,1,6.396390219787565e-09,0.3614079610478619,0.00324685696978122,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,MCF7,standardized,0,0,0,c1,10000000.0,True,0.8039918206877751,-1.8170506720966642,True,False,1,2.0228944717991075e-08,0.36140795748669396,0.0032263239845633507,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,MCF7,standardized,0,0,0,c1,3162277.6601683795,True,0.8039918089497717,-1.8170506720966642,True,False,1,6.396735507670052e-08,0.36140794622532885,0.003322113072499633,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,MCF7,standardized,0,0,0,c1,1000000.0,True,0.8039917718315515,-1.8170506720966642,True,False,1,2.0228170830396443e-07,0.36140791061413025,0.0032186530297622085,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,MCF7,standardized,0,0,0,c1,316227.7660168379,True,0.8039916544594808,-1.8170506720966642,True,False,1,6.39659059482856e-07,0.3614077980052796,0.003186619025655091,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,MCF7,standardized,0,0,0,c1,100000.0,True,0.8039912833937309,-1.8170506720966642,True,False,2,6.816590000791045e-11,0.3614074419412932,0.003948256024159491,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,MCF7,standardized,0,0,0,c1,31622.776601683796,True,0.8039901108000144,-1.8170506720966642,True,False,2,6.816013933819143e-10,0.3614063163325707,0.003982327994890511,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,MCF7,standardized,0,0,0,c1,10000.0,True,0.8039864110222422,-1.8170506720966642,True,False,2,6.812959203739144e-09,0.3614027604835865,0.0040632899617776275,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,MCF7,standardized,0,0,0,c1,3162.277660168379,True,0.8039747935739582,-1.8170506720966642,True,False,2,6.803076462932878e-08,0.3613915520859053,0.00397788907866925,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,MCF7,standardized,0,0,0,c1,1000.0,True,0.8039388596878088,-1.8170506720966642,True,False,2,6.769682982486758e-07,0.36135646366704616,0.003954423009417951,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,MCF7,standardized,0,0,0,c1,316.2277660168379,True,0.8038325977079517,-1.8170506720966642,True,False,3,1.682892646036327e-07,0.3612488749552521,0.004688482964411378,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,MCF7,standardized,0,0,0,c1,100.0,True,0.8035542716373635,-1.8170506720966642,True,False,4,2.260424343605849e-07,0.3609373488349708,0.0054443300468847156,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,MCF7,standardized,0,0,0,c1,31.622776601683796,True,0.8029642742360387,-1.8170506720966642,True,False,5,4.0984726299743424e-07,0.36013822320654604,0.006191159947775304,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,MCF7,standardized,0,0,0,c1,10.0,True,0.8017202101101213,-1.8170506720966642,True,False,7,6.11660150369453e-07,0.3583446366341501,0.007750983932055533,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,MCF7,standardized,0,0,0,c1,3.162277660168379,True,0.7989684034244934,-1.8170506720966642,True,False,11,6.146914914555851e-07,0.3544693844751575,0.011287916917353868,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,MCF7,standardized,0,0,0,c1,1.0,True,0.7957771961143121,-1.8170506720966642,True,False,17,5.921989116326049e-07,0.3464824693469613,0.017289867042563856,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,MCF7,standardized,0,0,0,c1,0.31622776601683794,True,0.7987641179593307,-1.8170506720966642,True,False,21,8.298039055551227e-07,0.3321815416652195,0.02176844805944711,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,MCF7,standardized,0,0,0,c1,0.09999999999999999,True,0.8291595717701422,-1.8170506720966642,True,False,40,6.710951773298245e-07,0.31001658535392806,0.0452055549249053,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,MCF7,standardized,0,0,0,c1,0.03162277660168379,True,0.9683884343930385,-1.8170506720966642,True,False,65,8.833913106620671e-07,0.27825024641472695,0.07180782605428249,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,MCF7,standardized,0,0,0,c1,0.01,True,1.4238308051558366,-1.8170506720966642,True,False,100,6.853338892493085e-07,0.23431053300177823,0.10885686497204006,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,MCF7,standardized,0,0,0,c1,0.0031622776601683794,True,2.4889658936110077,-1.8170506720966642,True,False,146,8.376944302333668e-07,0.17797459115955,0.18252339703030884,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,MCF7,standardized,0,0,0,c1,0.001,True,4.161290222261178,-1.8170506720966642,True,False,187,7.15831200226902e-07,0.11835527781442007,0.30290104600135237,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
