task,cell,variant,repeat_id,fold_id,inner_fold,branch,alpha,success,validation_deviance,d0_inner_intercept,warm_started,retry_used,n_iterations,gradient_inf_norm,objective,elapsed_seconds,message
NR-AhR,HA1E,standardized,0,0,0,c1,100000000.0,True,0.6946130380843718,-1.2087199738375927,False,False,1,2.0032045536244603e-09,0.3746849725723168,0.0027203650679439306,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HA1E,standardized,0,0,0,c1,31622776.60168379,True,0.6946130354652394,-1.2087199738375927,True,False,1,4.211938839371321e-09,0.3746849706601988,0.0024170420365408063,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HA1E,standardized,0,0,0,c1,10000000.0,True,0.6946130271828245,-1.2087199738375927,True,False,1,1.3359212066438308e-08,0.37468496461355294,0.0023391630966216326,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HA1E,standardized,0,0,0,c1,3162277.6601683795,True,0.6946130009916138,-1.2087199738375927,True,False,1,4.2206180279891203e-08,0.3746849454924027,0.0025641629472374916,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HA1E,standardized,0,0,0,c1,1000000.0,True,0.6946129181685882,-1.2087199738375927,True,False,1,1.334638791480186e-07,0.3746848850262428,0.002656604046933353,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HA1E,standardized,0,0,0,c1,316227.7660168379,True,0.6946126562677308,-1.2087199738375927,True,False,1,4.2203553180658604e-07,0.3746846938177232,0.0025989909190684557,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HA1E,standardized,0,0,0,c1,100000.0,True,0.6946118282324159,-1.2087199738375927,True,False,2,2.850395544595763e-10,0.3746840891859569,0.0029039300279691815,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HA1E,standardized,0,0,0,c1,31622.776601683796,True,0.6946092110898958,-1.2087199738375927,True,False,2,2.849277673175332e-09,0.3746821773989734,0.0030515471007674932,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HA1E,standardized,0,0,0,c1,10000.0,True,0.6946009485446746,-1.2087199738375927,True,False,2,2.8455201734819968e-08,0.37467613406006606,0.0029886909760534763,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HA1E,standardized,0,0,0,c1,3162.277660168379,True,0.6945749551487838,-1.2087199738375927,True,False,2,2.833691118420134e-07,0.3746570458716654,0.0031550769926980138,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HA1E,standardized,0,0,0,c1,1000.0,True,0.6944940658729276,-1.2087199738375927,True,False,3,3.7051961235268216e-08,0.37459690601805934,0.003599577001295984,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HA1E,standardized,0,0,0,c1,316.2277660168379,True,0.6942503998459598,-1.2087199738375927,True,False,4,5.406062896298747e-08,0.3744088628333774,0.004116201074793935,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HA1E,standardized,0,0,0,c1,100.0,True,0.6935775751638639,-1.2087199738375927,True,False,5,2.322652267044978e-08,0.3738333396290685,0.0046290220925584435,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HA1E,standardized,0,0,0,c1,31.622776601683796,True,0.6920470025311963,-1.2087199738375927,True,False,6,2.2121722708127664e-07,0.3721613591729486,0.005481994012370706,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HA1E,standardized,0,0,0,c1,10.0,True,0.6896888921984722,-1.2087199738375927,True,False,6,9.166689528047195e-07,0.36777791527148423,0.005920322961173952,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HA1E,standardized,0,0,0,c1,3.162277660168379,True,0.688422744835705,-1.2087199738375927,True,False,11,5.389999279455798e-07,0.35773668939071224,0.008757851086556911,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HA1E,standardized,0,0,0,c1,1.0,True,0.6934392684611013,-1.2087199738375927,True,False,19,5.838428636330186e-07,0.3372190148621246,0.01409587892703712,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HA1E,standardized,0,0,0,c1,0.31622776601683794,True,0.7186177824499221,-1.2087199738375927,True,False,21,7.443525792119252e-07,0.3019402213420037,0.01649380207527429,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HA1E,standardized,0,0,0,c1,0.09999999999999999,True,0.7933527400678578,-1.2087199738375927,True,False,38,9.076466674423286e-07,0.25491207658187903,0.03133754897862673,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HA1E,standardized,0,0,0,c1,0.03162277660168379,True,1.0060735603045743,-1.2087199738375927,True,False,55,9.87761906443219e-07,0.20326998890193487,0.04475579201243818,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HA1E,standardized,0,0,0,c1,0.01,True,1.580972433707481,-1.2087199738375927,True,False,88,9.572017641409827e-07,0.15051847515097766,0.07101959397550672,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HA1E,standardized,0,0,0,c1,0.0031622776601683794,True,2.7293950475145663,-1.2087199738375927,True,False,111,6.160773633627546e-07,0.09989429142642794,0.09289080905728042,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HA1E,standardized,0,0,0,c1,0.001,True,4.365013230572511,-1.2087199738375927,True,False,128,9.330492648648649e-07,0.05871243450415453,0.11694789305329323,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HA1E,standardized,0,0,0,c1,0.00031622776601683794,True,6.186666229495541,-1.2087199738375927,True,False,100,9.435873148475607e-07,0.031071442535269014,0.10875078896060586,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
