task,cell,variant,repeat_id,fold_id,inner_fold,branch,alpha,success,validation_deviance,d0_inner_intercept,warm_started,retry_used,n_iterations,gradient_inf_norm,objective,elapsed_seconds,message
NR-Aromatase,HEPG2,standardized,0,0,0,c1,100000000.0,True,0.9862829754811846,-1.7760322794950398,False,False,1,4.295055363234476e-09,0.5143045558288489,0.0021848639007657766,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,HEPG2,standardized,0,0,0,c1,31622776.60168379,True,0.9862829670118858,-1.7760322794950398,True,False,1,9.286460747517239e-09,0.5143045505840517,0.0017866150010377169,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,HEPG2,standardized,0,0,0,c1,10000000.0,True,0.9862829402296364,-1.7760322794950398,True,False,1,2.936531461500717e-08,0.5143045339985562,0.0015584130305796862,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,HEPG2,standardized,0,0,0,c1,3162277.6601683795,True,0.9862828555369885,-1.7760322794950398,True,False,1,9.28613615869679e-08,0.5143044815507117,0.00152306305244565,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,HEPG2,standardized,0,0,0,c1,1000000.0,True,0.9862825877179183,-1.7760322794950398,True,False,1,2.9365104451485385e-07,0.5143043156970378,0.0014886659337207675,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,HEPG2,standardized,0,0,0,c1,316227.7660168379,True,0.9862817408256438,-1.7760322794950398,True,False,1,9.285836328115421e-07,0.5143037912313975,0.0016996499616652727,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,HEPG2,standardized,0,0,0,c1,100000.0,True,0.9862790633124792,-1.7760322794950398,True,False,2,6.963707648716122e-10,0.5143021328226846,0.002092188922688365,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,HEPG2,standardized,0,0,0,c1,31622.776601683796,True,0.9862706008257828,-1.7760322794950398,True,False,2,6.95979445776429e-09,0.5142968894460864,0.0020059678936377168,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,HEPG2,standardized,0,0,0,c1,10000.0,True,0.9862438865820309,-1.7760322794950398,True,False,2,6.94682625416998e-08,0.5142803181421489,0.002082858933135867,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,HEPG2,standardized,0,0,0,c1,3162.277660168379,True,0.9861598702870487,-1.7760322794950398,True,False,2,6.906050652229906e-07,0.5142280117417664,0.0018821789417415857,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,HEPG2,standardized,0,0,0,c1,1000.0,True,0.9858986410911439,-1.7760322794950398,True,False,3,1.2501486523633712e-07,0.5140635579805904,0.002631757059134543,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,HEPG2,standardized,0,0,0,c1,316.2277660168379,True,0.9851133495134703,-1.7760322794950398,True,False,4,2.0627776654239677e-07,0.5135526651620257,0.0028744309674948454,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,HEPG2,standardized,0,0,0,c1,100.0,True,0.9829506918546183,-1.7760322794950398,True,False,5,1.355839943026349e-07,0.5120189529736385,0.0028220099629834294,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,HEPG2,standardized,0,0,0,c1,31.622776601683796,True,0.9780165903519249,-1.7760322794950398,True,False,7,1.1512807981950424e-07,0.5077957523378579,0.0036275479942560196,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,HEPG2,standardized,0,0,0,c1,10.0,True,0.9701529877117532,-1.7760322794950398,True,False,10,2.0440642273938936e-07,0.4979681531015923,0.005016845068894327,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,HEPG2,standardized,0,0,0,c1,3.162277660168379,True,0.9643518143775952,-1.7760322794950398,True,False,11,7.08325887239375e-07,0.4790392806945041,0.005621229996904731,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,HEPG2,standardized,0,0,0,c1,1.0,True,0.9712132722069858,-1.7760322794950398,True,False,16,4.6941650498968923e-07,0.4464421031955024,0.008730408968403935,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,HEPG2,standardized,0,0,0,c1,0.31622776601683794,True,1.00961278662655,-1.7760322794950398,True,False,25,6.037073986241148e-07,0.39403474876453815,0.014142042957246304,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,HEPG2,standardized,0,0,0,c1,0.09999999999999999,True,1.1574433472689236,-1.7760322794950398,True,False,43,5.810094312040139e-07,0.31652893385383185,0.023923005908727646,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,HEPG2,standardized,0,0,0,c1,0.03162277660168379,True,1.5285415501876811,-1.7760322794950398,True,False,52,8.591509759307316e-07,0.2214515767644541,0.02933263301383704,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,HEPG2,standardized,0,0,0,c1,0.01,True,2.114242964702696,-1.7760322794950398,True,False,53,9.733603237058555e-07,0.1337638796178732,0.030119964038021863,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,HEPG2,standardized,0,0,0,c1,0.0031622776601683794,True,2.8379778044829314,-1.7760322794950398,True,False,58,6.124251199306186e-07,0.07166251974386582,0.033266351907514036,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,HEPG2,standardized,0,0,0,c1,0.001,True,3.6243981331851765,-1.7760322794950398,True,False,53,7.193730494788449e-07,0.035126989837058004,0.030291578033939004,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,HEPG2,standardized,0,0,0,c1,0.00031622776601683794,True,4.358980752637379,-1.7760322794950398,True,False,42,8.821965713500001e-07,0.016122636475936956,0.025222277967259288,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
