task,cell,variant,repeat_id,fold_id,inner_fold,branch,alpha,success,validation_deviance,d0_inner_intercept,warm_started,retry_used,n_iterations,gradient_inf_norm,objective,elapsed_seconds,message
NR-ER,HA1E,standardized,0,0,0,c1,100000000.0,True,1.1943730933767163,-1.545032423964699,False,False,1,3.373400041944974e-09,0.585094148780626,0.003279683063738048,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HA1E,standardized,0,0,0,c1,31622776.60168379,True,1.1943730922039468,-1.545032423964699,True,False,1,7.195983147030571e-09,0.5850941462029448,0.0025161600206047297,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HA1E,standardized,0,0,0,c1,10000000.0,True,1.1943730884953356,-1.545032423964699,True,False,1,2.2813906907712123e-08,0.5850941380516046,0.0026437179185450077,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HA1E,standardized,0,0,0,c1,3162277.6601683795,True,1.194373076767787,-1.545032423964699,True,False,1,7.214998937882244e-08,0.5850941122748391,0.0027139619924128056,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HA1E,standardized,0,0,0,c1,1000000.0,True,1.1943730396831256,-1.545032423964699,True,False,1,2.2815278566141323e-07,0.585094030761908,0.0026388110127300024,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HA1E,standardized,0,0,0,c1,316227.7660168379,True,1.194372922422161,-1.545032423964699,True,False,1,7.214507700328138e-07,0.5850937729989657,0.0024752949830144644,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HA1E,standardized,0,0,0,c1,100000.0,True,1.1943725517873856,-1.545032423964699,True,False,2,7.602061723177567e-10,0.585092957916753,0.0031924030045047402,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HA1E,standardized,0,0,0,c1,31622.776601683796,True,1.1943713812275094,-1.545032423964699,True,False,2,7.597817212184887e-09,0.5850903807580452,0.0032625639578327537,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HA1E,standardized,0,0,0,c1,10000.0,True,1.1943676946506974,-1.545032423964699,True,False,2,7.58351256027745e-08,0.585082234634259,0.003266896936111152,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HA1E,standardized,0,0,0,c1,3162.277660168379,True,1.1943561855557139,-1.545032423964699,True,False,2,7.538583117958075e-07,0.5850565097546471,0.0032633759547024965,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HA1E,standardized,0,0,0,c1,1000.0,True,1.1943211981900315,-1.545032423964699,True,False,3,9.658648862133357e-08,0.5849755071742421,0.003927577054128051,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HA1E,standardized,0,0,0,c1,316.2277660168379,True,1.1942228031780302,-1.545032423964699,True,False,4,2.35533062556241e-07,0.58472260601366,0.00467320391908288,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HA1E,standardized,0,0,0,c1,100.0,True,1.1939948696206484,-1.545032423964699,True,False,5,1.177406966871436e-07,0.5839504103048107,0.005123627022840083,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HA1E,standardized,0,0,0,c1,31.622776601683796,True,1.1936240348237253,-1.545032423964699,True,False,6,9.647454884409434e-07,0.5817050342225161,0.005618724040687084,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HA1E,standardized,0,0,0,c1,10.0,True,1.1931694184305985,-1.545032423964699,True,False,9,7.474018741994437e-07,0.5757382684529697,0.008094604010693729,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HA1E,standardized,0,0,0,c1,3.162277660168379,True,1.1926012778546453,-1.545032423964699,True,False,12,7.501099259146077e-07,0.5617528245158276,0.010155818075872958,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HA1E,standardized,0,0,0,c1,1.0,True,1.19880183840207,-1.545032423964699,True,False,18,5.356587411595691e-07,0.5333426747550953,0.014443416963331401,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HA1E,standardized,0,0,0,c1,0.31622776601683794,True,1.2484709665839098,-1.545032423964699,True,False,32,7.17285311950186e-07,0.4852763407248012,0.024061620933935046,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HA1E,standardized,0,0,0,c1,0.09999999999999999,True,1.4333606642403147,-1.545032423964699,True,False,43,8.260603165488427e-07,0.4166741929859724,0.03289060411043465,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HA1E,standardized,0,0,0,c1,0.03162277660168379,True,1.9285208085051238,-1.545032423964699,True,False,67,8.823846096661734e-07,0.32726642917137394,0.04982094408478588,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HA1E,standardized,0,0,0,c1,0.01,True,2.701646120544564,-1.545032423964699,True,False,88,8.735375180879044e-07,0.22532585316322085,0.07123902789317071,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
