task,cell,variant,repeat_id,fold_id,inner_fold,branch,alpha,success,validation_deviance,d0_inner_intercept,warm_started,retry_used,n_iterations,gradient_inf_norm,objective,elapsed_seconds,message
SR-ARE,HEPG2,standardized,0,0,0,c1,100000000.0,True,1.1322711629128188,-0.8456831863076104,False,False,1,6.8462594760010376e-09,0.5550766694599063,0.0017102679703384638,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HEPG2,standardized,0,0,0,c1,31622776.60168379,True,1.1322711364282567,-0.8456831863076104,True,False,1,1.4402768311327918e-08,0.5550766536208614,0.0013461660128086805,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HEPG2,standardized,0,0,0,c1,10000000.0,True,1.1322710526767796,-0.8456831863076104,True,False,1,4.566125508254082e-08,0.5550766035334316,0.0014790459536015987,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HEPG2,standardized,0,0,0,c1,3162277.6601683795,True,1.132270787831998,-0.8456831863076104,True,False,1,1.4435615747210306e-07,0.5550764451433428,0.0012689940631389618,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HEPG2,standardized,0,0,0,c1,1000000.0,True,1.1322699503256728,-0.8456831863076104,True,False,1,4.564668744100331e-07,0.5550759442726273,0.0014608099590986967,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HEPG2,standardized,0,0,0,c1,316227.7660168379,True,1.1322673019973095,-0.8456831863076104,True,False,2,1.1924853465794527e-11,0.5550743604075882,0.001567890984006226,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HEPG2,standardized,0,0,0,c1,100000.0,True,1.1322589280934834,-0.8456831863076104,True,False,2,1.192297580110413e-10,0.555069352058891,0.0016994730103760958,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HEPG2,standardized,0,0,0,c1,31622.776601683796,True,1.1322324560507255,-0.8456831863076104,True,False,2,1.1916859062044427e-09,0.5550535169924362,0.001999345957301557,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HEPG2,standardized,0,0,0,c1,10000.0,True,1.1321488296832531,-0.8456831863076104,True,False,2,1.1897553810202854e-08,0.5550034693245806,0.0017506199656054378,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HEPG2,standardized,0,0,0,c1,3162.277660168379,True,1.1318852331699458,-0.8456831863076104,True,False,2,1.1836834444903244e-07,0.5548454762118138,0.0015789259923622012,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HEPG2,standardized,0,0,0,c1,1000.0,True,1.1310601210298814,-0.8456831863076104,True,False,3,2.114918570264232e-08,0.5543485549136775,0.0020707000512629747,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HEPG2,standardized,0,0,0,c1,316.2277660168379,True,1.1285329570905709,-0.8456831863076104,True,False,3,6.03228313415978e-07,0.552803549065361,0.001933321007527411,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HEPG2,standardized,0,0,0,c1,100.0,True,1.1212894968387255,-0.8456831863076104,True,False,4,8.556903752787726e-07,0.5481645675712421,0.0024607920786365867,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HEPG2,standardized,0,0,0,c1,31.622776601683796,True,1.104032143730721,-0.8456831863076104,True,False,7,3.5814518737839474e-08,0.5355017288890164,0.003729869960807264,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HEPG2,standardized,0,0,0,c1,10.0,True,1.0764683607765904,-0.8456831863076104,True,False,9,1.7660110194876733e-07,0.5070436224143171,0.004306037095375359,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
