task,cell,variant,repeat_id,fold_id,inner_fold,branch,alpha,success,validation_deviance,d0_inner_intercept,warm_started,retry_used,n_iterations,gradient_inf_norm,objective,elapsed_seconds,message
SR-ARE,MCF7,standardized,0,0,0,c1,100000000.0,True,1.0435521499839415,-1.0702999634413481,False,False,1,2.5772066043761033e-09,0.4785362122541896,0.0032442350639030337,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,MCF7,standardized,0,0,0,c1,31622776.60168379,True,1.0435521485740795,-1.0702999634413481,True,False,1,5.540586735935937e-09,0.47853620966396615,0.002769901999272406,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,MCF7,standardized,0,0,0,c1,10000000.0,True,1.043552144115709,-1.0702999634413481,True,False,1,1.7563074918014454e-08,0.4785362014729636,0.0027242799988016486,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,MCF7,standardized,0,0,0,c1,3162277.6601683795,True,1.0435521300171426,-1.0702999634413481,True,False,1,5.54659334330021e-08,0.47853617557076944,0.002767664031125605,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,MCF7,standardized,0,0,0,c1,1000000.0,True,1.0435520854339564,-1.0702999634413481,True,False,1,1.7540506396657163e-07,0.47853609366114314,0.0026301549514755607,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,MCF7,standardized,0,0,0,c1,316227.7660168379,True,1.0435519444534922,-1.0702999634413481,True,False,1,5.546685137823582e-07,0.4785358346431975,0.0028423189651221037,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,MCF7,standardized,0,0,0,c1,100000.0,True,1.0435514986335623,-1.0702999634413481,True,False,2,2.8513427730025853e-10,0.47853501558688555,0.0032353170681744814,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,MCF7,standardized,0,0,0,c1,31622.776601683796,True,1.0435500889880054,-1.0702999634413481,True,False,2,2.8501759147259165e-09,0.47853242580678385,0.0032070690067484975,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,MCF7,standardized,0,0,0,c1,10000.0,True,1.0435456327706414,-1.0702999634413481,True,False,2,2.8464005832895545e-08,0.47852423923228277,0.0031917060259729624,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,MCF7,standardized,0,0,0,c1,3162.277660168379,True,1.043531555439121,-1.0702999634413481,True,False,2,2.834512089211483e-07,0.4784983811618726,0.0033208109671249986,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,MCF7,standardized,0,0,0,c1,1000.0,True,1.0434871806349937,-1.0702999634413481,True,False,3,8.13976463315269e-09,0.4784169078889335,0.003954820916987956,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,MCF7,standardized,0,0,0,c1,316.2277660168379,True,1.0433481188286067,-1.0702999634413481,True,False,3,2.3715167455501396e-07,0.4781621070960426,0.004727702005766332,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,MCF7,standardized,0,0,0,c1,100.0,True,1.0429177502776703,-1.0702999634413481,True,False,4,7.479841330308712e-07,0.4773812719647263,0.004812723025679588,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,MCF7,standardized,0,0,0,c1,31.622776601683796,True,1.041612188368933,-1.0702999634413481,True,False,5,4.291783017438855e-07,0.4750914985389705,0.005647695972584188,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,MCF7,standardized,0,0,0,c1,10.0,True,1.0379953916001239,-1.0702999634413481,True,False,8,4.962124472308177e-07,0.4688330587494035,0.008420948986895382,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,MCF7,standardized,0,0,0,c1,3.162277660168379,True,1.0308878591869215,-1.0702999634413481,True,False,11,6.290049666315273e-07,0.45368236389144456,0.01097257889341563,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,MCF7,standardized,0,0,0,c1,1.0,True,1.0243458431709322,-1.0702999634413481,True,False,16,8.101208632800647e-07,0.4239358805824652,0.014879530994221568,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,MCF7,standardized,0,0,0,c1,0.31622776601683794,True,1.0359412402494423,-1.0702999634413481,True,False,25,3.51258852462899e-07,0.3773092122262388,0.022741509950719774,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,MCF7,standardized,0,0,0,c1,0.09999999999999999,True,1.1156478974737623,-1.0702999634413481,True,False,38,9.85629047066611e-07,0.3157177487308841,0.032987292972393334,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,MCF7,standardized,0,0,0,c1,0.03162277660168379,True,1.367639895240534,-1.0702999634413481,True,False,58,8.463264660524728e-07,0.24314758640787215,0.053889475064352155,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,MCF7,standardized,0,0,0,c1,0.01,True,1.9092151915144466,-1.0702999634413481,True,False,80,5.171507190722142e-07,0.16728589283678136,0.07445855194237083,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,MCF7,standardized,0,0,0,c1,0.0031622776601683794,True,2.70469063564821,-1.0702999634413481,True,False,94,8.167913820466459e-07,0.10152920593583895,0.09480146807618439,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,MCF7,standardized,0,0,0,c1,0.001,True,3.6779883597116885,-1.0702999634413481,True,False,88,9.652802808706308e-07,0.05509197538448285,0.08997581200674176,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,MCF7,standardized,0,0,0,c1,0.00031622776601683794,True,4.762020732139067,-1.0702999634413481,True,False,88,9.388959940780771e-07,0.027370336724618218,0.0927191749215126,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
