task,cell,variant,repeat_id,fold_id,inner_fold,branch,alpha,success,validation_deviance,d0_inner_intercept,warm_started,retry_used,n_iterations,gradient_inf_norm,objective,elapsed_seconds,message
SR-ATAD5,HEPG2,standardized,0,0,0,c1,100000000.0,True,0.4675155701629575,-1.1108323238420088,False,False,1,5.06200093994269e-09,0.2416070024574104,0.0023019450018182397,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,0,c1,31622776.60168379,True,0.46751557283955664,-1.1108323238420088,True,False,1,1.0949965766364131e-08,0.2416069980673685,0.0016746020410209894,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,0,c1,10000000.0,True,0.4675155813037149,-1.1108323238420088,True,False,1,3.4630293487209265e-08,0.241606984184849,0.0016359209548681974,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,0,c1,3162277.6601683795,True,0.46751560806982023,-1.1108323238420088,True,False,1,1.0950707019126427e-07,0.24160694028459034,0.001649042940698564,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,0,c1,1000000.0,True,0.46751569271254123,-1.1108323238420088,True,False,1,3.462890839326001e-07,0.24160680146100746,0.001673999009653926,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,0,c1,316227.7660168379,True,0.4675159603775551,-1.1108323238420088,True,False,2,3.5693073496823047e-11,0.24160636247453524,0.0022040290059521794,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,0,c1,100000.0,True,0.4675168068517409,-1.1108323238420088,True,False,2,3.5683429822075396e-10,0.24160497439982284,0.0019800110021606088,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,0,c1,31622.776601683796,True,0.4675194840442056,-1.1108323238420088,True,False,2,3.5653527630241655e-09,0.24160058614543,0.002110184053890407,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,0,c1,10000.0,True,0.467527954086008,-1.1108323238420088,True,False,2,3.5559219083158844e-08,0.24158672147531995,0.0022835300769656897,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,0,c1,3162.277660168379,True,0.4675547774736726,-1.1108323238420088,True,False,2,3.52635287692582e-07,0.2415429988765507,0.001973228994756937,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,0,c1,1000.0,True,0.4676399515750419,-1.1108323238420088,True,False,3,3.408065604726396e-08,0.24140592612722278,0.0023381980136036873,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,0,c1,316.2277660168379,True,0.4679117253519452,-1.1108323238420088,True,False,3,9.61469800248027e-07,0.2409836877162424,0.0023396830074489117,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,0,c1,100.0,True,0.4687729756136612,-1.1108323238420088,True,False,5,1.2644767701658344e-08,0.23974339791609164,0.0030816199723631144,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,0,c1,31.622776601683796,True,0.4712868594807068,-1.1108323238420088,True,False,6,5.011498131757275e-08,0.23645418936999804,0.004058525082655251,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,0,c1,10.0,True,0.4773946752245272,-1.1108323238420088,True,False,7,7.809387456529648e-07,0.22903101250621807,0.004529680009000003,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,0,c1,3.162277660168379,True,0.4899531867469781,-1.1108323238420088,True,False,11,2.186182082863919e-07,0.21536923779687656,0.006411883980035782,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,0,c1,1.0,True,0.5120608052033542,-1.1108323238420088,True,False,12,8.74536034309488e-07,0.19496141766123654,0.007273255032487214,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,0,c1,0.31622776601683794,True,0.5483253829448969,-1.1108323238420088,True,False,17,7.90797023583211e-07,0.1700896327772393,0.010721258004195988,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,0,c1,0.09999999999999999,True,0.624001523945242,-1.1108323238420088,True,False,28,6.972074944018927e-07,0.14445728751048648,0.01807190803810954,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,0,c1,0.03162277660168379,True,0.8462615858669912,-1.1108323238420088,True,False,43,5.051190243988805e-07,0.11716370951322239,0.026829928043298423,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,0,c1,0.01,True,1.3719821966209975,-1.1108323238420088,True,False,54,9.560701694536714e-07,0.08579096266085913,0.033533092006109655,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,0,c1,0.0031622776601683794,True,2.2120918807032086,-1.1108323238420088,True,False,55,9.199195928111291e-07,0.05485865841534361,0.034902728046290576,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,0,c1,0.001,True,3.109655625599454,-1.1108323238420088,True,False,56,9.741680798393748e-07,0.030942916010792108,0.03454644395969808,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,0,c1,0.00031622776601683794,True,4.1271606966347125,-1.1108323238420088,True,False,41,8.743037249358865e-07,0.015812377150863914,0.024445922928862274,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,0,c1,9.999999999999999e-05,True,5.226167374428463,-1.1108323238420088,True,False,36,9.85443690473222e-07,0.00749829614488667,0.02295063203200698,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,1,c1,100000000.0,True,0.4981354869264013,-1.4488147718921731,False,False,1,3.6778735543196994e-09,0.2334153021993005,0.0028777550905942917,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,1,c1,31622776.60168379,True,0.498135483112284,-1.4488147718921731,True,False,1,7.637343701905053e-09,0.2334152999981427,0.0026100160321220756,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,1,c1,10000000.0,True,0.49813547105101225,-1.4488147718921731,True,False,1,2.4229820025367665e-08,0.23341529303747668,0.0026753429556265473,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,1,c1,3162277.6601683795,True,0.4981354329101865,-1.4488147718921731,True,False,1,7.667821043388923e-08,0.2334152710259795,0.002583394991233945,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,1,c1,1000000.0,True,0.4981353123009494,-1.4488147718921731,True,False,1,2.4245831597297096e-07,0.23341520142012845,0.002675198018550873,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,1,c1,316227.7660168379,True,0.4981349309274922,-1.4488147718921731,True,False,1,7.666976486395138e-07,0.2334149813132481,0.002794751082547009,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,1,c1,100000.0,True,0.4981337253054241,-1.4488147718921731,True,False,2,1.325381852879115e-10,0.23341428533564082,0.003215134027414024,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,1,c1,31622.776601683796,True,0.49812991614826574,-1.4488147718921731,True,False,2,1.3245236817061024e-09,0.23341208507549452,0.003148369025439024,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,1,c1,10000.0,True,0.4981179043765902,-1.4488147718921731,True,False,2,1.3219121734742156e-08,0.23340513337406438,0.003224225016310811,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,1,c1,3162.277660168379,True,0.4980802553456421,-1.4488147718921731,True,False,2,1.3137132571887367e-07,0.2333832111437629,0.0031684559071436524,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,1,c1,1000.0,True,0.4979644635347935,-1.4488147718921731,True,False,3,1.2482124098212033e-08,0.2333144861975849,0.0037509510293602943,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,1,c1,316.2277660168379,True,0.49762833566851106,-1.4488147718921731,True,False,3,3.599143139311131e-07,0.23310283730003348,0.003931532963179052,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,1,c1,100.0,True,0.49680089600072247,-1.4488147718921731,True,False,4,1.2030214961017416e-07,0.23248207302648236,0.00457413902040571,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,1,c1,31.622776601683796,True,0.4954442451569707,-1.4488147718921731,True,False,5,1.7351178032212755e-07,0.2308434515618574,0.0052604470402002335,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,1,c1,10.0,True,0.4946534477165974,-1.4488147718921731,True,False,6,8.368400122972866e-07,0.2271059134609119,0.00601209094747901,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,1,c1,3.162277660168379,True,0.49666883038886955,-1.4488147718921731,True,False,11,2.016710254257835e-07,0.21963159472316957,0.009342817007564008,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,1,c1,1.0,True,0.5039355148657831,-1.4488147718921731,True,False,14,9.534393899438519e-07,0.2063986376327528,0.01135018200147897,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,1,c1,0.31622776601683794,True,0.5186359240494972,-1.4488147718921731,True,False,18,9.040502471284288e-07,0.18682403003510537,0.015969419036991894,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HEPG2,standardized,0,0,1,c1,0.09999999999999999,True,0.5446861918582627,-1.4488147718921731,True,False,30,3.43782781263291e-07,0.16475886990319522,0.026740255998447537,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
