task,cell,variant,repeat_id,fold_id,inner_fold,branch,alpha,success,validation_deviance,d0_inner_intercept,warm_started,retry_used,n_iterations,gradient_inf_norm,objective,elapsed_seconds,message
SR-HSE,HA1E,standardized,0,0,0,c1,100000000.0,True,0.9538982796616461,-2.055196193132736,False,False,1,5.4155822317922264e-09,0.48398355524140096,0.003383361967280507,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,HA1E,standardized,0,0,0,c1,31622776.60168379,True,0.9538982748199651,-2.055196193132736,True,False,1,1.1663346144788478e-08,0.48398355337690263,0.0025067999958992004,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,HA1E,standardized,0,0,0,c1,10000000.0,True,0.9538982595092547,-2.055196193132736,True,False,1,3.688871549889505e-08,0.4839835474808472,0.002491433988325298,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,HA1E,standardized,0,0,0,c1,3162277.6601683795,True,0.9538982110928387,-2.055196193132736,True,False,1,1.1663739759529973e-07,0.4839835288359414,0.0022618710063397884,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,HA1E,standardized,0,0,0,c1,1000000.0,True,0.9538980579896953,-2.055196193132736,True,False,1,3.688296916345632e-07,0.48398346987616037,0.0022302400320768356,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,HA1E,standardized,0,0,0,c1,316227.7660168379,True,0.9538975739082395,-2.055196193132736,True,False,2,1.2366238588690237e-10,0.48398328343484126,0.0028506480157375336,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,HA1E,standardized,0,0,0,c1,100000.0,True,0.953896043660476,-2.055196193132736,True,False,2,1.2362057974502072e-09,0.48398269391439014,0.0027503210585564375,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,HA1E,standardized,0,0,0,c1,31622.776601683796,True,0.9538912102429004,-2.055196193132736,True,False,2,1.2348794820038478e-08,0.48398083027393535,0.0026433649472892284,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,HA1E,standardized,0,0,0,c1,10000.0,True,0.9538759818985749,-2.055196193132736,True,False,2,1.230699975124372e-07,0.4839749427699633,0.002626582980155945,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,HA1E,standardized,0,0,0,c1,3162.277660168379,True,0.9538283771017363,-2.055196193132736,True,False,3,3.040202999071706e-09,0.48395638253460255,0.0031609219731763005,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,HA1E,standardized,0,0,0,c1,1000.0,True,0.9536830669802617,-2.055196193132736,True,False,3,8.9853683946442e-08,0.4838982439009374,0.003259227960370481,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,HA1E,standardized,0,0,0,c1,316.2277660168379,True,0.9532680528802345,-2.055196193132736,True,False,4,2.210763345791844e-07,0.4837193063181217,0.003772305091843009,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,HA1E,standardized,0,0,0,c1,100.0,True,0.952243436204525,-2.055196193132736,True,False,5,6.954343053679202e-08,0.4831892223914228,0.004546814947389066,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,HA1E,standardized,0,0,0,c1,31.622776601683796,True,0.9501068095824359,-2.055196193132736,True,False,6,8.457813628938438e-07,0.4816999979541187,0.004872762016020715,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,HA1E,standardized,0,0,0,c1,10.0,True,0.9458928008697627,-2.055196193132736,True,False,9,9.229492476097584e-08,0.47778466827751825,0.007041809963993728,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,HA1E,standardized,0,0,0,c1,3.162277660168379,True,0.9396503930569111,-2.055196193132736,True,False,12,5.535938052752751e-07,0.46882096851828264,0.00847323692869395,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,HA1E,standardized,0,0,0,c1,1.0,True,0.9376499149817673,-2.055196193132736,True,False,17,8.585562723869428e-07,0.45208000036650087,0.012368618045002222,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,HA1E,standardized,0,0,0,c1,0.31622776601683794,True,0.9515459143449267,-2.055196193132736,True,False,28,7.909165371153791e-07,0.4263077811421472,0.022119447006843984,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,HA1E,standardized,0,0,0,c1,0.09999999999999999,True,1.0151429692941543,-2.055196193132736,True,False,43,9.493137542574727e-07,0.3911438292949029,0.032613561023026705,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,HA1E,standardized,0,0,0,c1,0.03162277660168379,True,1.2947158170301118,-2.055196193132736,True,False,73,9.821871184618504e-07,0.3406909544098171,0.0524771180935204,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,HA1E,standardized,0,0,0,c1,0.01,True,2.120926009837842,-2.055196193132736,True,False,102,9.525343531179267e-07,0.26497722484674113,0.07888276095036417,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,HA1E,standardized,0,0,0,c1,0.0031622776601683794,True,3.5251992853748053,-2.055196193132736,True,False,135,7.681686802016324e-07,0.17628392242377722,0.10758293501567096,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,HA1E,standardized,0,0,0,c1,0.001,True,5.225596505297279,-2.055196193132736,True,False,119,7.297014727098808e-07,0.10157464493952376,0.09973733895458281,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,HA1E,standardized,0,0,0,c1,0.00031622776601683794,True,6.954386896659808,-2.055196193132736,True,False,116,9.705690642165246e-07,0.05246480406069827,0.1075237529585138,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,HA1E,standardized,0,0,0,c1,9.999999999999999e-05,True,8.558303014748494,-2.055196193132736,True,False,80,9.885929455390682e-07,0.025020218908977175,0.09314424102194607,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,HA1E,standardized,0,0,1,c1,100000000.0,True,0.9787912800493582,-2.4029238898495824,False,False,1,1.253901829589843e-09,0.47775986455311253,0.009149192017503083,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
