task,cell,variant,repeat_id,fold_id,inner_fold,branch,alpha,success,validation_deviance,d0_inner_intercept,warm_started,retry_used,n_iterations,gradient_inf_norm,objective,elapsed_seconds,message
SR-MMP,HA1E,standardized,0,0,0,c1,100000000.0,True,0.89647906926903,-1.0969322333571792,False,False,1,1.0748884018974003e-08,0.4426201593442695,0.0025187870487570763,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,0,c1,31622776.60168379,True,0.896479047499796,-1.0969322333571792,True,False,1,2.3142896541858415e-08,0.4426201533230193,0.0023297249572351575,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,0,c1,10000000.0,True,0.896478978659557,-1.0969322333571792,True,False,1,7.321608417199671e-08,0.44262013428219116,0.00215990305878222,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,0,c1,3162277.6601683795,True,0.8964787609688503,-1.0969322333571792,True,False,1,2.315350630241117e-07,0.4426200740701764,0.002410738030448556,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,0,c1,1000000.0,True,0.8964780725828186,-1.0969322333571792,True,False,1,7.32162922658687e-07,0.4426198836667737,0.002434353926219046,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,0,c1,316227.7660168379,True,0.8964758959437593,-1.0969322333571792,True,False,2,3.024908860720099e-11,0.44261928159540764,0.002702030004002154,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,0,c1,100000.0,True,0.8964690146581278,-1.0969322333571792,True,False,2,3.024839559601436e-10,0.4426173780490449,0.0029724350897595286,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,0,c1,31622.776601683796,True,0.8964472729397093,-1.0969322333571792,True,False,2,3.0240715836408333e-09,0.442611362207162,0.002883926033973694,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,0,c1,10000.0,True,0.8963787069032341,-1.0969322333571792,True,False,2,3.021608752182964e-08,0.4425923753080087,0.0028434350388124585,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,0,c1,3162.277660168379,True,0.8961637284037401,-1.0969322333571792,True,False,2,3.013488995964116e-07,0.442532697744409,0.0028435150161385536,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,0,c1,1000.0,True,0.8955015766420095,-1.0969322333571792,True,False,3,8.888770255120645e-08,0.4423474914401278,0.00330162700265646,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,0,c1,316.2277660168379,True,0.8935624244608461,-1.0969322333571792,True,False,4,6.019789479394522e-09,0.441793225461902,0.0035731130046769977,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,0,c1,100.0,True,0.8885101084899643,-1.0969322333571792,True,False,4,7.650678369233721e-07,0.4402713432783944,0.0035855849273502827,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,0,c1,31.622776601683796,True,0.8774246877617536,-1.0969322333571792,True,False,6,2.9360367947636745e-07,0.4365991719718452,0.004570862045511603,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,0,c1,10.0,True,0.8565036345916739,-1.0969322333571792,True,False,9,4.493120801564443e-07,0.4284608979112662,0.006498384987935424,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,0,c1,3.162277660168379,True,0.8251130894463414,-1.0969322333571792,True,False,12,3.123640678571668e-07,0.41150172359574494,0.008957386948168278,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,0,c1,1.0,True,0.7925697272658072,-1.0969322333571792,True,False,16,5.654272639283447e-07,0.3801980191810339,0.012306213029660285,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,0,c1,0.31622776601683794,True,0.7754441824659924,-1.0969322333571792,True,False,24,5.43145395721055e-07,0.33068734445311965,0.01951827807351947,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,0,c1,0.09999999999999999,True,0.8118187984361943,-1.0969322333571792,True,False,35,8.583772645831371e-07,0.2647603619982506,0.02671055297832936,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,0,c1,0.03162277660168379,True,0.9649559566786681,-1.0969322333571792,True,False,52,7.815138882232529e-07,0.19061257146227317,0.04188212810549885,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,0,c1,0.01,True,1.2756413038159191,-1.0969322333571792,True,False,66,9.209327517145822e-07,0.12148615542683489,0.05004789202939719,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,0,c1,0.0031622776601683794,True,1.73076478920215,-1.0969322333571792,True,False,66,8.381608383590915e-07,0.06889702229056191,0.05506950709968805,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,0,c1,0.001,True,2.292258904476442,-1.0969322333571792,True,False,69,9.133362724764811e-07,0.03547882964262246,0.05745395994745195,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,0,c1,0.00031622776601683794,True,2.9019830428129643,-1.0969322333571792,True,False,63,9.607881924040895e-07,0.01695250311605156,0.05495525000151247,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,0,c1,9.999999999999999e-05,True,3.5209832603534843,-1.0969322333571792,True,False,44,9.248737495358735e-07,0.007646625885592769,0.03918110497761518,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,1,c1,100000000.0,True,0.8679158655401173,-0.8456943102633527,False,False,1,1.0700050602496791e-08,0.451663793035817,0.0036475619999691844,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,1,c1,31622776.60168379,True,0.867915850794739,-0.8456943102633527,True,False,1,2.352236188121748e-08,0.4516637837293911,0.0033203070051968098,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,1,c1,10000000.0,True,0.8679158041659139,-0.8456943102633527,True,False,1,7.438349231350672e-08,0.45166375429993133,0.0032592329662293196,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,1,c1,3162277.6601683795,True,0.8679156567141791,-0.8456943102633527,True,False,1,2.352340780845119e-07,0.4516636612362396,0.003113101003691554,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,1,c1,1000000.0,True,0.8679151904464284,-0.8456943102633527,True,False,1,7.438646621518719e-07,0.4516633669473189,0.0031993601005524397,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,1,c1,316227.7660168379,True,0.8679137161896842,-0.8456943102633527,True,False,2,8.165862430686843e-11,0.4516624363671605,0.0037891650572419167,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,1,c1,100000.0,True,0.867909056061521,-0.8456943102633527,True,False,2,8.162139991663153e-10,0.4516594940453937,0.004034065990708768,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,1,c1,31622.776601683796,True,0.8678943383979544,-0.8456943102633527,True,False,2,8.151012725887696e-09,0.45165019391347594,0.004364831023849547,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,1,c1,10000.0,True,0.86784798566123,-0.8456943102633527,True,False,2,8.115992880530776e-08,0.4516208272429436,0.004815258085727692,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,1,c1,3162.277660168379,True,0.8677032617274288,-0.8456943102633527,True,False,2,8.006903717550085e-07,0.45152838671868534,0.0053080120123922825,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,1,c1,1000.0,True,0.8672632475447658,-0.8456943102633527,True,False,3,1.5415210288804992e-07,0.45124018505770763,0.005228074034675956,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,1,c1,316.2277660168379,True,0.8660234251153648,-0.8456943102633527,True,False,4,1.3093475137448962e-07,0.4503663557036049,0.006732705980539322,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,1,c1,100.0,True,0.8630981365597663,-0.8456943102633527,True,False,5,9.286478959424915e-08,0.447893579983384,0.007136002997867763,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,1,c1,31.622776601683796,True,0.8576175471064248,-0.8456943102633527,True,False,7,1.4905594621777984e-07,0.4417004756536788,0.008947554044425488,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,1,c1,10.0,True,0.8480283214790584,-0.8456943102633527,True,False,9,4.938001581961883e-07,0.42826785675564694,0.01292978401761502,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,1,c1,3.162277660168379,True,0.8346707968702343,-0.8456943102633527,True,False,12,3.9004494155683855e-07,0.40294829434937274,0.015812969068065286,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,1,c1,1.0,True,0.8272092892359579,-0.8456943102633527,True,False,16,1.906906827459781e-07,0.360485515261126,0.020436692982912064,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,1,c1,0.31622776601683794,True,0.8419426010050475,-0.8456943102633527,True,False,22,5.500185407724192e-07,0.29850204517135387,0.027269379934296012,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,1,c1,0.09999999999999999,True,0.9182475682634433,-0.8456943102633527,True,False,33,8.565482761113945e-07,0.22207172060699748,0.04254414595197886,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,1,c1,0.03162277660168379,True,1.121981474493159,-0.8456943102633527,True,False,42,7.74104184171967e-07,0.145513091687701,0.057568427990190685,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,1,c1,0.01,True,1.4577056846405703,-0.8456943102633527,True,False,47,7.449232770130078e-07,0.08442426491546319,0.06586160301230848,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,1,c1,0.0031622776601683794,True,1.8880781375052085,-0.8456943102633527,True,False,53,8.942837325766134e-07,0.044284396363255776,0.07469289493747056,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,1,c1,0.001,True,2.3809949943945394,-0.8456943102633527,True,False,42,9.223361799355222e-07,0.021474958011028788,0.058204319910146296,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,1,c1,0.00031622776601683794,True,2.8783163698907384,-0.8456943102633527,True,False,40,8.008472249391677e-07,0.009801958617553215,0.05637436197139323,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,1,c1,9.999999999999999e-05,True,3.340650883730204,-0.8456943102633527,True,False,32,9.066484439452999e-07,0.004267525182960195,0.04635556507855654,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,2,c1,100000000.0,True,0.9086649251882092,-1.265581132123866,False,False,1,1.0193732326996274e-08,0.43917984089209966,0.007264570915140212,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,2,c1,31622776.60168379,True,0.9086649033767912,-1.265581132123866,True,False,1,2.1969604906135753e-08,0.43917983403517563,0.006780434981919825,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,2,c1,10000000.0,True,0.908664834403198,-1.265581132123866,True,False,1,6.945952679519862e-08,0.4391798123517122,0.006765902973711491,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,2,c1,3162277.6601683795,True,0.9086646162912353,-1.265581132123866,True,False,1,2.1966734183725967e-07,0.4391797437829206,0.00804409896954894,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HA1E,standardized,0,0,2,c1,1000000.0,True,0.9086639265775501,-1.265581132123866,True,False,1,6.946395473845374e-07,0.43917952695276596,0.008818652015179396,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
