task,cell,variant,repeat_id,fold_id,inner_fold,branch,alpha,success,validation_deviance,d0_inner_intercept,warm_started,retry_used,n_iterations,gradient_inf_norm,objective,elapsed_seconds,message
SR-MMP,HEPG2,standardized,0,0,0,c1,100000000.0,True,0.8988900541852832,-0.8625981260725272,False,False,1,9.375100854056712e-09,0.47857592372055036,0.002203283947892487,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HEPG2,standardized,0,0,0,c1,31622776.60168379,True,0.8988900386224051,-0.8625981260725272,True,False,1,2.0257659918022225e-08,0.478575914194942,0.0017522339476272464,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HEPG2,standardized,0,0,0,c1,10000000.0,True,0.8988899894083169,-0.8625981260725272,True,False,1,6.405912580205106e-08,0.4785758840723557,0.0017334019066765904,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HEPG2,standardized,0,0,0,c1,3162277.6601683795,True,0.8988898337802284,-0.8625981260725272,True,False,1,2.0257082659902448e-07,0.4785757888166971,0.0018969849916175008,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HEPG2,standardized,0,0,0,c1,1000000.0,True,0.8988893416462312,-0.8625981260725272,True,False,1,6.405778901876283e-07,0.4785754875950861,0.0017373999580740929,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HEPG2,standardized,0,0,0,c1,316227.7660168379,True,0.898887785330706,-0.8625981260725272,True,False,2,1.0689447937917151e-10,0.4785745350810163,0.0021303800167515874,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HEPG2,standardized,0,0,0,c1,100000.0,True,0.8988828637477534,-0.8625981260725272,True,False,2,1.0686300733198095e-09,0.4785715232899802,0.002262588939629495,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HEPG2,standardized,0,0,0,c1,31622.776601683796,True,0.898867299195439,-0.8625981260725272,True,False,2,1.0676531853048843e-08,0.4785620023970819,0.002154449000954628,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HEPG2,standardized,0,0,0,c1,10000.0,True,0.8988180682952752,-0.8625981260725272,True,False,2,1.0645723494406845e-07,0.47853192687226115,0.002187025034800172,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HEPG2,standardized,0,0,0,c1,3162.277660168379,True,0.8986622762875546,-0.8625981260725272,True,False,3,3.117994147594505e-09,0.4784371389017827,0.0025855229469016194,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HEPG2,standardized,0,0,0,c1,1000.0,True,0.898168567104826,-0.8625981260725272,True,False,3,9.432254555880037e-08,0.4781405042329893,0.0027462150901556015,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HEPG2,standardized,0,0,0,c1,316.2277660168379,True,0.8965987819681638,-0.8625981260725272,True,False,4,1.245458838665392e-07,0.47723125280822914,0.002923647058196366,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HEPG2,standardized,0,0,0,c1,100.0,True,0.891608556315432,-0.8625981260725272,True,False,5,2.5413407187674375e-08,0.4745877893512713,0.0036173040280118585,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HEPG2,standardized,0,0,0,c1,31.622776601683796,True,0.8767202056562622,-0.8625981260725272,True,False,6,1.2498512624165015e-07,0.4676377075535069,0.0038334080018103123,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HEPG2,standardized,0,0,0,c1,10.0,True,0.8433802776042046,-0.8625981260725272,True,False,8,5.707419769764716e-07,0.45176058846992173,0.004689623950980604,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HEPG2,standardized,0,0,0,c1,3.162277660168379,True,0.7985859156186254,-0.8625981260725272,True,False,10,5.401485359129987e-07,0.42142770586662387,0.005919629009440541,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
