task,cell,variant,repeat_id,fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_outer_train,n_outer_test,inner_cv_seed_requested,inner_cv_seed_used,chemical_offset_frozen,chemical_offset_coefficient,d0_intercept,d1_intercept_refit,c1_has_intercept,stage2_likelihood,stage2_model_spec,alpha_c1,alpha_min_loss_c1,alpha_boundary_hit_c1,beta_saturated_no_signal_c1,beta_l2_norm_c1,final_gradient_inf_norm_c1,final_retry_used_c1,alpha_d1,alpha_min_loss_d1,alpha_boundary_hit_d1,beta_saturated_no_signal_d1,beta_l2_norm_d1,final_gradient_inf_norm_d1,final_retry_used_d1,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
NR-ER-LBD,HEPG2,standardized,0,0,2042,2042,2ad3e99ab1a64480fc883d93b5e7c7c33ef4e7d117a1ac46d618b8db9edc0066,547,73,42,42,True,1.0,-2.0652526568204603,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,316.2277660168379,True,True,2.814101028584202e-09,3.143392671048177e-09,False,100000000.0,100000000.0,True,False,2.7936006651988525e-09,1.3371755855362544e-09,False,0.31845238095238093,0.5942028985507246,0.4216820238059193,0.12116606747979891,0.31845238095238093,0.5942028985507246,0.20369705546418654,0.050085292341238444,0.31845238095238093,0.5942028985507246,0.42168202422010903,0.12116606767886538,0.31845238095238093,0.5942028985507246,0.20369705549665904,0.05008529235900114,0.0,0.0,4.141897380627313e-10,1.9906647164003033e-10,0.0,0.0,3.247249691362697e-11,1.7762694093370612e-11,0.0,0.0,-0.21798496872345,-0.07108077531986425
NR-ER-LBD,HEPG2,standardized,0,1,2042,2042,2ad3e99ab1a64480fc883d93b5e7c7c33ef4e7d117a1ac46d618b8db9edc0066,509,111,42,42,True,1.0,-1.9844201035815492,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,31.622776601683796,True,True,3.0082725371137135e-09,2.8364431007947555e-09,False,100000000.0,100000000.0,True,False,3.1259315250120357e-09,8.354675319621752e-10,False,0.08329477858559153,0.6658878504672898,0.42635767370499744,0.123824227137466,0.08329477858559153,0.6658878504672898,0.1605192609297637,0.035753707874836456,0.08329477858559153,0.6658878504672898,0.426357674136927,0.12382422732262599,0.08329477858559153,0.6658878504672898,0.16051926105923262,0.03575370788070117,0.0,0.0,4.319295476840068e-10,1.851599845670293e-10,0.0,0.0,1.2946890781684317e-10,5.864711494218966e-12,0.0,0.0,-0.2658384130776944,-0.08807051944192482
NR-ER-LBD,HEPG2,standardized,0,2,2042,2042,2ad3e99ab1a64480fc883d93b5e7c7c33ef4e7d117a1ac46d618b8db9edc0066,494,126,42,42,True,1.0,-2.2583378091540216,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.882479146599211e-09,2.414628240410277e-09,False,100000000.0,100000000.0,True,False,2.806153212849377e-09,1.123277540426848e-09,False,0.7373378961779613,0.8979591836734694,0.44471378428581787,0.13266134388815565,0.7373378961779613,0.8979591836734694,0.28866767357644,0.08750110719073176,0.7373378961779613,0.8979591836734694,0.4447137844412499,0.13266134397245916,0.7373378961779613,0.8979591836734694,0.28866767362460116,0.08750110720260815,0.0,0.0,1.5543205611479038e-10,8.430350861843294e-11,0.0,0.0,4.81611417413319e-11,1.1876388761322687e-11,0.0,0.0,-0.15604611081664876,-0.04516023676985101
NR-ER-LBD,HEPG2,standardized,0,3,2042,2042,2ad3e99ab1a64480fc883d93b5e7c7c33ef4e7d117a1ac46d618b8db9edc0066,487,133,42,42,True,1.0,-1.9971323148681583,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.8977408967952937e-09,1.604209171751636e-09,False,100000000.0,3.162277660168379,True,True,2.9809916917168617e-09,7.957997039120812e-10,False,0.4008714596949891,0.888888888888889,0.44689894039895856,0.13368186789541517,0.4008714596949891,0.888888888888889,0.17983472398866984,0.0454189196810977,0.4008714596949891,0.888888888888889,0.4468989399595253,0.13368186771477228,0.4008714596949891,0.888888888888889,0.1798347239732736,0.045418919710461296,0.0,0.0,-4.394332675516921e-10,-1.8064288953567598e-10,0.0,0.0,-1.5396239838594283e-11,2.9363594888920375e-11,0.0,0.0,-0.2670642159862517,-0.08826294800431098
NR-ER-LBD,HEPG2,standardized,0,4,2042,2042,2ad3e99ab1a64480fc883d93b5e7c7c33ef4e7d117a1ac46d618b8db9edc0066,443,177,42,42,True,1.0,-2.081780278254643,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,3.195804730232997e-09,3.4993919446196786e-09,False,100000000.0,100000000.0,True,False,3.300701558286194e-09,1.0980469675875293e-09,False,0.240477890022473,0.667065868263473,0.40743433965118653,0.11502613863784228,0.240477890022473,0.667065868263473,0.20596868134049384,0.05167930447807634,0.240477890022473,0.667065868263473,0.4074343396856813,0.11502613866250112,0.240477890022473,0.667065868263473,0.2059686813559419,0.05167930448001888,0.0,0.0,3.449479590855731e-11,2.4658844410829772e-11,0.0,0.0,1.5448059498268663e-11,1.9425433483988286e-12,0.0,0.0,-0.20146565832973942,-0.06334683418248224
NR-ER-LBD,HEPG2,standardized,1,0,3042,3042,bf42e3ceb6d13486ef760c8f3ce3e9f8f6b9ab98d58e850cb91807040d6d99e0,544,76,42,42,True,1.0,-2.101530015653412,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,3.030274901752421e-09,3.4045330361311132e-09,False,100000000.0,100000000.0,True,False,3.1369908733770793e-09,8.77345488793646e-10,False,0.5087962962962963,0.7857142857142857,0.4353435498454552,0.12816298488987893,0.5087962962962963,0.7857142857142857,0.23277212719237886,0.06373429491709245,0.5087962962962963,0.7857142857142857,0.43534354969217964,0.12816298480642252,0.5087962962962963,0.7857142857142857,0.23277212784783732,0.06373429502394547,0.0,0.0,-1.5327555891175848e-10,-8.345640845064395e-11,0.0,0.0,6.554584652818107e-10,1.0685301254920176e-10,0.0,0.0,-0.20257142184434232,-0.06442868978247705
NR-ER-LBD,HEPG2,standardized,1,1,3042,3042,bf42e3ceb6d13486ef760c8f3ce3e9f8f6b9ab98d58e850cb91807040d6d99e0,493,127,42,42,True,1.0,-2.1151031695460154,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.85594657103611e-09,1.959023165909457e-09,False,100000000.0,100000000.0,True,False,2.8986770232545588e-09,6.232835914055102e-10,False,0.5008925621423939,0.8948717948717948,0.444985731373808,0.1329933360973975,0.5008925621423939,0.8948717948717948,0.22952880924431454,0.06481645236804531,0.5008925621423939,0.8948717948717948,0.4449857316303344,0.13299333620845719,0.5008925621423939,0.8948717948717948,0.22952880922401675,0.06481645236740492,0.0,0.0,2.565264112242005e-10,1.110596892228699e-10,0.0,0.0,-2.0297791225587503e-11,-6.403905183915981e-13,0.0,0.0,-0.21545692240631764,-0.06817688384105226
NR-ER-LBD,HEPG2,standardized,1,2,3042,3042,bf42e3ceb6d13486ef760c8f3ce3e9f8f6b9ab98d58e850cb91807040d6d99e0,506,114,42,42,True,1.0,-2.1380187310791463,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100.0,True,True,3.1387421031096967e-09,3.791699877903412e-09,False,100000000.0,100.0,True,True,2.9947593224046384e-09,2.2614424430300595e-09,False,0.4863258886691632,0.8137566137566138,0.42317427085579123,0.122534838080626,0.4863258886691632,0.8137566137566138,0.23793495115752256,0.06618614863574176,0.4863258886691632,0.8137566137566138,0.4231742709947137,0.12253483816629417,0.4863258886691632,0.8137566137566138,0.237934951374829,0.06618614867074109,0.0,0.0,1.38922484627102e-10,8.566816700472657e-11,0.0,0.0,2.173064506116873e-10,3.49993228843104e-11,0.0,0.0,-0.1852393196198847,-0.05634868949555308
NR-ER-LBD,HEPG2,standardized,1,3,3042,3042,bf42e3ceb6d13486ef760c8f3ce3e9f8f6b9ab98d58e850cb91807040d6d99e0,495,125,42,42,True,1.0,-2.009368678138604,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.989065980238845e-09,3.085601756307871e-09,False,100000000.0,100000000.0,True,False,3.0006495045649673e-09,9.86976514405491e-10,False,0.13861456801968575,0.6344537815126051,0.44418445800958145,0.13177732994649063,0.13861456801968575,0.6344537815126051,0.18975444385195264,0.045238056398994614,0.13861456801968575,0.6344537815126051,0.4441844581517715,0.13177733004554956,0.13861456801968575,0.6344537815126051,0.18975444378275425,0.04523805641363697,0.0,0.0,1.4219003752202752e-10,9.905892772721359e-11,0.0,0.0,-6.919839701247099e-11,1.464235677151038e-11,0.0,0.0,-0.25443001436901724,-0.08653927363191259
NR-ER-LBD,HEPG2,standardized,1,4,3042,3042,bf42e3ceb6d13486ef760c8f3ce3e9f8f6b9ab98d58e850cb91807040d6d99e0,442,178,42,42,True,1.0,-1.992502074401472,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.979697708072715e-09,5.449236574125993e-10,False,100000000.0,100000000.0,True,False,3.0864655575177936e-09,2.878821070417814e-10,False,0.27397360550099187,0.6985294117647058,0.4063575378030071,0.11445268604874714,0.27397360550099187,0.6985294117647058,0.17324318814249146,0.04099943669395141,0.27397360550099187,0.6985294117647058,0.40635753768853117,0.11445268600719528,0.27397360550099187,0.6985294117647058,0.17324318822157952,0.04099943670787799,0.0,0.0,-1.1447592873636836e-10,-4.1551859175648076e-11,0.0,0.0,7.908806942680258e-11,1.3926582109746732e-11,0.0,0.0,-0.23311434946695164,-0.07345324929931729
