task,cell,variant,repeat_id,fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_outer_train,n_outer_test,inner_cv_seed_requested,inner_cv_seed_used,chemical_offset_frozen,chemical_offset_coefficient,d0_intercept,d1_intercept_refit,c1_has_intercept,stage2_likelihood,stage2_model_spec,alpha_c1,alpha_min_loss_c1,alpha_boundary_hit_c1,beta_saturated_no_signal_c1,beta_l2_norm_c1,final_gradient_inf_norm_c1,final_retry_used_c1,alpha_d1,alpha_min_loss_d1,alpha_boundary_hit_d1,beta_saturated_no_signal_d1,beta_l2_norm_d1,final_gradient_inf_norm_d1,final_retry_used_d1,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
NR-ER,HA1E,standardized,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,725,80,42,42,True,1.0,-1.4814552853359033,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,4.429626969251755e-09,2.461145370835638e-09,False,100000000.0,3.162277660168379,True,True,4.545378494134363e-09,3.31769529210435e-09,False,0.45475284127714244,0.7610256410256411,0.6010166677795411,0.20593540882111983,0.45475284127714244,0.7610256410256411,0.42529371092677504,0.13439583216932627,0.45475284127714244,0.7610256410256411,0.601016667139185,0.2059354083264723,0.45475284127714244,0.7610256410256411,0.4252937099073579,0.1343958321321673,0.0,0.0,-6.403561014778347e-10,-4.946475173905895e-10,0.0,0.0,-1.019417161796099e-09,-3.715897034517468e-11,0.0,0.0,-0.17572295723182713,-0.07153957619430501
NR-ER,HA1E,standardized,0,1,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,650,155,42,42,True,1.0,-1.5317008265966054,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,5.335707145435558e-09,6.3716361822091505e-09,False,100000000.0,316.2277660168379,True,True,5.90251432770233e-09,5.196014699206759e-09,False,0.5744329810676465,0.6810730253353203,0.6168475035891094,0.2138118356614173,0.5744329810676465,0.6810730253353203,0.47450380713708623,0.1467524712610278,0.5744329810676465,0.6810730253353203,0.6168475044501538,0.21381183611491927,0.5744329810676465,0.6810730253353203,0.4745038083955128,0.14675247168295144,0.0,0.0,8.610443469336815e-10,4.5350198596416647e-10,0.0,0.0,1.2584265851600662e-09,4.21923634918997e-10,0.0,0.0,-0.14234369605464098,-0.06705936443196783
NR-ER,HA1E,standardized,0,2,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,660,145,42,42,True,1.0,-1.49621717595262,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,10.0,True,True,4.801379501131554e-09,2.5155274460675336e-09,False,100000000.0,3.162277660168379,True,True,4.857263822303295e-09,2.34750245457771e-09,False,0.3484877260806649,0.642,0.6004361036882321,0.2060305120022169,0.3484877260806649,0.642,0.4386417357062476,0.13489977105368314,0.3484877260806649,0.642,0.6004361037836459,0.20603051198690991,0.3484877260806649,0.642,0.4386417350055867,0.13489977065466704,0.0,0.0,9.541378798161304e-11,-1.530697790741442e-11,0.0,0.0,-7.006609181736678e-10,-3.9901609794057435e-10,0.0,0.0,-0.1617943687780592,-0.07113074133224287
NR-ER,HA1E,standardized,0,3,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,622,183,42,42,True,1.0,-1.4350680698747107,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,4.565347908968275e-09,1.6490986284867226e-09,False,100000000.0,100000000.0,True,False,4.7222117442132336e-09,2.9660013230181637e-09,False,0.34812487027291317,0.6712395884370408,0.5863302991643057,0.19911303169225153,0.34812487027291317,0.6712395884370408,0.3836358509304739,0.11273344481404707,0.34812487027291317,0.6712395884370408,0.5863302983346568,0.19911303131517252,0.34812487027291317,0.6712395884370408,0.38363584966347436,0.11273344430156373,0.0,0.0,-8.29648905131819e-10,-3.770790069079766e-10,0.0,0.0,-1.266999560822768e-09,-5.124833335479195e-10,0.0,0.0,-0.20269444867118241,-0.08637958701360879
NR-ER,HA1E,standardized,0,4,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,563,242,42,42,True,1.0,-1.4171004042894444,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,4.9923662603986515e-09,5.58499946290425e-09,False,100000000.0,1.0,True,True,5.231172711144707e-09,5.081641443575868e-09,False,0.387557089647904,0.7076989995650282,0.564322896311998,0.18876591699320583,0.387557089647904,0.7076989995650282,0.3637974368967775,0.10651833256590255,0.387557089647904,0.7076989995650282,0.5643228967899703,0.18876591719191027,0.387557089647904,0.7076989995650282,0.36379743645281115,0.10651833234945896,0.0,0.0,4.779723283832027e-10,1.9870444178948787e-10,0.0,0.0,-4.4396636367238784e-10,-2.1644359915473643e-10,0.0,0.0,-0.20052546033715912,-0.08224758484245132
NR-ER,HA1E,standardized,1,0,3042,3042,39f306a0021712bef48ddd272bd181859672655b2428f623c685bbb8cebd0a4e,722,83,42,42,True,1.0,-1.5214303576826298,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,4.085199276406267e-09,1.5109484841676485e-09,False,100000000.0,100.0,True,True,4.1724952589464116e-09,2.3884503784488142e-09,False,0.3926633423242829,0.6273504273504273,0.634398668972278,0.22025666815641162,0.3926633423242829,0.6273504273504273,0.5274895324949403,0.1667763508921904,0.3926633423242829,0.6273504273504273,0.6343986669052921,0.22025666719343404,0.3926633423242829,0.6273504273504273,0.5274895299695028,0.16677635001808608,0.0,0.0,-2.0669859157607107e-09,-9.629775865604984e-10,0.0,0.0,-2.5254375257688366e-09,-8.741043167059814e-10,0.0,0.0,-0.1069091369357893,-0.05348031717534796
NR-ER,HA1E,standardized,1,1,3042,3042,39f306a0021712bef48ddd272bd181859672655b2428f623c685bbb8cebd0a4e,645,160,42,42,True,1.0,-1.4538184420491935,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,4.7085236896475945e-09,3.3690685185237823e-09,False,100000000.0,100000000.0,True,False,4.552278852699505e-09,1.317374667686444e-09,False,0.3841980416174861,0.7023113338902812,0.6231943539285009,0.2163964246142791,0.3841980416174861,0.7023113338902812,0.41910037502356196,0.12853766102477104,0.3841980416174861,0.7023113338902812,0.6231943552339807,0.21639642516713042,0.3841980416174861,0.7023113338902812,0.41910037543308754,0.12853766106245326,0.0,0.0,1.3054798353451247e-09,5.528513202790464e-10,0.0,0.0,4.0952558011397855e-10,3.7682218456680516e-11,0.0,0.0,-0.20409397980089317,-0.08785876410467716
NR-ER,HA1E,standardized,1,2,3042,3042,39f306a0021712bef48ddd272bd181859672655b2428f623c685bbb8cebd0a4e,571,234,42,42,True,1.0,-1.471026585201937,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,5.646799282455116e-09,7.1764263614776044e-09,False,100000000.0,100.0,True,True,6.2020217795316e-09,5.948749930151376e-09,False,0.5320174647787846,0.7503230437903805,0.5341613126393147,0.1744338147554874,0.5320174647787846,0.7503230437903805,0.36029812195928196,0.10630713570850245,0.5320174647787846,0.7503230437903805,0.5341613124105321,0.17443381463513843,0.5320174647787846,0.7503230437903805,0.36029812258995403,0.10630713599721578,0.0,0.0,-2.2878254846148138e-10,-1.203489530254842e-10,0.0,0.0,6.306720701232393e-10,2.8871333102031826e-10,0.0,0.0,-0.17386318982057808,-0.06812667863792266
NR-ER,HA1E,standardized,1,3,3042,3042,39f306a0021712bef48ddd272bd181859672655b2428f623c685bbb8cebd0a4e,641,164,42,42,True,1.0,-1.494418025380601,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,5.434859662591118e-09,8.017318551395685e-09,False,100000000.0,3.162277660168379,True,True,6.27853642894375e-09,7.049859866020691e-09,False,0.40123926606112603,0.6615581098339719,0.6038106575990715,0.20835118594872934,0.40123926606112603,0.6615581098339719,0.43847677201627805,0.13496717445482614,0.40123926606112603,0.6615581098339719,0.6038106620986662,0.2083511878813293,0.40123926606112603,0.6615581098339719,0.4384767745813345,0.13496717523376522,0.0,0.0,4.4995946968384715e-09,1.9325999689456808e-09,0.0,0.0,2.565056445025249e-09,7.789390799040063e-10,0.0,0.0,-0.1653338875173317,-0.07338401264756408
NR-ER,HA1E,standardized,1,4,3042,3042,39f306a0021712bef48ddd272bd181859672655b2428f623c685bbb8cebd0a4e,641,164,42,42,True,1.0,-1.4220084258160455,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,10.0,True,True,4.920241423150222e-09,3.101012538767045e-09,False,100000000.0,31.622776601683796,True,True,4.974335077223665e-09,3.3480635278082538e-09,False,0.4252099619367915,0.6614246068455134,0.5989977805544742,0.20559322952393946,0.4252099619367915,0.6614246068455134,0.378789606577328,0.10956213915485667,0.4252099619367915,0.6614246068455134,0.5989977797854482,0.20559322917333792,0.4252099619367915,0.6614246068455134,0.37878960573039405,0.10956213888712917,0.0,0.0,-7.690259540282796e-10,-3.5060154779387176e-10,0.0,0.0,-8.469339674022081e-10,-2.6772750683079494e-10,0.0,0.0,-0.22020817405505416,-0.09603109028620875
