task,cell,variant,repeat_id,fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_outer_train,n_outer_test,inner_cv_seed_requested,inner_cv_seed_used,chemical_offset_frozen,chemical_offset_coefficient,d0_intercept,d1_intercept_refit,c1_has_intercept,stage2_likelihood,stage2_model_spec,alpha_c1,alpha_min_loss_c1,alpha_boundary_hit_c1,beta_saturated_no_signal_c1,beta_l2_norm_c1,final_gradient_inf_norm_c1,final_retry_used_c1,alpha_d1,alpha_min_loss_d1,alpha_boundary_hit_d1,beta_saturated_no_signal_d1,beta_l2_norm_d1,final_gradient_inf_norm_d1,final_retry_used_d1,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
NR-PPAR-gamma,HEPG2,standardized,0,0,2042,2043,5975d60394426c265ba305d07f6a829ab69a8e3d1cce3ea34923bfb085d543e3,488,64,42,42,True,1.0,-1.9338180908336617,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100.0,True,True,2.4649761977765922e-09,1.5814885729117933e-09,False,100000000.0,100.0,True,True,2.595934707335778e-09,5.530870830772194e-10,False,0.5476190476190477,0.8467741935483871,0.24319727507821692,0.05193846915959511,0.5476190476190477,0.8467741935483871,0.11886751582092385,0.028029109121820907,0.5476190476190477,0.8467741935483871,0.2431972751695154,0.051938469182042285,0.5476190476190477,0.8467741935483871,0.11886751597706453,0.028029109143008487,0.0,0.0,9.129846878508374e-11,2.2447176062367902e-11,0.0,0.0,1.56140683715833e-10,2.1187579468673334e-11,0.0,0.0,-0.12432975919245086,-0.023909360039033798
NR-PPAR-gamma,HEPG2,standardized,0,1,2042,2043,5975d60394426c265ba305d07f6a829ab69a8e3d1cce3ea34923bfb085d543e3,444,108,42,42,True,1.0,-2.364935383040334,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,1.7602210608312844e-09,8.84845617783736e-10,False,100000000.0,100000000.0,True,False,1.8274635135793707e-09,9.33603236386027e-10,False,0.1619611233909967,0.5084175084175084,0.34142146456999084,0.09273916354756585,0.1619611233909967,0.5084175084175084,0.3286832191654127,0.07895682704215877,0.1619611233909967,0.5084175084175084,0.34142146440325805,0.09273916352856755,0.1619611233909967,0.5084175084175084,0.3286832190206429,0.07895682703281459,0.0,0.0,-1.6673279423784493e-10,-1.8998302930839372e-11,0.0,0.0,-1.4476980725319777e-10,-9.344178208969822e-12,0.0,0.0,-0.012738245382615143,-0.013782336495752959
NR-PPAR-gamma,HEPG2,standardized,0,2,2042,2043,5975d60394426c265ba305d07f6a829ab69a8e3d1cce3ea34923bfb085d543e3,445,107,42,42,True,1.0,-1.9646097035345051,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.421150750173085e-09,8.819391276310151e-10,False,100000000.0,100000000.0,True,False,2.413890727196069e-09,4.065535928743369e-10,False,0.12796623666188883,0.8009708737864077,0.2677104019577663,0.06245203390217214,0.12796623666188883,0.8009708737864077,0.1531188908014263,0.03571959870582672,0.12796623666188883,0.8009708737864077,0.26771040187789885,0.06245203386458139,0.12796623666188883,0.8009708737864077,0.1531188906393575,0.035719598688445334,0.0,0.0,-7.986744599008944e-11,-3.759074995723921e-11,0.0,0.0,-1.6206880282254588e-10,-1.7381387995563102e-11,0.0,0.0,-0.11459151123854136,-0.026732435176136056
NR-PPAR-gamma,HEPG2,standardized,0,3,2042,2043,5975d60394426c265ba305d07f6a829ab69a8e3d1cce3ea34923bfb085d543e3,388,164,42,42,True,1.0,-1.7361005827693106,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,3.0373012803709113e-09,1.4902190046198194e-09,False,100000000.0,0.31622776601683794,True,True,3.1496535457295337e-09,1.2642938848617113e-09,False,0.0501412429378531,0.6080246913580247,0.21790288327949303,0.041444319541966514,0.0501412429378531,0.6080246913580247,0.07701832815827296,0.012692248813301015,0.0501412429378531,0.6080246913580247,0.2179028835778761,0.04144431962728743,0.0501412429378531,0.6080246913580247,0.07701832821312807,0.012692248816839048,0.0,0.0,2.983830682534716e-10,8.532091699819944e-11,0.0,0.0,5.4855106568219014e-11,3.5380327140233092e-12,0.0,0.0,-0.14088455536474803,-0.028752070810448383
NR-PPAR-gamma,HEPG2,standardized,0,4,2042,2043,5975d60394426c265ba305d07f6a829ab69a8e3d1cce3ea34923bfb085d543e3,443,109,42,42,True,1.0,-1.81721803973583,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.71450693908767e-09,1.5960797076358668e-09,False,100000000.0,1.0,True,True,2.8027067372607026e-09,7.582002456429926e-10,False,1.0,1.0,0.21938267288583385,0.04130321017570569,1.0,1.0,0.06625147079976137,0.012610951146643587,1.0,1.0,0.21938267278800452,0.04130321014860714,1.0,1.0,0.06625147078984445,0.012610951139356215,0.0,0.0,-9.782932797186561e-11,-2.709855256854965e-11,0.0,0.0,-9.916928389586133e-12,-7.287372094655353e-12,0.0,0.0,-0.15313120199816008,-0.028692259009250924
NR-PPAR-gamma,HEPG2,standardized,1,0,3042,3044,a83cd061776d94a05826797c41b8a4ccda91b62397a7cc610438741ba3329370,489,63,42,42,True,1.0,-2.054666561666898,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.15624296930037e-09,1.1775723104956448e-09,False,100000000.0,100000000.0,True,False,2.217542528999755e-09,6.188744655633016e-10,False,0.43635902636916835,0.7033898305084746,0.2744472369645795,0.06501475923407898,0.43635902636916835,0.7033898305084746,0.20761288838431644,0.05334268237969335,0.43635902636916835,0.7033898305084746,0.2744472371698882,0.0650147592542007,0.43635902636916835,0.7033898305084746,0.20761288821266474,0.05334268233008349,0.0,0.0,2.0530871447377308e-10,2.0121709853881953e-11,0.0,0.0,-1.7165169285959792e-10,-4.960985788837746e-11,0.0,0.0,-0.06683434895722348,-0.011672076924117203
NR-PPAR-gamma,HEPG2,standardized,1,1,3042,3044,a83cd061776d94a05826797c41b8a4ccda91b62397a7cc610438741ba3329370,443,109,42,42,True,1.0,-2.038036313393855,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.3101311024925856e-09,5.753387280482691e-10,False,100000000.0,100000000.0,True,False,2.3993886725028947e-09,5.476565138884393e-10,False,0.29043395004364847,0.7115384615384616,0.2681269911673665,0.06229741064534515,0.29043395004364847,0.7115384615384616,0.17503556696849276,0.042329677571921215,0.29043395004364847,0.7115384615384616,0.2681269910903827,0.06229741062962054,0.29043395004364847,0.7115384615384616,0.17503556695216707,0.04232967757327005,0.0,0.0,-7.698380821707929e-11,-1.5724609114808885e-11,0.0,0.0,-1.632569079923485e-11,1.3488377081927183e-12,0.0,0.0,-0.09309142413821561,-0.019967733056350488
NR-PPAR-gamma,HEPG2,standardized,1,2,3042,3044,a83cd061776d94a05826797c41b8a4ccda91b62397a7cc610438741ba3329370,398,154,42,42,True,1.0,-1.8040372591303442,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100.0,True,True,3.0006831140195403e-09,2.65668676294184e-09,False,100000000.0,100000000.0,True,False,3.156452893964e-09,1.4370566611687785e-09,False,0.6762820512820512,0.7770419426048565,0.22146105658435392,0.0429215016796084,0.6762820512820512,0.7770419426048565,0.0849507463101575,0.017241689999289343,0.6762820512820512,0.7770419426048565,0.2214610570285755,0.04292150181000539,0.6762820512820512,0.7770419426048565,0.08495074646725587,0.017241690020108284,0.0,0.0,4.4422157619017355e-10,1.3039699181538467e-10,0.0,0.0,1.5709836209687467e-10,2.0818940321687407e-11,0.0,0.0,-0.13651031056131963,-0.025679811789897106
NR-PPAR-gamma,HEPG2,standardized,1,3,3042,3044,a83cd061776d94a05826797c41b8a4ccda91b62397a7cc610438741ba3329370,443,109,42,42,True,1.0,-1.9077096797100455,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.759536289852833e-09,2.466309410170675e-09,False,100000000.0,31.622776601683796,True,True,2.807786428441702e-09,1.3213051625049488e-09,False,0.07462653288740245,0.7484276729559748,0.24815580374038715,0.05393843295914851,0.07462653288740245,0.7484276729559748,0.12346866538782449,0.026678329297639438,0.07462653288740245,0.7484276729559748,0.24815580404566978,0.05393843307635279,0.07462653288740245,0.7484276729559748,0.12346866560530358,0.026678329315133555,0.0,0.0,3.052826325067315e-10,1.1720428100270297e-10,0.0,0.0,2.174790902920165e-10,1.749411726592598e-11,0.0,0.0,-0.1246871384403662,-0.027260103761219238
NR-PPAR-gamma,HEPG2,standardized,1,4,3042,3044,a83cd061776d94a05826797c41b8a4ccda91b62397a7cc610438741ba3329370,435,117,42,42,True,1.0,-1.9227159699065062,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.40259957075573e-09,9.544042513763562e-10,False,100000000.0,100000000.0,True,False,2.4223697631605057e-09,6.830499985066574e-10,False,0.056736281736281736,0.4579646017699115,0.2825806641259358,0.06791136399676548,0.056736281736281736,0.4579646017699115,0.15304072959940218,0.03361846266028406,0.056736281736281736,0.4579646017699115,0.2825806638946375,0.06791136394301267,0.056736281736281736,0.4579646017699115,0.15304072934961296,0.03361846264412914,0.0,0.0,-2.31298313835282e-10,-5.375280776043212e-11,0.0,0.0,-2.4978921708829205e-10,-1.6154917681365788e-11,0.0,0.0,-0.12953993454502452,-0.03429290129888353
NR-PPAR-gamma,HEPG2,standardized,2,0,4042,4043,333c3c4fa9081c4d4c721d2dc4caad09bc5e8ee87a1a8da445ee0644167f5498,491,61,42,42,True,1.0,-2.003267847304989,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.3872106725650755e-09,1.0659030099530176e-09,False,100000000.0,10.0,True,True,2.3987891443477263e-09,3.0096516251409966e-10,False,0.5277777777777778,0.9310344827586207,0.2592439599034876,0.05881037236534245,0.5277777777777778,0.9310344827586207,0.17003065978728674,0.043868697223257064,0.5277777777777778,0.9310344827586207,0.2592439595322707,0.05881037226863353,0.5277777777777778,0.9310344827586207,0.17003065961501168,0.043868697210388205,0.0,0.0,-3.7121689056007767e-10,-9.670891865098952e-11,0.0,0.0,-1.7227505533234932e-10,-1.2868858756398538e-11,0.0,0.0,-0.08921329991725901,-0.014941675058245327
