task,cell,variant,repeat_id,fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_outer_train,n_outer_test,inner_cv_seed_requested,inner_cv_seed_used,chemical_offset_frozen,chemical_offset_coefficient,d0_intercept,d1_intercept_refit,c1_has_intercept,stage2_likelihood,stage2_model_spec,alpha_c1,alpha_min_loss_c1,alpha_boundary_hit_c1,beta_saturated_no_signal_c1,beta_l2_norm_c1,final_gradient_inf_norm_c1,final_retry_used_c1,alpha_d1,alpha_min_loss_d1,alpha_boundary_hit_d1,beta_saturated_no_signal_d1,beta_l2_norm_d1,final_gradient_inf_norm_d1,final_retry_used_d1,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
NR-PPAR-gamma,MCF7,standardized,0,0,2042,2042,a9b4f89eeaef1fd79af73203238d061e4ca512c489754b24522211fe2a0e3d2d,875,198,42,42,True,1.0,-2.042902169508459,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,10.0,True,True,2.5211620052638906e-09,1.3128134543002878e-09,False,100000000.0,3.162277660168379,True,True,2.5559346515648257e-09,8.079123411941502e-10,False,0.32264549457370584,0.5430067314884068,0.25507585120674253,0.056746759858386266,0.32264549457370584,0.5430067314884068,0.13944475516711402,0.03154648981878063,0.32264549457370584,0.5430067314884068,0.25507585126480004,0.056746759859196944,0.32264549457370584,0.5430067314884068,0.1394447552460791,0.0315464898319786,0.0,0.0,5.8057503249386855e-11,8.106779136873854e-13,0.0,0.0,7.896508447124972e-11,1.3197970494260858e-11,0.0,0.0,-0.11563109601872093,-0.025200270027218342
NR-PPAR-gamma,MCF7,standardized,0,1,2042,2042,a9b4f89eeaef1fd79af73203238d061e4ca512c489754b24522211fe2a0e3d2d,847,226,42,42,True,1.0,-1.9304649299691674,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,31.622776601683796,True,True,2.359116251345883e-09,1.2860569417131457e-09,False,100000000.0,10.0,True,True,2.3438421203644024e-09,2.570641685628594e-10,False,0.024746481588586854,0.4914027149321267,0.25844984951921174,0.05772601034519234,0.024746481588586854,0.4914027149321267,0.11305643735014219,0.022327706541759935,0.024746481588586854,0.4914027149321267,0.2584498491370287,0.057726010238119366,0.024746481588586854,0.4914027149321267,0.1130564371442205,0.022327706531556493,0.0,0.0,-3.821830629746614e-10,-1.0707297548595562e-10,0.0,0.0,-2.0592168248345644e-10,-1.0203442257772366e-11,0.0,0.0,-0.14539341199280817,-0.03539830370656287
NR-PPAR-gamma,MCF7,standardized,0,2,2042,2042,a9b4f89eeaef1fd79af73203238d061e4ca512c489754b24522211fe2a0e3d2d,992,81,42,42,True,1.0,-2.0035032444059793,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,31.622776601683796,True,True,2.3757087589652857e-09,1.3516700111612656e-09,False,100000000.0,3.162277660168379,True,True,2.340634373809307e-09,3.9153124839486075e-10,False,0.5769230769230769,0.9303797468354431,0.22990210054732307,0.04677623709094695,0.5769230769230769,0.9303797468354431,0.0968185327266456,0.022005546210911373,0.5769230769230769,0.9303797468354431,0.22990210084219742,0.04677623719776178,0.5769230769230769,0.9303797468354431,0.09681853293252768,0.022005546234675915,0.0,0.0,2.948743471620219e-10,1.0681482781604856e-10,0.0,0.0,2.0588207527705293e-10,2.376454241725945e-11,0.0,0.0,-0.13308356790966974,-0.024770690963085863
NR-PPAR-gamma,MCF7,standardized,0,3,2042,2042,a9b4f89eeaef1fd79af73203238d061e4ca512c489754b24522211fe2a0e3d2d,853,220,42,42,True,1.0,-2.136552658929848,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100.0,True,True,1.904195220320005e-09,9.66762987372749e-10,False,100000000.0,10.0,True,True,1.804140629284612e-09,3.0090636232715795e-10,False,0.16005030854566207,0.7657142857142857,0.2731088629496947,0.06470576471417705,0.16005030854566207,0.7657142857142857,0.17590249423648655,0.04265461948690839,0.16005030854566207,0.7657142857142857,0.27310886296943615,0.06470576471158478,0.16005030854566207,0.7657142857142857,0.17590249400755156,0.042654619469705765,0.0,0.0,1.974143071237222e-11,-2.592273617985086e-12,0.0,0.0,-2.2893498208276242e-10,-1.7202628210810644e-11,0.0,0.0,-0.09720636896188459,-0.02205114524187901
NR-PPAR-gamma,MCF7,standardized,0,4,2042,2042,a9b4f89eeaef1fd79af73203238d061e4ca512c489754b24522211fe2a0e3d2d,725,348,42,42,True,1.0,-2.000010147197426,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,31.622776601683796,True,True,2.4809128236107323e-09,1.2243595755301317e-09,False,100000000.0,10.0,True,True,2.3933586818922038e-09,7.281941473424869e-10,False,0.19992838015566425,0.8142011834319527,0.23915662719947278,0.05107789823440941,0.19992838015566425,0.8142011834319527,0.12001230169262797,0.02684151552901747,0.19992838015566425,0.8142011834319527,0.23915662697205256,0.05107789816923344,0.19992838015566425,0.8142011834319527,0.12001230150272793,0.026841515517221755,0.0,0.0,-2.2742022154353947e-10,-6.51759687886333e-11,0.0,0.0,-1.89900040137303e-10,-1.179571371134891e-11,0.0,0.0,-0.11914432546932463,-0.02423638265201169
NR-PPAR-gamma,MCF7,standardized,1,0,3042,3042,9a6e28f960f129536934b7a092e22cf9bdb3994b78fb5ea72445709680c0133b,867,206,42,42,True,1.0,-1.9622383418158351,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100.0,True,True,2.2077456227877086e-09,1.2073999265671542e-09,False,100000000.0,10.0,True,True,2.1928744905547533e-09,7.056734536992071e-10,False,0.06135385051259486,0.7820895522388059,0.25010481424338343,0.054680820708908985,0.06135385051259486,0.7820895522388059,0.11195637749807268,0.023663490468608977,0.06135385051259486,0.7820895522388059,0.2501048139718743,0.05468082060853753,0.06135385051259486,0.7820895522388059,0.11195637742019433,0.023663490460859412,0.0,0.0,-2.7150914849727315e-10,-1.0037145420360716e-10,0.0,0.0,-7.787834266359539e-11,-7.74956487870071e-12,0.0,0.0,-0.13814843655167997,-0.03101733014767812
NR-PPAR-gamma,MCF7,standardized,1,1,3042,3042,9a6e28f960f129536934b7a092e22cf9bdb3994b78fb5ea72445709680c0133b,832,241,42,42,True,1.0,-1.8929231675790208,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100.0,True,True,2.4026451895312215e-09,1.37072494500734e-09,False,100000000.0,31.622776601683796,True,True,2.3642752030862164e-09,2.4546348287302067e-10,False,0.03604850540986613,0.6213080168776373,0.2355651170225998,0.049392218035316564,0.03604850540986613,0.6213080168776373,0.08973426665657565,0.01680260481499604,0.03604850540986613,0.6213080168776373,0.23556511676312472,0.049392217964375554,0.03604850540986613,0.6213080168776373,0.08973426644211291,0.016802604804506863,0.0,0.0,-2.5947508031087807e-10,-7.094101001081654e-11,0.0,0.0,-2.1446273923420023e-10,-1.0489178969841362e-11,0.0,0.0,-0.1458308503210118,-0.03258961315986869
NR-PPAR-gamma,MCF7,standardized,1,2,3042,3042,9a6e28f960f129536934b7a092e22cf9bdb3994b78fb5ea72445709680c0133b,992,81,42,42,True,1.0,-2.0358279559684647,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,31.622776601683796,True,True,2.1760348102127907e-09,1.0884793396476189e-09,False,100000000.0,3.162277660168379,True,True,2.1745680592556263e-09,3.9949826086127516e-10,False,0.23034188034188036,0.7307692307692308,0.2505803983947324,0.05569927009266648,0.23034188034188036,0.7307692307692308,0.1423084086008222,0.033717023075612966,0.23034188034188036,0.7307692307692308,0.2505803983450096,0.05569927005463354,0.23034188034188036,0.7307692307692308,0.14230840841644454,0.03371702306513432,0.0,0.0,-4.972278144776965e-11,-3.8032937910159603e-11,0.0,0.0,-1.843776520349394e-10,-1.047864572889523e-11,0.0,0.0,-0.10827198992856507,-0.021982246989499223
NR-PPAR-gamma,MCF7,standardized,1,3,3042,3042,9a6e28f960f129536934b7a092e22cf9bdb3994b78fb5ea72445709680c0133b,865,208,42,42,True,1.0,-2.0975048304998327,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,10.0,True,True,2.7576830332396355e-09,1.7598070951863054e-09,False,100000000.0,1.0,True,True,2.6918431695540094e-09,6.297170042357525e-10,False,0.5095449217358642,0.8710217755443886,0.2536391230716118,0.05632031976004203,0.5095449217358642,0.8710217755443886,0.14677851007970594,0.036970862952401956,0.5095449217358642,0.8710217755443886,0.25363912345293865,0.05632031989752013,0.5095449217358642,0.8710217755443886,0.14677851029740555,0.03697086297805189,0.0,0.0,3.813268589780705e-10,1.3747809834985247e-10,0.0,0.0,2.1769960834028268e-10,2.5649933566018746e-11,0.0,0.0,-0.10686061315553311,-0.01934945691946824
NR-PPAR-gamma,MCF7,standardized,1,4,3042,3042,9a6e28f960f129536934b7a092e22cf9bdb3994b78fb5ea72445709680c0133b,736,337,42,42,True,1.0,-2.1454045100518626,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.1732918689157047e-09,9.292834800278538e-10,False,100000000.0,100000000.0,True,False,2.1615528464659138e-09,2.0484236876172623e-10,False,0.06876333973674731,0.585707502374169,0.26558004742880503,0.06138619530235256,0.06876333973674731,0.585707502374169,0.16395365351720279,0.03713536296409226,0.06876333973674731,0.585707502374169,0.2655800472492428,0.061386195239456785,0.06876333973674731,0.585707502374169,0.16395365338183468,0.037135362955071,0.0,0.0,-1.7956225395465708e-10,-6.289577192397644e-11,0.0,0.0,-1.3536810561376456e-10,-9.021262903363692e-12,0.0,0.0,-0.1016263938674081,-0.024250832284385786
