task,cell,variant,repeat_id,fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_outer_train,n_outer_test,inner_cv_seed_requested,inner_cv_seed_used,chemical_offset_frozen,chemical_offset_coefficient,d0_intercept,d1_intercept_refit,c1_has_intercept,stage2_likelihood,stage2_model_spec,alpha_c1,alpha_min_loss_c1,alpha_boundary_hit_c1,beta_saturated_no_signal_c1,beta_l2_norm_c1,final_gradient_inf_norm_c1,final_retry_used_c1,alpha_d1,alpha_min_loss_d1,alpha_boundary_hit_d1,beta_saturated_no_signal_d1,beta_l2_norm_d1,final_gradient_inf_norm_d1,final_retry_used_d1,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
SR-ARE,MCF7,standardized,0,0,2042,2042,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,865,58,42,42,True,1.0,-1.0847419887467606,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,4.405756173876235e-09,2.9002993479076977e-09,False,100000000.0,1.0,True,True,4.567401188844491e-09,2.373853280612792e-09,False,0.5248509660274365,0.7777777777777779,0.5093925454439773,0.16480756576387842,0.5248509660274365,0.7777777777777779,0.46525695053832844,0.15027537349333447,0.5248509660274365,0.7777777777777779,0.5093925442922133,0.16480756528290588,0.5248509660274365,0.7777777777777779,0.4652569486775118,0.15027537293298873,0.0,0.0,-1.151764017492951e-09,-4.809725395737985e-10,0.0,0.0,-1.8608166674205506e-09,-5.603457420289004e-10,0.0,0.0,-0.044135595614701484,-0.01453219234991715
SR-ARE,MCF7,standardized,0,1,2042,2042,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,756,167,42,42,True,1.0,-1.1681461422640367,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,4.0766889672523886e-09,2.30115433652589e-09,False,100000000.0,100000000.0,True,False,4.2064017373616725e-09,1.3555084580826882e-09,False,0.4167847796041161,0.6310952738184546,0.5965167065416304,0.20468666238184036,0.4167847796041161,0.6310952738184546,0.5681088624986588,0.18801586004220802,0.4167847796041161,0.6310952738184546,0.5965167052209952,0.20468666182741643,0.4167847796041161,0.6310952738184546,0.5681088606632746,0.18801585953989686,0.0,0.0,-1.3206351567873753e-09,-5.544239234378523e-10,0.0,0.0,-1.8353841779727986e-09,-5.023111648849721e-10,0.0,0.0,-0.028407844557720607,-0.016670802287519576
SR-ARE,MCF7,standardized,0,2,2042,2042,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,737,186,42,42,True,1.0,-0.9995042065068134,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,10.0,1.0,False,False,0.040319905233910075,7.26780437360075e-08,False,3.162277660168379,1.0,False,False,0.11429947208406013,3.0382482646418296e-07,False,0.4813882475494592,0.8394465187788271,0.4832258725908255,0.15473613823069823,0.4813882475494592,0.8394465187788271,0.35685612386335513,0.10828893791314756,0.5307115649231459,0.8458159455304195,0.48156329934188974,0.15425319566338883,0.533964746172145,0.8458159455304195,0.3491475613332359,0.10504415781368696,0.04932331737368667,0.006369426751592355,-0.0016625732489357614,-0.0004829425673094079,0.05257649862268576,0.006369426751592355,-0.007708562530119256,-0.003244780099460595,0.003253181248999093,0.0,-0.13241573800865386,-0.04920903784970186
SR-ARE,MCF7,standardized,0,3,2042,2042,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,738,185,42,42,True,1.0,-1.0072869608160513,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,4.907220622396576e-09,3.3371885064387152e-09,False,100000000.0,1.0,True,True,5.127940586559653e-09,2.7063310481523217e-09,False,0.37924421567226696,0.7129032258064516,0.5289537953727947,0.17506415517357465,0.37924421567226696,0.7129032258064516,0.40738105002208774,0.1248884549689469,0.37924421567226696,0.7129032258064516,0.5289537953905241,0.1750641552009746,0.37924421567226696,0.7129032258064516,0.4073810496519082,0.12488845484627013,0.0,0.0,1.772937352484405e-11,2.739994342526586e-11,0.0,0.0,-3.7017955367701916e-10,-1.2267677151900358e-10,0.0,0.0,-0.12157274573861593,-0.050175700354704464
SR-ARE,MCF7,standardized,0,4,2042,2042,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,596,327,42,42,True,1.0,-1.0497504343402557,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,31.622776601683796,1.0,False,False,0.015709307197983708,8.178564723992574e-07,False,1.0,1.0,False,False,0.29595497895769735,6.851221281134467e-07,False,0.45791559747982086,0.7981087470449172,0.41618299635550676,0.12515982851635157,0.45791559747982086,0.7981087470449172,0.33456053334118663,0.09962029269738104,0.4617753318179376,0.8011820330969267,0.41380441379741667,0.12413270170664556,0.49051660169136074,0.8102442868400316,0.3197690279505534,0.09433670808389252,0.0038597343381167604,0.003073286052009516,-0.002378582558090092,-0.0010271268097060138,0.032601004211539886,0.012135539795114392,-0.01479150539063323,-0.005283584613488518,0.028741269873423125,0.009062253743104876,-0.09403538584686327,-0.029795993622753036
SR-ARE,MCF7,standardized,1,0,3042,3042,bf6088316092cdc4b4bad13a44d2c41f7862e80d7186fa828ba3fbcf89a08431,862,61,42,42,True,1.0,-1.0833230984697573,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,10.0,1.0,False,False,0.0362221537243798,3.1545622105905863e-07,False,10.0,1.0,False,False,0.03870292901750065,6.082052328992837e-07,False,0.6623977009151903,0.9042553191489362,0.4612702048813533,0.14320780591210544,0.6623977009151903,0.9042553191489362,0.40956876096891726,0.13461075059115443,0.6684124769802519,0.9179331306990882,0.4513444587497628,0.13858205797726886,0.695090968382894,0.9224924012158056,0.3965803859406579,0.12949574521199003,0.006014776065061511,0.01367781155015202,-0.009925746131590474,-0.004625747934836583,0.032693267467703624,0.01823708206686936,-0.012988375028259336,-0.0051150053791644,0.026678491402642113,0.00455927051671734,-0.05476407280910489,-0.009086312765278826
SR-ARE,MCF7,standardized,1,1,3042,3042,bf6088316092cdc4b4bad13a44d2c41f7862e80d7186fa828ba3fbcf89a08431,743,180,42,42,True,1.0,-1.0245335644940043,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,4.9391026838347675e-09,3.285786323581341e-09,False,3.162277660168379,1.0,False,False,0.1155940867790256,2.083242204125842e-07,False,0.4532156268912052,0.792,0.49190138322698473,0.16007742736176642,0.4532156268912052,0.792,0.37883374328768354,0.1175532169737388,0.4532156268912052,0.792,0.4919013832117647,0.16007742743532402,0.4305273409699813,0.8186666666666667,0.3714889999503219,0.11606347858475341,0.0,0.0,-1.522004744458627e-11,7.355760445193482e-11,-0.022688285921223905,0.026666666666666616,-0.0073447433373616255,-0.00148973838898539,-0.022688285921223905,0.026666666666666616,-0.12041238326144277,-0.04401394885057061
SR-ARE,MCF7,standardized,1,2,3042,3042,bf6088316092cdc4b4bad13a44d2c41f7862e80d7186fa828ba3fbcf89a08431,741,182,42,42,True,1.0,-1.0595864460724105,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,4.789046793903749e-09,3.0649471970817244e-09,False,100000000.0,1.0,True,True,5.017574445049389e-09,2.3024731565790546e-09,False,0.48996731722832076,0.7201545657921496,0.5178007758893376,0.16896268022923808,0.48996731722832076,0.7201545657921496,0.4237258164255722,0.13008864167459974,0.48996731722832076,0.7201545657921496,0.5178007761049106,0.16896268037839282,0.48996731722832076,0.7201545657921496,0.4237258157032912,0.13008864149732435,0.0,0.0,2.155730038921888e-10,1.4915474411125729e-10,0.0,0.0,-7.222810127771595e-10,-1.7727538881295857e-10,0.0,0.0,-0.09407496040161939,-0.03887403888106847
SR-ARE,MCF7,standardized,1,3,3042,3042,bf6088316092cdc4b4bad13a44d2c41f7862e80d7186fa828ba3fbcf89a08431,731,192,42,42,True,1.0,-1.074578695317346,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,5.131200163217574e-09,4.022968208561295e-09,False,1.0,1.0,False,False,0.26471000118822535,2.3386965113114666e-07,False,0.30606502217377973,0.6630455498380027,0.5163275105178737,0.1700701711662127,0.30606502217377973,0.6630455498380027,0.43833565054525914,0.1366699064131743,0.30606502217377973,0.6630455498380027,0.5163275111445097,0.17007017140438027,0.3372087985549815,0.6773394320564132,0.4323208856677189,0.13381315989004985,0.0,0.0,6.26635965339517e-10,2.381675689999696e-10,0.03114377638120175,0.014293882218410547,-0.006014764877540213,-0.0028567465231244538,0.03114377638120175,0.014293882218410547,-0.08400662547679077,-0.03625701151433042
SR-ARE,MCF7,standardized,1,4,3042,3042,bf6088316092cdc4b4bad13a44d2c41f7862e80d7186fa828ba3fbcf89a08431,615,308,42,42,True,1.0,-1.0666197231693888,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,4.756141590620043e-09,2.6523671930664405e-09,False,100000000.0,3.162277660168379,True,True,4.843849421053227e-09,2.010895983907933e-09,False,0.4398054472054816,0.7924031007751938,0.46408119211819254,0.14572166241412293,0.4398054472054816,0.7924031007751938,0.37903661676891254,0.11750995162069958,0.4398054472054816,0.7924031007751938,0.4640811910485716,0.14572166195174655,0.4398054472054816,0.7924031007751938,0.37903661579805575,0.11750995132720216,0.0,0.0,-1.0696209473692875e-09,-4.6237638717805396e-10,0.0,0.0,-9.708567838551119e-10,-2.9349742081130614e-10,0.0,0.0,-0.08504457525051584,-0.02821171062454439
