task,cell,variant,repeat_id,fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_outer_train,n_outer_test,inner_cv_seed_requested,inner_cv_seed_used,chemical_offset_frozen,chemical_offset_coefficient,d0_intercept,d1_intercept_refit,c1_has_intercept,stage2_likelihood,stage2_model_spec,alpha_c1,alpha_min_loss_c1,alpha_boundary_hit_c1,beta_saturated_no_signal_c1,beta_l2_norm_c1,final_gradient_inf_norm_c1,final_retry_used_c1,alpha_d1,alpha_min_loss_d1,alpha_boundary_hit_d1,beta_saturated_no_signal_d1,beta_l2_norm_d1,final_gradient_inf_norm_d1,final_retry_used_d1,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
SR-ATAD5,HEPG2,standardized,0,0,2042,2042,56d32d855bd59379a53bac7fde6c6097b60df8a888c058f8d2790414c511fb70,550,69,42,42,True,1.0,-1.2934012625632143,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,31.622776601683796,True,True,4.1457694941196786e-09,3.528722203327561e-09,False,100000000.0,3.162277660168379,True,True,4.6471825073301334e-09,3.555636035601495e-09,False,0.5833333333333333,0.95,0.24559379381703944,0.058583068896182255,0.5833333333333333,0.95,0.17399414264413274,0.047524507216139954,0.5833333333333333,0.95,0.24559379417597504,0.05858306891510094,0.5833333333333333,0.95,0.1739941419466096,0.04752450701661831,0.0,0.0,3.589356034616742e-10,1.891868606218594e-11,0.0,0.0,-6.97523150350321e-10,-1.9952164226344493e-10,0.0,0.0,-0.07159965222936546,-0.01105856189848263
SR-ATAD5,HEPG2,standardized,0,1,2042,2042,56d32d855bd59379a53bac7fde6c6097b60df8a888c058f8d2790414c511fb70,497,122,42,42,True,1.0,-1.3260180197262241,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,3.611098073307675e-09,2.7250033163110643e-09,False,100000000.0,1.0,True,True,4.171182947009315e-09,1.9384398045052542e-09,False,0.20357905982905983,0.7403726708074534,0.2537554844236032,0.06187466065127915,0.20357905982905983,0.7403726708074534,0.19990163557621737,0.05154360256532981,0.20357905982905983,0.7403726708074534,0.2537554827666043,0.06187466008197776,0.20357905982905983,0.7403726708074534,0.1999016338974969,0.051543602286747675,0.0,0.0,-1.6569988714465467e-09,-5.693013838126149e-10,0.0,0.0,-1.6787204681900647e-09,-2.785821365258734e-10,0.0,0.0,-0.05385384886910741,-0.010331057795230088
SR-ATAD5,HEPG2,standardized,0,2,2042,2042,56d32d855bd59379a53bac7fde6c6097b60df8a888c058f8d2790414c511fb70,426,193,42,42,True,1.0,-1.2148654232672553,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,5.286780988380744e-09,4.469116679159391e-09,False,10.0,1.0,False,False,0.04282733304166042,5.649520023430499e-07,False,0.18072226897059004,0.8297297297297297,0.2301719876949434,0.05239282065292171,0.18072226897059004,0.8297297297297297,0.1583346783133521,0.03828097915737037,0.18072226897059004,0.8297297297297297,0.23017198844450792,0.05239282093454637,0.17106284006513364,0.8297297297297298,0.15958369353973031,0.03898144827129346,0.0,0.0,7.495645215627178e-10,2.816246610914952e-10,-0.009659428905456402,1.1102230246251565e-16,0.001249015226378214,0.0007004691139230884,-0.009659428905456402,1.1102230246251565e-16,-0.07058829490477761,-0.013411372663252909
SR-ATAD5,HEPG2,standardized,0,3,2042,2042,56d32d855bd59379a53bac7fde6c6097b60df8a888c058f8d2790414c511fb70,503,116,42,42,True,1.0,-1.2246231670910543,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,10.0,3.162277660168379,False,False,0.030197741770978986,1.828540814961116e-07,False,10.0,3.162277660168379,False,False,0.036946572387250305,5.59102412006629e-08,False,0.3214285714285714,0.9508928571428571,0.21090069363804945,0.04528790192694716,0.3214285714285714,0.9508928571428571,0.13036209292949383,0.03082952483575371,0.33525641025641023,0.953125,0.21029227229501984,0.04534130373559027,0.3547619047619047,0.953125,0.12405495712803093,0.029461358106790472,0.013827838827838834,0.0022321428571429047,-0.0006084213430296026,5.34018086431054e-05,0.033333333333333326,0.0022321428571429047,-0.006307135801462901,-0.0013681667289632375,0.01950549450549449,0.0,-0.08623731516698892,-0.015879945628799796
SR-ATAD5,HEPG2,standardized,0,4,2042,2042,56d32d855bd59379a53bac7fde6c6097b60df8a888c058f8d2790414c511fb70,500,119,42,42,True,1.0,-1.4482547592337034,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,31.622776601683796,True,True,3.5730840115363404e-09,4.21078209106307e-09,False,100000000.0,1.0,True,True,3.90311937571746e-09,2.4006263157905217e-09,False,0.5319602219135326,0.9091743119266055,0.2622616892063558,0.06773404916779616,0.5319602219135326,0.9091743119266055,0.24228083173033096,0.06974570121247206,0.5319602219135326,0.9091743119266055,0.26226168761307483,0.06773404860059146,0.5319602219135326,0.9091743119266055,0.24228082982979682,0.06974570092415182,0.0,0.0,-1.5932809516172597e-09,-5.672046998750346e-10,0.0,0.0,-1.900534146725974e-09,-2.883202426806619e-10,0.0,0.0,-0.019980857783278017,0.0020116523235603617
SR-ATAD5,HEPG2,standardized,1,0,3042,3042,2c580d1f822b1e6024453df0edcbb1a2298f2b0add652d52f8c50232bb72d6ec,546,73,42,42,True,1.0,-1.3744691583414388,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,4.178520080183022e-09,3.770682505815914e-09,False,100000000.0,1.0,True,True,4.644490557188501e-09,2.3749279071116902e-09,False,0.29166666666666663,0.8432835820895523,0.2829673894057362,0.07506792499123448,0.29166666666666663,0.8432835820895523,0.2551458891914993,0.07210161357400081,0.29166666666666663,0.8432835820895523,0.28296739003717136,0.07506792513097227,0.29166666666666663,0.8432835820895523,0.25514588845097474,0.07210161340803867,0.0,0.0,6.314351819192154e-10,1.3973779078302329e-10,0.0,0.0,-7.405245305847075e-10,-1.6596214680308918e-10,0.0,0.0,-0.027821501586196618,-0.002966311722933601
SR-ATAD5,HEPG2,standardized,1,1,3042,3042,2c580d1f822b1e6024453df0edcbb1a2298f2b0add652d52f8c50232bb72d6ec,498,121,42,42,True,1.0,-1.1767191165278303,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,4.194658048415105e-09,3.0988059019840253e-09,False,10.0,1.0,False,False,0.03792321047309987,5.983542859799851e-08,False,0.221256038647343,0.92090395480226,0.20147824059371458,0.0416391436695845,0.221256038647343,0.92090395480226,0.11085023049374443,0.02337634271093708,0.221256038647343,0.92090395480226,0.20147823938680828,0.041639143284231996,0.33333333333333337,0.9519774011299436,0.10617249660876657,0.02246565925354742,0.0,0.0,-1.2069062971242772e-09,-3.853525068486796e-10,0.11207729468599037,0.031073446327683607,-0.004677733884977858,-0.0009106834573896598,0.11207729468599037,0.031073446327683607,-0.09530574277804171,-0.019173484030684574
SR-ATAD5,HEPG2,standardized,1,2,3042,3042,2c580d1f822b1e6024453df0edcbb1a2298f2b0add652d52f8c50232bb72d6ec,438,181,42,42,True,1.0,-1.3134156155752308,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,10.0,3.162277660168379,False,False,0.031427952500708047,3.553384964804715e-07,False,10.0,3.162277660168379,False,False,0.04033160490860899,6.988472005687446e-08,False,0.3318597125380875,0.8023391812865497,0.25028338798144145,0.05996173789387487,0.3318597125380875,0.8023391812865497,0.18987514664776547,0.049041603522536115,0.4063202952628986,0.787719298245614,0.24976212001797704,0.059730034694139754,0.3736751543931368,0.772514619883041,0.185784711668782,0.047647094146884714,0.0744605827248111,-0.014619883040935644,-0.0005212679634644113,-0.0002317031997351171,0.04181544185504932,-0.029824561403508643,-0.0040904349789834815,-0.001394509375651401,-0.03264514086976178,-0.015204678362572999,-0.06397740834919505,-0.01208294054725504
SR-ATAD5,HEPG2,standardized,1,3,3042,3042,2c580d1f822b1e6024453df0edcbb1a2298f2b0add652d52f8c50232bb72d6ec,500,119,42,42,True,1.0,-1.3170682140822445,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,10.0,True,True,3.7096349293864735e-09,3.080662627774622e-09,False,100000000.0,1.0,True,True,4.204288654107669e-09,2.1134090380514614e-09,False,0.3938586545729403,0.885204081632653,0.2392210327884674,0.05753256414157906,0.3938586545729403,0.885204081632653,0.1816134545629879,0.048595516615733504,0.3938586545729403,0.885204081632653,0.23922103183775356,0.057532563846096764,0.3938586545729403,0.885204081632653,0.18161345294922251,0.04859551642751707,0.0,0.0,-9.50713840985884e-10,-2.954822983514127e-10,0.0,0.0,-1.6137653990888623e-09,-1.8821643549271627e-10,0.0,0.0,-0.05760757888853105,-0.008937047418579695
SR-ATAD5,HEPG2,standardized,1,4,3042,3042,2c580d1f822b1e6024453df0edcbb1a2298f2b0add652d52f8c50232bb72d6ec,494,125,42,42,True,1.0,-1.3258988983947604,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,31.622776601683796,True,True,3.6468749711066513e-09,3.1620876199032165e-09,False,100000000.0,3.162277660168379,True,True,4.0480889662968605e-09,2.088800486743647e-09,False,0.4417027417027417,0.8595641646489104,0.2335749864865818,0.05439006891024828,0.4417027417027417,0.8595641646489104,0.1805408098409614,0.048077748220748395,0.4417027417027417,0.8595641646489104,0.23357498500923513,0.05439006839613832,0.4417027417027417,0.8595641646489104,0.18054080800985797,0.04807774789759075,0.0,0.0,-1.4773466616713193e-09,-5.141099559957674e-10,0.0,0.0,-1.8311034355456002e-09,-3.2315764647572465e-10,0.0,0.0,-0.05303417699937715,-0.0063123204985475745
