task,cell,variant,repeat_id,fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_outer_train,n_outer_test,inner_cv_seed_requested,inner_cv_seed_used,chemical_offset_frozen,chemical_offset_coefficient,d0_intercept,d1_intercept_refit,c1_has_intercept,stage2_likelihood,stage2_model_spec,alpha_c1,alpha_min_loss_c1,alpha_boundary_hit_c1,beta_saturated_no_signal_c1,beta_l2_norm_c1,final_gradient_inf_norm_c1,final_retry_used_c1,alpha_d1,alpha_min_loss_d1,alpha_boundary_hit_d1,beta_saturated_no_signal_d1,beta_l2_norm_d1,final_gradient_inf_norm_d1,final_retry_used_d1,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
SR-ATAD5,HT29,standardized,0,0,2042,2042,1ea0e33a0c7caa822fa91d7e5b43053f68023bcdebfddb2299b902a188003f16,796,107,42,42,True,1.0,-1.2556896655429859,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,3.1028575833251016e-09,1.3716925479582281e-09,False,100000000.0,1.0,True,True,3.453043046046992e-09,8.641393295372168e-10,False,0.33453079178885636,0.9158415841584158,0.22993011693477003,0.0550214695253817,0.33453079178885636,0.9158415841584158,0.1796469353053778,0.04858105192819284,0.33453079178885636,0.9158415841584158,0.22993011653113565,0.05502146944024486,0.33453079178885636,0.9158415841584158,0.17964693487489852,0.048581051892339584,0.0,0.0,-4.0363437592283447e-10,-8.513684202071659e-11,0.0,0.0,-4.30479263346939e-10,-3.5853257862594745e-11,0.0,0.0,-0.05028318165623713,-0.006440417547905274
SR-ATAD5,HT29,standardized,0,1,2042,2042,1ea0e33a0c7caa822fa91d7e5b43053f68023bcdebfddb2299b902a188003f16,737,166,42,42,True,1.0,-1.213221348437602,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,1.0,False,False,0.06838014875985474,7.151016334864396e-07,False,100000000.0,0.31622776601683794,True,True,3.684595855488403e-09,9.965502034692264e-10,False,0.09474713395697426,0.6313291139240507,0.2565599185696599,0.061955879757814594,0.09474713395697426,0.6313291139240507,0.18929490819424408,0.04572681011726457,0.12103718392172043,0.668512658227848,0.2550008929497739,0.061530900902061016,0.09474713395697426,0.6313291139240507,0.18929490796320103,0.04572681009090693,0.026290049964746168,0.03718354430379733,-0.0015590256198859676,-0.0004249788557535786,0.0,0.0,-2.3104304580634505e-10,-2.635764523306605e-11,-0.026290049964746168,-0.03718354430379733,-0.06570598498657287,-0.015804090811154088
SR-ATAD5,HT29,standardized,0,2,2042,2042,1ea0e33a0c7caa822fa91d7e5b43053f68023bcdebfddb2299b902a188003f16,710,193,42,42,True,1.0,-1.4159728544024819,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.40279568318512e-09,9.288732422119139e-10,False,100000000.0,100000000.0,True,False,2.602360334678808e-09,1.1533802593555187e-09,False,0.4626936799297173,0.920120320855615,0.2676165534628486,0.07034714804131346,0.4626936799297173,0.920120320855615,0.2507616188148658,0.07330114210995987,0.4626936799297173,0.920120320855615,0.2676165530798347,0.07034714785210393,0.4626936799297173,0.920120320855615,0.250761617881364,0.07330114189905342,0.0,0.0,-3.830139538862909e-10,-1.8920953692713738e-10,0.0,0.0,-9.335018313905152e-10,-2.1090645896393312e-10,0.0,0.0,-0.0168549351984707,0.0029539940469494874
SR-ATAD5,HT29,standardized,0,3,2042,2042,1ea0e33a0c7caa822fa91d7e5b43053f68023bcdebfddb2299b902a188003f16,731,172,42,42,True,1.0,-1.214184179790275,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,31.622776601683796,1.0,False,False,0.009446428347062037,8.240530802172685e-07,False,3.162277660168379,1.0,False,False,0.08068177110321209,3.164782830184301e-07,False,0.27053254812563327,0.9123475609756098,0.2261332478421921,0.052194711539112086,0.27053254812563327,0.9123475609756098,0.16136880277635826,0.04117500892591591,0.2790119496074292,0.9161585365853658,0.22492000547691499,0.051774205870535245,0.39862570028011207,0.926829268292683,0.15380289640131872,0.03933228649547239,0.008479401481795934,0.003810975609756073,-0.0012132423652771174,-0.0004205056685768413,0.1280931521544788,0.014481707317073211,-0.007565906375039538,-0.0018427224304435191,0.11961375067268287,0.010670731707317138,-0.07111710907559626,-0.012441919375062852
SR-ATAD5,HT29,standardized,0,4,2042,2042,1ea0e33a0c7caa822fa91d7e5b43053f68023bcdebfddb2299b902a188003f16,638,265,42,42,True,1.0,-1.141867490951149,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,0.31622776601683794,True,True,3.822663468149249e-09,1.6703583516353149e-09,False,1.0,0.09999999999999999,False,False,0.2000211222306175,3.7190487462448974e-07,False,0.20947453882693598,0.8020758768790265,0.2310124157818361,0.05223397799114171,0.20947453882693598,0.8020758768790265,0.15838095995538867,0.03780346061970164,0.20947453882693598,0.8020758768790265,0.23101241556436625,0.05223397794937074,0.18265445334080133,0.7863278453829635,0.16022218448855613,0.038641901095527335,0.0,0.0,-2.174698476853365e-10,-4.1770968628451755e-11,-0.026820085486134654,-0.015748031496062964,0.001841224533167457,0.0008384404758256941,-0.026820085486134654,-0.015748031496062964,-0.07079023107581012,-0.013592076853843407
SR-ATAD5,HT29,standardized,1,0,3042,3042,2182d80611b581a61d11583274bfd0b0c32c99b7b89fbdf2ff6d5f36140b14aa,801,102,42,42,True,1.0,-1.2421088775868816,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,0.31622776601683794,True,True,3.2548560711476404e-09,1.7555536607760658e-09,False,100000000.0,0.09999999999999999,True,True,3.6713759709989838e-09,1.003514417396989e-09,False,0.4846003898635477,0.9322916666666666,0.24457804941481145,0.05851872797267468,0.4846003898635477,0.9322916666666666,0.1807858041406655,0.04904293237884436,0.4846003898635477,0.9322916666666666,0.2445780495843944,0.05851872804282768,0.4846003898635477,0.9322916666666666,0.18078580410942166,0.04904293236638385,0.0,0.0,1.6958295878666263e-10,7.015299452461932e-11,0.0,0.0,-3.1243840847849924e-11,-1.2460511789047501e-11,0.0,0.0,-0.06379224547497275,-0.009475795676443827
SR-ATAD5,HT29,standardized,1,1,3042,3042,2182d80611b581a61d11583274bfd0b0c32c99b7b89fbdf2ff6d5f36140b14aa,709,194,42,42,True,1.0,-1.2868517744321282,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,2.8340505388617247e-09,1.4411943392161897e-09,False,3.162277660168379,0.31622776601683794,False,False,0.07619799058920242,2.9638836087351496e-07,False,0.2544650829921071,0.8768315018315018,0.24606077044404745,0.06091444879001228,0.2544650829921071,0.8768315018315018,0.1993659278089278,0.054134133581268375,0.2544650829921071,0.8768315018315018,0.24606076995226514,0.060914448610536506,0.4117191006712416,0.8891941391941391,0.1846199219738433,0.05041261497298348,0.0,0.0,-4.917823093197882e-10,-1.7947577451993268e-10,0.15725401767913455,0.012362637362637319,-0.014746005835084508,-0.0037215186082848947,0.15725401767913455,0.012362637362637319,-0.061440847978421836,-0.010501833637553026
SR-ATAD5,HT29,standardized,1,2,3042,3042,2182d80611b581a61d11583274bfd0b0c32c99b7b89fbdf2ff6d5f36140b14aa,737,166,42,42,True,1.0,-1.2515925451668453,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,2.9071215996836e-09,1.5820331780713737e-09,False,100000000.0,0.31622776601683794,True,True,3.18039027759332e-09,1.8436247112285642e-09,False,0.48957239754341203,0.9002123142250531,0.22897999534638291,0.053575981052084234,0.48957239754341203,0.9002123142250531,0.17506042578988615,0.04634835441186731,0.48957239754341203,0.9002123142250531,0.22897999523160562,0.053575980931622795,0.48957239754341203,0.9002123142250531,0.1750604250304081,0.04634835419407587,0.0,0.0,-1.1477729877640286e-10,-1.2046143943456045e-10,0.0,0.0,-7.594780360165032e-10,-2.177914446011009e-10,0.0,0.0,-0.0539195702011975,-0.007227626737546927
SR-ATAD5,HT29,standardized,1,3,3042,3042,2182d80611b581a61d11583274bfd0b0c32c99b7b89fbdf2ff6d5f36140b14aa,730,173,42,42,True,1.0,-1.1612111372796254,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,3.472903232727969e-09,1.0755716664534454e-09,False,100000000.0,1.0,True,True,3.953118251132471e-09,1.3366245471546634e-09,False,0.3044226044226044,0.8233532934131736,0.21335983763816924,0.04585995568144308,0.3044226044226044,0.8233532934131736,0.13562492103405455,0.030463672216402123,0.3044226044226044,0.8233532934131736,0.2133598375567164,0.045859955651860275,0.3044226044226044,0.8233532934131736,0.13562492103217336,0.030463672209912546,0.0,0.0,-8.145284446925416e-11,-2.958280842513261e-11,0.0,0.0,-1.881189648500481e-12,-6.489576237500572e-12,0.0,0.0,-0.07773491652454304,-0.015396283441947729
SR-ATAD5,HT29,standardized,1,4,3042,3042,2182d80611b581a61d11583274bfd0b0c32c99b7b89fbdf2ff6d5f36140b14aa,635,268,42,42,True,1.0,-1.304566286853514,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,3.3275977308862454e-09,9.621486506822263e-10,False,100000000.0,1.0,True,True,3.706526173996891e-09,8.730590347894029e-10,False,0.18506798040590922,0.7818139207874385,0.2662313096216362,0.06699540633341625,0.18506798040590922,0.7818139207874385,0.2163927201630428,0.057177311836099635,0.18506798040590922,0.7818139207874385,0.2662313092900838,0.06699540626384985,0.18506798040590922,0.7818139207874385,0.21639271975508537,0.057177311787848996,0.0,0.0,-3.3155239664850455e-10,-6.956639431177081e-11,0.0,0.0,-4.0795744560284675e-10,-4.82506395949045e-11,0.0,0.0,-0.04983858953499845,-0.009818094476000856
