task,cell,variant,repeat_id,fold_id,outer_split_signature,ik,y,d0_intercept,p_c0,p_d0,p_c1,p_d1
NR-AR,HEPG2,standardized,0,0,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,FKNXQNWAXFXVNW,0.0,-2.0230465356536245,0.341802455702347,0.06426490806718459,0.3418024567316873,0.06426490801461608
NR-AR,HEPG2,standardized,0,0,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,FSVJFNAIGNNGKK,0.0,-2.0230465356536245,0.233597287502975,0.03874806694980046,0.2335972888630237,0.038748067207888086
NR-AR,HEPG2,standardized,0,0,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,GBXSMTUPTTWBMN,0.0,-2.0230465356536245,0.2071686678103609,0.033403393339629474,0.20716866952915916,0.03340339355168781
NR-AR,HEPG2,standardized,0,0,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,GDLIGKIOYRNHDA,0.0,-2.0230465356536245,0.22570882812120885,0.03712086330403018,0.22570882815188464,0.03712086321767754
NR-AR,HEPG2,standardized,0,0,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,GKIRPKYJQBWNGO,0.0,-2.0230465356536245,0.2414928937365623,0.04040496606111644,0.24149289526250872,0.040404966261484744
NR-AR,HEPG2,standardized,0,0,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,GPXLMGHLHQJAGZ,0.0,-2.0230465356536245,0.23014871288677569,0.038033282527172904,0.23014871166196682,0.038033282212152714
NR-AR,HEPG2,standardized,0,0,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,GZHFODJQISUKAY,0.0,-2.0230465356536245,0.2214964746969469,0.03626324871290843,0.22149647690126426,0.0362632490001865
NR-AR,HEPG2,standardized,0,0,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,HBPDKDSFLXWOAE,0.0,-2.0230465356536245,0.22844482044333553,0.03768208696858643,0.2284448214946834,0.03768208715779508
NR-AR,HEPG2,standardized,0,0,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,HCYAFALTSJYZDH,0.0,-2.0230465356536245,0.2302780597860861,0.038059995695557666,0.23027805977019347,0.03805999565648781
NR-AR,HEPG2,standardized,0,0,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,HDDSHPAODJUKPD,0.0,-2.0230465356536245,0.40028911480547574,0.08111395158833973,0.4002891175407701,0.08111395235808061
NR-AR,HEPG2,standardized,0,0,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,HJORMJIFDVBMOB,0.0,-2.0230465356536245,0.2620624414263143,0.04485950516565635,0.26206244280734303,0.0448595054338615
NR-AR,HEPG2,standardized,0,0,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,HTGCJAAPDHZCHL,0.0,-2.0230465356536245,0.33071818070540093,0.06134207287124728,0.3307181829240523,0.061342073421898825
NR-AR,HEPG2,standardized,0,0,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,HYFHYPWGAURHIV,0.0,-2.0230465356536245,0.3363695441697432,0.06282237110621496,0.336369538694933,0.06282237001343592
NR-AR,HEPG2,standardized,0,0,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,ILNRQFBVVQUOLP,0.0,-2.0230465356536245,0.4777497080061281,0.10792568790810957,0.47774971084909545,0.10792568848594133
NR-AR,HEPG2,standardized,0,0,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,ISWRGOKTTBVCFA,0.0,-2.0230465356536245,0.34049494080545084,0.06391597505474067,0.34049494064238994,0.06391597490300292
NR-AR,HEPG2,standardized,0,0,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,IXORZMNAPKEEDV,0.0,-2.0230465356536245,0.6501106879000302,0.19725801569200063,0.6501106889129901,0.19725801608264087
NR-AR,HEPG2,standardized,0,0,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,JFJZZMVDLULRGK,0.0,-2.0230465356536245,0.3017325429547455,0.05405881697475181,0.3017325440581842,0.054058817169599635
NR-AR,HEPG2,standardized,0,0,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,JLICHNCFTLFZJN,0.0,-2.0230465356536245,0.25704423077037103,0.043753886638111986,0.25704423303215396,0.04375388701724772
NR-AR,HEPG2,standardized,0,0,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,JUQLTPCYUFPYKE,0.0,-2.0230465356536245,0.35800744541042573,0.06868482552887757,0.3580074468714583,0.06868482601329025
NR-AR,HEPG2,standardized,0,0,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,JYGXADMDTFJGBT,1.0,-2.0230465356536245,0.8355217758098846,0.4018486451766717,0.8355217775237485,0.40184864880842264
NR-AR,HEPG2,standardized,0,0,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,KIQQMECNKUGGKA,1.0,-2.0230465356536245,0.7625558428779997,0.29811227852172817,0.7625558440648964,0.29811227958572867
NR-AR,HEPG2,standardized,0,0,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,KPSRODZRAIWAKH,0.0,-2.0230465356536245,0.23925880387234402,0.039933233851945596,0.23925880459327215,0.03993323397693233
NR-AR,HEPG2,standardized,0,0,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,KTHVBAZBLKXIHZ,0.0,-2.0230465356536245,0.23784624836730917,0.03963615941395577,0.2378462487616523,0.039636159474254314
NR-AR,HEPG2,standardized,0,0,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,LEQAKWQJCITZNK,0.0,-2.0230465356536245,0.31158782789695194,0.056478824300885785,0.3115878305511421,0.056478824915355934
NR-AR,HEPG2,standardized,0,0,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,LUKBXSAWLPMMSZ,1.0,-2.0230465356536245,0.19721378363479197,0.031466894288376415,0.1972137835800872,0.031466894239324875
NR-AR,HEPG2,standardized,0,0,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,MJVAVZPDRWSRRC,0.0,-2.0230465356536245,0.2799284157683555,0.04889900287304361,0.2799284129317046,0.048899002325560936
NR-AR,HEPG2,standardized,0,0,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,MQTOSJVFKKJCRP,0.0,-2.0230465356536245,0.3555854403839781,0.06801279595349234,0.3555854406087533,0.06801279620091945
NR-AR,HEPG2,standardized,0,0,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,NCMZQTLCXHGLOK,0.0,-2.0230465356536245,0.8111166194010108,0.3622147209791834,0.8111166175644876,0.36221471827368235
NR-AR,HEPG2,standardized,0,0,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,NHUHCSRWZMLRLA,0.0,-2.0230465356536245,0.2385292864178519,0.03977969442254972,0.23852928691806285,0.03977969441432153
NR-AR,HEPG2,standardized,0,0,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,NKANXQFJJICGDU,0.0,-2.0230465356536245,0.2566763148226852,0.04367331435075672,0.25667631638058264,0.043673314580365
NR-AR,HEPG2,standardized,0,0,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,NSYZCCDSJNWWJL,0.0,-2.0230465356536245,0.4628853699116787,0.10231355879693291,0.4628853694930277,0.10231355893620304
NR-AR,HEPG2,standardized,0,0,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,ODUOJXZPIYUATO,0.0,-2.0230465356536245,0.2740528109633949,0.04755239341285103,0.2740528136786522,0.04755239381065347
NR-AR,HEPG2,standardized,0,0,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,OELFLUMRDSZNSF,0.0,-2.0230465356536245,0.2530737623853484,0.04288785126276904,0.25307376415413196,0.04288785161741254
NR-AR,HEPG2,standardized,0,0,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,OGHNVEJMJSYVRP,0.0,-2.0230465356536245,0.29045657775725076,0.051357835803778756,0.2904565785663005,0.0513578358793127
