task,cell,variant,repeat_id,fold_id,outer_split_signature,ik,y,d0_intercept,p_c0,p_d0,p_c1,p_d1
NR-Aromatase,MCF7,standardized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,AADCDMQTJNYOSS,1.0,-2.075493529871008,0.371432725340128,0.06903752109797343,0.3714327240633769,0.06903752071852852
NR-Aromatase,MCF7,standardized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,ABJKWBDEJIDSJZ,0.0,-2.075493529871008,0.5395798310637474,0.12821410852707923,0.539579827459505,0.1282141064322696
NR-Aromatase,MCF7,standardized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,AEOCXXJPGCBFJA,0.0,-2.075493529871008,0.42386427521705633,0.08452284961379793,0.42386427210850913,0.08452284845670922
NR-Aromatase,MCF7,standardized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,AGMMTXLNIQSRCG,0.0,-2.075493529871008,0.24771070852875707,0.039682529188476326,0.24771070961503916,0.03968252943876814
NR-Aromatase,MCF7,standardized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,AKNNEGZIBPJZJG,0.0,-2.075493529871008,0.40515297651290894,0.0787442022977612,0.40515297568120656,0.07874420204278605
NR-Aromatase,MCF7,standardized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,ANGKOCUUWGHLCE,0.0,-2.075493529871008,0.2914143018424511,0.0490781215502507,0.29141430169521215,0.0490781215456638
NR-Aromatase,MCF7,standardized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,AQCHWTWZEMGIFD,0.0,-2.075493529871008,0.25285546109080315,0.04074068702544209,0.2528554597342648,0.040740686568234666
NR-Aromatase,MCF7,standardized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,AUNGANRZJHBGPY,0.0,-2.075493529871008,0.28763857670128345,0.04822853088763999,0.287638576634366,0.04822853117183982
NR-Aromatase,MCF7,standardized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,AZFBLLCNOQPJGJ,0.0,-2.075493529871008,0.4514110013842582,0.09359877046922886,0.45141100362410236,0.09359877233256494
NR-Aromatase,MCF7,standardized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,BCEHBSKCWLPMDN,0.0,-2.075493529871008,0.8099431097507477,0.34845145810751915,0.8099431087834936,0.3484514562148524
NR-Aromatase,MCF7,standardized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,BFPSDSIWYFKGBC,1.0,-2.075493529871008,0.6172149330377579,0.16829633744620315,0.6172149312254857,0.1682963358862975
NR-Aromatase,MCF7,standardized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,BGDKAVGWHJFAGW,1.0,-2.075493529871008,0.4308656603097916,0.0867631174018395,0.4308656586959046,0.08676311675437781
NR-Aromatase,MCF7,standardized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,BGRJTUBHPOOWDU,0.0,-2.075493529871008,0.21811512298882013,0.033823914037830374,0.21811512608916503,0.03382391471449812
NR-Aromatase,MCF7,standardized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,BJFIDCADFRDPIO,0.0,-2.075493529871008,0.20866307243704796,0.03203098069296684,0.20866307564799363,0.03203098154077891
NR-Aromatase,MCF7,standardized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,BLGXFZZNTVWLAY,0.0,-2.075493529871008,0.3420255742967129,0.0612391493815223,0.34202557409086803,0.06123914968330956
NR-Aromatase,MCF7,standardized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,BLJRIMJGRPQVNF,0.0,-2.075493529871008,0.26908089593052864,0.044159446085738026,0.2690808957470251,0.04415944602580631
NR-Aromatase,MCF7,standardized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,BOVGTQGAOIONJV,0.0,-2.075493529871008,0.18488307762891054,0.02767659168301979,0.18488308213521698,0.027676592471708134
NR-Aromatase,MCF7,standardized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,BPLBGHOLXOTWMN,0.0,-2.075493529871008,0.21751307509839538,0.033708621781763086,0.21751307652737656,0.03370862225990757
NR-Aromatase,MCF7,standardized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,BWPIARFWQZKAIA,0.0,-2.075493529871008,0.42336950451135635,0.0843661833409153,0.42336950344806923,0.08436618341472181
NR-Aromatase,MCF7,standardized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,BXZVVICBKDXVGW,0.0,-2.075493529871008,0.27231169492006296,0.04485539029306516,0.2723116955725304,0.044855390496744675
NR-Aromatase,MCF7,standardized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,CBEQULMOCCWAQT,0.0,-2.075493529871008,0.5695386230945587,0.14239673428056057,0.5695386237132578,0.14239673533012384
NR-Aromatase,MCF7,standardized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,CFJMRBQWBDQYMK,0.0,-2.075493529871008,0.3337537683546543,0.059147650608134324,0.33375376571741316,0.059147649521621125
NR-Aromatase,MCF7,standardized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,CJXAEXPPLWQRFR,0.0,-2.075493529871008,0.5618649497628212,0.1386247964705385,0.5618649520365863,0.13862479787511026
