task,cell,variant,repeat_id,fold_id,outer_split_signature,ik,y,d0_intercept,p_c0,p_d0,p_c1,p_d1
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,FNYLWPVRPXGIIP,1.0,-1.5089193366306741,0.4547850713133812,0.15573974654603745,0.45478507241603866,0.15573974722343384
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,GJPICJJJRGTNOD,0.0,-1.5089193366306741,0.3811343163251877,0.11987063874249633,0.38113431958305644,0.11987063982752619
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,GZSOSUNBTXMUFQ,0.0,-1.5089193366306741,0.527743473649025,0.19816047019658034,0.5277434794208705,0.1981604736412402
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,HHJUWIANJFBDHT,0.0,-1.5089193366306741,0.4737011417746544,0.16600466211408305,0.47370115577770794,0.1660046701076506
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,IFFPICMESYHZPQ,0.0,-1.5089193366306741,0.6254001408815383,0.2696525541568245,0.6254001603683118,0.26965256949431793
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,INWLQCZOYSRPNW,0.0,-1.5089193366306741,0.378153532743454,0.1185417648173491,0.3781535248183994,0.11854176097382892
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,IRYJRGCIQBGHIV,0.0,-1.5089193366306741,0.20065037067979577,0.05259259749198109,0.20065037565380417,0.05259259880017602
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,IWVRVEIKCBFZNF,0.0,-1.5089193366306741,0.5341269746422768,0.20226481901635834,0.5341269724240135,0.202264817724513
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,IXORZMNAPKEEDV,0.0,-1.5089193366306741,0.5399397686123848,0.20606349147807168,0.5399397631616188,0.20606348859337897
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,JFJZZMVDLULRGK,0.0,-1.5089193366306741,0.4565366283059121,0.15667052117988817,0.45653662914631715,0.1566705220357908
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,JLGKQTAYUIMGRK,0.0,-1.5089193366306741,0.5331989452242851,0.20166379534303908,0.5331989406149816,0.2016637930848122
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,JQXXHWHPUNPDRT,0.0,-1.5089193366306741,0.4005058817565441,0.1287252537644357,0.4005058839711527,0.12872525476099422
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,JTLXCMOFVBXEKD,0.0,-1.5089193366306741,0.362909160554409,0.11188009638938934,0.36290916372657855,0.11188009779641431
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,JYJFNDQBESEHJQ,1.0,-1.5089193366306741,0.17861623410135508,0.04588393746870502,0.17861622046821324,0.045883933246059036
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,JZRWCGZRTZMZEH,0.0,-1.5089193366306741,0.33983202278614044,0.10220490380072009,0.33983202616504193,0.10220490512511435
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,KJADKKWYZYXHBB,0.0,-1.5089193366306741,0.29494937136769295,0.08468070171337275,0.29494936821729134,0.08468070059880131
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,KLSJWNVTNUYHDU,1.0,-1.5089193366306741,0.13846978917717934,0.03432420781677593,0.13846979187098166,0.034324208559619145
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,KTHVBAZBLKXIHZ,0.0,-1.5089193366306741,0.5281302258372307,0.1984071642040962,0.5281302182387321,0.1984071595766008
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,KXNPVXPOPUZYGB,0.0,-1.5089193366306741,0.3028885088860988,0.08766376851295847,0.30288851581311854,0.08766377102273194
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,LBXHRAWDUMTPSE,0.0,-1.5089193366306741,0.2898326590657234,0.08278338781733947,0.2898326754470931,0.08278339331102394
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,LEBVLXFERQHONN,0.0,-1.5089193366306741,0.464448519051075,0.16092446525737986,0.464448515008757,0.16092446290426218
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,LKJPYSCBVHEWIU,0.0,-1.5089193366306741,0.41242036968469614,0.13436679046418112,0.41242037042337343,0.1343667911084189
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,LQOLIRLGBULYKD,0.0,-1.5089193366306741,0.388839527964592,0.1233467361251274,0.38883952500360913,0.12334673479537238
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,LWQQLNNNIPYSNX,0.0,-1.5089193366306741,0.7122407704591751,0.3537428063997597,0.7122407697685323,0.35374280572262623
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,MKJIEFSOBYUXJB,0.0,-1.5089193366306741,0.45279175043106074,0.15468527156515752,0.4527917507174128,0.15468527206088475
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,MQJKPEGWNLWLTK,0.0,-1.5089193366306741,0.5363442450761795,0.20370684084611576,0.5363442437363042,0.20370683991722596
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,MWLSOWXNZPKENC,0.0,-1.5089193366306741,0.43385912477970123,0.14491637789596057,0.4338591224969569,0.14491637672424154
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,NBQNWMBBSKPBAY,0.0,-1.5089193366306741,0.3599814772605896,0.11062588442869482,0.35998147780313605,0.1106258840504509
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,NETZHAKZCGBWSS,0.0,-1.5089193366306741,0.5824970006942749,0.23579252517497148,0.5824970012916744,0.23579252555167962
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,NFDFQCUYFHCNBW,1.0,-1.5089193366306741,0.7039587646722794,0.3446368380893823,0.7039587741818616,0.3446368479157868
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,NLPRAJRHRHZCQQ,0.0,-1.5089193366306741,0.5364736020565033,0.2037912334409099,0.5364736002484298,0.20379123258193121
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,NQDJXKOVJZTUJA,0.0,-1.5089193366306741,0.4959796741604805,0.17872627884757752,0.4959796735150197,0.1787262784440862
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,NWIUTZDMDHAVTP,0.0,-1.5089193366306741,0.3523070886731147,0.10737561029407035,0.35230708899849006,0.10737561074754698
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,OBMLHUPNRURLOK,1.0,-1.5089193366306741,0.8032995313405991,0.47455355747663996,0.8032995306676594,0.47455355629929535
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,OEBPANQZQGQPHF,0.0,-1.5089193366306741,0.23996141180396083,0.06526480145896703,0.23996140848549324,0.06526480036374147
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,OHXPGWPVLFPUSM,0.0,-1.5089193366306741,0.6941130012273788,0.33414424052754654,0.6941130017687237,0.33414424145002775
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,OOUGLTULBSNHNF,1.0,-1.5089193366306741,0.5481467545032501,0.21152896460037865,0.548146755109463,0.21152896469812946
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,ORRZGUBHBVWWOP,0.0,-1.5089193366306741,0.1887650191783905,0.04894037049577133,0.18876501817773234,0.04894037014715675
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,OYPPVKRFBIWMSX,0.0,-1.5089193366306741,0.4930749833583831,0.17702699350904996,0.4930749786117127,0.17702699072635694
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,PBKZPPIHUVSDNM,0.0,-1.5089193366306741,0.7420055419206619,0.3887663601002304,0.742005540681234,0.3887663591916913
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,PHTUQLWOUWZIMZ,0.0,-1.5089193366306741,0.548886701464653,0.21202773295414415,0.5488866942930944,0.2120277291007119
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,POZRVZJJTULAOH,1.0,-1.5089193366306741,0.7816208451986313,0.44181915437576946,0.781620841952102,0.4418191504859734
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,PUFQVTATUTYEAL,0.0,-1.5089193366306741,0.3966286778450012,0.12692206227164188,0.39662867305655786,0.12692206009775944
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,QAXBVGVYDCAVLV,0.0,-1.5089193366306741,0.4682958647608757,0.16302286999389007,0.4682958490538134,0.16302286059942117
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,QNJKSUYWBCNWFI,0.0,-1.5089193366306741,0.43403574824333196,0.14500550123553063,0.4340357445275701,0.14500549875184268
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,QSLMDECMDJKHMQ,0.0,-1.5089193366306741,0.6934744417667389,0.3334758129396634,0.6934744432889196,0.3334758151440164
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,QWGDMFLQWFTERH,0.0,-1.5089193366306741,0.4119548499584198,0.13414347171407023,0.4119548558576317,0.1341434746446253
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,RAVIZVQZGXBOQO,0.0,-1.5089193366306741,0.6066044867038727,0.2542906809086165,0.6066044885137789,0.2542906829795299
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,RHAXSHUQNIEUEY,0.0,-1.5089193366306741,0.36955563724040985,0.11475724306811344,0.3695556368100213,0.11475724285127276
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,RONZAEMNMFQXRA,0.0,-1.5089193366306741,0.4119546040892601,0.13414335382891507,0.4119546101366618,0.134143356655458
NR-ER,MCF7,standardized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,RUZYUOTYCVRMRZ,0.0,-1.5089193366306741,0.38830928504467016,0.12310560818425391,0.38830928823209615,0.12310560955926526
