task,cell,variant,repeat_id,fold_id,outer_split_signature,ik,y,d0_intercept,p_c0,p_d0,p_c1,p_d1
SR-HSE,HEPG2,standardized,0,0,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,HJMQDJPMQIHLPB,0.0,-2.25768654265423,0.3621358116740457,0.05605192740916352,0.36213580436806525,0.036915171736661784
SR-HSE,HEPG2,standardized,0,0,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,HLFSDGLLUJUHTE,0.0,-2.25768654265423,0.351045898554079,0.05354851965197504,0.3510458955645497,0.0419279837711697
SR-HSE,HEPG2,standardized,0,0,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,HSUGRBWQSSZJOP,0.0,-2.25768654265423,0.37952831912218704,0.06012973958004469,0.3795283196154651,0.054948679785561304
SR-HSE,HEPG2,standardized,0,0,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,IIBYAHWJQTYFKB,0.0,-2.25768654265423,0.34694930049682005,0.052642006424306616,0.3469492993870376,0.059326735554916965
SR-HSE,HEPG2,standardized,0,0,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,INDBQLZJXZLFIT,0.0,-2.25768654265423,0.3722324106309662,0.05839595978536652,0.37223241403361085,0.07977598318225891
SR-HSE,HEPG2,standardized,0,0,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,IVTVGDXNLFLDRM,0.0,-2.25768654265423,0.33514469246521805,0.05008296967621501,0.33514468641926076,0.03618796238871089
SR-HSE,HEPG2,standardized,0,0,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,JGPJQFOROWSRRS,0.0,-2.25768654265423,0.3472274600763168,0.05270325339424571,0.3472274552796585,0.04110005478249181
SR-HSE,HEPG2,standardized,0,0,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,JQXXHWHPUNPDRT,0.0,-2.25768654265423,0.3416419251581436,0.051481814829563176,0.341641922731676,0.042917920731347745
SR-HSE,HEPG2,standardized,0,0,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,JUUFBMODXQKSTD,0.0,-2.25768654265423,0.3663565622285015,0.05702414705553153,0.36635656724679316,0.0711417028864793
SR-HSE,HEPG2,standardized,0,0,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,KEDQCFRVSHYKLR,0.0,-2.25768654265423,0.3543938890118217,0.054296611788824646,0.35439387894041163,0.03506338010968337
SR-HSE,HEPG2,standardized,0,0,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,KLBQZWRITKRQQV,0.0,-2.25768654265423,0.4043112363017578,0.06628424051840744,0.4043112438316007,0.11670829498271455
SR-HSE,HEPG2,standardized,0,0,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,KSMAGQUYOIHWFS,0.0,-2.25768654265423,0.348444815322187,0.052971820234932965,0.3484448066438597,0.034379333816493336
SR-HSE,HEPG2,standardized,0,0,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,LCFVJGUPQDGYKZ,1.0,-2.25768654265423,0.44304664186019904,0.07681051291080176,0.44304664335304017,0.08133863553894707
SR-HSE,HEPG2,standardized,0,0,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,LTMHDMANZUZIPE,0.0,-2.25768654265423,0.34932986261617227,0.05316760982605025,0.3493298634060461,0.06056794601488596
SR-HSE,HEPG2,standardized,0,0,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,MKUXAQIIEYXACX,0.0,-2.25768654265423,0.3101997068147879,0.04492169956424328,0.31019969740807296,0.02735767314076092
SR-HSE,HEPG2,standardized,0,0,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,MTXSIJUGVMTTMU,0.0,-2.25768654265423,0.35408022666263084,0.05422624664595911,0.3540802310861194,0.05834246930574582
SR-HSE,HEPG2,standardized,0,0,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,NDTSRXAMMQDVSW,0.0,-2.25768654265423,0.3605452965849037,0.05568837885788794,0.36054530370902915,0.068065727203281
SR-HSE,HEPG2,standardized,0,0,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,NNYBQONXHNTVIJ,0.0,-2.25768654265423,0.3856743263360978,0.06161711162855089,0.38567432625878106,0.05992487473374745
