task,cell,variant,repeat_id,fold_id,outer_split_signature,ik,y,d0_intercept,p_c0,p_d0,p_c1,p_d1
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,FPCCSQOGAWCVBH,0.0,-0.9107107296511019,0.23077667266595542,0.10768185781593849,0.25124159548950337,0.12323603031303311
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,JUQLTPCYUFPYKE,0.0,-0.9107107296511019,0.644584334135324,0.42179890336284226,0.6159576148102179,0.3948845605706882
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,JYGXADMDTFJGBT,0.0,-0.9107107296511019,0.18087602300266584,0.08157522975506208,0.14999811070943278,0.06353791786595696
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,KLSJWNVTNUYHDU,0.0,-0.9107107296511019,0.08563248090779688,0.036302926127320376,0.06792126306738784,0.028796550684846264
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,KYRVNWMVYQXFEU,1.0,-0.9107107296511019,0.35441557956351266,0.18088003393709257,0.628303837285658,0.4188120552919117
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,LUKBXSAWLPMMSZ,1.0,-0.9107107296511019,0.7808305458653991,0.5889925591928127,0.7333562265107648,0.5181568565311241
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,MFWNKCLOYSRHCJ,0.0,-0.9107107296511019,0.2480615358229138,0.11715121720379333,0.21845388789428682,0.09730472604538688
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,MKUXAQIIEYXACX,0.0,-0.9107107296511019,0.06621320523021225,0.027731071213960973,0.06356824443491309,0.024942479922296278
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,MUTNCGKQJGXKEM,1.0,-0.9107107296511019,0.7738995733890979,0.5792638405280002,0.9618671659733962,0.9180970016163884
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,NETZHAKZCGBWSS,0.0,-0.9107107296511019,0.21063699854613224,0.09693089675876389,0.14314984951424065,0.06357515574824699
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,NNYBQONXHNTVIJ,0.0,-0.9107107296511019,0.40597016830708227,0.21562260594584992,0.45824346297954616,0.25563140256779937
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,OBZHEBDUNPOCJG,0.0,-0.9107107296511019,0.22904714928272507,0.106746831536516,0.18499049500045625,0.0801197742074858
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,OFBIFZUFASYYRE,0.0,-0.9107107296511019,0.3235691602081036,0.1613621079759419,0.2669227928554974,0.12630334004697172
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,OMFXVFTZEKFJBZ,0.0,-0.9107107296511019,0.16901503036376725,0.07562472931681648,0.15775475927269256,0.0693944342841655
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,OUDSBRTVNLOZBN,0.0,-0.9107107296511019,0.1656844004112466,0.07397063876171574,0.142970120292968,0.06181074352810406
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,PCLITLDOTJTVDJ,0.0,-0.9107107296511019,0.36465708169899075,0.18756382011803124,0.32074273892933824,0.15678954162737116
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,PIJVFDBKTWXHHD,0.0,-0.9107107296511019,0.19631441490131252,0.08946365786322528,0.21220927193768396,0.1083220454382176
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,PTGXAUBQBSGPKF,0.0,-0.9107107296511019,0.5615233996171456,0.3399844014458165,0.5287615993447253,0.3095993990451535
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,PZRHRDRVRGEVNW,0.0,-0.9107107296511019,0.22859916002436179,0.1065050017896343,0.18753790357149014,0.08072494609781401
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,QEVHRUUCFGRFIF,1.0,-0.9107107296511019,0.24476316188282776,0.11532653555976105,0.27241979906385294,0.13184534666019063
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,QUQPHWDTPGMPEX,0.0,-0.9107107296511019,0.39035445728366724,0.20480431785219552,0.33533425315567805,0.16910125127979683
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,RAPZEAPATHNIPO,0.0,-0.9107107296511019,0.30421731216531256,0.14956640931711077,0.32083507371298964,0.1630622355948229
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,RJMUSRYZPJIFPJ,1.0,-0.9107107296511019,0.6319553860590399,0.40851780206568156,0.9123374479827449,0.8171806435379297
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,RMHMFHUVIITRHF,0.0,-0.9107107296511019,0.28153798470650815,0.1361600834887821,0.334991080091851,0.17941575035767565
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,RTRQQBHATOEIAF,0.0,-0.9107107296511019,0.15305956657348935,0.06776658980735165,0.10831538947576971,0.04628672681367711
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,SGUAFYQXFOLMHL,0.0,-0.9107107296511019,0.5556376324875573,0.3346484965660924,0.4776125783735161,0.26383462719325224
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,SHZKQBHERIJWAO,0.0,-0.9107107296511019,0.23540173262440148,0.11019334138588055,0.20490204665713818,0.09627485690545942
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,STECJAGHUSJQJN,0.0,-0.9107107296511019,0.1973077286923348,0.08997685506870726,0.171878088600948,0.0748925594956714
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,TUZYXOIXSAXUGO,0.0,-0.9107107296511019,0.2668277709272,0.12769573008776927,0.19989438422086006,0.08561726930577726
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,TYZROVQLWOKYKF,0.0,-0.9107107296511019,0.17601365090708787,0.07912443790909258,0.1676483431066332,0.0728674541119257
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,ULDXWLCXEDXJGE,1.0,-0.9107107296511019,0.6482854549796294,0.42575318168764614,0.7686015307414162,0.5843330817725833
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,UQGKUQLKSCSZGY,0.0,-0.9107107296511019,0.40290206842119525,0.21347608054877007,0.39372113039994144,0.21420004712333626
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,UZHSEJADLWPNLE,0.0,-0.9107107296511019,0.21473946032388389,0.09909678716680181,0.2016199248843753,0.09162466490596193
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,VHOGYURTWQBHIL,1.0,-0.9107107296511019,0.654753031767391,0.4327321545813014,0.646666738386284,0.4241853623358421
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,WDZCUPBHRAEYDL,1.0,-0.9107107296511019,0.6700692880356356,0.44961848822346384,0.7024780819710167,0.4834872779669335
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,WHBHBVVOGNECLV,0.0,-0.9107107296511019,0.21716050827127792,0.10038070473938496,0.1707847185702911,0.07436732883079775
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,WPVVMKYQOMJPIN,0.0,-0.9107107296511019,0.19427962906520688,0.08841453533085536,0.16145900523727583,0.07341217655535387
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,WYWIFABBXFUGLM,0.0,-0.9107107296511019,0.3654058262663875,0.18805657143361018,0.30119638817438893,0.1483980857944666
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,XGLHZTBDUXXHOM,0.0,-0.9107107296511019,0.480334363915049,0.2710278640549915,0.3894147864513392,0.19826913190178513
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,XUFXOAAUWZOOIT,0.0,-0.9107107296511019,0.12843505097368418,0.05595754921062046,0.10181489469145942,0.044600836232752974
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,YBBLVLTVTVSKRW,0.0,-0.9107107296511019,0.3611053247014197,0.18523405971638535,0.32503012808913206,0.15622304847995316
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,YGCODSQDUUUKIV,0.0,-0.9107107296511019,0.3516923650395228,0.17912025512536603,0.33277941064410027,0.16640528221518905
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,ZAHQBPYQBHTECE,1.0,-0.9107107296511019,0.356330913332678,0.18212210975968215,0.3697442542723178,0.18907911588012852
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,ZESRJSPZRDMNHY,0.0,-0.9107107296511019,0.20531887751396152,0.09414122317548443,0.19298664629069107,0.08811652569358819
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,ZMEULISFKSVRLQ,0.0,-0.9107107296511019,0.20796634412359313,0.09552744650338195,0.11987506378827693,0.04676145816249046
SR-MMP,HEPG2,standardized,0,0,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,ZZIALNLLNHEQPJ,1.0,-0.9107107296511019,0.8115170036032741,0.633946904691224,0.8066437697694723,0.6273624618548883
SR-MMP,HEPG2,standardized,0,1,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,ACWBQPMHZXGDFX,0.0,-0.8872136890238336,0.32440878470016205,0.16509491878356913,0.29469656966691654,0.14031230605556794
SR-MMP,HEPG2,standardized,0,1,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,AKNNEGZIBPJZJG,0.0,-0.8872136890238336,0.4048772135452899,0.21884710008571662,0.3504414837676725,0.17823864241134013
SR-MMP,HEPG2,standardized,0,1,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,APGDTXUMTIZLCJ,0.0,-0.8872136890238336,0.15989112159971264,0.07267867672813345,0.24836497694157558,0.12078126418892253
