task,cell,variant,repeat_id,fold_id,outer_split_signature,ik,y,d0_intercept,p_c0,p_d0,p_c1,p_d1
SR-p53,HEPG2,standardized,0,0,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c,AFSOIHMEOKEZJF,0.0,-1.4736217707913415,0.27652006141300584,0.08051196570382337,0.2765200578049002,0.04522817299784448
SR-p53,HEPG2,standardized,0,0,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c,BHKPHCKISVSDGV,0.0,-1.4736217707913415,0.43984805601667404,0.1524645565978122,0.43984805839429947,0.2133989184516201
SR-p53,HEPG2,standardized,0,0,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c,DKLKMKYDWHYZTD,0.0,-1.4736217707913415,0.20584722030126454,0.05605347419610195,0.2058472188104199,0.042985468522225775
SR-p53,HEPG2,standardized,0,0,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c,GQGRDYWMOPRROR,0.0,-1.4736217707913415,0.26714212485672983,0.07707331136691317,0.267142122856232,0.05437060362595721
SR-p53,HEPG2,standardized,0,0,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c,HBPDKDSFLXWOAE,0.0,-1.4736217707913415,0.1967130281451851,0.05312156053874641,0.19671302552742792,0.03653187468155338
SR-p53,HEPG2,standardized,0,0,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c,HCFDWZZGGLSKEP,0.0,-1.4736217707913415,0.301004697559581,0.08979505173053087,0.3010046949657007,0.07019276693702035
SR-p53,HEPG2,standardized,0,0,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c,HIFJCPQKFCZDDL,0.0,-1.4736217707913415,0.19467751949082757,0.05247481775371276,0.1946775233636926,0.0677924269824424
SR-p53,HEPG2,standardized,0,0,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c,HUPFGZXOMWLGNK,0.0,-1.4736217707913415,0.3764664955618454,0.12151136038342199,0.3764664967610879,0.11197800303091844
SR-p53,HEPG2,standardized,0,0,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c,IJHNSHDBIRRJRN,0.0,-1.4736217707913415,0.2951257119956276,0.08752471137770018,0.29512571187919945,0.09594509360182424
SR-p53,HEPG2,standardized,0,0,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c,INDBQLZJXZLFIT,0.0,-1.4736217707913415,0.5770260673939704,0.23811445492925362,0.5770260664328887,0.2514343258938073
