task,cell,variant,repeat_id,fold_id,outer_split_signature,ik,y,d0_intercept,p_c0,p_d0,p_c1,p_d1
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,AQHHHDLHHXJYJD,0.0,-1.5744216447920694,0.372913515180687,0.10966577639750182,0.3729135141142754,0.10182235223757258
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,BDNFQGRSKSQXRI,0.0,-1.5744216447920694,0.29954025703996356,0.08136753764093034,0.2995402489861632,0.05390212299581928
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,BLXXJMDCKKHMKV,0.0,-1.5744216447920694,0.5060351200204086,0.175045832262042,0.5060351190459358,0.16340369627003323
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,CMWTZPSULFXXJA,0.0,-1.5744216447920694,0.39191925908400244,0.1177747539843993,0.39191925349100976,0.09829448444264902
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,CWRVKFFCRWGWCS,0.0,-1.5744216447920694,0.17101345590245354,0.04097781735701002,0.1710134513001914,0.031248284241583955
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,DOMXUEMWDBAQBQ,0.0,-1.5744216447920694,0.40231001637313846,0.12235979613692467,0.40231002144033606,0.14361873147407364
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,FSVJFNAIGNNGKK,0.0,-1.5744216447920694,0.37358839188084414,0.10994777251115732,0.3735883865647554,0.09857709701125164
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,GSDSWSVVBLHKDQ,0.0,-1.5744216447920694,0.45627435122474674,0.14807593682273626,0.45627435576131087,0.16117397641191966
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,GSYQNAMOFFWAPF,0.0,-1.5744216447920694,0.36826079338537215,0.10773324320712714,0.3682607925910076,0.09515424993140899
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,HCRKCZRJWPKOAR,0.0,-1.5744216447920694,0.3320802443848625,0.09336587659682431,0.3320802473700115,0.09152710769198225
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,HDWIHXWEUNVBIY,0.0,-1.5744216447920694,0.3366849493720655,0.09513196462136438,0.3366849499694754,0.10140285298985378
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,HJORMJIFDVBMOB,0.0,-1.5744216447920694,0.4014115823419953,0.1219589750217104,0.4014115820027639,0.11397802936562954
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,HPJKCIUCZWXJDR,0.0,-1.5744216447920694,0.38796440889198686,0.11605829834984022,0.3879644076185729,0.11284075869365892
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,HXCNRYXBZNHDNE,0.0,-1.5744216447920694,0.26567142549940115,0.0697122481629328,0.26567142593565385,0.06996379082593131
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,ILNRQFBVVQUOLP,0.0,-1.5744216447920694,0.408317056006897,0.12506143258673444,0.40831705324665535,0.12224120741736531
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,IMZMKUWMOSJXDT,0.0,-1.5744216447920694,0.3022472755940189,0.08233463457792678,0.30224727790056377,0.08909665869976294
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,IPVQLZZIHOAWMC,0.0,-1.5744216447920694,0.254324253321006,0.06598269508560939,0.25432424838498596,0.05467967680765495
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,ITJNARMNRKSWTA,0.0,-1.5744216447920694,0.2709215478025509,0.07146676222986349,0.2709215701582899,0.13092577299861022
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,IYIKLHRQXLHMJQ,0.0,-1.5744216447920694,0.5426419013592911,0.1972710096061535,0.5426419044553831,0.2400215075789722
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,JBDGDEWWOUBZPM,0.0,-1.5744216447920694,0.2727199746333085,0.07207205561221984,0.27271996829238776,0.06284875027301343
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,JFJZZMVDLULRGK,0.0,-1.5744216447920694,0.38842936780432513,0.11625928958941283,0.38842937106435776,0.1226404819267175
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,JJCFRYNCJDLXIK,0.0,-1.5744216447920694,0.3946193121265221,0.11895561048224658,0.3946193096876881,0.15009743792048874
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,JSDRRTOADPPCHY,0.0,-1.5744216447920694,0.2967408063232808,0.08037312866429719,0.2967408042062534,0.08332275620279851
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,JVGBTTIJPBFLTE,0.0,-1.5744216447920694,0.36375930330764006,0.10588259593957977,0.36375930253278405,0.09303471846454464
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,KBAFPSLPKGSANY,0.0,-1.5744216447920694,0.3032561783208313,0.0826964686021965,0.30325617428640916,0.07713334487113782
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,KJADKKWYZYXHBB,0.0,-1.5744216447920694,0.24377290234049873,0.06258935029283075,0.2437729077339998,0.06900338187535146
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,KMPWYEUPVWOPIM,0.0,-1.5744216447920694,0.33501440822859885,0.09448921573842257,0.33501440670032506,0.09738338838088263
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,KTEXNACQROZXEV,1.0,-1.5744216447920694,0.45295459613349154,0.14639481902051277,0.45295460114746566,0.18436287734905732
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,KYRVNWMVYQXFEU,1.0,-1.5744216447920694,0.6597716804135895,0.2865611599611155,0.6597716826309762,0.4149413353967901
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,LDMWSLGGVTVJPG,0.0,-1.5744216447920694,0.23453401363202137,0.0596753696302242,0.23453400714607212,0.037657663291305446
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,LNEPOXFFQSENCJ,0.0,-1.5744216447920694,0.27962563714061656,0.07441689166383407,0.2796256284112474,0.05796242692621195
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,LOUPRKONTZGTKE,0.0,-1.5744216447920694,0.3684244828622245,0.10780089066943012,0.3684244832455395,0.1101363476277069
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,LTRANDSQVZFZDG,0.0,-1.5744216447920694,0.5419048748786927,0.196801223247858,0.5419048717595427,0.186207164420912
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,LWAFSWPYPHEXKX,0.0,-1.5744216447920694,0.2896030511492027,0.07786361641607337,0.28960304590168756,0.061010206398534446
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,MKJIEFSOBYUXJB,0.0,-1.5744216447920694,0.46451916056329723,0.15231169643416156,0.46451915665749977,0.1350984641627039
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,MQJKPEGWNLWLTK,0.0,-1.5744216447920694,0.3127669550094421,0.08614525603975075,0.3127669596446362,0.09500187981014685
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,NCDNCNXCDXHOMX,0.0,-1.5744216447920694,0.31560509850125507,0.08718786029889436,0.3156051087618462,0.12296525047205611
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,NGBFQHCMQULJNZ,0.0,-1.5744216447920694,0.19979402393830303,0.04917223256874275,0.19979402126989118,0.039772200022722984
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,NNYBQONXHNTVIJ,0.0,-1.5744216447920694,0.42193264355208976,0.1313281422072546,0.4219326399912687,0.12310292954436043
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,NZZIMKJIVMHWJC,0.0,-1.5744216447920694,0.254467303462574,0.06602918911362599,0.2544672958908724,0.04307183418277072
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,OEBPANQZQGQPHF,0.0,-1.5744216447920694,0.2132129681769549,0.05314672135197086,0.21321297292024904,0.06061522961501908
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,OGAKLTJNUQRZJU,0.0,-1.5744216447920694,0.2358497008217776,0.060087135867899356,0.23584970143043615,0.058534979328322065
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,OPNUROKCUBTKLF,0.0,-1.5744216447920694,0.2622739196927376,0.06858668011113012,0.262273923593589,0.07313521297062363
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,ORRZGUBHBVWWOP,0.0,-1.5744216447920694,0.2851010401301301,0.07629966078058979,0.2851010408933819,0.06979382500850025
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,OYPPVKRFBIWMSX,0.0,-1.5744216447920694,0.5398466274232865,0.19549436403355183,0.5398466185622122,0.1484111605979156
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,PHLBKPHSAVXXEF,0.0,-1.5744216447920694,0.26503159245402585,0.06949968952435376,0.26503159221734096,0.0697553026191233
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,PMATZTZNYRCHOR,0.0,-1.5744216447920694,0.49667115230311587,0.1697024906965289,0.49667115899021946,0.279157697893968
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,PYZRQGJRPPTADH,0.0,-1.5744216447920694,0.2944237672564774,0.07955443557542607,0.2944237667032002,0.07640350415522384
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,QDIYJDPBMZUZEH,0.0,-1.5744216447920694,0.23265632473736633,0.05908954004779893,0.23265632498910718,0.05556405020036775
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,QSLMDECMDJKHMQ,0.0,-1.5744216447920694,0.33054584083550265,0.09278125358605459,0.33054583897899553,0.08760782368138374
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,QYQDKDWGWDOFFU,0.0,-1.5744216447920694,0.30357884203113483,0.08281234998564464,0.303578840346008,0.08240252351535922
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,RDXLYGJSWZYTFJ,0.0,-1.5744216447920694,0.37345263220639036,0.10989101110748538,0.37345262297589027,0.07395703977701268
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,RKUNBYITZUJHSG,0.0,-1.5744216447920694,0.22733703494544394,0.05744150055416919,0.2273370331512961,0.052958600182798646
SR-p53,HT29,standardized,0,0,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,RONZAEMNMFQXRA,0.0,-1.5744216447920694,0.3414684632798596,0.09698535975067175,0.341468463921563,0.09513278179321091
