task,cell,variant,repeat_id,fold_id,inner_fold,branch,alpha,success,validation_deviance,d0_inner_intercept,warm_started,retry_used,n_iterations,gradient_inf_norm,objective,elapsed_seconds,message
NR-AhR,HEPG2,standardized,0,0,0,c1,100000000.0,True,0.8419996155922626,-1.361180490761334,False,False,1,3.235174458188217e-09,0.3870800305009916,0.0040524129290133715,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HEPG2,standardized,0,0,0,c1,31622776.60168379,True,0.8419996175598199,-1.361180490761334,True,False,1,7.139381325710348e-09,0.3870800276365207,0.0019466959638521075,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HEPG2,standardized,0,0,0,c1,10000000.0,True,0.8419996237817753,-1.361180490761334,True,False,1,2.2470474298971754e-08,0.3870800185782724,0.001846158062107861,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HEPG2,standardized,0,0,0,c1,3162277.6601683795,True,0.8419996434572384,-1.361180490761334,True,False,1,7.105019160860704e-08,0.3870799899336177,0.001849620952270925,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HEPG2,standardized,0,0,0,c1,1000000.0,True,0.8419997056756466,-1.361180490761334,True,False,1,2.2467038898223157e-07,0.3870798993516785,0.001862247008830309,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HEPG2,standardized,0,0,0,c1,316227.7660168379,True,0.841999902418839,-1.361180490761334,True,False,1,7.104545157159831e-07,0.38707961291056264,0.0019306839676573873,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HEPG2,standardized,0,0,0,c1,100000.0,True,0.8420005239935381,-1.361180490761334,True,False,2,3.70873505517455e-10,0.38707870714548265,0.0022585539845749736,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HEPG2,standardized,0,0,0,c1,31622.776601683796,True,0.8420024858279843,-1.361180490761334,True,False,2,3.707100813821196e-09,0.38707584327720024,0.0022433080011978745,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HEPG2,standardized,0,0,0,c1,10000.0,True,0.8420086505919882,-1.361180490761334,True,False,2,3.7018375281805405e-08,0.3870667910474263,0.002418702933937311,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HEPG2,standardized,0,0,0,c1,3162.277660168379,True,0.8420277554652699,-1.361180490761334,True,False,2,3.685267267114489e-07,0.38703820633175573,0.0025344679597765207,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HEPG2,standardized,0,0,0,c1,1000.0,True,0.8420843987753119,-1.361180490761334,True,False,3,2.510697798621675e-08,0.3869482161827093,0.002670546993613243,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HEPG2,standardized,0,0,0,c1,316.2277660168379,True,0.8422283359759527,-1.361180490761334,True,False,3,7.173390617273845e-07,0.3866674679395232,0.0026758809108287096,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HEPG2,standardized,0,0,0,c1,100.0,True,0.8424017583947506,-1.361180490761334,True,False,5,8.27767483203845e-09,0.3858127537768883,0.0037432899698615074,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HEPG2,standardized,0,0,0,c1,31.622776601683796,True,0.8414353754668661,-1.361180490761334,True,False,6,4.852891572620921e-08,0.3833445472130645,0.004485020064748824,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HEPG2,standardized,0,0,0,c1,10.0,True,0.8353436999378557,-1.361180490761334,True,False,6,8.919757269257311e-07,0.3768268506780988,0.004514427040703595,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HEPG2,standardized,0,0,0,c1,3.162277660168379,True,0.8205648569722753,-1.361180490761334,True,False,10,3.063629554819064e-07,0.36186031264036317,0.0062904569786041975,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HEPG2,standardized,0,0,0,c1,1.0,True,0.7976354567166609,-1.361180490761334,True,False,15,3.9384931934706435e-07,0.333353657137204,0.009435210027731955,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HEPG2,standardized,0,0,0,c1,0.31622776601683794,True,0.771739650370707,-1.361180490761334,True,False,21,6.509162140226621e-07,0.2900690568080125,0.01397937594447285,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HEPG2,standardized,0,0,0,c1,0.09999999999999999,True,0.7579378374481445,-1.361180490761334,True,False,35,6.126861654489908e-07,0.23804033390455331,0.02375039493199438,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HEPG2,standardized,0,0,0,c1,0.03162277660168379,True,0.79731895607841,-1.361180490761334,True,False,50,9.886351661305727e-07,0.18291966883334382,0.034493964980356395,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HEPG2,standardized,0,0,0,c1,0.01,True,0.978982844778233,-1.361180490761334,True,False,74,6.66328341278723e-07,0.12723491585774113,0.04932377010118216,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HEPG2,standardized,0,0,0,c1,0.0031622776601683794,True,1.3513545049341553,-1.361180490761334,True,False,80,8.865187913995065e-07,0.07819116582867336,0.05362172599416226,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HEPG2,standardized,0,0,0,c1,0.001,True,1.8877402226126394,-1.361180490761334,True,False,76,8.267414217847475e-07,0.042851477801544434,0.052034318912774324,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HEPG2,standardized,0,0,0,c1,0.00031622776601683794,True,2.539365329051828,-1.361180490761334,True,False,67,7.135277176458454e-07,0.021439636640514553,0.04821845702826977,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HEPG2,standardized,0,0,0,c1,9.999999999999999e-05,True,3.2699951127452858,-1.361180490761334,True,False,38,8.666813836530408e-07,0.010006721128144469,0.03276366100180894,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HEPG2,standardized,0,0,1,c1,100000000.0,True,0.6988030731734999,-1.3460043320799968,False,False,1,2.9746811012684726e-09,0.4168683009098821,0.003826356027275324,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HEPG2,standardized,0,0,1,c1,31622776.60168379,True,0.6988030731799175,-1.3460043320799968,True,False,1,6.4014377171468795e-09,0.41686829671337505,0.00314997392706573,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
