task,cell,variant,repeat_id,fold_id,inner_fold,branch,alpha,success,validation_deviance,d0_inner_intercept,warm_started,retry_used,n_iterations,gradient_inf_norm,objective,elapsed_seconds,message
NR-Aromatase,MCF7,standardized,0,0,0,c1,100000000.0,True,0.9696157233148606,-2.1516133789510477,False,False,1,1.852835622775939e-09,0.4542736402939139,0.00305008701980114,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,standardized,0,0,0,c1,31622776.60168379,True,0.969615721550316,-2.1516133789510477,True,False,1,4.035436329281189e-09,0.4542736382908145,0.0028541740030050278,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,standardized,0,0,0,c1,10000000.0,True,0.9696157159703406,-2.1516133789510477,True,False,1,1.2719042610798148e-08,0.4542736319564606,0.002800873015075922,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,standardized,0,0,0,c1,3162277.6601683795,True,0.9696156983249556,-2.1516133789510477,True,False,1,4.0230873661097066e-08,0.45427361192549875,0.0027944030007347465,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,standardized,0,0,0,c1,1000000.0,True,0.9696156425258143,-2.1516133789510477,True,False,1,1.2722194153930513e-07,0.4542735485822771,0.0027937410632148385,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,standardized,0,0,0,c1,316227.7660168379,True,0.9696154660780903,-2.1516133789510477,True,False,1,4.0230448311888087e-07,0.45427334827583504,0.002766953082755208,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,standardized,0,0,0,c1,100000.0,True,0.9696149081940139,-2.1516133789510477,True,False,2,1.6422506410318505e-10,0.4542727148753739,0.003367267083376646,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,standardized,0,0,0,c1,31622.776601683796,True,0.9696131447436686,-2.1516133789510477,True,False,2,1.641732416679531e-09,0.454270712128435,0.003345067030750215,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,standardized,0,0,0,c1,10000.0,True,0.9696075756988968,-2.1516133789510477,True,False,2,1.6400202612620873e-08,0.45426438129624763,0.0033265079837292433,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,standardized,0,0,0,c1,3162.277660168379,True,0.9695900392366005,-2.1516133789510477,True,False,2,1.634620777832274e-07,0.4542443854757252,0.0033758929930627346,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,standardized,0,0,0,c1,1000.0,True,0.9695353110052954,-2.1516133789510477,True,False,3,1.0949189874209786e-08,0.45418139129234464,0.004076264100149274,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,standardized,0,0,0,c1,316.2277660168379,True,0.9693690961980131,-2.1516133789510477,True,False,3,3.222739857131063e-07,0.45398450330741574,0.0042412279872223735,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,standardized,0,0,0,c1,100.0,True,0.9689007529998149,-2.1516133789510477,True,False,4,9.097347701200742e-07,0.45338328111961246,0.004666834021918476,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,standardized,0,0,0,c1,31.622776601683796,True,0.9677789241093085,-2.1516133789510477,True,False,5,6.514722717329557e-07,0.45165623587319714,0.00531147001311183,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,standardized,0,0,0,c1,10.0,True,0.9655837723364972,-2.1516133789510477,True,False,9,5.693918071168758e-07,0.4473119626673838,0.007905415957793593,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,standardized,0,0,0,c1,3.162277660168379,True,0.9618429267317854,-2.1516133789510477,True,False,12,5.022320401382868e-07,0.4384162919436255,0.010546520003117621,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,standardized,0,0,0,c1,1.0,True,0.9582756649795541,-2.1516133789510477,True,False,17,5.535488494410809e-07,0.4233192653490886,0.01580096792895347,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
