task,cell,variant,repeat_id,fold_id,inner_fold,branch,alpha,success,validation_deviance,d0_inner_intercept,warm_started,retry_used,n_iterations,gradient_inf_norm,objective,elapsed_seconds,message
NR-ER,HEPG2,standardized,0,0,0,c1,100000000.0,True,1.164911641745719,-1.4236068921788054,False,False,1,6.168922997429327e-09,0.6045410861662357,0.0019363469909876585,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HEPG2,standardized,0,0,0,c1,31622776.60168379,True,1.1649116420025172,-1.4236068921788054,True,False,1,1.3245310093515372e-08,0.6045410813317771,0.001768497982993722,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HEPG2,standardized,0,0,0,c1,10000000.0,True,1.1649116428146098,-1.4236068921788054,True,False,1,4.182173707518999e-08,0.6045410660438864,0.0017349509289488196,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HEPG2,standardized,0,0,0,c1,3162277.6601683795,True,1.1649116453829294,-1.4236068921788054,True,False,1,1.3225375677591855e-07,0.60454101769943,0.0017414080211892724,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HEPG2,standardized,0,0,0,c1,1000000.0,True,1.1649116535072492,-1.4236068921788054,True,False,1,4.182142849841475e-07,0.6045408648218299,0.0017171150539070368,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HEPG2,standardized,0,0,0,c1,316227.7660168379,True,1.164911679244987,-1.4236068921788054,True,False,2,1.0671876576884287e-10,0.6045403813903435,0.002105012070387602,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HEPG2,standardized,0,0,0,c1,100000.0,True,1.1649117610127822,-1.4236068921788054,True,False,2,1.066955548217896e-09,0.6045388527450601,0.0021076949778944254,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HEPG2,standardized,0,0,0,c1,31622.776601683796,True,1.1649120234241546,-1.4236068921788054,True,False,2,1.0662132350625075e-08,0.6045340197363933,0.002101054065860808,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HEPG2,standardized,0,0,0,c1,10000.0,True,1.1649128914587155,-1.4236068921788054,True,False,2,1.0638713292612789e-07,0.6045187463142631,0.002124666003510356,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HEPG2,standardized,0,0,0,c1,3162.277660168379,True,1.164916011299374,-1.4236068921788054,True,False,3,2.673590971877249e-09,0.6044705455562067,0.0024907609913498163,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
