task,cell,variant,repeat_id,fold_id,inner_fold,branch,alpha,success,validation_deviance,d0_inner_intercept,warm_started,retry_used,n_iterations,gradient_inf_norm,objective,elapsed_seconds,message
NR-ER,HT29,standardized,0,0,0,c1,100000000.0,True,1.1991973971449574,-1.523097663036245,False,False,1,9.613421666902246e-09,0.5845037251521731,0.002590141026303172,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,standardized,0,0,0,c1,31622776.60168379,True,1.1991973990149283,-1.523097663036245,True,False,1,2.0784336290349988e-08,0.5845037204443879,0.0023259830195456743,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,standardized,0,0,0,c1,10000000.0,True,1.1991974049283398,-1.523097663036245,True,False,1,6.572618657045125e-08,0.584503705557097,0.0023472519824281335,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,standardized,0,0,0,c1,3162277.6601683795,True,1.1991974236286342,-1.523097663036245,True,False,1,2.0784369701492764e-07,0.5845036584796728,0.002165853977203369,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,standardized,0,0,0,c1,1000000.0,True,1.1991974827686023,-1.523097663036245,True,False,1,6.572493981721892e-07,0.5845035096110202,0.0030720949871465564,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,standardized,0,0,0,c1,316227.7660168379,True,1.1991976698293638,-1.523097663036245,True,False,2,6.420574141796642e-11,0.5845030388793424,0.0033973519457504153,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,standardized,0,0,0,c1,100000.0,True,1.1991982618075079,-1.523097663036245,True,False,2,6.41976121568133e-10,0.5845015506183243,0.004873752943240106,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,standardized,0,0,0,c1,31622.776601683796,True,1.1992001381937474,-1.523097663036245,True,False,2,6.416267961384392e-09,0.5844968475524206,0.0051160219591110945,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,standardized,0,0,0,c1,10000.0,True,1.1992061153519766,-1.523097663036245,True,False,2,6.405190598746113e-08,0.5844820073179344,0.005197521997615695,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,standardized,0,0,0,c1,3162.277660168379,True,1.1992254404811291,-1.523097663036245,True,False,2,6.369870053438142e-07,0.5844353962577751,0.004869153024628758,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,standardized,0,0,0,c1,1000.0,True,1.1992904417929608,-1.523097663036245,True,False,3,1.2068374559068284e-07,0.5842910631472725,0.005402293987572193,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,standardized,0,0,0,c1,316.2277660168379,True,1.1995258742390826,-1.523097663036245,True,False,4,2.905103201750192e-08,0.5838620579330616,0.004865315044298768,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,standardized,0,0,0,c1,100.0,True,1.2003996144377014,-1.523097663036245,True,False,5,1.0535377258091838e-07,0.5827066494562492,0.0077942609786987305,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,standardized,0,0,0,c1,31.622776601683796,True,1.2029951487233865,-1.523097663036245,True,False,6,8.345376983544955e-07,0.5800338730302047,0.007259135949425399,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,standardized,0,0,0,c1,10.0,True,1.208290806733442,-1.523097663036245,True,False,10,2.829861101005804e-07,0.5743777748333715,0.008661061991006136,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,standardized,0,0,0,c1,3.162277660168379,True,1.218111672344248,-1.523097663036245,True,False,16,3.7119250195088993e-07,0.5624419183485543,0.01290098496247083,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,standardized,0,0,0,c1,1.0,True,1.2403525828972428,-1.523097663036245,True,False,18,9.448233932985405e-07,0.5384225706435366,0.01721250801347196,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,standardized,0,0,0,c1,0.31622776601683794,True,1.2974212944642192,-1.523097663036245,True,False,26,9.406015636513783e-07,0.4955112000430412,0.031226093997247517,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
