task,cell,variant,repeat_id,fold_id,inner_fold,branch,alpha,success,validation_deviance,d0_inner_intercept,warm_started,retry_used,n_iterations,gradient_inf_norm,objective,elapsed_seconds,message
SR-ARE,HT29,standardized,0,0,0,c1,100000000.0,True,0.9916574976627002,-1.0984196777288688,False,False,1,1.0148450722141655e-08,0.5208957639805563,0.0020987919997423887,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HT29,standardized,0,0,0,c1,31622776.60168379,True,0.9916574977934343,-1.0984196777288688,True,False,1,2.1936124759962955e-08,0.5208957593733194,0.0019793380051851273,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HT29,standardized,0,0,0,c1,10000000.0,True,0.9916574982068788,-1.0984196777288688,True,False,1,6.935845987062102e-08,0.5208957448039814,0.0020307040540501475,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HT29,standardized,0,0,0,c1,3162277.6601683795,True,0.9916574995145666,-1.0984196777288688,True,False,1,2.193318697036803e-07,0.5208956987319298,0.001996058039367199,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HT29,standardized,0,0,0,c1,1000000.0,True,0.9916575036524601,-1.0984196777288688,True,False,1,6.935761380426168e-07,0.5208955530417164,0.0017565720481798053,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HT29,standardized,0,0,0,c1,316227.7660168379,True,0.9916575167384254,-1.0984196777288688,True,False,2,5.3705047353691526e-11,0.5208950923528681,0.0022172090830281377,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HT29,standardized,0,0,0,c1,100000.0,True,0.9916575582334318,-1.0984196777288688,True,False,2,5.366812966256518e-10,0.5208936357673107,0.0023916380014270544,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HT29,standardized,0,0,0,c1,31622.776601683796,True,0.9916576905021889,-1.0984196777288688,True,False,2,5.356299924430541e-09,0.5208890320414495,0.002375326002947986,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HT29,standardized,0,0,0,c1,10000.0,True,0.9916581191112477,-1.0984196777288688,True,False,2,5.323241347027219e-08,0.5208744977132285,0.002156959963031113,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HT29,standardized,0,0,0,c1,3162.277660168379,True,0.9916595728763266,-1.0984196777288688,True,False,2,5.220538340372505e-07,0.5208287726385252,0.002142344950698316,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
