task,cell,variant,repeat_id,fold_id,inner_fold,branch,alpha,success,validation_deviance,d0_inner_intercept,warm_started,retry_used,n_iterations,gradient_inf_norm,objective,elapsed_seconds,message
SR-HSE,HT29,standardized,0,0,0,c1,100000000.0,True,0.961564167988525,-2.1967964798451582,False,False,1,6.594545007287955e-09,0.4766445657043194,0.002764540957286954,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,HT29,standardized,0,0,0,c1,31622776.60168379,True,0.9615641668553013,-2.1967964798451582,True,False,1,1.2524659032120411e-08,0.4766445639725634,0.0026231639785692096,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,HT29,standardized,0,0,0,c1,10000000.0,True,0.9615641632717506,-2.1967964798451582,True,False,1,3.910825287917197e-08,0.47664455849627807,0.0024849059991538525,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,HT29,standardized,0,0,0,c1,3162277.6601683795,True,0.961564151939744,-2.1967964798451582,True,False,1,1.237378076043849e-07,0.47664454117882704,0.0023738540476188064,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,HT29,standardized,0,0,0,c1,1000000.0,True,0.961564116106547,-2.1967964798451582,True,False,1,3.913225962576261e-07,0.476644486417076,0.002383710932917893,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,HT29,standardized,0,0,0,c1,316227.7660168379,True,0.9615640028101333,-2.1967964798451582,True,False,2,4.833049932484457e-11,0.4766443132535862,0.0029878949280828238,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,HT29,standardized,0,0,0,c1,100000.0,True,0.9615636447140034,-2.1967964798451582,True,False,2,4.831273194005892e-10,0.4766437657462429,0.002963108941912651,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,HT29,standardized,0,0,0,c1,31622.776601683796,True,0.9615625140987015,-2.1967964798451582,True,False,2,4.825838674851757e-09,0.47664203521204,0.0033099069260060787,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,HT29,standardized,0,0,0,c1,10000.0,True,0.9615589565075578,-2.1967964798451582,True,False,2,4.808716245682798e-08,0.4766365711149239,0.002937047043815255,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,HT29,standardized,0,0,0,c1,3162.277660168379,True,0.9615478801995812,-2.1967964798451582,True,False,2,4.7551941557630317e-07,0.4766193745779219,0.0029502050019800663,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
