task,cell,variant,repeat_id,fold_id,inner_fold,branch,alpha,success,validation_deviance,d0_inner_intercept,warm_started,retry_used,n_iterations,gradient_inf_norm,objective,elapsed_seconds,message
SR-p53,HA1E,standardized,0,0,0,c1,100000000.0,True,0.9503155700520411,-1.7442807908861406,False,False,1,7.831184882858833e-09,0.44261023692993823,0.0029772589914500713,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-p53,HA1E,standardized,0,0,0,c1,31622776.60168379,True,0.9503155524256915,-1.7442807908861406,True,False,1,1.697144908635595e-08,0.4426102332951759,0.0022205390268936753,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-p53,HA1E,standardized,0,0,0,c1,10000000.0,True,0.950315496686396,-1.7442807908861406,True,False,1,5.3699891554293e-08,0.44261022180106635,0.002385259955190122,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-p53,HA1E,standardized,0,0,0,c1,3162277.6601683795,True,0.950315320424451,-1.7442807908861406,True,False,1,1.6981048206118898e-07,0.4426101854536793,0.002088468987494707,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-p53,HA1E,standardized,0,0,0,c1,1000000.0,True,0.9503147630470796,-1.7442807908861406,True,False,1,5.369784831319585e-07,0.4426100705149362,0.0025355409597977996,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-p53,HA1E,standardized,0,0,0,c1,316227.7660168379,True,0.9503130007227643,-1.7442807908861406,True,False,2,7.115039113436694e-11,0.44260970706458785,0.003005310078151524,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-p53,HA1E,standardized,0,0,0,c1,100000.0,True,0.95030742976008,-1.7442807908861406,True,False,2,7.111811764493048e-10,0.4426085579123214,0.003125246032141149,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-p53,HA1E,standardized,0,0,0,c1,31622.776601683796,True,0.9502898332038118,-1.7442807908861406,True,False,2,7.101990953661819e-09,0.44260492575835797,0.003136793035082519,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-p53,HA1E,standardized,0,0,0,c1,10000.0,True,0.9502343908920111,-1.7442807908861406,True,False,2,7.07107254901973e-08,0.44259345766402525,0.0029599019326269627,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-p53,HA1E,standardized,0,0,0,c1,3162.277660168379,True,0.9500610688898111,-1.7442807908861406,True,False,2,6.974659163688779e-07,0.4425573683180238,0.002799210953526199,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-p53,HA1E,standardized,0,0,0,c1,1000.0,True,0.9495320815232965,-1.7442807908861406,True,False,3,1.1131131402459388e-07,0.4424449456124405,0.003699134918861091,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-p53,HA1E,standardized,0,0,0,c1,316.2277660168379,True,0.9480264548745464,-1.7442807908861406,True,False,4,1.4796841898978563e-07,0.44210483150614366,0.004334497964009643,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-p53,HA1E,standardized,0,0,0,c1,100.0,True,0.9444199509705403,-1.7442807908861406,True,False,5,9.997513110166639e-08,0.4411464624308278,0.004943347070366144,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-p53,HA1E,standardized,0,0,0,c1,31.622776601683796,True,0.9379510865340541,-1.7442807908861406,True,False,6,7.224121940860306e-07,0.43875383185995065,0.005222704028710723,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-p53,HA1E,standardized,0,0,0,c1,10.0,True,0.9286567301141628,-1.7442807908861406,True,False,9,7.677705014690929e-07,0.43354002141228215,0.006817649002186954,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-p53,HA1E,standardized,0,0,0,c1,3.162277660168379,True,0.9162928397810574,-1.7442807908861406,True,False,12,4.886836606071698e-07,0.42356091651225264,0.008409567992202938,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-p53,HA1E,standardized,0,0,0,c1,1.0,True,0.9021534250927994,-1.7442807908861406,True,False,17,7.167826123616328e-07,0.40606330909752186,0.012964623048901558,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-p53,HA1E,standardized,0,0,0,c1,0.31622776601683794,True,0.8894777095166849,-1.7442807908861406,True,False,27,7.643389208578447e-07,0.37685719586548944,0.019829857046715915,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-p53,HA1E,standardized,0,0,0,c1,0.09999999999999999,True,0.9037285496450235,-1.7442807908861406,True,False,47,3.832161864902178e-07,0.33100720646412357,0.034128990955650806,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-p53,HA1E,standardized,0,0,0,c1,0.03162277660168379,True,1.0481573380050533,-1.7442807908861406,True,False,60,9.692384936627226e-07,0.26621762758682255,0.048663082998245955,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-p53,HA1E,standardized,0,0,0,c1,0.01,True,1.451167333102685,-1.7442807908861406,True,False,84,8.252478222020836e-07,0.18908201516899048,0.0667121970327571,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-p53,HA1E,standardized,0,0,0,c1,0.0031622776601683794,True,2.082415472093902,-1.7442807908861406,True,False,106,9.138360612318929e-07,0.11697923682091828,0.08694301906507462,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-p53,HA1E,standardized,0,0,0,c1,0.001,True,2.74003405469177,-1.7442807908861406,True,False,102,9.785502188937111e-07,0.06415830487687671,0.09712090797256678,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-p53,HA1E,standardized,0,0,0,c1,0.00031622776601683794,True,3.3701207469795094,-1.7442807908861406,True,False,99,9.105144579252245e-07,0.03206753292273997,0.11068438098300248,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-p53,HA1E,standardized,0,0,0,c1,9.999999999999999e-05,True,4.036084665407419,-1.7442807908861406,True,False,76,7.560159674997402e-07,0.014948353333561058,0.09015639498829842,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-p53,HA1E,standardized,0,0,1,c1,100000000.0,True,0.8523910282975855,-1.402142466598849,False,False,1,1.41843718767104e-08,0.4704454938248745,0.004910111892968416,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
