task,cell,variant,repeat_id,fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_outer_train,n_outer_test,inner_cv_seed_requested,inner_cv_seed_used,chemical_offset_frozen,chemical_offset_coefficient,d0_intercept,d1_intercept_refit,c1_has_intercept,stage2_likelihood,stage2_model_spec,alpha_c1,alpha_min_loss_c1,alpha_boundary_hit_c1,beta_saturated_no_signal_c1,beta_l2_norm_c1,final_gradient_inf_norm_c1,final_retry_used_c1,alpha_d1,alpha_min_loss_d1,alpha_boundary_hit_d1,beta_saturated_no_signal_d1,beta_l2_norm_d1,final_gradient_inf_norm_d1,final_retry_used_d1,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
NR-AR-LBD,HA1E,standardized,0,0,2042,2043,543c3314c9199cc07c022213e1e772ae819dac65901728a52823c9ad537ce18a,704,165,42,42,True,1.0,-1.2802238326853435,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,10.0,True,True,2.7374744208753956e-09,1.4028178098313138e-09,False,100000000.0,100000000.0,True,False,2.6283450056731247e-09,4.0352099092699767e-10,False,0.5090980646883234,0.7272727272727273,0.22186768989223085,0.05804580575491925,0.5090980646883234,0.7272727272727273,0.19050423097652208,0.04626785342972648,0.5090980646883234,0.7272727272727273,0.2218676901037645,0.05804580573658677,0.5090980646883234,0.7272727272727273,0.19050423086347512,0.04626785330541053,0.0,0.0,2.1153365170611949e-10,-1.8332481366289954e-11,0.0,0.0,-1.1304696068137332e-10,-1.243159533648175e-10,0.0,0.0,-0.03136345924028938,-0.011777952431176242
NR-AR-LBD,HA1E,standardized,0,1,2042,2043,543c3314c9199cc07c022213e1e772ae819dac65901728a52823c9ad537ce18a,710,159,42,42,True,1.0,-1.2692168624854352,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,10.0,True,True,2.6195667061407776e-09,1.3624400357903355e-09,False,100000000.0,3.162277660168379,True,True,2.6145851829053716e-09,1.256662725268587e-09,False,0.6622648615930871,0.8759213759213759,0.17584263986706822,0.04438262588578548,0.6622648615930871,0.8759213759213759,0.1540510722439063,0.03666833373741915,0.6622648615930871,0.8759213759213759,0.17584264000114389,0.044382625836454366,0.6622648615930871,0.8759213759213759,0.15405107227432369,0.03666833372256765,0.0,0.0,1.340756672352228e-10,-4.9331115581363605e-11,0.0,0.0,3.041739082831896e-11,-1.4851501972668046e-11,0.0,0.0,-0.0217915677268202,-0.007714292113886717
NR-AR-LBD,HA1E,standardized,0,2,2042,2043,543c3314c9199cc07c022213e1e772ae819dac65901728a52823c9ad537ce18a,693,176,42,42,True,1.0,-1.2810087551952007,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.534418533404859e-09,1.394460420398036e-09,False,100000000.0,100000000.0,True,False,2.5278437952284535e-09,6.689074606713863e-10,False,0.5027566243385454,0.8541666666666667,0.1584128643196174,0.037900963970946465,0.5027566243385454,0.8541666666666667,0.13415509777025025,0.0341462145208316,0.5027566243385454,0.8541666666666667,0.15841286403051627,0.037900963841740944,0.5027566243385454,0.8541666666666667,0.13415509744426946,0.034146214400315004,0.0,0.0,-2.8910113192281983e-10,-1.2920552128203866e-10,0.0,0.0,-3.2598079791057444e-10,-1.205165967022026e-10,0.0,0.0,-0.024257766586246815,-0.003754749441425939
NR-AR-LBD,HA1E,standardized,0,3,2042,2043,543c3314c9199cc07c022213e1e772ae819dac65901728a52823c9ad537ce18a,771,98,42,42,True,1.0,-1.1952753755885164,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,2.531222151803267e-09,1.0741163375405094e-09,False,100000000.0,3.162277660168379,True,True,2.6550428509416914e-09,4.84379820975267e-10,False,1.0,1.0,0.09219782313954956,0.015071935581429578,1.0,1.0,0.05030266249856313,0.01042638906198264,1.0,1.0,0.0921978227704005,0.015071935437218067,1.0,1.0,0.05030266245147698,0.010426389065763587,0.0,0.0,-3.691490585433499e-10,-1.442115107885833e-10,0.0,0.0,-4.708615441995079e-11,3.7809460423643415e-12,0.0,0.0,-0.04189516031892353,-0.00464554637145448
NR-AR-LBD,HA1E,standardized,0,4,2042,2043,543c3314c9199cc07c022213e1e772ae819dac65901728a52823c9ad537ce18a,598,271,42,42,True,1.0,-1.114987088453202,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.6012915609343643e-09,6.958181496263816e-10,False,100000000.0,100000000.0,True,False,2.7371444637514017e-09,4.080522759963845e-10,False,0.6533123687179596,0.8942708333333333,0.1617994294478708,0.04088177480003149,0.6533123687179596,0.8942708333333333,0.12073697359021023,0.029306611835464146,0.6533123687179596,0.8942708333333333,0.1617994292439255,0.04088177476005985,0.6533123687179596,0.8942708333333333,0.12073697346128699,0.029306611802227493,0.0,0.0,-2.0394527733280654e-10,-3.997163711133567e-11,0.0,0.0,-1.289232332002399e-10,-3.323665301313561e-11,0.0,0.0,-0.04106245578263852,-0.011575162957832359
NR-AR-LBD,HA1E,standardized,1,0,3042,3043,5596c314896fe7b009b3a787f5aacb72d944215583d614e34afb8f63f6b2b0fc,675,194,42,42,True,1.0,-1.07131589820052,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,31.622776601683796,True,True,2.814982113555346e-09,1.0596958605751938e-09,False,100000000.0,10.0,True,True,2.8365285492453043e-09,4.692439214970534e-10,False,0.5835927960927961,0.9717741935483871,0.15274777227038272,0.03827791208766169,0.5835927960927961,0.9717741935483871,0.0929560358798667,0.024667765385834158,0.5835927960927961,0.9717741935483871,0.15274777213939705,0.03827791201360656,0.5835927960927961,0.9717741935483871,0.09295603582343444,0.024667765349307865,0.0,0.0,-1.3098566675751044e-10,-7.405513008373887e-11,0.0,0.0,-5.6432261641425896e-11,-3.6526292407357275e-11,0.0,0.0,-0.059791736315962615,-0.013610146664298692
NR-AR-LBD,HA1E,standardized,1,1,3042,3043,5596c314896fe7b009b3a787f5aacb72d944215583d614e34afb8f63f6b2b0fc,688,181,42,42,True,1.0,-1.438984470845147,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,10.0,True,True,2.3650751495436965e-09,7.791753908747978e-10,False,100000000.0,10.0,True,True,2.524533436657766e-09,9.388175896407613e-10,False,0.6855902155173088,0.8763052208835341,0.16579860914715167,0.03934833886019866,0.6855902155173088,0.8763052208835341,0.17655884204267097,0.041770900781945654,0.6855902155173088,0.8763052208835341,0.1657986088206094,0.0393483387651393,0.6855902155173088,0.8763052208835341,0.17655884198863545,0.0417709007453009,0.0,0.0,-3.26542265449703e-10,-9.505935621989536e-11,0.0,0.0,-5.4035526053652916e-11,-3.664475667353173e-11,0.0,0.0,0.010760233168026045,0.0024225619801615944
NR-AR-LBD,HA1E,standardized,1,2,3042,3043,5596c314896fe7b009b3a787f5aacb72d944215583d614e34afb8f63f6b2b0fc,626,243,42,42,True,1.0,-1.2645947661235428,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,2.898116312104776e-09,1.2987618827620118e-09,False,100000000.0,0.31622776601683794,True,True,2.9083995300807707e-09,6.017690026838274e-10,False,0.6539462365120259,0.8791299559471365,0.15943623974333848,0.038946635784934555,0.6539462365120259,0.8791299559471365,0.13365189441638073,0.03294661805318944,0.6539462365120259,0.8791299559471365,0.1594362396344371,0.038946635697563854,0.6539462365120259,0.8791299559471365,0.1336518944211669,0.03294661802514035,0.0,0.0,-1.0890138790742299e-10,-8.737070095188315e-11,0.0,0.0,4.78617145915905e-12,-2.804909082776419e-11,0.0,0.0,-0.025784345213270193,-0.006000017672423502
NR-AR-LBD,HA1E,standardized,1,3,3042,3043,5596c314896fe7b009b3a787f5aacb72d944215583d614e34afb8f63f6b2b0fc,774,95,42,42,True,1.0,-1.2130874930783422,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.615272132021832e-09,9.536210501814857e-10,False,100000000.0,10.0,True,True,2.673809914826778e-09,3.866310917255422e-10,False,0.7023809523809523,0.9094202898550725,0.1171053038088001,0.02184419364920471,0.7023809523809523,0.9094202898550725,0.08116075598304831,0.01776927050729883,0.7023809523809523,0.9094202898550725,0.11710530401863047,0.021844193679623966,0.7023809523809523,0.9094202898550725,0.08116075605227087,0.017769270516025584,0.0,0.0,2.0983036141952738e-10,3.041925739077911e-11,0.0,0.0,6.92225582410444e-11,8.726751959953205e-12,0.0,0.0,-0.0359445479663596,-0.0040749231635983825
NR-AR-LBD,HA1E,standardized,1,4,3042,3043,5596c314896fe7b009b3a787f5aacb72d944215583d614e34afb8f63f6b2b0fc,713,156,42,42,True,1.0,-1.1638818823675399,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,31.622776601683796,True,True,2.4205174511881145e-09,1.636007433691855e-09,False,100000000.0,3.162277660168379,True,True,2.443904217478803e-09,4.110383335781398e-10,False,0.34590904488316004,0.6299137104506232,0.22961678553735565,0.06265243981385198,0.34590904488316004,0.6299137104506232,0.1820648796430957,0.04268843667864042,0.34590904488316004,0.6299137104506232,0.22961678564229557,0.06265243981455722,0.34590904488316004,0.6299137104506232,0.18206487948222305,0.042688436626111596,0.0,0.0,1.0493991786653112e-10,7.052414208175151e-13,0.0,0.0,-1.6087264853581473e-10,-5.2528821570252404e-11,0.0,0.0,-0.047551906160072516,-0.01996400318844562
