task,cell,variant,repeat_id,fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_outer_train,n_outer_test,inner_cv_seed_requested,inner_cv_seed_used,chemical_offset_frozen,chemical_offset_coefficient,d0_intercept,d1_intercept_refit,c1_has_intercept,stage2_likelihood,stage2_model_spec,alpha_c1,alpha_min_loss_c1,alpha_boundary_hit_c1,beta_saturated_no_signal_c1,beta_l2_norm_c1,final_gradient_inf_norm_c1,final_retry_used_c1,alpha_d1,alpha_min_loss_d1,alpha_boundary_hit_d1,beta_saturated_no_signal_d1,beta_l2_norm_d1,final_gradient_inf_norm_d1,final_retry_used_d1,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
NR-AR,HT29,standardized,0,0,2042,2042,7c9a2de78bb19ea29dccdd78563846b20e7708c88b254ce64799aaa681802374,854,106,42,42,True,1.0,-1.9224926380327068,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.4102877355391397e-09,2.4534825542738004e-09,False,100000000.0,100000000.0,True,False,2.2337209608897152e-09,1.801482980151592e-09,False,0.6271071618801488,0.7003546099290779,0.3850438170121099,0.10665541809678976,0.6271071618801488,0.7003546099290779,0.2882907669348516,0.08056037869393168,0.6271071618801488,0.7003546099290779,0.3850438153453216,0.10665541735644675,0.6271071618801488,0.7003546099290779,0.2882907664692919,0.08056037874986005,0.0,0.0,-1.666788262966179e-09,-7.403430091201813e-10,0.0,0.0,-4.6555970190098606e-10,5.592837304391196e-11,0.0,0.0,-0.0967530488760297,-0.0260950386065867
NR-AR,HT29,standardized,0,1,2042,2042,7c9a2de78bb19ea29dccdd78563846b20e7708c88b254ce64799aaa681802374,761,199,42,42,True,1.0,-1.8600654611399874,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.7182031731862896e-09,2.807256073433795e-09,False,100000000.0,100000000.0,True,False,2.5409831553282275e-09,1.352236812107721e-09,False,0.5950050104083808,0.7498465316144874,0.39921651211336867,0.11380930782495899,0.5950050104083808,0.7498465316144874,0.22499441976847298,0.05918170332939504,0.5950050104083808,0.7498465316144874,0.39921651197504526,0.11380930779630917,0.5950050104083808,0.7498465316144874,0.2249944198225665,0.05918170332867914,0.0,0.0,-1.3832340828301426e-10,-2.8649818628601054e-11,0.0,0.0,5.4093507451113965e-11,-7.158995618539166e-13,0.0,0.0,-0.17422209215247877,-0.05462760446763003
NR-AR,HT29,standardized,0,2,2042,2042,7c9a2de78bb19ea29dccdd78563846b20e7708c88b254ce64799aaa681802374,780,180,42,42,True,1.0,-1.8903764525226636,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,31.622776601683796,True,True,3.0786947391045847e-09,3.5939747219937423e-09,False,100000000.0,10.0,True,True,2.8476463649240375e-09,1.7445608950505953e-09,False,0.5736224559115022,0.7455792132804042,0.3999417421897787,0.1139245845881329,0.5736224559115022,0.7455792132804042,0.24259859924407437,0.06512888322561496,0.5736224559115022,0.7455792132804042,0.39994174284513834,0.11392458484376747,0.5736224559115022,0.7455792132804042,0.2425985993507776,0.06512888336328415,0.0,0.0,6.553596554326191e-10,2.556345690685191e-10,0.0,0.0,1.0670322958539202e-10,1.3766919548796608e-10,0.0,0.0,-0.15734314349436074,-0.04879570148048332
NR-AR,HT29,standardized,0,3,2042,2042,7c9a2de78bb19ea29dccdd78563846b20e7708c88b254ce64799aaa681802374,765,195,42,42,True,1.0,-1.7929528149818568,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.8259754826305484e-09,3.1862009875101294e-09,False,100000000.0,100000000.0,True,False,2.7712477765678907e-09,1.4113906519203079e-09,False,0.2917418378289618,0.7183794466403162,0.38569732196481027,0.10822830810136423,0.2917418378289618,0.7183794466403162,0.19444764120767496,0.04796488558660373,0.2917418378289618,0.7183794466403162,0.3856973220255313,0.10822830808718045,0.2917418378289618,0.7183794466403162,0.1944476413904872,0.04796488563177002,0.0,0.0,6.072103930776507e-11,-1.4183779151188958e-11,0.0,0.0,1.8281223757021792e-10,4.516628737682993e-11,0.0,0.0,-0.1912496806350441,-0.060263422455410436
NR-AR,HT29,standardized,0,4,2042,2042,7c9a2de78bb19ea29dccdd78563846b20e7708c88b254ce64799aaa681802374,680,280,42,42,True,1.0,-1.7467871324836546,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100.0,True,True,3.221019771876553e-09,4.0235874493310675e-09,False,100000000.0,31.622776601683796,True,True,2.8004052224929127e-09,1.8124078383918718e-09,False,0.44302652108151874,0.75,0.3526388874799685,0.09299877274327537,0.44302652108151874,0.75,0.1638523605587285,0.0385759982577222,0.44302652108151874,0.75,0.35263888719698155,0.09299877267848142,0.44302652108151874,0.75,0.16385236027605374,0.03857599818171781,0.0,0.0,-2.829869671927554e-10,-6.479394798475369e-11,0.0,0.0,-2.826747724782308e-10,-7.600439028143668e-11,0.0,0.0,-0.18878652692092782,-0.05442277449676361
NR-AR,HT29,standardized,1,0,3042,3042,b8f7752a0314a7f8ba8b8516f11709f8055c718b7a0f79bfacf794871886e075,847,113,42,42,True,1.0,-1.8638040331940733,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,31.622776601683796,True,True,3.0259271748833738e-09,3.2338264696271657e-09,False,100000000.0,10.0,True,True,2.8116319344233742e-09,1.5903053977861514e-09,False,0.449091586104223,0.6047008547008547,0.3889293786207883,0.10788193258135143,0.449091586104223,0.6047008547008547,0.23468852673614932,0.06085226208707249,0.449091586104223,0.6047008547008547,0.3889293795082925,0.10788193292782788,0.449091586104223,0.6047008547008547,0.23468852712802427,0.06085226215884793,0.0,0.0,8.875041812572704e-10,3.4647645863472576e-10,0.0,0.0,3.9187494915715604e-10,7.1775439758337e-11,0.0,0.0,-0.15424085238026822,-0.04702967076897995
NR-AR,HT29,standardized,1,1,3042,3042,b8f7752a0314a7f8ba8b8516f11709f8055c718b7a0f79bfacf794871886e075,749,211,42,42,True,1.0,-1.9270937864206905,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,31.622776601683796,True,True,2.7811998309161693e-09,3.0292154340472166e-09,False,100000000.0,100000000.0,True,False,2.3691618674762756e-09,1.0533147687397104e-09,False,0.7623436514363214,0.8788159111933395,0.38418132017410744,0.10771772026764273,0.7623436514363214,0.8788159111933395,0.22917139415988272,0.06521453182681451,0.7623436514363214,0.8788159111933395,0.3841813201541425,0.10771772025552903,0.7623436514363214,0.8788159111933395,0.2291713937780914,0.06521453178298535,0.0,0.0,-1.9964918607229265e-11,-1.2113698932836314e-11,0.0,0.0,-3.8179132078042244e-10,-4.3829162521547005e-11,0.0,0.0,-0.15500992637605113,-0.04250318847254368
NR-AR,HT29,standardized,1,2,3042,3042,b8f7752a0314a7f8ba8b8516f11709f8055c718b7a0f79bfacf794871886e075,790,170,42,42,True,1.0,-1.7768911413926454,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100.0,True,True,2.9997578858151993e-09,3.2734618700576423e-09,False,100000000.0,100000000.0,True,False,2.733309098423512e-09,1.7669073044956907e-09,False,0.18690052260834217,0.5205959684487291,0.3721339333897676,0.10119643141101346,0.18690052260834217,0.5205959684487291,0.1728727903368374,0.038827573199600715,0.18690052260834217,0.5205959684487291,0.3721339332296099,0.10119643138931414,0.18690052260834217,0.5205959684487291,0.1728727902924662,0.03882757321161544,0.0,0.0,-1.6015766490795613e-10,-2.1699322894086492e-11,0.0,0.0,-4.437120115774462e-11,1.2014722550190982e-11,0.0,0.0,-0.19926114293714373,-0.0623688581776987
NR-AR,HT29,standardized,1,3,3042,3042,b8f7752a0314a7f8ba8b8516f11709f8055c718b7a0f79bfacf794871886e075,661,299,42,42,True,1.0,-1.9505463431438586,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,31.622776601683796,True,True,2.801890955073625e-09,3.490397309721671e-09,False,100000000.0,31.622776601683796,True,True,2.5648371200083868e-09,1.1107621246397859e-09,False,0.5605431065013494,0.7790927021696252,0.3642111013938877,0.09920423900092955,0.5605431065013494,0.7790927021696252,0.23008703830670915,0.06162110513470022,0.5605431065013494,0.7790927021696252,0.364211101291385,0.09920423896298208,0.5605431065013494,0.7790927021696252,0.23008703846704515,0.06162110524924566,0.0,0.0,-1.0250267301614713e-10,-3.7947464615051274e-11,0.0,0.0,1.6033599448128655e-10,1.145454425754977e-10,0.0,0.0,-0.13412406282433986,-0.03758313371373642
NR-AR,HT29,standardized,1,4,3042,3042,b8f7752a0314a7f8ba8b8516f11709f8055c718b7a0f79bfacf794871886e075,793,167,42,42,True,1.0,-1.7382383214419472,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,31.622776601683796,True,True,2.6167968717745e-09,2.596914145530649e-09,False,100000000.0,10.0,True,True,2.5923869404871535e-09,1.0104608625521871e-09,False,0.12079773545839292,0.5428571428571428,0.413323018273142,0.11868006041831174,0.12079773545839292,0.5428571428571428,0.1823548072240991,0.042378801344223505,0.12079773545839292,0.5428571428571428,0.41332301768638147,0.11868006014305285,0.12079773545839292,0.5428571428571428,0.18235480707455096,0.042378801340668876,0.0,0.0,-5.867605290532651e-10,-2.752588851295812e-10,0.0,0.0,-1.495481516400332e-10,-3.5546288135179793e-12,0.0,0.0,-0.2309682106118305,-0.07630125880238398
NR-AR,HT29,standardized,2,0,4042,4042,d9ab8239424e9049efb85998aae741d6d40041e0c8d117caa594aaf0bf08c6c7,854,106,42,42,True,1.0,-1.774873063204091,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,31.622776601683796,True,True,3.101746829577561e-09,4.019005169463019e-09,False,100000000.0,3.162277660168379,True,True,2.8686443386565727e-09,1.76615990582496e-09,False,0.3055761217866686,0.4653465346534653,0.4438245737702049,0.13308429033149977,0.3055761217866686,0.4653465346534653,0.19337930041856177,0.04436520744279881,0.3055761217866686,0.4653465346534653,0.4438245744579733,0.13308429061745497,0.3055761217866686,0.4653465346534653,0.19337930112024349,0.04436520757630754,0.0,0.0,6.87768397789057e-10,2.85955203960242e-10,0.0,0.0,7.016817127336594e-10,1.3350873184769796e-10,0.0,0.0,-0.2504452733377298,-0.08871908304114742
NR-AR,HT29,standardized,2,1,4042,4042,d9ab8239424e9049efb85998aae741d6d40041e0c8d117caa594aaf0bf08c6c7,745,215,42,42,True,1.0,-1.9129050168986694,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100.0,True,True,3.0005565103813003e-09,3.2333138891976754e-09,False,100000000.0,100000000.0,True,False,2.7126709461803142e-09,2.0287049679046376e-09,False,0.5393732281548098,0.7972610096670247,0.37896796914210995,0.10516202957644366,0.5393732281548098,0.7972610096670247,0.2359566587446151,0.06525491687277067,0.5393732281548098,0.7972610096670247,0.37896796990439036,0.10516202985253977,0.5393732281548098,0.7972610096670247,0.23595665857718784,0.06525491678997376,0.0,0.0,7.622804054641108e-10,2.76096104312451e-10,0.0,0.0,-1.6742726649532358e-10,-8.279690821844099e-11,0.0,0.0,-0.14301131132720252,-0.039907113062566
NR-AR,HT29,standardized,2,2,4042,4042,d9ab8239424e9049efb85998aae741d6d40041e0c8d117caa594aaf0bf08c6c7,789,171,42,42,True,1.0,-1.826737347496987,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.5437760762209158e-09,2.6316452454711037e-09,False,100000000.0,31.622776601683796,True,True,2.5174908904270777e-09,1.4503925491182734e-09,False,0.43381132944070444,0.6661425576519916,0.39741610889674167,0.11214814432463702,0.43381132944070444,0.6661425576519916,0.21417423466456578,0.05421735741582926,0.43381132944070444,0.6661425576519916,0.39741610877417904,0.1121481442324657,0.43381132944070444,0.6661425576519916,0.21417423454482928,0.05421735741310443,0.0,0.0,-1.225626267142843e-10,-9.217131224925623e-11,0.0,0.0,-1.1973649849394974e-10,-2.7248273082314256e-12,0.0,0.0,-0.18324187422934976,-0.05793078681936127
NR-AR,HT29,standardized,2,3,4042,4042,d9ab8239424e9049efb85998aae741d6d40041e0c8d117caa594aaf0bf08c6c7,679,281,42,42,True,1.0,-1.8023647237784963,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.7019730501908542e-09,2.9040138791944226e-09,False,100000000.0,100000000.0,True,False,2.455072244326971e-09,1.4749274614145325e-09,False,0.1953519648238852,0.5743713215623328,0.35082989224766126,0.09244692411113511,0.1953519648238852,0.5743713215623328,0.18736250068359808,0.04451027771573484,0.1953519648238852,0.5743713215623328,0.35082989221167515,0.09244692409687733,0.1953519648238852,0.5743713215623328,0.1873625007450796,0.04451027772208826,0.0,0.0,-3.598610298638505e-11,-1.4257789393568032e-11,0.0,0.0,6.148151432405768e-11,6.353417791871152e-12,0.0,0.0,-0.16346739146659556,-0.04793664637478907
NR-AR,HT29,standardized,2,4,4042,4042,d9ab8239424e9049efb85998aae741d6d40041e0c8d117caa594aaf0bf08c6c7,773,187,42,42,True,1.0,-1.9209712966763945,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,31.622776601683796,True,True,2.8569847683941473e-09,3.0437065931879226e-09,False,100000000.0,3.162277660168379,True,True,2.663681183165757e-09,1.1560129069276837e-09,False,0.7854669176665057,0.8903581267217631,0.3803916462962694,0.10552106288961152,0.7854669176665057,0.8903581267217631,0.2251772226923362,0.06376729475620943,0.7854669176665057,0.8903581267217631,0.38039164483670573,0.10552106232853359,0.7854669176665057,0.8903581267217631,0.22517722263025475,0.06376729488855859,0.0,0.0,-1.4595636921299615e-09,-5.610779341136407e-10,0.0,0.0,-6.20814510909895e-11,1.3234915940962821e-10,0.0,0.0,-0.15521442220645099,-0.041753767439975
NR-AR,HT29,standardized,3,0,5042,5042,056286a9f3637d10acfe834b93abafef0b73215b72a6c35cac09db8797da021a,848,112,42,42,True,1.0,-1.8458797134293623,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.7122899963152557e-09,2.7483672846231877e-09,False,100000000.0,100000000.0,True,False,2.555747956371176e-09,1.5320010156305575e-09,False,0.6365344874726353,0.7247596153846154,0.35472462397601884,0.09311951356074011,0.6365344874726353,0.7247596153846154,0.18882819468834042,0.047718417849179295,0.6365344874726353,0.7247596153846154,0.354724623442014,0.09311951331014771,0.6365344874726353,0.7247596153846154,0.18882819460030276,0.04771841790051111,0.0,0.0,-5.340048403468245e-10,-2.505923940576693e-10,0.0,0.0,-8.803766049503281e-11,5.133181379957108e-11,0.0,0.0,-0.16589642884171124,-0.045401095409636605
NR-AR,HT29,standardized,3,1,5042,5042,056286a9f3637d10acfe834b93abafef0b73215b72a6c35cac09db8797da021a,775,185,42,42,True,1.0,-1.7896921509078572,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,10000.0,True,True,3.401025562862661e-09,4.043823265825752e-09,False,100000000.0,31.622776601683796,True,True,3.028658660849952e-09,2.3190513606663465e-09,False,0.25932120501320655,0.6525714285714286,0.39182663540541024,0.11033706979576828,0.25932120501320655,0.6525714285714286,0.19490959823769605,0.04720446519270565,0.25932120501320655,0.6525714285714286,0.3918266355757763,0.11033706993684367,0.25932120501320655,0.6525714285714286,0.19490959848610712,0.047204465267535536,0.0,0.0,1.7036605459708198e-10,1.4107538748309167e-10,0.0,0.0,2.484110694922492e-10,7.482988534368573e-11,0.0,0.0,-0.19691703708966918,-0.06313260466930813
NR-AR,HT29,standardized,3,2,5042,5042,056286a9f3637d10acfe834b93abafef0b73215b72a6c35cac09db8797da021a,774,186,42,42,True,1.0,-1.9387316493827063,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.497128757153422e-09,2.305168899513488e-09,False,100000000.0,100000000.0,True,False,2.2837960269308086e-09,7.079803011206254e-10,False,0.6444022152152314,0.7676767676767677,0.4048663396714633,0.11650730590654809,0.6444022152152314,0.7676767676767677,0.26452880499153447,0.07369329530825994,0.6444022152152314,0.7676767676767677,0.4048663394795653,0.11650730584550416,0.6444022152152314,0.7676767676767677,0.2645288048169539,0.07369329531305709,0.0,0.0,-1.9189799749241843e-10,-6.104393379668949e-11,0.0,0.0,-1.7458057222086154e-10,4.797148789315031e-12,0.0,0.0,-0.1403375346626114,-0.04281401053244707
NR-AR,HT29,standardized,3,3,5042,5042,056286a9f3637d10acfe834b93abafef0b73215b72a6c35cac09db8797da021a,776,184,42,42,True,1.0,-1.7749734191214022,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,316.2277660168379,True,True,2.4381705119716194e-09,2.9000683694768714e-09,False,100000000.0,100000000.0,True,False,2.1729845727416467e-09,7.571585042970286e-10,False,0.31595998403811143,0.7879310344827586,0.38586183703704274,0.1072135312721235,0.31595998403811143,0.7879310344827586,0.17842488093506811,0.043441662184571926,0.31595998403811143,0.7879310344827586,0.3858618372602866,0.10721353134981661,0.31595998403811143,0.7879310344827586,0.17842488056423417,0.04344166208436802,0.0,0.0,2.232438678362314e-10,7.769310195193668e-11,0.0,0.0,-3.7083394688330884e-10,-1.0020390767140341e-10,0.0,0.0,-0.20743695669605244,-0.06377186926544859
