task,cell,variant,repeat_id,fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_outer_train,n_outer_test,inner_cv_seed_requested,inner_cv_seed_used,chemical_offset_frozen,chemical_offset_coefficient,d0_intercept,d1_intercept_refit,c1_has_intercept,stage2_likelihood,stage2_model_spec,alpha_c1,alpha_min_loss_c1,alpha_boundary_hit_c1,beta_saturated_no_signal_c1,beta_l2_norm_c1,final_gradient_inf_norm_c1,final_retry_used_c1,alpha_d1,alpha_min_loss_d1,alpha_boundary_hit_d1,beta_saturated_no_signal_d1,beta_l2_norm_d1,final_gradient_inf_norm_d1,final_retry_used_d1,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
NR-AR,MCF7,standardized,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,1005,254,42,42,True,1.0,-1.8894495120608756,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100.0,True,True,3.0038112244001123e-09,2.287117297633534e-09,False,100000000.0,3.162277660168379,True,True,3.1435715003737105e-09,8.898315036198756e-10,False,0.4292996650227042,0.7613636363636364,0.35763289279176713,0.09505265860993456,0.4292996650227042,0.7613636363636364,0.15734898841937545,0.036931233191973965,0.4292996650227042,0.7613636363636364,0.3576328929891912,0.09505265875189689,0.4292996650227042,0.7613636363636364,0.15734898854840007,0.036931233241357095,0.0,0.0,1.974240770863389e-10,1.419623307796769e-10,0.0,0.0,1.290246243179638e-10,4.9383129530067293e-11,0.0,0.0,-0.20028390444079114,-0.058121425510539795
NR-AR,MCF7,standardized,0,1,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,877,382,42,42,True,1.0,-1.9698666382490362,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100.0,True,True,2.7765450914737014e-09,2.5495538154632347e-09,False,100000000.0,10.0,True,True,3.1461860797928117e-09,1.142099598921975e-09,False,0.44862523495121803,0.6931818181818182,0.3386598366757283,0.08704272730904612,0.44862523495121803,0.6931818181818182,0.1816805742291852,0.04489413283441208,0.44862523495121803,0.6931818181818182,0.33865983661821986,0.0870427272966367,0.44862523495121803,0.6931818181818182,0.18168057411895927,0.04489413284056301,0.0,0.0,-5.7508442452558484e-11,-1.2409420713233033e-11,0.0,0.0,-1.1022593948695203e-10,6.150933928861235e-12,0.0,0.0,-0.15697926249926059,-0.04214859445607369
NR-AR,MCF7,standardized,0,2,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,991,268,42,42,True,1.0,-2.022497529032635,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3162.277660168379,True,True,2.1766880227689686e-09,1.2977172019271177e-09,False,100000000.0,10.0,True,True,2.3364187907858434e-09,8.219219853333737e-10,False,0.7064458941092506,0.8229598893499308,0.3988778646429977,0.11380509840797463,0.7064458941092506,0.8229598893499308,0.22803206700740064,0.06333556896706032,0.7064458941092506,0.8229598893499308,0.3988778643689893,0.11380509829261955,0.7064458941092506,0.8229598893499308,0.22803206652663435,0.0633355688319312,0.0,0.0,-2.7400837154800683e-10,-1.153550865939934e-10,0.0,0.0,-4.807662878913987e-10,-1.3512911622992618e-10,0.0,0.0,-0.17084579784235496,-0.05046952946068835
NR-AR,MCF7,standardized,0,3,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,1027,232,42,42,True,1.0,-1.8556473833830605,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.3436626887069136e-09,1.5866015168342074e-09,False,100000000.0,100000000.0,True,False,2.4419425092557696e-09,6.061140946783672e-10,False,0.32476438561874216,0.8036036036036036,0.38285693974035795,0.10659692857161834,0.32476438561874216,0.8036036036036036,0.15588177968310515,0.03630599383263684,0.32476438561874216,0.8036036036036036,0.38285693937888443,0.10659692840722644,0.32476438561874216,0.8036036036036036,0.15588177928531313,0.036305993768420704,0.0,0.0,-3.6147351778481607e-10,-1.643919028682106e-10,0.0,0.0,-3.977920215447739e-10,-6.421613935048143e-11,0.0,0.0,-0.2269751600935713,-0.07029093463880573
NR-AR,MCF7,standardized,0,4,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,1136,123,42,42,True,1.0,-2.0044401615742116,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,10.0,True,True,2.5956961377182895e-09,2.105958063752106e-09,False,100000000.0,3.162277660168379,True,True,2.853257620552632e-09,8.630764714023798e-10,False,0.4503886109095748,0.6574675324675324,0.38915427025431404,0.1082841135030006,0.4503886109095748,0.6574675324675324,0.2705762042197247,0.0731296187445783,0.4503886109095748,0.6574675324675324,0.38915427053285606,0.10828411367218144,0.4503886109095748,0.6574675324675324,0.27057620443453945,0.07312961876165701,0.0,0.0,2.785420227802149e-10,1.691808360071434e-10,0.0,0.0,2.1481472156636983e-10,1.707871344347467e-11,0.0,0.0,-0.11857806609831661,-0.03515449491052443
NR-AR,MCF7,standardized,1,0,3042,3042,54ab3dfaa24c942fc71293f7708090957f7df16c18549c7a129593651561f116,1019,240,42,42,True,1.0,-2.05729688840992,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,31.622776601683796,True,True,2.980037653392598e-09,2.248367342999602e-09,False,100000000.0,3.162277660168379,True,True,3.217809871020663e-09,8.690502172059578e-10,False,0.7251841244227799,0.8126511627906977,0.3808333594683207,0.10571927381867272,0.7251841244227799,0.8126511627906977,0.23570112072207833,0.06651157805303722,0.7251841244227799,0.8126511627906977,0.3808333597167188,0.1057192739527991,0.7251841244227799,0.8126511627906977,0.2357011209479563,0.06651157808261154,0.0,0.0,2.483980798828611e-10,1.3412639054966036e-10,0.0,0.0,2.2587798298445705e-10,2.957432909678204e-11,0.0,0.0,-0.14513223876876247,-0.03920769587018756
NR-AR,MCF7,standardized,1,1,3042,3042,54ab3dfaa24c942fc71293f7708090957f7df16c18549c7a129593651561f116,1017,242,42,42,True,1.0,-1.8193280907570366,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100.0,True,True,2.8505871737196552e-09,2.3262882245522754e-09,False,100000000.0,3.162277660168379,True,True,3.160945152727095e-09,1.0643406295196556e-09,False,0.4610069537019665,0.6981837606837606,0.3726251410207526,0.10150184590548397,0.4610069537019665,0.6981837606837606,0.13378483460838875,0.027546556488085187,0.4610069537019665,0.6981837606837606,0.3726251411212592,0.10150184594846852,0.4610069537019665,0.6981837606837606,0.1337848347772183,0.02754655649622335,0.0,0.0,1.0050660304017356e-10,4.298454647777561e-11,0.0,0.0,1.68829561442152e-10,8.138163754001226e-12,0.0,0.0,-0.2388403063440409,-0.07395528945224517
NR-AR,MCF7,standardized,1,2,3042,3042,54ab3dfaa24c942fc71293f7708090957f7df16c18549c7a129593651561f116,992,267,42,42,True,1.0,-1.9133211721698133,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,10.0,True,True,2.2943138094667894e-09,1.4980502264019813e-09,False,100000000.0,1.0,True,True,2.39771815485801e-09,4.94544767984384e-10,False,0.15929548540504107,0.6303921568627451,0.35649236198879786,0.09452883989388051,0.15929548540504107,0.6303921568627451,0.1771583855068954,0.04171370958048837,0.15929548540504107,0.6303921568627451,0.3564923614496012,0.09452883968245004,0.15929548540504107,0.6303921568627451,0.17715838507378173,0.04171370951007682,0.0,0.0,-5.391966317880303e-10,-2.1143047035376838e-10,0.0,0.0,-4.331136560509208e-10,-7.04115446503728e-11,0.0,0.0,-0.1793339763758195,-0.05281513017237322
NR-AR,MCF7,standardized,1,3,3042,3042,54ab3dfaa24c942fc71293f7708090957f7df16c18549c7a129593651561f116,877,382,42,42,True,1.0,-2.1096482417910813,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.0511478092883433e-09,8.391931524687202e-10,False,100000000.0,100000000.0,True,False,2.086804420584779e-09,2.6016511427834343e-10,False,0.5522319869904004,0.8192237561865069,0.3616038756772016,0.0975935681301926,0.5522319869904004,0.8192237561865069,0.22867027457373676,0.06316390500193417,0.5522319869904004,0.8192237561865069,0.36160387572692276,0.09759356814939454,0.5522319869904004,0.8192237561865069,0.22867027427373332,0.06316390494047841,0.0,0.0,4.972117162438394e-11,1.9201945589131242e-11,0.0,0.0,-3.00003438757912e-10,-6.145575714988638e-11,0.0,0.0,-0.13293360145318944,-0.034429663208916134
NR-AR,MCF7,standardized,1,4,3042,3042,54ab3dfaa24c942fc71293f7708090957f7df16c18549c7a129593651561f116,1131,128,42,42,True,1.0,-1.8874817459643183,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,10.0,True,True,2.6079612644927496e-09,2.062367421371697e-09,False,100000000.0,3.162277660168379,True,True,2.877716369318399e-09,8.490184180698357e-10,False,0.15022966414288486,0.4576612903225806,0.38205807660535135,0.1053662592093163,0.15022966414288486,0.4576612903225806,0.14555643572569354,0.03011761647882321,0.15022966414288486,0.4576612903225806,0.3820580771803153,0.10536625945694725,0.15022966414288486,0.4576612903225806,0.14555643586563075,0.030117616509409417,0.0,0.0,5.74963965327413e-10,2.4763094352842074e-10,0.0,0.0,1.3993720071603377e-10,3.0586207178107117e-11,0.0,0.0,-0.23650164131468457,-0.07524864294753783
