task,cell,variant,repeat_id,fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_outer_train,n_outer_test,inner_cv_seed_requested,inner_cv_seed_used,chemical_offset_frozen,chemical_offset_coefficient,d0_intercept,d1_intercept_refit,c1_has_intercept,stage2_likelihood,stage2_model_spec,alpha_c1,alpha_min_loss_c1,alpha_boundary_hit_c1,beta_saturated_no_signal_c1,beta_l2_norm_c1,final_gradient_inf_norm_c1,final_retry_used_c1,alpha_d1,alpha_min_loss_d1,alpha_boundary_hit_d1,beta_saturated_no_signal_d1,beta_l2_norm_d1,final_gradient_inf_norm_d1,final_retry_used_d1,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
NR-AhR,HT29,standardized,0,0,2042,2042,8db16dd2a39987affa65a883d24486a11b75d3092aec712b57a6d0577b43dcb2,755,86,42,42,True,1.0,-1.3413463002684778,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,3.5262942161333533e-09,3.011888821680131e-09,False,100000000.0,3.162277660168379,True,True,3.484995844980822e-09,1.5431882889604953e-09,False,0.5718430421338739,0.7924882629107981,0.40221953357254403,0.12466649299288898,0.5718430421338739,0.7924882629107981,0.38896401279335435,0.1199537638062506,0.5718430421338739,0.7924882629107981,0.40221953309883235,0.12466649273263544,0.5718430421338739,0.7924882629107981,0.3889640125079819,0.11995376363420011,0.0,0.0,-4.7371168099275e-10,-2.602535409401696e-10,0.0,0.0,-2.8537244789461624e-10,-1.7205048497004327e-10,0.0,0.0,-0.013255520590850445,-0.004712729098435328
NR-AhR,HT29,standardized,0,1,2042,2042,8db16dd2a39987affa65a883d24486a11b75d3092aec712b57a6d0577b43dcb2,687,154,42,42,True,1.0,-1.264442239761412,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,10.0,True,True,3.7256678594327075e-09,2.912345593852894e-09,False,100000000.0,3.162277660168379,True,True,3.825322726128824e-09,1.3060294894173818e-09,False,0.5330764245180721,0.9040032679738561,0.35755532604480117,0.10531262024881256,0.5330764245180721,0.9040032679738561,0.26332648925059554,0.07987847509443792,0.5330764245180721,0.9040032679738561,0.3575553259798552,0.10531262016724212,0.5330764245180721,0.9040032679738561,0.2633264892092817,0.07987847507840966,0.0,0.0,-6.49459930279761e-11,-8.157044484313758e-11,0.0,0.0,-4.131384123695625e-11,-1.602826205093777e-11,0.0,0.0,-0.09422883677057348,-0.02543414508883246
NR-AhR,HT29,standardized,0,2,2042,2042,8db16dd2a39987affa65a883d24486a11b75d3092aec712b57a6d0577b43dcb2,586,255,42,42,True,1.0,-1.149947079457389,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,3.7151138660553585e-09,1.6329117329128007e-09,False,100000000.0,3.162277660168379,True,True,3.6141785072953595e-09,4.1281872711906864e-10,False,0.3775025508950962,0.8194444444444444,0.3894239124205142,0.1166463239516692,0.3775025508950962,0.8194444444444444,0.26325044152152643,0.07412966343129113,0.3775025508950962,0.8194444444444444,0.3894239124129736,0.11664632395494604,0.3775025508950962,0.8194444444444444,0.26325044145785514,0.07412966342473822,0.0,0.0,-7.540634783254063e-12,3.2768371349689573e-12,0.0,0.0,-6.367129046225273e-11,-6.552910991608485e-12,0.0,0.0,-0.12617347095511844,-0.04251666053020782
NR-AhR,HT29,standardized,0,3,2042,2042,8db16dd2a39987affa65a883d24486a11b75d3092aec712b57a6d0577b43dcb2,651,190,42,42,True,1.0,-1.3052538254344543,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,3.6448243763746083e-09,2.990426094685167e-09,False,100000000.0,100000000.0,True,False,3.5348978059553708e-09,2.104781647582765e-09,False,0.5564200390662679,0.8152056277056277,0.3267807476995547,0.09681757648417852,0.5564200390662679,0.8152056277056277,0.26620590081309836,0.07551283940009548,0.5564200390662679,0.8152056277056277,0.32678074687974906,0.09681757615137508,0.5564200390662679,0.8152056277056277,0.26620590047728127,0.07551283936671507,0.0,0.0,-8.198056122843411e-10,-3.328034375860156e-10,0.0,0.0,-3.3581709635299717e-10,-3.3380409547589807e-11,0.0,0.0,-0.0605748464024678,-0.02130473678466001
NR-AhR,HT29,standardized,0,4,2042,2042,8db16dd2a39987affa65a883d24486a11b75d3092aec712b57a6d0577b43dcb2,685,156,42,42,True,1.0,-1.23687824429447,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,3.912187110334271e-09,3.877950906575056e-09,False,100000000.0,1.0,True,True,3.8465345986427366e-09,2.0034596412421557e-09,False,0.34498967519243595,0.6741071428571428,0.40314701260792524,0.12354998235463413,0.34498967519243595,0.6741071428571428,0.29782953453115607,0.08172891581831482,0.34498967519243595,0.6741071428571428,0.40314701308705536,0.1235499825537216,0.34498967519243595,0.6741071428571428,0.29782953456274147,0.08172891583629847,0.0,0.0,4.79130124464433e-10,1.9908746873298355e-10,0.0,0.0,3.1585400961375854e-11,1.7983656230846634e-11,0.0,0.0,-0.10531747852431389,-0.041821066717423125
NR-AhR,HT29,standardized,1,0,3042,3042,2afebc09e5eff0fa05bd409a462743691947c937b3ccaaac06cc3f199d4f0536,750,91,42,42,True,1.0,-1.388027904772696,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,316.2277660168379,True,True,3.5644372675202455e-09,3.0633100084331844e-09,False,100000000.0,100000000.0,True,False,3.3801889583515308e-09,1.8559637021686726e-09,False,0.6521101906779814,0.780952380952381,0.4485166128845366,0.14296194863790895,0.6521101906779814,0.780952380952381,0.46775240374389576,0.1452042511469782,0.6521101906779814,0.780952380952381,0.4485166121805543,0.14296194832519177,0.6521101906779814,0.780952380952381,0.46775240326277157,0.14520425085704697,0.0,0.0,-7.039823168852877e-10,-3.127171854799826e-10,0.0,0.0,-4.811241960389623e-10,-2.8993124567833206e-10,0.0,0.0,0.01923579108221729,0.0022423025318552003
NR-AhR,HT29,standardized,1,1,3042,3042,2afebc09e5eff0fa05bd409a462743691947c937b3ccaaac06cc3f199d4f0536,679,162,42,42,True,1.0,-1.3248059045007594,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,3.5928527373687218e-09,3.4263538083167955e-09,False,100000000.0,100000000.0,True,False,3.448243817094038e-09,1.5710919024081171e-09,False,0.5464779506138531,0.8142519419115164,0.35824949049600185,0.10783698892485205,0.5464779506138531,0.8142519419115164,0.3008079123551804,0.08964880998019031,0.5464779506138531,0.8142519419115164,0.35824948985859145,0.10783698870738229,0.5464779506138531,0.8142519419115164,0.300807912039613,0.08964880998010025,0.0,0.0,-6.37410402237748e-10,-2.1746976441860966e-10,0.0,0.0,-3.1556740553995155e-10,-9.006684287271582e-14,0.0,0.0,-0.05744157781897846,-0.01818817872728204
NR-AhR,HT29,standardized,1,2,3042,3042,2afebc09e5eff0fa05bd409a462743691947c937b3ccaaac06cc3f199d4f0536,652,189,42,42,True,1.0,-1.1831540814931705,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,3.745790562581642e-09,2.5782954261172053e-09,False,100000000.0,3.162277660168379,True,True,3.874475137411718e-09,1.7447880501508806e-09,False,0.191992455548848,0.75743006993007,0.34467240982873387,0.10235568600868974,0.191992455548848,0.75743006993007,0.23077740489856288,0.06349285275706566,0.191992455548848,0.75743006993007,0.34467241034854174,0.10235568620684288,0.191992455548848,0.75743006993007,0.23077740463143143,0.06349285269861704,0.0,0.0,5.198078634194303e-10,1.9815313279103464e-10,0.0,0.0,-2.671314558444493e-10,-5.844862094317449e-11,0.0,0.0,-0.11389500571711031,-0.038862833508225836
NR-AhR,HT29,standardized,1,3,3042,3042,2afebc09e5eff0fa05bd409a462743691947c937b3ccaaac06cc3f199d4f0536,605,236,42,42,True,1.0,-1.1223317547564209,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,4.031474974570902e-09,1.9336281360804453e-09,False,100000000.0,1.0,True,True,4.065913229138063e-09,1.4580638155181624e-09,False,0.4779087847021652,0.8048611111111111,0.374020700238274,0.10896482658983465,0.4779087847021652,0.8048611111111111,0.24036883225164582,0.0626981624932228,0.4779087847021652,0.8048611111111111,0.3740207001850471,0.10896482657700837,0.4779087847021652,0.8048611111111111,0.240368832202703,0.06269816247991401,0.0,0.0,-5.32269228692428e-11,-1.2826281703404163e-11,0.0,0.0,-4.894282201739486e-11,-1.3308784629906256e-11,0.0,0.0,-0.13365186798234407,-0.04626666409709436
NR-AhR,HT29,standardized,1,4,3042,3042,2afebc09e5eff0fa05bd409a462743691947c937b3ccaaac06cc3f199d4f0536,678,163,42,42,True,1.0,-1.2854755920065146,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,3.5528376537354442e-09,2.3387849226730317e-09,False,100000000.0,1.0,True,True,3.486810736364979e-09,1.037113395163658e-09,False,0.4351812495434918,0.8269230769230769,0.37836425673872714,0.11541937447839873,0.4351812495434918,0.8269230769230769,0.29577224652968387,0.08937395916513033,0.4351812495434918,0.8269230769230769,0.3783642562245361,0.11541937420959048,0.4351812495434918,0.8269230769230769,0.29577224633971666,0.08937395915853334,0.0,0.0,-5.141910230932467e-10,-2.688082534341163e-10,0.0,0.0,-1.8996720863029282e-10,-6.596986845686104e-12,0.0,0.0,-0.08259200988481946,-0.026045415051057133
