task,cell,variant,repeat_id,fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_outer_train,n_outer_test,inner_cv_seed_requested,inner_cv_seed_used,chemical_offset_frozen,chemical_offset_coefficient,d0_intercept,d1_intercept_refit,c1_has_intercept,stage2_likelihood,stage2_model_spec,alpha_c1,alpha_min_loss_c1,alpha_boundary_hit_c1,beta_saturated_no_signal_c1,beta_l2_norm_c1,final_gradient_inf_norm_c1,final_retry_used_c1,alpha_d1,alpha_min_loss_d1,alpha_boundary_hit_d1,beta_saturated_no_signal_d1,beta_l2_norm_d1,final_gradient_inf_norm_d1,final_retry_used_d1,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
NR-Aromatase,HT29,standardized,0,0,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,680,78,42,42,True,1.0,-1.949281964401316,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,3.918649849657291e-09,3.1269977857073528e-09,False,100000000.0,1.0,True,True,4.046915780506526e-09,8.679747753870259e-10,False,0.34409121713201407,0.7314814814814815,0.5192502222472972,0.1673001023167422,0.34409121713201407,0.7314814814814815,0.2423269089778568,0.06389451217697124,0.34409121713201407,0.7314814814814815,0.5192502220194195,0.16730010220881342,0.34409121713201407,0.7314814814814815,0.24232690780924857,0.06389451192276087,0.0,0.0,-2.2787771669641188e-10,-1.0792877702670012e-10,0.0,0.0,-1.1686082379558371e-09,-2.5421037497252996e-10,0.0,0.0,-0.2769233142101709,-0.10340559028605255
NR-Aromatase,HT29,standardized,0,1,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,632,126,42,42,True,1.0,-1.9996122056107277,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,4.423301364795319e-09,4.49553397372654e-09,False,100000000.0,1.0,True,True,4.408125786905073e-09,1.2768724272360643e-09,False,0.534775641025641,0.8808479532163742,0.47113568611782614,0.14526083094140024,0.534775641025641,0.8808479532163742,0.25548510645456574,0.07330020272348846,0.534775641025641,0.8808479532163742,0.4711356855731041,0.1452608307988416,0.534775641025641,0.8808479532163742,0.255485105838362,0.07330020258642662,0.0,0.0,-5.447220452481361e-10,-1.4255863156620308e-10,0.0,0.0,-6.162037546886268e-10,-1.3706183410455708e-10,0.0,0.0,-0.2156505797347421,-0.07196062821241499
NR-Aromatase,HT29,standardized,0,2,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,533,225,42,42,True,1.0,-1.8632282449702045,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,31.622776601683796,3.162277660168379,False,False,0.01239625527641091,4.603846534174949e-07,False,100000000.0,3.162277660168379,True,True,4.548014477577416e-09,8.985888517651364e-10,False,0.18937612029509054,0.7390453834115805,0.45719846923092167,0.13820096077069952,0.18937612029509054,0.7390453834115805,0.199025519505076,0.048912833543780544,0.20082018205335442,0.7730829420970265,0.4562976930936895,0.1378411184686898,0.18937612029509054,0.7390453834115805,0.19902551863787526,0.048912833427739486,0.011444061758263874,0.034037558685446,-0.0009007761372321621,-0.0003598423020097219,0.0,0.0,-8.672007278942573e-10,-1.1604105870643977e-10,-0.011444061758263874,-0.034037558685446,-0.25727217445581424,-0.08892828504095031
NR-Aromatase,HT29,standardized,0,3,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,588,170,42,42,True,1.0,-1.9862472231172565,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,31.622776601683796,1.0,False,False,0.010932141688097289,7.748245220325078e-07,False,100000000.0,1.0,True,True,4.121477511832639e-09,8.748187695084564e-10,False,0.4435067931804482,0.6968344155844156,0.5036961948496497,0.1605311812799592,0.4435067931804482,0.6968344155844156,0.26996348493037253,0.07320811050348999,0.448223350165306,0.7041396103896104,0.5021116009443987,0.15979315372035,0.4435067931804482,0.6968344155844156,0.26996348482735105,0.07320811056720573,0.004716556984857789,0.007305194805194759,-0.0015845939052510083,-0.0007380275596091945,0.0,0.0,-1.0302148023555446e-10,6.371574101660116e-11,-0.004716556984857789,-0.007305194805194759,-0.2321481161170476,-0.08658504315314426
NR-Aromatase,HT29,standardized,0,4,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,599,159,42,42,True,1.0,-2.0580116888228663,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,31.622776601683796,1.0,False,False,0.012149600340491421,3.3344897168918405e-07,False,100000000.0,1.0,True,True,5.007738763390633e-09,1.9953181676357623e-09,False,0.275933377356105,0.6743993371996686,0.5176745427118473,0.16695148399785156,0.275933377356105,0.6743993371996686,0.3245922616517945,0.09239108283426833,0.28019650835168186,0.671913835956918,0.5188500157833659,0.16744775348984803,0.275933377356105,0.6743993371996686,0.3245922620436112,0.09239108285489656,0.004263130995576847,-0.0024855012427505985,0.0011754730715185513,0.000496269491996465,0.0,0.0,3.9181669020393883e-10,2.0628221353291565e-11,-0.004263130995576847,0.0024855012427505985,-0.19425775373975468,-0.07505667063495147
NR-Aromatase,HT29,standardized,1,0,3042,3042,7acc1d48b3dd2aa4d381fe366f83f073b33943366a26cdcf57f9b3872f0e2f92,688,70,42,42,True,1.0,-1.9924345868235365,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,4.108608956399858e-09,3.789893349723326e-09,False,3.162277660168379,1.0,False,False,0.08884825212808,3.237592926114141e-07,False,0.49539571926331505,0.7324263038548753,0.47201158930294124,0.14625312607477775,0.49539571926331505,0.7324263038548753,0.2758396393084937,0.0764339031874102,0.49539571926331505,0.7324263038548753,0.47201158912636954,0.14625312589148853,0.5566868505644016,0.7301587301587301,0.2627237312290787,0.07034340403463056,0.0,0.0,-1.7657170170437553e-10,-1.832892171371725e-10,0.06129113130108654,-0.0022675736961451642,-0.013115908079414984,-0.006090499152779635,0.06129113130108654,-0.0022675736961451642,-0.20928785789729082,-0.07590972185685797
NR-Aromatase,HT29,standardized,1,1,3042,3042,7acc1d48b3dd2aa4d381fe366f83f073b33943366a26cdcf57f9b3872f0e2f92,617,141,42,42,True,1.0,-1.8550937458526302,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,10.0,1.0,False,False,0.03356182881927824,7.015827503641103e-07,False,100000000.0,1.0,True,True,4.651439431845986e-09,7.531409263600297e-10,False,0.23085932293749167,0.7246913580246913,0.4836683982705607,0.15043260135177175,0.23085932293749167,0.7246913580246913,0.17617839031681398,0.040034878572920825,0.1938229046518642,0.7246913580246914,0.4813662938106094,0.1494845058545066,0.23085932293749167,0.7246913580246913,0.1761783904321537,0.04003487864832393,-0.03703641828562748,1.1102230246251565e-16,-0.0023021044599512708,-0.0009480954972651556,0.0,0.0,1.1533971000510235e-10,7.540310736908751e-11,0.03703641828562748,-1.1102230246251565e-16,-0.3051879033784557,-0.10944962720618266
NR-Aromatase,HT29,standardized,1,2,3042,3042,7acc1d48b3dd2aa4d381fe366f83f073b33943366a26cdcf57f9b3872f0e2f92,609,149,42,42,True,1.0,-1.9441142286467765,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,0.31622776601683794,False,False,0.07877436546917255,6.236760555266077e-07,False,100000000.0,0.31622776601683794,True,True,3.961735893100953e-09,6.205971812833777e-10,False,0.32628954617005546,0.6745742092457421,0.5132212023394029,0.16462481890746558,0.32628954617005546,0.6745742092457421,0.253397439495985,0.06718385972159782,0.42613159618350077,0.7414841849148418,0.5035240762610921,0.16033880123072533,0.32628954617005546,0.6745742092457421,0.2533974382516862,0.06718385953114146,0.09984205001344532,0.06690997566909973,-0.009697126078310858,-0.00428601767674025,0.0,0.0,-1.2442987751271062e-09,-1.9045635901715485e-10,-0.09984205001344532,-0.06690997566909973,-0.2501266380094059,-0.09315494169958387
NR-Aromatase,HT29,standardized,1,3,3042,3042,7acc1d48b3dd2aa4d381fe366f83f073b33943366a26cdcf57f9b3872f0e2f92,513,245,42,42,True,1.0,-2.0028607754732413,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,1.0,False,False,0.07956080869297907,2.8946114873952544e-07,False,100000000.0,1.0,True,True,4.108463951308526e-09,8.687884231473042e-10,False,0.37912611454095313,0.7935555555555556,0.4572933346749836,0.13868074264648578,0.37912611454095313,0.7935555555555556,0.24438804684016524,0.06647977047131726,0.5077898657534275,0.8231111111111111,0.4488344615928887,0.1353058391036767,0.37912611454095313,0.7935555555555556,0.24438804578681933,0.06647977026095891,0.12866375121247442,0.029555555555555557,-0.00845887308209492,-0.003374903542809088,0.0,0.0,-1.0533459104955512e-09,-2.1035834185667568e-10,-0.12866375121247442,-0.029555555555555557,-0.20444641580606937,-0.06882606884271777
NR-Aromatase,HT29,standardized,1,4,3042,3042,7acc1d48b3dd2aa4d381fe366f83f073b33943366a26cdcf57f9b3872f0e2f92,605,153,42,42,True,1.0,-2.0757478523033517,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,4.545519042875831e-09,5.2325713310874544e-09,False,100000000.0,1.0,True,True,4.809507301705704e-09,2.2445695649353503e-09,False,0.34209514517418194,0.7193415637860082,0.5289411322053584,0.1720815689185983,0.34209514517418194,0.7193415637860082,0.33931011959011553,0.09907670162114042,0.34209514517418194,0.7193415637860082,0.5289411333347073,0.1720815694408545,0.34209514517418194,0.7193415637860082,0.3393101197521596,0.09907670174579589,0.0,0.0,1.1293488366703741e-09,5.222562105000605e-10,0.0,0.0,1.6204404484909674e-10,1.2465546650464177e-10,0.0,0.0,-0.1896310135825477,-0.07300486769505862
