task,cell,variant,repeat_id,fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_outer_train,n_outer_test,inner_cv_seed_requested,inner_cv_seed_used,chemical_offset_frozen,chemical_offset_coefficient,d0_intercept,d1_intercept_refit,c1_has_intercept,stage2_likelihood,stage2_model_spec,alpha_c1,alpha_min_loss_c1,alpha_boundary_hit_c1,beta_saturated_no_signal_c1,beta_l2_norm_c1,final_gradient_inf_norm_c1,final_retry_used_c1,alpha_d1,alpha_min_loss_d1,alpha_boundary_hit_d1,beta_saturated_no_signal_d1,beta_l2_norm_d1,final_gradient_inf_norm_d1,final_retry_used_d1,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
NR-Aromatase,MCF7,standardized,0,0,2042,2042,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,820,201,42,42,True,1.0,-2.075493529871008,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,3.6814604281327037e-09,1.47342592120292e-09,False,100000000.0,1.0,True,True,4.187047057678838e-09,7.280434727308105e-10,False,0.3422680754700639,0.7746163682864451,0.4999794502020472,0.15872101506861508,0.3422680754700639,0.7746163682864451,0.25548963551467396,0.07054297822956535,0.3422680754700639,0.7746163682864451,0.4999794499273549,0.15872101493981203,0.3422680754700639,0.7746163682864451,0.25548963549976117,0.07054297823635425,0.0,0.0,-2.7469232444232716e-10,-1.2880305155782423e-10,0.0,0.0,-1.491279322252126e-11,6.78890277328037e-12,0.0,0.0,-0.2444898144275937,-0.08817803670345778
NR-Aromatase,MCF7,standardized,0,1,2042,2042,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,829,192,42,42,True,1.0,-2.2170926838830867,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,2.7324577751459693e-09,8.502064469118054e-10,False,1.0,1.0,False,False,0.1913095260530735,5.154989819334405e-07,False,0.4304696999627774,0.7563673784409571,0.48290662354666986,0.15145317205714331,0.4304696999627774,0.7563673784409571,0.33576125395689244,0.0971262037589747,0.4304696999627774,0.7563673784409571,0.48290662300826925,0.15145317181339354,0.5455078304299672,0.8420375611011063,0.29190876704395113,0.08654170529735462,0.0,0.0,-5.384006018793741e-10,-2.437497703677849e-10,0.1150381304671898,0.08567018266014914,-0.0438524869129413,-0.010584498461620073,0.1150381304671898,0.08567018266014914,-0.19099785596431812,-0.06491146651603892
NR-Aromatase,MCF7,standardized,0,2,2042,2042,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,797,224,42,42,True,1.0,-1.9871728759139435,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,0.31622776601683794,True,True,3.764117880048653e-09,9.012402560348853e-10,False,10.0,0.31622776601683794,False,False,0.037165631738548935,9.946659353804455e-07,False,0.4693066450010895,0.7940251572327044,0.44439654146154545,0.13342735809011477,0.4693066450010895,0.7940251572327044,0.17666842910814956,0.04366051335627056,0.4693066450010895,0.7940251572327044,0.4443965411983532,0.13342735800007283,0.4725303601461488,0.8121069182389937,0.1733979324043755,0.0428336844999541,0.0,0.0,-2.6319224577520117e-10,-9.00419461213886e-11,0.0032237151450593138,0.018081761006289332,-0.0032704967037740507,-0.0008268288563164569,0.0032237151450593138,0.018081761006289332,-0.2709986087939777,-0.09059367350011872
NR-Aromatase,MCF7,standardized,0,3,2042,2042,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,940,81,42,42,True,1.0,-2.0771919038929436,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,3.3010442228342113e-09,1.1675824940129281e-09,False,3.162277660168379,1.0,False,False,0.08541600668157284,9.284123923055006e-07,False,0.6078417958852742,0.8578767123287672,0.47211789684446415,0.14572393645698226,0.6078417958852742,0.8578767123287672,0.24833522538578268,0.06955264758864688,0.6078417958852742,0.8578767123287672,0.4721178968094913,0.14572393644266823,0.7037603347790728,0.8698630136986302,0.2320684931063198,0.06475638810551505,0.0,0.0,-3.49728579429609e-11,-1.4314022189765296e-11,0.09591853889379864,0.011986301369863006,-0.016266732279462875,-0.004796259483131823,0.09591853889379864,0.011986301369863006,-0.2400494037031715,-0.08096754833715318
NR-Aromatase,MCF7,standardized,0,4,2042,2042,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,698,323,42,42,True,1.0,-1.929804090463848,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,10.0,1.0,False,False,0.03197213554573416,2.3381669635169633e-07,False,10.0,0.31622776601683794,False,False,0.03798761482476328,7.276976475221715e-07,False,0.2251089951986871,0.7267915309446255,0.45777866733797823,0.1391246363786114,0.2251089951986871,0.7267915309446255,0.18637652320369874,0.04474403034784815,0.24753310181059565,0.7198697068403909,0.45413790300584944,0.13753035082547815,0.26399504502823457,0.7178338762214984,0.18442882501546215,0.044178355251169366,0.02242410661190855,-0.006921824104234586,-0.0036407643321287875,-0.0015942855531332345,0.038886049829547464,-0.00895765472312704,-0.0019476981882365907,-0.0005656750966787846,0.016461943217638914,-0.0020358306188924535,-0.2697090779903873,-0.09335199557430879
NR-Aromatase,MCF7,standardized,1,0,3042,3042,f879cb07dabcab2d910c4e8c64d99c9118180e4f274d89e7db504a7826789d25,819,202,42,42,True,1.0,-2.09864037931881,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,3.0396606184979005e-09,9.725521204345666e-10,False,100000000.0,0.31622776601683794,True,True,3.3677635717885274e-09,9.710085790981537e-10,False,0.5009748353651639,0.7983091787439613,0.4679711838953654,0.14479373606666104,0.5009748353651639,0.7983091787439613,0.24763397834994316,0.06902328734956328,0.5009748353651639,0.7983091787439613,0.46797118353555067,0.14479373590407474,0.5009748353651639,0.7983091787439613,0.24763397754440397,0.0690232872268974,0.0,0.0,-3.598147335637236e-10,-1.6258630552989928e-10,0.0,0.0,-8.055391909067566e-10,-1.2266587745557445e-10,0.0,0.0,-0.2203372059911467,-0.07577044867717733
NR-Aromatase,MCF7,standardized,1,1,3042,3042,f879cb07dabcab2d910c4e8c64d99c9118180e4f274d89e7db504a7826789d25,821,200,42,42,True,1.0,-2.120862732161391,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,3.67705251617278e-09,1.6337389670273428e-09,False,3.162277660168379,1.0,False,False,0.09152395863398922,7.629007443762936e-07,False,0.38369620084379535,0.8147130647130647,0.46937121964660683,0.14466426587758274,0.38369620084379535,0.8147130647130647,0.26383820190328683,0.07475759485103665,0.38369620084379535,0.8147130647130647,0.46937121952381744,0.14466426583003092,0.43098260362114765,0.8293650793650793,0.2555992981872752,0.07296996504700777,0.0,0.0,-1.22789389767064e-10,-4.7551823589842e-11,0.0472864027773523,0.0146520146520146,-0.008238903716011603,-0.001787629804028884,0.0472864027773523,0.0146520146520146,-0.21377192133654221,-0.07169430078302315
NR-Aromatase,MCF7,standardized,1,2,3042,3042,f879cb07dabcab2d910c4e8c64d99c9118180e4f274d89e7db504a7826789d25,680,341,42,42,True,1.0,-1.9998896207892023,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,3.900578310563711e-09,1.892538610201444e-09,False,100000000.0,1.0,True,True,4.2193829378243126e-09,8.517911098682163e-10,False,0.25589765197489034,0.7372023809523809,0.4627159201199967,0.1414072947323783,0.25589765197489034,0.7372023809523809,0.2124535690683259,0.054266874489249176,0.25589765197489034,0.7372023809523809,0.4627159198875096,0.1414072946359664,0.25589765197489034,0.7372023809523809,0.2124535686953985,0.05426687441810644,0.0,0.0,-2.3248708513889937e-10,-9.641190623632667e-11,0.0,0.0,-3.7292741117411765e-10,-7.114273753439093e-11,0.0,0.0,-0.2502623511921111,-0.08714042021785998
NR-Aromatase,MCF7,standardized,1,3,3042,3042,f879cb07dabcab2d910c4e8c64d99c9118180e4f274d89e7db504a7826789d25,936,85,42,42,True,1.0,-2.0348713802664253,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,3.256606891530125e-09,9.284100606354873e-10,False,100000000.0,1.0,True,True,3.630878446981135e-09,1.3909250140553553e-09,False,0.5617108585858586,0.759493670886076,0.5053614375925831,0.16238468280090954,0.5617108585858586,0.759493670886076,0.20854817683459326,0.05259621890771734,0.5617108585858586,0.759493670886076,0.5053614372731802,0.16238468268583311,0.5617108585858586,0.759493670886076,0.20854817604734463,0.05259621871377972,0.0,0.0,-3.194029485342753e-10,-1.1507642061481249e-10,0.0,0.0,-7.872486273985402e-10,-1.9393761596653292e-10,0.0,0.0,-0.2968132612258355,-0.10978846397205339
NR-Aromatase,MCF7,standardized,1,4,3042,3042,f879cb07dabcab2d910c4e8c64d99c9118180e4f274d89e7db504a7826789d25,828,193,42,42,True,1.0,-2.0339048944019846,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,1.0,False,False,0.07491373482045945,4.4115954660021994e-07,False,3.162277660168379,0.31622776601683794,False,False,0.09151437303982037,9.220653067235594e-07,False,0.4611518998000569,0.7705128205128204,0.46485259928006856,0.1420040636085777,0.4611518998000569,0.7705128205128204,0.21001385617706642,0.054310158916272444,0.5229685208408613,0.7773504273504273,0.45705739148185814,0.13854808003536523,0.5445327290845084,0.7752136752136752,0.20303545313974442,0.052208710304257534,0.06181662104080443,0.006837606837606813,-0.007795207798210413,-0.0034559835732124733,0.08338082928445156,0.004700854700854795,-0.006978403037322001,-0.00210144861201491,0.02156420824364713,-0.002136752136752018,-0.25402193834211373,-0.0863393697311077
