task,cell,variant,repeat_id,fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_outer_train,n_outer_test,inner_cv_seed_requested,inner_cv_seed_used,chemical_offset_frozen,chemical_offset_coefficient,d0_intercept,d1_intercept_refit,c1_has_intercept,stage2_likelihood,stage2_model_spec,alpha_c1,alpha_min_loss_c1,alpha_boundary_hit_c1,beta_saturated_no_signal_c1,beta_l2_norm_c1,final_gradient_inf_norm_c1,final_retry_used_c1,alpha_d1,alpha_min_loss_d1,alpha_boundary_hit_d1,beta_saturated_no_signal_d1,beta_l2_norm_d1,final_gradient_inf_norm_d1,final_retry_used_d1,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
NR-ER,MCF7,standardized,0,0,2042,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,982,85,42,42,True,1.0,-1.5089193366306741,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,3.943480121577322e-09,3.186948264316536e-09,False,100000000.0,3.162277660168379,True,True,3.891371539831136e-09,1.910081141864861e-09,False,0.4203286727796532,0.6125730994152047,0.6179939464055032,0.21159540355810055,0.4203286727796532,0.6125730994152047,0.34504635503370085,0.09117907804955716,0.4203286727796532,0.6125730994152047,0.617993946234821,0.2115954032921964,0.4203286727796532,0.6125730994152047,0.3450463558244637,0.09117907806120513,0.0,0.0,-1.7068224611449523e-10,-2.6590415980187743e-10,0.0,0.0,7.907628440939618e-10,1.1647974251793869e-11,0.0,0.0,-0.27294759041035727,-0.12041632523099126
NR-ER,MCF7,standardized,0,1,2042,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,748,319,42,42,True,1.0,-1.5640712780868196,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,4.307203092720994e-09,2.867877955947673e-09,False,100000000.0,1.0,True,True,4.1519896915522705e-09,2.3870790968882893e-09,False,0.35342129202509587,0.6828099173553719,0.5409332990182142,0.17806606153901558,0.35342129202509587,0.6828099173553719,0.3686581653651418,0.10892798201680882,0.35342129202509587,0.6828099173553719,0.5409332987754659,0.17806606143080897,0.35342129202509587,0.6828099173553719,0.3686581650917622,0.10892798196902144,0.0,0.0,-2.4274826593284615e-10,-1.0820661033861256e-10,0.0,0.0,-2.733795967380104e-10,-4.7787385160091844e-11,0.0,0.0,-0.17227513368370373,-0.06913807946178753
NR-ER,MCF7,standardized,0,2,2042,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,857,210,42,42,True,1.0,-1.577236732831214,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,3.983796078608262e-09,3.1229823171941007e-09,False,316.2277660168379,1.0,False,False,0.001237524869837028,3.810368181048074e-08,False,0.4332233575835613,0.670204081632653,0.584622721507719,0.1986320412213893,0.4332233575835613,0.670204081632653,0.41528963312081996,0.12553119301604043,0.4332233575835613,0.670204081632653,0.5846227214815983,0.19863204122711017,0.43304947842149216,0.6692244897959184,0.41522185966857084,0.12553055238358096,0.0,0.0,-2.6120661189565908e-11,5.720868223590969e-12,-0.0001738791620691238,-0.0009795918367345724,-6.777345224912024e-05,-6.406324594698809e-07,-0.0001738791620691238,-0.0009795918367345724,-0.1694008618130275,-0.07310148884352921
NR-ER,MCF7,standardized,0,3,2042,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,848,219,42,42,True,1.0,-1.5631533009704772,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,316.2277660168379,True,True,3.8221689083725e-09,3.081134500315663e-09,False,100000000.0,31.622776601683796,True,True,3.6438580024496706e-09,1.9527309352840305e-09,False,0.527213789948965,0.7216216216216216,0.5553361128016654,0.1857086941046157,0.527213789948965,0.7216216216216216,0.3798051694487313,0.1132872209938452,0.527213789948965,0.7216216216216216,0.5553361119722663,0.1857086936968607,0.527213789948965,0.7216216216216216,0.379805168929053,0.11328722082678191,0.0,0.0,-8.293991049512783e-10,-4.0775502418988196e-10,0.0,0.0,-5.196782448813053e-10,-1.6706327987670022e-10,0.0,0.0,-0.17553094304321326,-0.07242147287007877
NR-ER,MCF7,standardized,0,4,2042,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,833,234,42,42,True,1.0,-1.521669398493412,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,3.5844510432060413e-09,2.247635341734444e-09,False,100000000.0,100000000.0,True,False,3.551091127444005e-09,1.0385360627029883e-09,False,0.3230031895551655,0.6378712498115483,0.5934016123559552,0.2029715347566989,0.3230031895551655,0.6378712498115483,0.38810096513803377,0.11452565718110279,0.3230031895551655,0.6378712498115483,0.5934016123302608,0.20297153473628254,0.3230031895551655,0.6378712498115483,0.38810096448747583,0.11452565706775512,0.0,0.0,-2.569444657041231e-11,-2.041636304461747e-11,0.0,0.0,-6.505579408511153e-10,-1.1334766458759304e-10,0.0,0.0,-0.20530064784278496,-0.08844587766852742
NR-ER,MCF7,standardized,1,0,3042,3042,9fb37a792454401ebf82ff42f4268aa5d1b4129b60c3b7439ecbe08d2421ad46,981,86,42,42,True,1.0,-1.5579880754386433,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,3.768846042233735e-09,3.6119275764745495e-09,False,100000000.0,3.162277660168379,True,True,3.6967656894583206e-09,1.5361285507498046e-09,False,0.28250962020900455,0.5727699530516432,0.6319084485954274,0.22192159807951273,0.28250962020900455,0.5727699530516432,0.4585031537677099,0.14238492697207564,0.28250962020900455,0.5727699530516432,0.6319084486197507,0.22192159812924192,0.28250962020900455,0.5727699530516432,0.45850315385561674,0.14238492708917216,0.0,0.0,2.4323321135000242e-11,4.972919298573686e-11,0.0,0.0,8.790684846715635e-11,1.170965269192692e-10,0.0,0.0,-0.17340529476413397,-0.07953667104006976
NR-ER,MCF7,standardized,1,1,3042,3042,9fb37a792454401ebf82ff42f4268aa5d1b4129b60c3b7439ecbe08d2421ad46,881,186,42,42,True,1.0,-1.5110980124946325,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,3.919177296676562e-09,3.520362126807619e-09,False,100000000.0,3.162277660168379,True,True,3.95619754507163e-09,2.51128839251491e-09,False,0.2741760207892042,0.6242424242424243,0.5523431629697798,0.18448879341868055,0.2741760207892042,0.6242424242424243,0.34275718878410943,0.09764359295882322,0.2741760207892042,0.6242424242424243,0.5523431637565562,0.18448879375598504,0.2741760207892042,0.6242424242424243,0.3427571885882394,0.09764359288668491,0.0,0.0,7.867764217905915e-10,3.373044898946631e-10,0.0,0.0,-1.9587004240761985e-10,-7.213830921504183e-11,0.0,0.0,-0.20958597516831684,-0.08684520086930013
NR-ER,MCF7,standardized,1,2,3042,3042,9fb37a792454401ebf82ff42f4268aa5d1b4129b60c3b7439ecbe08d2421ad46,715,352,42,42,True,1.0,-1.4902733224240763,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,10.0,True,True,4.41907094445681e-09,2.7468985003276103e-09,False,100000000.0,3.162277660168379,True,True,4.277733528132302e-09,1.524490235438325e-09,False,0.27566984114986737,0.6382930684127341,0.5600007977398035,0.18634473506191548,0.27566984114986737,0.6382930684127341,0.3570074162043844,0.10246766090949838,0.27566984114986737,0.6382930684127341,0.5600007968395198,0.1863447346365522,0.27566984114986737,0.6382930684127341,0.35700741591056856,0.10246766084449671,0.0,0.0,-9.002837364491256e-10,-4.253632723827394e-10,0.0,0.0,-2.9381586053034425e-10,-6.500167071266105e-11,0.0,0.0,-0.2029933809289512,-0.0838770737920555
NR-ER,MCF7,standardized,1,3,3042,3042,9fb37a792454401ebf82ff42f4268aa5d1b4129b60c3b7439ecbe08d2421ad46,844,223,42,42,True,1.0,-1.5112248940328656,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100.0,True,True,3.6763874218794284e-09,2.513993169889206e-09,False,100000000.0,3.162277660168379,True,True,3.6755759945100327e-09,1.8513009319987006e-09,False,0.40358911223763383,0.6785714285714286,0.5536844635971513,0.18442820314305172,0.40358911223763383,0.6785714285714286,0.345660081298744,0.09854973910661502,0.40358911223763383,0.6785714285714286,0.5536844627645737,0.18442820274711796,0.40358911223763383,0.6785714285714286,0.34566008057953085,0.09854973899050361,0.0,0.0,-8.325775624484777e-10,-3.959337580017319e-10,0.0,0.0,-7.192131334932128e-10,-1.1611141215173149e-10,0.0,0.0,-0.20802438218504288,-0.08587846375661436
NR-ER,MCF7,standardized,1,4,3042,3042,9fb37a792454401ebf82ff42f4268aa5d1b4129b60c3b7439ecbe08d2421ad46,847,220,42,42,True,1.0,-1.6582715604992773,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,3.846378903311814e-09,2.8550907679725235e-09,False,100000000.0,3.162277660168379,True,True,3.5616504984720346e-09,1.763051392378312e-09,False,0.5960898541348183,0.7366763565891473,0.5939122466572543,0.20248157126566918,0.5960898541348183,0.7366763565891473,0.47168242802102606,0.14794885842791833,0.5960898541348183,0.7366763565891473,0.5939122463247684,0.20248157108184076,0.5960898541348183,0.7366763565891473,0.4716824276244174,0.14794885835872962,0.0,0.0,-3.324859276787606e-10,-1.8382842470465732e-10,0.0,0.0,-3.9660863482282593e-10,-6.918871031658114e-11,0.0,0.0,-0.12222981870035093,-0.05453271272311114
