task,cell,variant,repeat_id,fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_outer_train,n_outer_test,inner_cv_seed_requested,inner_cv_seed_used,chemical_offset_frozen,chemical_offset_coefficient,d0_intercept,d1_intercept_refit,c1_has_intercept,stage2_likelihood,stage2_model_spec,alpha_c1,alpha_min_loss_c1,alpha_boundary_hit_c1,beta_saturated_no_signal_c1,beta_l2_norm_c1,final_gradient_inf_norm_c1,final_retry_used_c1,alpha_d1,alpha_min_loss_d1,alpha_boundary_hit_d1,beta_saturated_no_signal_d1,beta_l2_norm_d1,final_gradient_inf_norm_d1,final_retry_used_d1,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
SR-HSE,MCF7,standardized,0,0,2042,2042,85b236e756e3cb4e75eca1ec7dd61b079dcd21821c4f2c6809d478109e22bcb6,987,90,42,42,True,1.0,-2.234750733289311,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,2.8179472348325463e-09,1.6749515528886871e-09,False,100000000.0,1.0,True,True,3.0025261151843675e-09,1.775400521042414e-09,False,0.3264509300223586,0.8881239242685026,0.48474312719543394,0.1487313878313837,0.3264509300223586,0.8881239242685026,0.2633848611073387,0.07057872345109192,0.3264509300223586,0.8881239242685026,0.48474312718239676,0.14873138784313603,0.3264509300223586,0.8881239242685026,0.26338486114689563,0.07057872346050088,0.0,0.0,-1.303718244471952e-11,1.1752321338320826e-11,0.0,0.0,3.955691330048694e-11,9.4089597224567e-12,0.0,0.0,-0.22135826603550113,-0.07815266438263514
SR-HSE,MCF7,standardized,0,1,2042,2042,85b236e756e3cb4e75eca1ec7dd61b079dcd21821c4f2c6809d478109e22bcb6,885,192,42,42,True,1.0,-2.2404873059499693,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,10.0,True,True,2.732646616543055e-09,1.6285330289161903e-09,False,100000000.0,1.0,True,True,2.9231417033387396e-09,1.799823297343739e-09,False,0.144202268313211,0.7198109153416415,0.4826298297926428,0.14763070138783854,0.144202268313211,0.7198109153416415,0.24487328836502734,0.06283879354955045,0.144202268313211,0.7198109153416415,0.48262983011979715,0.14763070154239633,0.144202268313211,0.7198109153416415,0.24487328809050182,0.06283879351760327,0.0,0.0,3.2715435915875446e-10,1.545577832384737e-10,0.0,0.0,-2.7452551343287723e-10,-3.194718101173777e-11,0.0,0.0,-0.23775654202929533,-0.08479190802479306
SR-HSE,MCF7,standardized,0,2,2042,2042,85b236e756e3cb4e75eca1ec7dd61b079dcd21821c4f2c6809d478109e22bcb6,873,204,42,42,True,1.0,-2.1870840761028454,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,2.878587270495858e-09,1.0527510911628735e-09,False,3.162277660168379,1.0,False,False,0.07925639329828899,1.2772024134827253e-07,False,0.16162605803143046,0.755534620819595,0.4710410834116908,0.1421119468663399,0.16162605803143046,0.755534620819595,0.20520888950397068,0.05048663186529699,0.16162605803143046,0.755534620819595,0.4710410834379883,0.1421119468767403,0.24188389672077723,0.7338671691003297,0.2008007324080833,0.04984356810726423,0.0,0.0,2.6297464206237464e-11,1.0400402761234773e-11,0.08025783868934677,-0.021667451719265318,-0.004408157095887377,-0.0006430637580327608,0.08025783868934677,-0.021667451719265318,-0.27024035102990496,-0.09226837876947608
SR-HSE,MCF7,standardized,0,3,2042,2042,85b236e756e3cb4e75eca1ec7dd61b079dcd21821c4f2c6809d478109e22bcb6,876,201,42,42,True,1.0,-2.2032573411028045,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,2.924866799532797e-09,1.0467176422487845e-09,False,100000000.0,1.0,True,True,3.1349472916889117e-09,3.0658443665732005e-10,False,0.35585368125649647,0.732363315696649,0.47352271864066714,0.14313518991702948,0.35585368125649647,0.732363315696649,0.2116498452296121,0.05362810912364999,0.35585368125649647,0.732363315696649,0.4735227183492208,0.14313518978429451,0.35585368125649647,0.732363315696649,0.21164984513201393,0.053628109141652204,0.0,0.0,-2.91446367040038e-10,-1.3273496191068546e-10,0.0,0.0,-9.759817953813865e-11,1.8002210833145682e-11,0.0,0.0,-0.26187287321720687,-0.08950708064264232
SR-HSE,MCF7,standardized,0,4,2042,2042,85b236e756e3cb4e75eca1ec7dd61b079dcd21821c4f2c6809d478109e22bcb6,687,390,42,42,True,1.0,-2.1452721814470657,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.8582218880824126e-09,7.447689652495537e-10,False,100000000.0,3.162277660168379,True,True,2.9658480856306935e-09,4.6551386356785684e-10,False,0.232735385721225,0.8034585107755838,0.4720974318124807,0.14267594845158232,0.232735385721225,0.8034585107755838,0.19972551544230507,0.049316578267416006,0.232735385721225,0.8034585107755838,0.472097431316273,0.14267594822843116,0.232735385721225,0.8034585107755838,0.19972551502132554,0.0493165781896368,0.0,0.0,-4.962076860515197e-10,-2.231511642136752e-10,0.0,0.0,-4.2097952901443136e-10,-7.777920668639027e-11,0.0,0.0,-0.2723719162949475,-0.09335937003879435
SR-HSE,MCF7,standardized,1,0,3042,3042,42b9babb8c2a47d0da4329f655c9b52f3e0f2d11af105021a67e8695e3e198a1,987,90,42,42,True,1.0,-2.215640480498428,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,2.5214665747704534e-09,1.2810637481375231e-09,False,100000000.0,1.0,True,True,2.715998068957758e-09,6.798097501592437e-10,False,0.17799004212047692,0.7420634920634921,0.4889989869869987,0.15050091020787446,0.17799004212047692,0.7420634920634921,0.2402363645605558,0.06168605825976565,0.17799004212047692,0.7420634920634921,0.48899898698817557,0.1505009102064855,0.17799004212047692,0.7420634920634921,0.2402363638805513,0.06168605817718849,0.0,0.0,1.1768919172538972e-12,-1.388944514957302e-12,0.0,0.0,-6.800044971555508e-10,-8.257716038739815e-11,0.0,0.0,-0.24876262310762426,-0.08881485202929702
SR-HSE,MCF7,standardized,1,1,3042,3042,42b9babb8c2a47d0da4329f655c9b52f3e0f2d11af105021a67e8695e3e198a1,718,359,42,42,True,1.0,-2.2474219534286504,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,2.9549169527975127e-09,1.334612133481461e-09,False,100000000.0,1.0,True,True,3.0994608826210282e-09,3.41535771127173e-10,False,0.2010897169365371,0.8070652173913043,0.4800217546280629,0.14641953680940617,0.2010897169365371,0.8070652173913043,0.23107703187165954,0.059174729126318,0.2010897169365371,0.8070652173913043,0.48002175405078096,0.14641953654406795,0.2010897169365371,0.8070652173913043,0.23107703155057288,0.05917472909017256,0.0,0.0,-5.772819444693766e-10,-2.6533822361507475e-10,0.0,0.0,-3.210866572622706e-10,-3.614544080710047e-11,0.0,0.0,-0.24894472250020808,-0.08724480745389539
SR-HSE,MCF7,standardized,1,2,3042,3042,42b9babb8c2a47d0da4329f655c9b52f3e0f2d11af105021a67e8695e3e198a1,836,241,42,42,True,1.0,-2.076200554771916,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,10.0,1.0,False,False,0.02748932075461889,6.025535156748557e-07,False,100000000.0,0.31622776601683794,True,True,3.4199303140819007e-09,2.058113915404114e-09,False,0.4309374658058869,0.7982832618025751,0.4546390000804302,0.13424382925641662,0.4309374658058869,0.7982832618025751,0.14202383768349988,0.030532620105696896,0.3632107943158219,0.7773605150214592,0.456546138368625,0.1353987310543834,0.4309374658058869,0.7982832618025751,0.14202383756359135,0.03053262002724436,-0.06772667149006495,-0.020922746781115942,0.0019071382881948318,0.0011549017979667897,0.0,0.0,-1.199085275516154e-10,-7.845253613414371e-11,0.06772667149006495,0.020922746781115942,-0.3145223008050336,-0.10486611102713905
SR-HSE,MCF7,standardized,1,3,3042,3042,42b9babb8c2a47d0da4329f655c9b52f3e0f2d11af105021a67e8695e3e198a1,882,195,42,42,True,1.0,-2.237206841532649,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.7315776488663017e-09,1.6715728801131036e-09,False,100000000.0,1.0,True,True,2.970349633703e-09,1.4299191553046597e-09,False,0.1716638855589226,0.7637362637362637,0.48053187853990564,0.1466591971323102,0.1716638855589226,0.7637362637362637,0.24093989676643535,0.0618106581444932,0.1716638855589226,0.7637362637362637,0.48053187816120224,0.14665919696049887,0.1716638855589226,0.7637362637362637,0.24093989661202608,0.06181065812674564,0.0,0.0,-3.7870340197088126e-10,-1.71811342930539e-10,0.0,0.0,-1.5440926315335446e-10,-1.774756036576619e-11,0.0,0.0,-0.23959198154917616,-0.08484853883375323
SR-HSE,MCF7,standardized,1,4,3042,3042,42b9babb8c2a47d0da4329f655c9b52f3e0f2d11af105021a67e8695e3e198a1,885,192,42,42,True,1.0,-2.2583925689811313,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.8114585166971346e-09,1.037315441876352e-09,False,100000000.0,3.162277660168379,True,True,3.0384295182796977e-09,6.844679406592391e-10,False,0.27871977879568005,0.7331460674157303,0.47953552376267305,0.14622160352385674,0.27871977879568005,0.7331460674157303,0.2507826005337717,0.06576585118309586,0.27871977879568005,0.7331460674157303,0.4795355235774162,0.14622160343686938,0.27871977879568005,0.7331460674157303,0.2507826002766809,0.06576585118115219,0.0,0.0,-1.8525686540371566e-10,-8.69873617581618e-11,0.0,0.0,-2.570907930987687e-10,-1.9436674492112616e-12,0.0,0.0,-0.22875292330073527,-0.08045575225571719
