task,cell,variant,repeat_id,fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_outer_train,n_outer_test,inner_cv_seed_requested,inner_cv_seed_used,chemical_offset_frozen,chemical_offset_coefficient,d0_intercept,d1_intercept_refit,c1_has_intercept,stage2_likelihood,stage2_model_spec,alpha_c1,alpha_min_loss_c1,alpha_boundary_hit_c1,beta_saturated_no_signal_c1,beta_l2_norm_c1,final_gradient_inf_norm_c1,final_retry_used_c1,alpha_d1,alpha_min_loss_d1,alpha_boundary_hit_d1,beta_saturated_no_signal_d1,beta_l2_norm_d1,final_gradient_inf_norm_d1,final_retry_used_d1,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
SR-MMP,HA1E,standardized,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,667,56,42,42,True,1.0,-1.0750508330558315,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,1.0,False,False,0.1100553744804621,3.6813200081321426e-07,False,100.0,1.0,False,False,0.007422187258448102,1.3626348875639405e-08,False,0.43935452101928074,0.7708333333333333,0.46409512039677797,0.14921666253467647,0.43935452101928074,0.7708333333333333,0.35424412906399094,0.10732619616003977,0.5036616161616161,0.8411458333333334,0.42992838495157126,0.13491971769323183,0.4793764508438422,0.7708333333333334,0.3490066831178179,0.10538129883582148,0.06430709514233535,0.07031250000000011,-0.03416673544520671,-0.014296944841444642,0.04002192982456143,1.1102230246251565e-16,-0.005237445946173036,-0.001944897324218292,-0.024285165317773916,-0.0703125,-0.08092170183375336,-0.029538418857410348
SR-MMP,HA1E,standardized,0,1,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,583,140,42,42,True,1.0,-1.062566337775612,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,8.19952995341267e-09,1.1257737526915168e-08,False,100000000.0,1.0,True,True,8.882281078537878e-09,1.0069650557831267e-08,False,0.6167224266688279,0.8361204013377925,0.43412459976872636,0.13572725614151732,0.6167224266688279,0.8361204013377925,0.33439327111298645,0.09965058671313469,0.6167224266688279,0.8361204013377925,0.4341245947035655,0.13572725456773027,0.6167224266688279,0.8361204013377925,0.3343932650515524,0.09965058476766334,0.0,0.0,-5.0651608463070374e-09,-1.5737870451282276e-09,0.0,0.0,-6.061434021376044e-09,-1.9454713534594603e-09,0.0,0.0,-0.09973132965201309,-0.036076669800066935
SR-MMP,HA1E,standardized,0,2,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,486,237,42,42,True,1.0,-1.0344064831605961,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,1.0,False,False,0.12123438941221126,5.241660218529599e-07,False,3.162277660168379,1.0,False,False,0.12476076736901211,2.0740234293881166e-07,False,0.447601443804095,0.8130182421227197,0.4574242676392984,0.1420266310662756,0.447601443804095,0.8130182421227197,0.3539100640653062,0.10700949692162325,0.5918138509314409,0.8615257048092868,0.44520122899284337,0.13828161653593524,0.6056272456738546,0.8594527363184079,0.32394114149528697,0.09541833744130956,0.1442124071273459,0.04850746268656714,-0.01222303864645502,-0.0037450145303403737,0.15802580186975962,0.046434494195688236,-0.029968922570019207,-0.011591159480313681,0.01381339474241372,-0.0020729684908789014,-0.1212600874975564,-0.04286327909462567
SR-MMP,HA1E,standardized,0,3,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,575,148,42,42,True,1.0,-1.1855848674036036,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,0.31622776601683794,False,False,0.11452178011029479,9.12132710893538e-07,False,1.0,0.31622776601683794,False,False,0.2670596401033143,7.203734840336914e-07,False,0.7442200879165084,0.8595081568054541,0.4416671120661722,0.1396118695049929,0.7442200879165084,0.8595081568054541,0.40505582178932675,0.12905155935649235,0.7847524354904976,0.880691502313124,0.415049809137871,0.129075015988263,0.7904460736168438,0.8899439980521061,0.3705279662654464,0.11672319941417524,0.04053234757398916,0.02118334550766987,-0.026617302928301223,-0.010536853516729922,0.046225985700335426,0.030435841246651996,-0.03452785552388038,-0.01232835994231711,0.005693638126346268,0.009252495738982125,-0.04452184287242461,-0.012351816574087751
SR-MMP,HA1E,standardized,0,4,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,581,142,42,42,True,1.0,-1.0930110792388115,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,1.0,False,False,0.11438491077577749,7.052482101019275e-07,False,3.162277660168379,0.31622776601683794,False,False,0.12017571531406561,3.9409720077425436e-07,False,0.5798021962875971,0.8427350427350427,0.43385025934948884,0.13563586063107178,0.5798021962875971,0.8427350427350427,0.34966316954240256,0.10783702787547832,0.6692489682044623,0.8721367521367522,0.4055860815971076,0.124767273844217,0.682352262561336,0.8717948717948718,0.31795941941788225,0.09577443407549965,0.08944677191686523,0.029401709401709497,-0.02826417775238127,-0.010868586786854775,0.10255006627373886,0.029059829059829068,-0.031703750124520313,-0.012062593799978663,0.01310329435687363,-0.0003418803418804295,-0.08762666217922532,-0.028992839768717346
SR-MMP,HA1E,standardized,1,0,3042,3042,ec30f58bade848a02f9985aaf678ddb430c0ba4bde9e1424b9fb8ef4d41423d6,670,53,42,42,True,1.0,-1.089934814490824,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,1.0,False,False,0.11114978216655073,4.517741746708215e-07,False,10.0,1.0,False,False,0.05070652911230063,2.1160846451484527e-07,False,0.35892447975358727,0.7916666666666667,0.4524775537639658,0.14395852057710193,0.35892447975358727,0.7916666666666667,0.36612506328041333,0.11522197474499213,0.4235006157635468,0.8138888888888889,0.4351767257099636,0.1370157956755771,0.3810626028560811,0.7805555555555556,0.36079729159097235,0.1125377659943902,0.06457613600995954,0.022222222222222143,-0.017300828054002237,-0.006942724901524838,0.022138123102493856,-0.011111111111111183,-0.0053277716894409854,-0.002684208750601935,-0.04243801290746568,-0.033333333333333326,-0.07437943411899123,-0.024478029681186897
SR-MMP,HA1E,standardized,1,1,3042,3042,ec30f58bade848a02f9985aaf678ddb430c0ba4bde9e1424b9fb8ef4d41423d6,510,213,42,42,True,1.0,-1.0380201290343114,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,9.301949788206598e-09,1.3976000041299175e-08,False,100.0,1.0,False,False,0.008606772810344696,3.839179135017856e-08,False,0.5554489788717111,0.856949806949807,0.400993319573578,0.11806069184454432,0.5554489788717111,0.856949806949807,0.3016640424542928,0.08721983880793815,0.5554489788717111,0.856949806949807,0.4009933167050068,0.11806069054631177,0.5742740096382741,0.8586872586872588,0.29935030347548686,0.08625667565525734,0.0,0.0,-2.8685711583875673e-09,-1.2982325492405522e-09,0.018825030766563056,0.0017374517374517673,-0.002313738978805935,-0.0009631631526808154,0.018825030766563056,0.0017374517374517673,-0.10164301322951996,-0.03180401489105443
SR-MMP,HA1E,standardized,1,2,3042,3042,ec30f58bade848a02f9985aaf678ddb430c0ba4bde9e1424b9fb8ef4d41423d6,595,128,42,42,True,1.0,-1.144780695326072,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,31.622776601683796,1.0,False,False,0.01680499175325019,6.975182541280045e-07,False,10.0,1.0,False,False,0.047710730064413676,9.09200977144975e-08,False,0.6217665686883093,0.8286311389759665,0.47085263785156073,0.14996585321083,0.6217665686883093,0.8286311389759665,0.4161810905092566,0.1330355380792708,0.6427452235633977,0.8404737025426681,0.45794953302849295,0.1449263478119927,0.6944278205368404,0.8613723441309649,0.38690380442062905,0.12228093050629732,0.02097865487508843,0.011842563566701547,-0.01290310482306778,-0.005039505398837296,0.07266125184853112,0.03274120515499834,-0.029277286088627563,-0.010754607572973474,0.051682596973442685,0.020898641588296796,-0.0710457286078639,-0.022645417305695387
SR-MMP,HA1E,standardized,1,3,3042,3042,ec30f58bade848a02f9985aaf678ddb430c0ba4bde9e1424b9fb8ef4d41423d6,560,163,42,42,True,1.0,-1.154510093404076,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,1.0,False,False,0.11538433516247351,2.0187286310299757e-07,False,31.622776601683796,1.0,False,False,0.019009413509208248,3.624604146511279e-08,False,0.7169440272929566,0.8530526315789474,0.4481927820112137,0.14234704280366003,0.7169440272929566,0.8530526315789474,0.3891068248682903,0.12216749762346917,0.782307760507489,0.8945263157894737,0.4191025500656514,0.13093719801609519,0.7398032886461336,0.8732631578947369,0.37297193352091035,0.11662151457244939,0.06536373321453237,0.04147368421052633,-0.029090231945562317,-0.011409844787564849,0.022859261353177063,0.020210526315789457,-0.016134891347379943,-0.005545983051019776,-0.04250447186135531,-0.021263157894736873,-0.04613061654474104,-0.014315683443645796
SR-MMP,HA1E,standardized,1,4,3042,3042,ec30f58bade848a02f9985aaf678ddb430c0ba4bde9e1424b9fb8ef4d41423d6,557,166,42,42,True,1.0,-1.0224240469527472,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,1.0,False,False,0.11806831371332904,5.460909566282202e-07,False,10.0,1.0,False,False,0.05305913070444385,5.046995779876828e-07,False,0.501333939647868,0.7793956043956044,0.4785080904956985,0.15521797156238315,0.501333939647868,0.7793956043956044,0.3607765074992195,0.1092043950275134,0.5228155982437195,0.8219780219780219,0.475097564898959,0.1548605561605752,0.5457117160229431,0.8043956043956044,0.35047272795084633,0.10635710782102514,0.021481658595851494,0.04258241758241754,-0.0034105255967394887,-0.00035741540180794784,0.04437777637507512,0.025000000000000022,-0.010303779548373193,-0.002847287206488261,0.022896117779223624,-0.01758241758241752,-0.12462483694811266,-0.04850344833955006
