task,cell,variant,repeat_id,fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_outer_train,n_outer_test,inner_cv_seed_requested,inner_cv_seed_used,chemical_offset_frozen,chemical_offset_coefficient,d0_intercept,d1_intercept_refit,c1_has_intercept,stage2_likelihood,stage2_model_spec,alpha_c1,alpha_min_loss_c1,alpha_boundary_hit_c1,beta_saturated_no_signal_c1,beta_l2_norm_c1,final_gradient_inf_norm_c1,final_retry_used_c1,alpha_d1,alpha_min_loss_d1,alpha_boundary_hit_d1,beta_saturated_no_signal_d1,beta_l2_norm_d1,final_gradient_inf_norm_d1,final_retry_used_d1,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
SR-MMP,HEPG2,standardized,0,0,2042,2042,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,449,46,42,42,True,1.0,-0.9107107296511019,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,1.0,False,False,0.14084691981540837,3.3013193715195066e-07,False,3.162277660168379,1.0,False,False,0.1476539612019569,7.429839265511023e-07,False,0.8177744039586144,0.8972222222222221,0.3987572798875048,0.11795568387225029,0.8177744039586144,0.8972222222222221,0.35254611646852185,0.10663610888455707,0.9034782608695652,0.9472222222222222,0.33549367246757794,0.09333271583053653,0.9034782608695652,0.9472222222222222,0.28423711715996325,0.08116789257480139,0.08570385691095073,0.050000000000000044,-0.06326360741992687,-0.024622968041713766,0.08570385691095073,0.050000000000000044,-0.0683089993085586,-0.02546821630975568,0.0,0.0,-0.05125655530761469,-0.012164823255735133
SR-MMP,HEPG2,standardized,0,1,2042,2042,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,329,166,42,42,True,1.0,-0.8872136890238336,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,1.0,False,False,0.15062960154355365,4.1124144333545137e-07,False,3.162277660168379,1.0,False,False,0.15544919794667963,5.119037686136807e-07,False,0.5130841733917466,0.7696837513631407,0.5057961732541827,0.16411141432736126,0.5130841733917466,0.7696837513631407,0.43752423429597903,0.13838767411414055,0.6138283588867911,0.8205016357688113,0.4697761422578823,0.150305233869352,0.6300037716065551,0.8235550708833151,0.3929043054841778,0.1220541733651624,0.10074418549504449,0.05081788440567059,-0.03602003099630041,-0.01380618045800927,0.11691959821480846,0.05387131952017443,-0.04461992881180121,-0.016333500748978144,0.01617541271976397,0.003053435114503844,-0.07687183677370446,-0.028251060504189587
SR-MMP,HEPG2,standardized,0,2,2042,2042,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,407,88,42,42,True,1.0,-0.9407439318668941,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,10.0,1.0,False,False,0.06386528470216621,9.01030681793244e-08,False,10.0,1.0,False,False,0.06741348632073714,4.150329887316756e-07,False,0.4318237261476429,0.780320366132723,0.4872829588199438,0.15855101220159787,0.4318237261476429,0.780320366132723,0.45155585330214015,0.14854883576182257,0.4830941257630528,0.8154080854309688,0.47186313825550336,0.15260712039649607,0.48471483182581576,0.816933638443936,0.43007467062739857,0.14271080762693103,0.051270399615409856,0.03508771929824572,-0.015419820564440467,-0.0059438918051017975,0.052891105678172845,0.03661327231121292,-0.021481182674741583,-0.0058380281348915375,0.0016207060627629888,0.0015255530129671957,-0.041788467628104786,-0.009896312769565041
SR-MMP,HEPG2,standardized,0,3,2042,2042,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,406,89,42,42,True,1.0,-0.8888652529278802,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,10.0,1.0,False,False,0.06349444637265464,7.081333869476264e-07,False,3.162277660168379,1.0,False,False,0.1534238003167344,3.5289409795746796e-07,False,0.7226207096778916,0.8488721804511278,0.4418320606378699,0.1386491065419059,0.7226207096778916,0.8488721804511278,0.3725157733875681,0.11314539737160624,0.7983454299477282,0.8909774436090225,0.4132653304460384,0.12646671495968717,0.8078152412346222,0.9007518796992482,0.3241126348290073,0.0956597218900264,0.07572472026983657,0.04210526315789476,-0.02856673019183148,-0.012182391582218732,0.08519453155673062,0.051879699248120414,-0.048403138558560765,-0.017485675481579838,0.009469811286894059,0.009774436090225658,-0.0891526956170311,-0.030806993069660768
SR-MMP,HEPG2,standardized,0,4,2042,2042,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,389,106,42,42,True,1.0,-0.8568345430807226,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,10.0,3.162277660168379,False,False,0.06410829216209789,1.3137558511205905e-07,False,3.162277660168379,3.162277660168379,False,False,0.1522560516996776,3.472346839124285e-07,False,0.6395889555516772,0.8245614035087719,0.4323633429188125,0.13451428268258397,0.6395889555516772,0.8245614035087719,0.35326307433294507,0.10551366559735899,0.7386284315098972,0.8711433756805808,0.40311663895219035,0.12281461561264109,0.7717461762872235,0.8771929824561403,0.30350484261756616,0.08610490978312943,0.09903947595822005,0.046581972171808816,-0.029246703966622156,-0.011699667069942882,0.13215722073554637,0.05263157894736836,-0.04975823171537891,-0.01940875581422956,0.03311774477732632,0.006049606775559546,-0.09961179633462419,-0.03670970582951166
SR-MMP,HEPG2,standardized,1,0,3042,3042,e0818e939570ca92df4cfbb9ec1f568d397b2a2da5bd1341a32842c072fd3e22,458,37,42,42,True,1.0,-0.9362013598587537,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,10.0,3.162277660168379,False,False,0.05898814195081952,5.891574663720311e-07,False,3.162277660168379,3.162277660168379,False,False,0.14542325266702127,8.577312343403809e-07,False,0.9073412698412698,0.9555555555555556,0.37260342337951974,0.1068926714826745,0.9073412698412698,0.9555555555555556,0.3732506994587287,0.1178169007130318,0.9733333333333333,0.9888888888888889,0.31412478302038666,0.08212950166084981,0.9833333333333333,0.9925925925925926,0.24510949420840905,0.06776123062801076,0.06599206349206344,0.033333333333333326,-0.05847864035913308,-0.024763169821824693,0.07599206349206344,0.03703703703703698,-0.12814120525031963,-0.05005567008502104,0.010000000000000009,0.0037037037037036535,-0.0690152888119776,-0.014368271032839053
SR-MMP,HEPG2,standardized,1,1,3042,3042,e0818e939570ca92df4cfbb9ec1f568d397b2a2da5bd1341a32842c072fd3e22,342,153,42,42,True,1.0,-0.9582447331916972,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,10.0,3.162277660168379,False,False,0.060978031436688514,1.621709712074093e-07,False,31.622776601683796,3.162277660168379,False,False,0.024409938273798424,1.6220671352363408e-07,False,0.6014000802786656,0.8054869006426099,0.4785582432993214,0.15177047899788343,0.6014000802786656,0.8054869006426099,0.43104516831588,0.13603301295850564,0.6711841723526202,0.8509639149777558,0.4403291247497875,0.13590321098878502,0.6277628555188803,0.8255066732575383,0.4134342229316832,0.1301991134473743,0.06978409207395453,0.04547701433514595,-0.03822911854953387,-0.015867268009098406,0.026362775240214686,0.020019772614928488,-0.01761094538419683,-0.005833899511131335,-0.04342131683373984,-0.02545724172021746,-0.026894901818104333,-0.005704097541410713
SR-MMP,HEPG2,standardized,1,2,3042,3042,e0818e939570ca92df4cfbb9ec1f568d397b2a2da5bd1341a32842c072fd3e22,401,94,42,42,True,1.0,-0.8915649054909975,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,1.0,False,False,0.14443056949841077,7.11867403115074e-07,False,10.0,3.162277660168379,False,False,0.06442069779462713,5.256295025242441e-07,False,0.5660041646072527,0.8196491228070175,0.46663377362489833,0.14783728085892245,0.5660041646072527,0.8196491228070175,0.3986417082912758,0.12551879945397637,0.7368841679617903,0.9157894736842105,0.4127653639166655,0.12548752908589533,0.7010435342823167,0.9101754385964912,0.35120536365910604,0.10860008917800468,0.17088000335453768,0.09614035087719297,-0.05386840970823281,-0.022349751773027116,0.13503936967506402,0.09052631578947368,-0.04743634463216978,-0.016918710275971693,-0.035840633679473655,-0.0056140350877192935,-0.06156000025755948,-0.016887439907890656
SR-MMP,HEPG2,standardized,1,3,3042,3042,e0818e939570ca92df4cfbb9ec1f568d397b2a2da5bd1341a32842c072fd3e22,388,107,42,42,True,1.0,-0.8366640514828004,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,31.622776601683796,3.162277660168379,False,False,0.02657979567286599,3.7190645504545095e-07,False,10.0,1.0,False,False,0.07109257973476779,8.870477290617851e-07,False,0.642312130886497,0.8344827586206897,0.45102188769913715,0.1438111039768194,0.642312130886497,0.8344827586206897,0.3628727614058089,0.11046915675345648,0.6418597464628152,0.8454022988505747,0.44094188928137,0.13978679931440732,0.6629937501910086,0.8580459770114943,0.3465378946718135,0.1049734583241863,-0.0004523844236817842,0.01091954022988506,-0.010079998417767133,-0.004024304662412076,0.020681619304511623,0.023563218390804663,-0.016334866733995368,-0.005495698429270182,0.021134003728193407,0.012643678160919603,-0.09440399460955651,-0.03481334099022103
SR-MMP,HEPG2,standardized,1,4,3042,3042,e0818e939570ca92df4cfbb9ec1f568d397b2a2da5bd1341a32842c072fd3e22,391,104,42,42,True,1.0,-0.8698544785436372,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,1.0,False,False,0.15123443455401686,4.2337765885497314e-07,False,3.162277660168379,1.0,False,False,0.1557713221792394,6.638886499111749e-07,False,0.46895623090329086,0.7405572755417956,0.4924116650283907,0.16114254902880887,0.46895623090329086,0.7405572755417956,0.41798095340319663,0.1308251950572324,0.4530807768031308,0.7603715170278638,0.4830421143745365,0.15736594813658683,0.45135954246837456,0.761609907120743,0.4084206052311788,0.12863140981001087,-0.015875454100160058,0.01981424148606814,-0.009369550653854197,-0.0037766008922220373,-0.017596688434916297,0.021052631578947323,-0.00956034817201784,-0.0021937852472215247,-0.0017212343347562387,0.0012383900928791824,-0.07462150914335769,-0.028734538326575965
