task,cell,variant,repeat_id,fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_outer_train,n_outer_test,inner_cv_seed_requested,inner_cv_seed_used,chemical_offset_frozen,chemical_offset_coefficient,d0_intercept,d1_intercept_refit,c1_has_intercept,stage2_likelihood,stage2_model_spec,alpha_c1,alpha_min_loss_c1,alpha_boundary_hit_c1,beta_saturated_no_signal_c1,beta_l2_norm_c1,final_gradient_inf_norm_c1,final_retry_used_c1,alpha_d1,alpha_min_loss_d1,alpha_boundary_hit_d1,beta_saturated_no_signal_d1,beta_l2_norm_d1,final_gradient_inf_norm_d1,final_retry_used_d1,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
SR-MMP,MCF7,standardized,0,0,2042,2042,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,890,68,42,42,True,1.0,-1.2230336405963342,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,1.0,0.31622776601683794,False,False,0.22942449146550792,9.101050775514943e-07,False,1.0,0.31622776601683794,False,False,0.24336260010537134,9.364702961804638e-07,False,0.4115478249727721,0.7910685805422648,0.4734779677903821,0.15390083117866094,0.4115478249727721,0.7910685805422648,0.3772108232926373,0.12063256045543257,0.4242816568952933,0.8229665071770336,0.465225128730793,0.15081721229674208,0.41986477598647687,0.8165869218500797,0.3659738943785072,0.11952406737699457,0.0127338319225212,0.03189792663476876,-0.008252839059589068,-0.0030836188819188537,0.008316951013704776,0.02551834130781494,-0.011236928914130084,-0.0011084930784379943,-0.004416880908816423,-0.006379585326953818,-0.09925123435228583,-0.03129314491974751
SR-MMP,MCF7,standardized,0,1,2042,2042,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,793,165,42,42,True,1.0,-1.2534205394196287,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,10.0,0.31622776601683794,False,False,0.040482498650669815,4.7288749512042205e-07,False,3.162277660168379,0.31622776601683794,False,False,0.1129837246878621,6.465221637016886e-07,False,0.4816957219184613,0.7923427991886409,0.4666217035525154,0.14952544939112233,0.4816957219184613,0.7923427991886409,0.3857986955728872,0.12068497361387763,0.5018934879488295,0.8136409736308317,0.45720030707347503,0.1456410900774554,0.5635305914205139,0.8311359026369168,0.35655915239689495,0.11068318481304208,0.020197766030368214,0.02129817444219073,-0.00942139647904039,-0.0038843593136669297,0.0818348695020526,0.03879310344827591,-0.029239543175992255,-0.010001788800835548,0.061637103471684385,0.01749492900608518,-0.10064115467658008,-0.03495790526441332
SR-MMP,MCF7,standardized,0,2,2042,2042,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,764,194,42,42,True,1.0,-1.2639962677560803,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,10.0,1.0,False,False,0.04022797845142613,4.3258430297392347e-07,False,3.162277660168379,0.31622776601683794,False,False,0.11352166920461088,1.9934341580207793e-07,False,0.5979692155504287,0.8473555430077169,0.4294648988911758,0.13355309545108443,0.5979692155504287,0.8473555430077169,0.34954470984225594,0.10899566697799569,0.6218177663347865,0.8705063052889139,0.4163564777351477,0.12813611030476488,0.6744662905426458,0.8925277620929796,0.3114450848034356,0.09564244928366286,0.02384855078435777,0.023150762281197057,-0.01310842115602806,-0.005416985146319553,0.07649707499221714,0.0451722190852627,-0.03809962503882036,-0.013353217694332828,0.05264852420785937,0.022021456804065642,-0.10491139293171214,-0.032493661021102016
SR-MMP,MCF7,standardized,0,3,2042,2042,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,625,333,42,42,True,1.0,-1.1282847969330883,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,1.0,False,False,0.1149760661926684,8.326223160620531e-07,False,3.162277660168379,0.31622776601683794,False,False,0.12415910762836574,2.1190613743414521e-07,False,0.49881164826343805,0.8283675289919715,0.3967146586934306,0.1177337192505695,0.49881164826343805,0.8283675289919715,0.2789331268946106,0.07855375333423062,0.5751444340409925,0.888135593220339,0.3725029311527266,0.10825397262881187,0.5950712721243332,0.8929527207850133,0.251978084900258,0.07011206633743772,0.07633278577755442,0.059768064228367446,-0.024211727540703998,-0.009479746621757629,0.09625962386089515,0.06458519179304179,-0.026955041994352558,-0.008441686996792902,0.019926838083340725,0.0048171275646743394,-0.12052484625246856,-0.03814190629137415
SR-MMP,MCF7,standardized,0,4,2042,2042,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,760,198,42,42,True,1.0,-1.219948612823886,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,1.0,1.0,False,False,0.23620987377969124,8.565688677413582e-07,False,1.0,0.31622776601683794,False,False,0.2545601694408174,5.085484920241273e-07,False,0.5811233819384938,0.8633283132530121,0.4277261698198277,0.13347933513876828,0.5811233819384938,0.8633283132530121,0.3258746551298437,0.10075941213197628,0.7371642581617394,0.9017319277108434,0.39027964611732363,0.12064562680739316,0.740058459714711,0.9007906626506024,0.271426957795698,0.07912090002082427,0.15604087622324558,0.03840361445783136,-0.037446523702504064,-0.012833708331375121,0.15893507777621718,0.0374623493975903,-0.05444769733414573,-0.021638512111152017,0.002894201552971598,-0.0009412650602410588,-0.11885268832162565,-0.04152472678656889
SR-MMP,MCF7,standardized,1,0,3042,3042,6d20038ba122d3eb2111fbcb4fb8f5d915f1c9e75cba1aab70f5592d22536b70,904,54,42,42,True,1.0,-1.229201671175502,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,1.0,0.31622776601683794,False,False,0.23096008534137757,3.2305731873742e-07,False,1.0,0.31622776601683794,False,False,0.24659551525007287,3.0806685959866575e-07,False,0.6569413919413919,0.8977272727272727,0.4215754766776966,0.12867746666884514,0.6569413919413919,0.8977272727272727,0.33603423921950154,0.10631915362010085,0.682088284808873,0.8795454545454546,0.4103042515369495,0.1269192034497037,0.706642156862745,0.8818181818181818,0.3371726396866239,0.1045215492294159,0.025146892867481063,-0.018181818181818077,-0.011271225140747132,-0.0017582632191414371,0.04970076492135311,-0.015909090909090873,0.0011384004671223802,-0.001797604390684951,0.02455387205387205,0.002272727272727204,-0.07313161185032557,-0.022397654220287805
SR-MMP,MCF7,standardized,1,1,3042,3042,6d20038ba122d3eb2111fbcb4fb8f5d915f1c9e75cba1aab70f5592d22536b70,771,187,42,42,True,1.0,-1.3202148899191768,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,3.932406430363218e-09,1.58967980445901e-09,False,10.0,0.31622776601683794,False,False,0.0383458433607718,6.898708258436248e-07,False,0.5400871162273662,0.8129636170964323,0.45723248947884826,0.14670114352388938,0.5400871162273662,0.8129636170964323,0.4116507883719572,0.132728887149875,0.5400871162273662,0.8129636170964323,0.45723248756313256,0.14670114273011522,0.6133262577032876,0.8514659131049099,0.3866268210466446,0.12460977307509463,0.0,0.0,-1.9157156971871814e-09,-7.937741575148038e-10,0.07323914147592148,0.038502296008477654,-0.02502396732531259,-0.00811911407478036,0.07323914147592148,0.038502296008477654,-0.07060566651648797,-0.022091369655020593
SR-MMP,MCF7,standardized,1,2,3042,3042,6d20038ba122d3eb2111fbcb4fb8f5d915f1c9e75cba1aab70f5592d22536b70,776,182,42,42,True,1.0,-1.2220142973444268,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,10.0,0.31622776601683794,False,False,0.039660643783171176,3.5087936956119947e-07,False,100000000.0,0.31622776601683794,True,True,5.425345524432839e-09,1.4088473825057957e-09,False,0.5394648561072838,0.7973715651135006,0.42391997579134866,0.13184914116893717,0.5394648561072838,0.7973715651135006,0.3295340316514645,0.09783811242286204,0.5686378287276417,0.8353643966547193,0.411709114546114,0.1271715940658792,0.5394648561072838,0.7973715651135006,0.3295340294510525,0.09783811190032714,0.029172972620357895,0.037992831541218686,-0.012210861245234683,-0.004677547103057983,0.0,0.0,-2.200412019259801e-09,-5.225349042348171e-10,-0.029172972620357895,-0.037992831541218686,-0.0821750850950615,-0.029333482165552052
SR-MMP,MCF7,standardized,1,3,3042,3042,6d20038ba122d3eb2111fbcb4fb8f5d915f1c9e75cba1aab70f5592d22536b70,771,187,42,42,True,1.0,-1.1687405819038026,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,1.0,0.31622776601683794,False,False,0.24590646535743424,6.322173649339711e-07,False,1.0,0.31622776601683794,False,False,0.2583372311048786,3.371732550329809e-07,False,0.5203204720403718,0.8789351851851852,0.43702917957680143,0.13640874992623275,0.5203204720403718,0.8789351851851852,0.3063530530459717,0.09339435551550365,0.5880732302431899,0.892361111111111,0.4336564003290516,0.13611849883018473,0.5892267345465299,0.887962962962963,0.29059261430506506,0.08661607602191013,0.06775275820281812,0.013425925925925841,-0.003372779247749813,-0.000290251096048022,0.06890626250615806,0.009027777777777746,-0.015760438740906657,-0.006778279493593525,0.0011535043033399361,-0.0043981481481480955,-0.14306378602398656,-0.049502422808274604
SR-MMP,MCF7,standardized,1,4,3042,3042,6d20038ba122d3eb2111fbcb4fb8f5d915f1c9e75cba1aab70f5592d22536b70,610,348,42,42,True,1.0,-1.1515688706441882,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,10.0,1.0,False,False,0.048832755937123794,3.740084758823564e-07,False,3.162277660168379,1.0,False,False,0.12982746372181767,4.2044503587024273e-07,False,0.4411706032144267,0.8186223881782793,0.40849308276439605,0.12297073588239432,0.4411706032144267,0.8186223881782793,0.29507752118477415,0.0853388492624397,0.4816337532821238,0.8376896798283944,0.39692227739020347,0.11844839320274868,0.5359614889460989,0.8525462779057758,0.2763151491328211,0.07947527591894642,0.04046315006769713,0.019067291650115115,-0.011570805374192583,-0.004522342679645644,0.09479088573167216,0.03392388972749649,-0.018762372051953025,-0.005863573343493286,0.05432773566397503,0.014856598077381378,-0.12060712825738235,-0.03897311728380226
