task,cell,variant,repeat_id,fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_outer_train,n_outer_test,inner_cv_seed_requested,inner_cv_seed_used,chemical_offset_frozen,chemical_offset_coefficient,d0_intercept,d1_intercept_refit,c1_has_intercept,stage2_likelihood,stage2_model_spec,alpha_c1,alpha_min_loss_c1,alpha_boundary_hit_c1,beta_saturated_no_signal_c1,beta_l2_norm_c1,final_gradient_inf_norm_c1,final_retry_used_c1,alpha_d1,alpha_min_loss_d1,alpha_boundary_hit_d1,beta_saturated_no_signal_d1,beta_l2_norm_d1,final_gradient_inf_norm_d1,final_retry_used_d1,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
SR-p53,HEPG2,standardized,0,0,2042,2042,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c,525,78,42,42,True,1.0,-1.4736217707913415,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,0.31622776601683794,True,True,6.049003621930979e-09,1.8653441846705476e-09,False,1.0,0.31622776601683794,False,False,0.2708151686115926,3.394947927751364e-07,False,0.25896825396825396,0.7835616438356166,0.4458229328422458,0.13490903741220792,0.25896825396825396,0.7835616438356166,0.22337508540639023,0.05667433865714884,0.25896825396825396,0.7835616438356166,0.4458229309464417,0.13490903663582535,0.3202508960573477,0.7945205479452055,0.21990033546337565,0.05755790107505144,0.0,0.0,-1.895804069285134e-09,-7.76382569345202e-10,0.06128264208909373,0.010958904109588996,-0.0034747499430145823,0.0008835624179025989,0.06128264208909373,0.010958904109588996,-0.22592259548306606,-0.07735113556077391
SR-p53,HEPG2,standardized,0,1,2042,2042,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c,425,178,42,42,True,1.0,-1.4555880950206794,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,6.8372330092822065e-09,2.8637813648257904e-09,False,100000000.0,1.0,True,True,7.683762678819895e-09,1.553243599711207e-09,False,0.14685392391673194,0.6594076655052266,0.44827108714434566,0.13625896774852975,0.14685392391673194,0.6594076655052266,0.2686786762890241,0.07175643889716322,0.14685392391673194,0.6594076655052266,0.44827108565668616,0.13625896714547375,0.14685392391673194,0.6594076655052266,0.26867867542326157,0.07175643872030699,0.0,0.0,-1.4876594955914868e-09,-6.030559940306546e-10,0.0,0.0,-8.657625172325822e-10,-1.7685623798779915e-10,0.0,0.0,-0.1795924102334246,-0.06450252842516677
SR-p53,HEPG2,standardized,0,2,2042,2042,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c,484,119,42,42,True,1.0,-1.581875335662795,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,5.441553849995597e-09,2.5735407225419005e-09,False,100000000.0,1.0,True,True,6.067645972016411e-09,1.4131967714103855e-09,False,0.3540388291841496,0.8183673469387756,0.4504122438952787,0.13681966367006157,0.3540388291841496,0.8183673469387756,0.3177177652389256,0.09478382247851921,0.3540388291841496,0.8183673469387756,0.4504122419478397,0.13681966279727373,0.3540388291841496,0.8183673469387756,0.31771776224198833,0.0947838216715335,0.0,0.0,-1.9474389878482157e-09,-8.727878419989565e-10,0.0,0.0,-2.9969372539184747e-09,-8.069857143633286e-10,0.0,0.0,-0.13269447970585135,-0.04203584112574023
SR-p53,HEPG2,standardized,0,3,2042,2042,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c,486,117,42,42,True,1.0,-1.593559680406002,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,5.899663725451013e-09,3.4395704418335726e-09,False,10.0,1.0,False,False,0.0526872185164339,9.926502904551715e-07,False,0.45056298594931526,0.8385620915032681,0.4588524846136192,0.13985766116546297,0.45056298594931526,0.8385620915032681,0.33078846588871397,0.1002217823161259,0.45056298594931526,0.8385620915032681,0.4588524849436021,0.13985766121976445,0.46817344651703385,0.8810457516339869,0.3116491329868303,0.09553169456129658,0.0,0.0,3.2998287435859197e-10,5.430147997920187e-11,0.01761046056771859,0.0424836601307188,-0.019139332901883688,-0.00469008775482932,0.01761046056771859,0.0424836601307188,-0.1472033519567718,-0.04432596665846787
SR-p53,HEPG2,standardized,0,4,2042,2042,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c,492,111,42,42,True,1.0,-1.6192432122290523,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,10.0,True,True,5.2897726871250885e-09,4.0319294578386455e-09,False,100000000.0,3.162277660168379,True,True,6.123537865013554e-09,2.31241180370656e-09,False,0.4530365893934695,0.7730263157894737,0.4887416484521474,0.1538502100831806,0.4530365893934695,0.7730263157894737,0.3697048152995083,0.11262266427118199,0.4530365893934695,0.7730263157894737,0.48874164603792153,0.15385020899352086,0.4530365893934695,0.7730263157894737,0.3697048127785039,0.11262266358376788,0.0,0.0,-2.414225874769471e-09,-1.08965972356323e-09,0.0,0.0,-2.5210044052315084e-09,-6.874141117441113e-10,0.0,0.0,-0.11903683325941761,-0.041227545409752986
SR-p53,HEPG2,standardized,1,0,3042,3042,2bd5d6a3c6eceb76c9058f769eb283c9fd9c5199bf9fcf472173330aa55c652a,520,83,42,42,True,1.0,-1.5178469921578928,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,5.863469469775783e-09,1.966213256446303e-09,False,100000000.0,1.0,True,True,6.699822836066183e-09,1.5166781164310805e-09,False,0.2868387611256881,0.7050000000000001,0.483330399489218,0.15160882673721077,0.2868387611256881,0.7050000000000001,0.2971959670282825,0.08302867170231448,0.2868387611256881,0.7050000000000001,0.48333039731766025,0.15160882577967696,0.2868387611256881,0.7050000000000001,0.29719596588716946,0.08302867133266177,0.0,0.0,-2.171557766939003e-09,-9.575338022482782e-10,0.0,0.0,-1.1411130373950584e-09,-3.696527112184711e-10,0.0,0.0,-0.1861344314304908,-0.06858015444701519
SR-p53,HEPG2,standardized,1,1,3042,3042,2bd5d6a3c6eceb76c9058f769eb283c9fd9c5199bf9fcf472173330aa55c652a,427,176,42,42,True,1.0,-1.579472068512466,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,316.2277660168379,3.162277660168379,False,False,0.0018183715129235407,1.4970176393305779e-07,False,3.162277660168379,1.0,False,False,0.12768063977061708,3.972447517874844e-07,False,0.3509648443773301,0.8364063023801542,0.43217911860372654,0.12850230046937375,0.3509648443773301,0.8364063023801542,0.2962993087626995,0.08755290785489994,0.35609095909117067,0.8400938652363392,0.431761673110179,0.1283058183396509,0.4841445791817722,0.9094870935300033,0.26253232119448433,0.07866362697954238,0.005126114713840557,0.0036875628561849894,-0.00041744549354755245,-0.0001964821297228414,0.13317973480444212,0.07308079114984911,-0.03376698756821517,-0.008889280875357564,0.12805362009060156,0.06939322829366412,-0.16922935191569466,-0.04964219136010853
SR-p53,HEPG2,standardized,1,2,3042,3042,2bd5d6a3c6eceb76c9058f769eb283c9fd9c5199bf9fcf472173330aa55c652a,480,123,42,42,True,1.0,-1.47774365728488,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,6.130750235686746e-09,3.346924688785169e-09,False,1.0,0.31622776601683794,False,False,0.28151318188147634,4.344660668479869e-07,False,0.2801209547484481,0.7261208576998051,0.4267979516291623,0.12686095465781128,0.2801209547484481,0.7261208576998051,0.24331413466895008,0.06381733861612451,0.2801209547484481,0.7261208576998051,0.42679794962191464,0.12686095381061566,0.42265224910259325,0.7183235867446394,0.2237559835182009,0.05673063357887103,0.0,0.0,-2.0072476458743438e-09,-8.471956192135366e-10,0.14253129435414513,-0.007797270955165692,-0.019558151150749187,-0.007086705037253484,0.14253129435414513,-0.007797270955165692,-0.20304196610371375,-0.07013032023174462
SR-p53,HEPG2,standardized,1,3,3042,3042,2bd5d6a3c6eceb76c9058f769eb283c9fd9c5199bf9fcf472173330aa55c652a,494,109,42,42,True,1.0,-1.6551000351270344,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,10.0,1.0,False,False,0.042445678336479734,1.0290431265999947e-07,False,10.0,1.0,False,False,0.0514158215897044,7.474435528564971e-07,False,0.5640744704754627,0.7966751918158568,0.4730449445453975,0.14680858762450785,0.5640744704754627,0.7966751918158568,0.38357452961180477,0.11888982064555252,0.6014460693068011,0.8305626598465473,0.4657774383094446,0.14391964366858584,0.5888697885947665,0.8312020460358056,0.3671761566218917,0.11401100035224375,0.03737159883133845,0.03388746803069054,-0.007267506235952903,-0.002888943955922013,0.0247953181193038,0.03452685421994883,-0.01639837298991309,-0.004878820293308772,-0.012576280712034649,0.0006393861892582953,-0.09860128168755294,-0.02990864331634209
SR-p53,HEPG2,standardized,1,4,3042,3042,2bd5d6a3c6eceb76c9058f769eb283c9fd9c5199bf9fcf472173330aa55c652a,491,112,42,42,True,1.0,-1.500992441342553,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,10.0,1.0,False,False,0.04386108146458655,9.167314156920126e-07,False,100.0,1.0,False,False,0.006330074464209156,8.246378657809916e-07,False,0.21931244996771962,0.6993699369936994,0.49878185658225366,0.15797580226731828,0.21931244996771962,0.6993699369936994,0.3048042673683126,0.08548310414091352,0.3114525605026153,0.774077407740774,0.4944321579805107,0.15598454992081404,0.2410330586505669,0.7191719171917191,0.30273426806405335,0.08498313840872289,0.09214011053489571,0.07470747074707462,-0.004349698601742946,-0.001991252346504241,0.02172060868284728,0.01980198019801971,-0.0020699993042592735,-0.0004999657321906326,-0.07041950185204843,-0.054905490549054914,-0.19169788991645736,-0.07100141151209115
