task,cell,variant,repeat_id,fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_outer_train,n_outer_test,inner_cv_seed_requested,inner_cv_seed_used,chemical_offset_frozen,chemical_offset_coefficient,d0_intercept,d1_intercept_refit,c1_has_intercept,stage2_likelihood,stage2_model_spec,alpha_c1,alpha_min_loss_c1,alpha_boundary_hit_c1,beta_saturated_no_signal_c1,beta_l2_norm_c1,final_gradient_inf_norm_c1,final_retry_used_c1,alpha_d1,alpha_min_loss_d1,alpha_boundary_hit_d1,beta_saturated_no_signal_d1,beta_l2_norm_d1,final_gradient_inf_norm_d1,final_retry_used_d1,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
SR-p53,MCF7,standardized,0,0,2042,2042,4d08796e14c51e62cfeedddd5baf07c9097c0277f611ad4b2648dbb1d0e972c6,934,224,42,42,True,1.0,-1.7863271557979263,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,0.31622776601683794,True,True,4.634487146449811e-09,2.816712144776412e-09,False,100000000.0,0.31622776601683794,True,True,5.3217167333425705e-09,2.2267636207162766e-09,False,0.23936899639271758,0.7296482412060302,0.47132838133841987,0.14699410960496526,0.23936899639271758,0.7296482412060302,0.3270087198978535,0.09518993845572513,0.23936899639271758,0.7296482412060302,0.47132838093191737,0.14699410942844798,0.23936899639271758,0.7296482412060302,0.3270087194136165,0.09518993829380082,0.0,0.0,-4.065024983290755e-10,-1.7651727302059328e-10,0.0,0.0,-4.842370393554063e-10,-1.619243072958909e-10,0.0,0.0,-0.1443196615183009,-0.051804171134647164
SR-p53,MCF7,standardized,0,1,2042,2042,4d08796e14c51e62cfeedddd5baf07c9097c0277f611ad4b2648dbb1d0e972c6,930,228,42,42,True,1.0,-1.6776171501734223,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,4.2189073114991785e-09,1.0479760965270701e-09,False,10.0,1.0,False,False,0.041497457102431516,2.5036753435476317e-07,False,0.25034964997503184,0.7245609144131586,0.4459299342607787,0.13538883342146804,0.25034964997503184,0.7245609144131586,0.24610886492591924,0.06543682695897492,0.25034964997503184,0.7245609144131586,0.44592993313274476,0.13538883292877424,0.3436636777282017,0.7527181488709228,0.23471491644087922,0.06154515543257368,0.0,0.0,-1.1280339440311593e-09,-4.926938024230054e-10,0.09331402775316988,0.02815723445776419,-0.011393948485040023,-0.0038916715264012344,0.09331402775316988,0.02815723445776419,-0.21121501669186554,-0.07384367749620055
SR-p53,MCF7,standardized,0,2,2042,2042,4d08796e14c51e62cfeedddd5baf07c9097c0277f611ad4b2648dbb1d0e972c6,1066,92,42,42,True,1.0,-1.6656757456179958,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,3.995916698079513e-09,1.3877378152865605e-09,False,3.162277660168379,0.31622776601683794,False,False,0.09775676854216367,1.0295276642834084e-07,False,0.1392892338014289,0.7869318181818182,0.4537795598082636,0.13775698688126442,0.1392892338014289,0.7869318181818182,0.18710215638888983,0.04376088581480774,0.1392892338014289,0.7869318181818182,0.453779558175349,0.13775698615465165,0.6916666666666667,0.9829545454545455,0.15240760706433856,0.03341943129304068,0.0,0.0,-1.6329146368398995e-09,-7.266127699523395e-10,0.5523774328652378,0.1960227272727273,-0.034694549324551266,-0.01034145452176706,0.5523774328652378,0.1960227272727273,-0.30137195111101045,-0.10433755486161098
SR-p53,MCF7,standardized,0,3,2042,2042,4d08796e14c51e62cfeedddd5baf07c9097c0277f611ad4b2648dbb1d0e972c6,792,366,42,42,True,1.0,-1.6604532175023978,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,4.389695438645972e-09,1.3895434733401935e-09,False,3.162277660168379,1.0,False,False,0.10624858614658647,2.0105415884322936e-07,False,0.39708108963472666,0.8114956011730206,0.39556541067408707,0.11165306231253157,0.39708108963472666,0.8114956011730206,0.21415773336118818,0.05601605183644995,0.39708108963472666,0.8114956011730206,0.39556540952743297,0.11165306185313995,0.563970301690636,0.8812903225806452,0.19130235145756014,0.049378378212965215,0.0,0.0,-1.1466541049998114e-09,-4.5939162196528827e-10,0.16688921205590934,0.06979472140762466,-0.02285538190362804,-0.006637673623484733,0.16688921205590934,0.06979472140762466,-0.20426305806987283,-0.06227468364017473
SR-p53,MCF7,standardized,0,4,2042,2042,4d08796e14c51e62cfeedddd5baf07c9097c0277f611ad4b2648dbb1d0e972c6,910,248,42,42,True,1.0,-1.8248577126522372,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,4.262719620198719e-09,1.4596177044801095e-09,False,3.162277660168379,1.0,False,False,0.10224585000413328,5.312527137715795e-07,False,0.3359424973370343,0.7446071484805543,0.4586895738499389,0.1409824058366988,0.3359424973370343,0.7446071484805543,0.33248104881483403,0.09789485005943042,0.3359424973370343,0.7446071484805543,0.45868957334053845,0.1409824055896286,0.4246947904174577,0.7954652810581011,0.3079648690812898,0.09158196399445258,0.0,0.0,-5.094004662531404e-10,-2.470701976342582e-10,0.08875229308042343,0.05085813257754679,-0.024516179733544252,-0.006312886064977846,0.08875229308042343,0.05085813257754679,-0.15072470425924867,-0.04940044159517602
SR-p53,MCF7,standardized,1,0,3042,3042,1b5cfac0a4ee404a95073d7e1fb77a97bb05099f33cb1e560efaab46db1ac1f8,959,199,42,42,True,1.0,-1.6670363255682343,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,10.0,0.31622776601683794,False,False,0.03481782947910414,6.937583659234053e-07,False,3.162277660168379,0.31622776601683794,False,False,0.10292234711592016,2.2487063690290743e-07,False,0.32768871768631624,0.7952898550724637,0.45751664885008064,0.13962362004637197,0.32768871768631624,0.7952898550724637,0.23784201994902845,0.06340932685819524,0.49682663404542415,0.8043478260869565,0.4538544016873,0.13809213303121673,0.5022066513244382,0.8115942028985507,0.2159878317850261,0.05395069778015706,0.1691379163591079,0.009057971014492794,-0.0036622471627806297,-0.0015314870151552362,0.17451793363812196,0.016304347826086918,-0.021854188164002364,-0.009458629078038176,0.005380017279014049,0.007246376811594124,-0.23786656990227392,-0.08414143525105966
SR-p53,MCF7,standardized,1,1,3042,3042,1b5cfac0a4ee404a95073d7e1fb77a97bb05099f33cb1e560efaab46db1ac1f8,902,256,42,42,True,1.0,-1.7649747056963465,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,0.31622776601683794,True,True,4.488051047476022e-09,2.112279417348928e-09,False,10.0,0.31622776601683794,False,False,0.04295564546270467,2.5851835967196854e-07,False,0.32040638521688225,0.7533444816053512,0.4547005525646427,0.13951919430436482,0.32040638521688225,0.7533444816053512,0.2956317236582647,0.0847175488681853,0.32040638521688225,0.7533444816053512,0.4547005522288391,0.13951919415461758,0.3512811586094637,0.7698996655518395,0.28737161276031864,0.08214051123159644,0.0,0.0,-3.3580360714324797e-10,-1.4974724238392412e-10,0.030874773392581434,0.01655518394648836,-0.008260110897946038,-0.002577037636588869,0.030874773392581434,0.01655518394648836,-0.16732893946852045,-0.057378682923021146
SR-p53,MCF7,standardized,1,2,3042,3042,1b5cfac0a4ee404a95073d7e1fb77a97bb05099f33cb1e560efaab46db1ac1f8,1051,107,42,42,True,1.0,-1.7483139009431639,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,3.921408393312894e-09,1.958903730198136e-09,False,10.0,1.0,False,False,0.037230316736702775,1.2014800936880482e-07,False,0.2721720396691372,0.7649122807017543,0.46831791099202547,0.14523136222979388,0.2721720396691372,0.7649122807017543,0.32279930409212204,0.09476140910083516,0.2721720396691372,0.7649122807017543,0.46831790980719823,0.14523136170283543,0.40663788593448785,0.831578947368421,0.30099671476009354,0.0894144319350637,0.0,0.0,-1.1848272363224055e-09,-5.269584490985579e-10,0.13446584626535063,0.06666666666666665,-0.0218025893320285,-0.005346977165771469,0.13446584626535063,0.06666666666666665,-0.1673211950471047,-0.055816929767771736
SR-p53,MCF7,standardized,1,3,3042,3042,1b5cfac0a4ee404a95073d7e1fb77a97bb05099f33cb1e560efaab46db1ac1f8,774,384,42,42,True,1.0,-1.698165813100677,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,4.503006706805941e-09,1.8011273236751002e-09,False,100000000.0,1.0,True,True,5.108944504283346e-09,1.1634117558223522e-09,False,0.27225477195621095,0.7416733547351524,0.4027253122563598,0.11552447845069157,0.27225477195621095,0.7416733547351524,0.23571037946599369,0.06279564864247607,0.27225477195621095,0.7416733547351524,0.4027253106407498,0.11552447778231549,0.27225477195621095,0.7416733547351524,0.23571037798066938,0.06279564834747936,0.0,0.0,-1.615610034644277e-09,-6.683760767067781e-10,0.0,0.0,-1.4853243079926415e-09,-2.949967076171234e-10,0.0,0.0,-0.1670149326600804,-0.05272882943483613
SR-p53,MCF7,standardized,1,4,3042,3042,1b5cfac0a4ee404a95073d7e1fb77a97bb05099f33cb1e560efaab46db1ac1f8,946,212,42,42,True,1.0,-1.722136951706752,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,4.323524295472999e-09,2.2206769478838595e-09,False,10.0,1.0,False,False,0.04186651198298119,2.736733232719911e-07,False,0.25856884775426875,0.7630215434960458,0.44963946035292973,0.13629464718760473,0.25856884775426875,0.7630215434960458,0.2735206257133975,0.07661071283448753,0.25856884775426875,0.7630215434960458,0.4496394592775287,0.1362946467066549,0.3109959647812679,0.7807472047995636,0.2648438846926481,0.07436932896327421,0.0,0.0,-1.0754010459912422e-09,-4.809498355129449e-10,0.05242711702699915,0.017725661303517826,-0.008676741020749446,-0.0022413838712133233,0.05242711702699915,0.017725661303517826,-0.1847955745848806,-0.061925317743380684
SR-p53,MCF7,standardized,2,0,4042,4042,51e7d8225d33497c5aae5960bad61c8254feecfe322619fe31a9749ff0b2d292,894,264,42,42,True,1.0,-1.722954720088849,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,10.0,1.0,False,False,0.03491538955779617,7.500564643686536e-07,False,3.162277660168379,0.31622776601683794,False,False,0.10242058041636495,2.295279766355296e-07,False,0.36984165249677614,0.798611111111111,0.43905965080290515,0.13191525695077327,0.36984165249677614,0.798611111111111,0.26301108279861707,0.07400185869201534,0.40704594160707924,0.8241319444444445,0.433613479837131,0.12960470838876997,0.49280494314945,0.846875,0.24085161368593078,0.0673726049713283,0.0372042891103031,0.025520833333333437,-0.005446170965774155,-0.0023105485620033006,0.12296329065267386,0.048263888888888995,-0.022159469112686292,-0.0066292537206870394,0.08575900154237076,0.022743055555555558,-0.19276186615120022,-0.062232103417441675
