task,cell,variant,repeat_id,fold_id,outer_split_signature,ik,y,d0_intercept,p_c0,p_d0,p_c1,p_d1
NR-AhR,HA1E,standardized,0,0,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,ATCGGEJZONJOCL,0.0,-1.2873140041982645,0.8146587910676397,0.5481644039861364,0.8146587912335195,0.5481644040370116
NR-AhR,HA1E,standardized,0,0,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,CBPJQFCAFFNICX,1.0,-1.2873140041982645,0.21942135002662091,0.07200066549455096,0.21942135102388544,0.07200066586607617
NR-AhR,HA1E,standardized,0,0,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,CZIHNRWJTSTCEX,1.0,-1.2873140041982645,0.7005841224311096,0.3924004731850589,0.7005841314553147,0.3924004836338484
NR-AhR,HA1E,standardized,0,0,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,DERZBLKQOCDDDZ,0.0,-1.2873140041982645,0.2831953201625153,0.09832458052818442,0.2831953202257818,0.09832458073137791
NR-AhR,HA1E,standardized,0,0,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,FGXWKSZFVQUSTL,0.0,-1.2873140041982645,0.2752467007344572,0.09487803008267198,0.27524670089236536,0.09487803007664551
NR-AhR,HA1E,standardized,0,0,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,GQGRDYWMOPRROR,0.0,-1.2873140041982645,0.058637368583738504,0.01690210961275639,0.05863736858019901,0.016902109650560857
NR-AhR,HA1E,standardized,0,0,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,HBUBKKRHXORPQB,0.0,-1.2873140041982645,0.33763717055917175,0.12334203612145894,0.3376371657183268,0.12334203397451483
NR-AhR,HA1E,standardized,0,0,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,HDOVUKNUBWVHOX,0.0,-1.2873140041982645,0.22801333980660304,0.07537747105867555,0.22801334122694125,0.07537747101788644
NR-AhR,HA1E,standardized,0,0,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,HOGVTUZUJGHKPL,1.0,-1.2873140041982645,0.30915261964886076,0.10993571876699115,0.3091526222959782,0.1099357201050931
NR-AhR,HA1E,standardized,0,0,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,HRRBJVNMSRJFHQ,1.0,-1.2873140041982645,0.43774256585604165,0.1768781994284514,0.4377425661770358,0.17687819915549158
NR-AhR,HA1E,standardized,0,0,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,HXHWSAZORRCQMX,1.0,-1.2873140041982645,0.7276333113852033,0.42441722555890066,0.7276333130043507,0.42441722738955534
NR-AhR,HA1E,standardized,0,0,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,IJHNSHDBIRRJRN,0.0,-1.2873140041982645,0.27295423123556495,0.09389319220115923,0.27295423148996056,0.09389319246898166
NR-AhR,HA1E,standardized,0,0,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,IPOKCKJONYRRHP,0.0,-1.2873140041982645,0.44603167956269324,0.181825005658133,0.44603167594255577,0.18182500326292844
NR-AhR,HA1E,standardized,0,0,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,IVVNZDGDKPTYHK,0.0,-1.2873140041982645,0.34289470094694785,0.12589691511959297,0.34289469843504017,0.12589691409602544
NR-AhR,HA1E,standardized,0,0,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,JAQUASYNZVUNQP,0.0,-1.2873140041982645,0.3486349606185269,0.12871608408510868,0.3486349647791078,0.1287160853704262
NR-AhR,HA1E,standardized,0,0,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,JFJZZMVDLULRGK,0.0,-1.2873140041982645,0.4203164807599583,0.166756903318465,0.4203164810446352,0.1667569034163496
NR-AhR,HA1E,standardized,0,0,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,JIVPVXMEBJLZRO,0.0,-1.2873140041982645,0.26636963660055046,0.09108699402660819,0.2663696366692202,0.09108699387104982
NR-AhR,HA1E,standardized,0,0,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,JOAHPSVPXZTVEP,1.0,-1.2873140041982645,0.3308479719721388,0.12008068599640849,0.3308479715825674,0.12008068568152674
NR-AhR,HA1E,standardized,0,0,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,JSDRRTOADPPCHY,1.0,-1.2873140041982645,0.12802535183453914,0.03894631734909433,0.12802535179334762,0.03894631734622645
NR-AhR,HA1E,standardized,0,0,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,JVVXZOOGOGPDRZ,0.0,-1.2873140041982645,0.355833733677935,0.1322961737237183,0.3558337313131364,0.13229617320708348
NR-AhR,HA1E,standardized,0,0,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,KBAFPSLPKGSANY,0.0,-1.2873140041982645,0.19429042252710552,0.06240437935703282,0.19429042017935022,0.062404378510918124
NR-AhR,HA1E,standardized,0,0,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,KLBQZWRITKRQQV,0.0,-1.2873140041982645,0.3788938966655265,0.14411064703672688,0.37889389508093824,0.1441106474465231
NR-AhR,HA1E,standardized,0,0,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,KRMDCWKBEZIMAB,0.0,-1.2873140041982645,0.4779955244624918,0.20175060037921902,0.4779955183836613,0.2017505979043523
NR-AhR,HA1E,standardized,0,0,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,KXNPVXPOPUZYGB,0.0,-1.2873140041982645,0.07760024373225427,0.022693491961995924,0.07760024470972536,0.022693492221613775
NR-AhR,HA1E,standardized,0,0,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,LCTZPQRFOZKZNK,0.0,-1.2873140041982645,0.18707331336490246,0.05972316642641991,0.1870733132609985,0.05972316641448687
NR-AhR,HA1E,standardized,0,0,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,LKJPYSCBVHEWIU,0.0,-1.2873140041982645,0.2338484641609646,0.07769961499683492,0.23384846472864995,0.07769961497951441
NR-AhR,HA1E,standardized,0,0,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,LOUPRKONTZGTKE,1.0,-1.2873140041982645,0.23094191863073554,0.0765399823536171,0.23094191626650704,0.07653998155354619
NR-AhR,HA1E,standardized,0,0,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,MFWNKCLOYSRHCJ,0.0,-1.2873140041982645,0.23300188122788423,0.07736124546703226,0.2330018772274314,0.07736124400868429
NR-AhR,HA1E,standardized,0,0,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,MKJIEFSOBYUXJB,0.0,-1.2873140041982645,0.15957028117346353,0.04979596040072341,0.15957028263229003,0.04979596087675018
NR-AhR,HA1E,standardized,0,0,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,MKXZASYAUGDDCJ,0.0,-1.2873140041982645,0.37224755175810853,0.14065011446146508,0.3722475508222366,0.14065011406800024
