task,cell,variant,repeat_id,fold_id,outer_split_signature,ik,y,d0_intercept,p_c0,p_d0,p_c1,p_d1
NR-AhR,HEPG2,standardized,0,0,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,HCRKCZRJWPKOAR,0.0,-1.272834010095037,0.12843397323668423,0.03963081945154768,0.1284339729906388,0.03963081948434605
NR-AhR,HEPG2,standardized,0,0,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,HIFJCPQKFCZDDL,0.0,-1.272834010095037,0.026254346504694395,0.007493834661451132,0.02625434662028901,0.007493834736932747
NR-AhR,HEPG2,standardized,0,0,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,HSUGRBWQSSZJOP,0.0,-1.272834010095037,0.27250164706912594,0.09493613681712253,0.2725016471738709,0.09493613701771739
NR-AhR,HEPG2,standardized,0,0,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,IJHNSHDBIRRJRN,0.0,-1.272834010095037,0.27295423123556495,0.09513237570689816,0.2729542290113656,0.09513237491692285
NR-AhR,HEPG2,standardized,0,0,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,ISWRGOKTTBVCFA,0.0,-1.272834010095037,0.3615350141600202,0.1368690307870836,0.3615350154977285,0.13686903128403607
NR-AhR,HEPG2,standardized,0,0,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,IVVNZDGDKPTYHK,0.0,-1.272834010095037,0.34289470094694785,0.12749904407652876,0.342894699345568,0.12749904262412137
NR-AhR,HEPG2,standardized,0,0,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,IXORZMNAPKEEDV,0.0,-1.272834010095037,0.03978693757304741,0.011470379921039046,0.03978693745374145,0.011470379895144763
NR-AhR,HEPG2,standardized,0,0,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,JFJZZMVDLULRGK,0.0,-1.272834010095037,0.4203164807599583,0.16877860468572348,0.4203164816346956,0.1687786053568915
NR-AhR,HEPG2,standardized,0,0,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,JQXXHWHPUNPDRT,0.0,-1.272834010095037,0.13806699450633417,0.042931361179466915,0.13806699680647533,0.0429313616751835
NR-AhR,HEPG2,standardized,0,0,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,JWBOIMRXGHLCPP,0.0,-1.272834010095037,0.5148684673977795,0.22911015072414567,0.514868470944207,0.22911015360618261
