task,cell,variant,repeat_id,fold_id,outer_split_signature,ik,y,d0_intercept,p_c0,p_d0,p_c1,p_d1
SR-ARE,HT29,standardized,0,0,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,DRZXDZYWZSKFDL,1.0,-1.048733769395857,0.35687781870365143,0.16278167206778438,0.43016080890004066,0.17439288806417
SR-ARE,HT29,standardized,0,0,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,GAGWJHPBXLXJQN,0.0,-1.048733769395857,0.24990231543779373,0.10453070186763845,0.3057198962746008,0.11106422934417447
SR-ARE,HT29,standardized,0,0,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,GKTWGGQPFAXNFI,0.0,-1.048733769395857,0.4413974136114121,0.21683165246938552,0.36767775850760054,0.20747587678643326
SR-ARE,HT29,standardized,0,0,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,HCFDWZZGGLSKEP,0.0,-1.048733769395857,0.24441842548549175,0.10180390918902481,0.22100150251311476,0.1018703957858475
SR-ARE,HT29,standardized,0,0,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,IVTVGDXNLFLDRM,0.0,-1.048733769395857,0.4597581550478935,0.2296921920495414,0.5378027025316662,0.23684874636246342
SR-ARE,HT29,standardized,0,0,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,JXLYSJRDGCGARV,1.0,-1.048733769395857,0.49012701213359827,0.2519515663471995,0.727557883563161,0.2870940093270644
SR-ARE,HT29,standardized,0,0,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,KGFYHTZWPPHNLQ,0.0,-1.048733769395857,0.44379701465368276,0.21848793457254673,0.4406126658613405,0.21615760687376134
SR-ARE,HT29,standardized,0,0,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,KJHKTHWMRKYKJE,1.0,-1.048733769395857,0.26596760004758835,0.11265413685722392,0.33982374770520823,0.12056329075594902
SR-ARE,HT29,standardized,0,0,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,KTHVBAZBLKXIHZ,0.0,-1.048733769395857,0.3145699985325337,0.13852758886614958,0.326650256600581,0.14419608395277117
SR-ARE,HT29,standardized,0,0,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,KZNIFHPLKGYRTM,1.0,-1.048733769395857,0.6411440223455429,0.3849948260309932,0.7117115626701729,0.39932903772264017
SR-ARE,HT29,standardized,0,0,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,LKJPYSCBVHEWIU,1.0,-1.048733769395857,0.3963712155818939,0.187042647661184,0.36958421936890445,0.18499617743457036
SR-ARE,HT29,standardized,0,0,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,LSNWBKACGXCGAJ,0.0,-1.048733769395857,0.33519047126173973,0.150135921120626,0.3018557308567995,0.14882291708633727
SR-ARE,HT29,standardized,0,0,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,MFYSYFVPBJMHGN,0.0,-1.048733769395857,0.2725837789475918,0.11605951773052853,0.2076006508040796,0.1029623265483068
SR-ARE,HT29,standardized,0,0,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,MNJNPLVXBISNSX,0.0,-1.048733769395857,0.4070128500461578,0.19386928850172394,0.3714367764597002,0.19487347208112143
SR-ARE,HT29,standardized,0,0,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,MWLSOWXNZPKENC,0.0,-1.048733769395857,0.4571297708898783,0.22782441225204242,0.45903553624499477,0.2265577370655037
SR-ARE,HT29,standardized,0,0,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,NDTSRXAMMQDVSW,0.0,-1.048733769395857,0.408174566924572,0.1946223096361958,0.4033598212728052,0.19728193277344325
