task,cell,variant,repeat_id,fold_id,outer_split_signature,ik,y,d0_intercept,p_c0,p_d0,p_c1,p_d1
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,BZEWSEKUUPWQDQ,1.0,-1.0847419887467606,0.40221323072910314,0.18527736866914235,0.4022132343930263,0.18527737125756513
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,HBOMLICNUCNMMY,0.0,-1.0847419887467606,0.15713864564895627,0.059277635639011166,0.15713864418773726,0.05927763492357452
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,IAIWVQXQOWNYOU,1.0,-1.0847419887467606,0.6611430421471596,0.3973905317019274,0.6611430431275933,0.3973905329419835
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,JYJTVFIEFKZWCJ,0.0,-1.0847419887467606,0.4727514386177063,0.2325720857652486,0.4727514377480245,0.23257208258443313
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,KYRVNWMVYQXFEU,1.0,-1.0847419887467606,0.6221066564321518,0.35749747827892125,0.622106656056693,0.35749747862197845
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,MBUVEWMHONZEQD,0.0,-1.0847419887467606,0.6559343039989471,0.391856787268525,0.6559343034520688,0.391856787938903
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,NBQNWMBBSKPBAY,0.0,-1.0847419887467606,0.2837020456790924,0.11806181201360254,0.28370204606286253,0.11806181150518538
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,NQDJXKOVJZTUJA,0.0,-1.0847419887467606,0.3429704289883376,0.14997122177612784,0.3429704281196406,0.14997122108956087
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,NZLVRVYNQYGMAB,0.0,-1.0847419887467606,0.6571096181869507,0.3930995355601524,0.6571096164806696,0.3930995336581211
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,ODKNJVUHOIMIIZ,1.0,-1.0847419887467606,0.133151838555932,0.04935433960957048,0.13315184085270565,0.04935434053817985
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,OEBPANQZQGQPHF,0.0,-1.0847419887467606,0.32095299661159515,0.13774609827201953,0.32095299810029493,0.13774609925170692
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,OFCNXPDARWKPPY,0.0,-1.0847419887467606,0.141594662098214,0.052807460233600195,0.1415946576420583,0.05280745801378318
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,OJGDCBLYJGHCIH,0.0,-1.0847419887467606,0.513068862259388,0.26260849970536443,0.5130688624074209,0.26260849956762544
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,OPQRBXUBWHDHPQ,0.0,-1.0847419887467606,0.3284551650285721,0.14186050817169574,0.3284551648076892,0.1418605083723892
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,OQDPVLVUJFGPGQ,0.0,-1.0847419887467606,0.28057281486690044,0.11646253867032764,0.28057281540088097,0.11646253873200865
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,OUJTZYPIHDYQMC,0.0,-1.0847419887467606,0.37847551144659525,0.17068703508789532,0.37847550743730146,0.17068703114037487
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,OZWKMVRBQXNZKK,0.0,-1.0847419887467606,0.40205757133662706,0.18517965758217464,0.40205757089680344,0.18517965779377663
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,PBMSWVPMRUJMPE,0.0,-1.0847419887467606,0.3865531831979752,0.17558278344085967,0.3865531837609752,0.17558278172636277
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,PLDZOHPIBZVDLQ,0.0,-1.0847419887467606,0.2777867950499058,0.11504550431467304,0.2777867948966192,0.11504550425667907
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,PTVWPYVOOKLBCG,0.0,-1.0847419887467606,0.18526294827461243,0.07137010025774108,0.1852629486443318,0.07137010047956822
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,QANMHLXAZMSUEX,0.0,-1.0847419887467606,0.25770099461078644,0.10501590373535957,0.2577009963912977,0.10501590469824967
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,QEVHRUUCFGRFIF,0.0,-1.0847419887467606,0.3536084145307541,0.15604465724288752,0.3536084167764141,0.15604465895600111
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,QRZAKQDHEVVFRX,0.0,-1.0847419887467606,0.34386070817708975,0.1504752530257908,0.343860712504049,0.15047525560621428
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,QVZCXCJXTMIDME,1.0,-1.0847419887467606,0.2728833984583616,0.11256701768182074,0.27288339944961965,0.11256701826896097
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,RCKMWOKWVGPNJF,0.0,-1.0847419887467606,0.0757492333650589,0.02695406703492394,0.07574923260176052,0.026954066756034883
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,RKLNONIVDFXQRX,0.0,-1.0847419887467606,0.41833698749542236,0.19554949005363714,0.4183369914897547,0.19554949259403395
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,RMMXLENWKUUMAY,1.0,-1.0847419887467606,0.6246074140071869,0.35994772311885853,0.6246074179973624,0.35994772702391664
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,RTRQQBHATOEIAF,0.0,-1.0847419887467606,0.15064771100878716,0.056557800754826866,0.15064771209060515,0.05655780117684944
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,SGOOQMRIPALTEL,0.0,-1.0847419887467606,0.42015004903078085,0.19672355568297173,0.4201500507597399,0.19672355673944414
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,SGRYPYWGNKJSDL,1.0,-1.0847419887467606,0.5474864766001701,0.2902393493471837,0.5474864801762773,0.2902393529390176
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,SNICXCGAKADSCV,0.0,-1.0847419887467606,0.18352837581187487,0.07060946345705588,0.18352837608964725,0.07060946353481122
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,SYTBZMRGLBWNTM,0.0,-1.0847419887467606,0.4882114976644516,0.24380975952505224,0.48821150256916734,0.24380976250302228
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,TVQZAMVBTVNYLA,0.0,-1.0847419887467606,0.30219464935362345,0.12768204424826635,0.30219464857655626,0.12768204368316785
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,UCHDWCPVSPXUMX,0.0,-1.0847419887467606,0.6521206721663475,0.3878477822651908,0.65212067379284,0.38784778363960465
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,UHWVSEOVJBQKBE,0.0,-1.0847419887467606,0.20414231345057487,0.07977962691425805,0.20414231450387432,0.07977962702419567
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,UJVLDDZCTMKXJK,1.0,-1.0847419887467606,0.6306065917015076,0.3658825030167368,0.6306065855332659,0.3658824968520856
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,UNFWWIHTNXNPBV,0.0,-1.0847419887467606,0.1876897979527712,0.07243765907638092,0.18768979879036174,0.0724376593159338
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,UXXQOJXBIDBUAC,1.0,-1.0847419887467606,0.4335283041000366,0.205508969093132,0.4335283031035728,0.2055089684747677
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,VGEREEWJJVICBM,1.0,-1.0847419887467606,0.4365359097719193,0.20751417731672434,0.4365359211544185,0.20751418490383244
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,VLYWMPOKSSWJAL,0.0,-1.0847419887467606,0.21972177177667618,0.08690451470486679,0.21972177761700784,0.08690451708904906
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,WFWLQNSHRPWKFK,0.0,-1.0847419887467606,0.15623902063816789,0.05889911799219501,0.15623902238247048,0.05889911874970707
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,WOXKDUGGOYFFRN,0.0,-1.0847419887467606,0.49786039441823965,0.25099728926558457,0.49786038910888747,0.25099728601540416
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,WUWFMDMBOJLQIV,1.0,-1.0847419887467606,0.6363962143659592,0.3716872179121528,0.6363962216581538,0.3716872245599097
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,XEYBRNLFEZDVAW,0.0,-1.0847419887467606,0.325611624866724,0.14029489591774327,0.32561161933200167,0.14029489293471353
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,XMXHEBAFVSFQEX,0.0,-1.0847419887467606,0.5790981650352478,0.3174165983048606,0.5790981695477139,0.31741660294632
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,XOXHILFPRYWFOD,0.0,-1.0847419887467606,0.2759638000279665,0.11412174826130786,0.2759638018391105,0.11412174915516013
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,XQFRJNBWHJMXHO,0.0,-1.0847419887467606,0.1785921882838011,0.06845570983883575,0.17859218781785077,0.0684557095318451
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,XWXYUMMDTVBTOU,1.0,-1.0847419887467606,0.44897373020648956,0.215927278675105,0.44897372971724997,0.21592727888911986
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,XXANNZJIZQTCBP,0.0,-1.0847419887467606,0.24347343295812612,0.09810393501831753,0.24347343489499282,0.09810393625385735
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,XYLJNLCSTIOKRM,0.0,-1.0847419887467606,0.381050955504179,0.17224036683196703,0.3810509571461483,0.17224036771084417
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,YEEZWCHGZNKEEK,1.0,-1.0847419887467606,0.48448330163955683,0.24106880716052845,0.4844833044630942,0.24106880868332112
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,YLUSMKAJIQOXPV,0.0,-1.0847419887467606,0.38585276715457434,0.17515548790987928,0.3858527665283533,0.17515548865057057
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,YSEXMKHXIOCEJA,0.0,-1.0847419887467606,0.39493714272975927,0.1807391473273612,0.39493714283828923,0.18073914797578136
SR-ARE,MCF7,standardized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,ZAHQBPYQBHTECE,0.0,-1.0847419887467606,0.3756197206676007,0.16897286004946951,0.37561972118303777,0.1689728606061794
