task,cell,variant,repeat_id,fold_id,outer_split_signature,ik,y,d0_intercept,p_c0,p_d0,p_c1,p_d1
SR-MMP,HA1E,standardized,0,0,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,BLGXFZZNTVWLAY,0.0,-1.0750508330558315,0.24230777625103686,0.09840095642126406,0.20398970944236294,0.09687227338830577
SR-MMP,HA1E,standardized,0,0,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,HOGVTUZUJGHKPL,1.0,-1.0750508330558315,0.24238138451095992,0.09843652808589297,0.43529617675698984,0.10006768187788534
SR-MMP,HA1E,standardized,0,0,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,IPVQLZZIHOAWMC,0.0,-1.0750508330558315,0.12562021290158462,0.04673932626010054,0.13383902724745772,0.04777506472989202
SR-MMP,HA1E,standardized,0,0,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,JFIOVJDNOJYLKP,1.0,-1.0750508330558315,0.8403197008188746,0.6423452730368734,0.9244011954112098,0.6482616611082127
SR-MMP,HA1E,standardized,0,0,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,KRVOJOCLBAAKSJ,0.0,-1.0750508330558315,0.3605439492651883,0.16137201331334128,0.327972377527533,0.16218691985182898
SR-MMP,HA1E,standardized,0,0,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,KVWDHTXUZHCGIO,0.0,-1.0750508330558315,0.5950299675724255,0.3339769872488486,0.5672755896818801,0.3201513365005759
SR-MMP,HA1E,standardized,0,0,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,LOUPRKONTZGTKE,0.0,-1.0750508330558315,0.23457228842931063,0.09468547596778513,0.26883494755017545,0.10011655412878621
SR-MMP,HA1E,standardized,0,0,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,MFWNKCLOYSRHCJ,0.0,-1.0750508330558315,0.2480615358229138,0.10119393350343064,0.21120633044636922,0.10105881230433393
SR-MMP,HA1E,standardized,0,0,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,MQJKPEGWNLWLTK,0.0,-1.0750508330558315,0.5510553884258248,0.295230368025576,0.5286279572694129,0.28545996019346215
SR-MMP,HA1E,standardized,0,0,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,NCEXYHBECQHGNR,0.0,-1.0750508330558315,0.3776356940746983,0.1715550054217559,0.29500193662244373,0.156232945797299
