task,cell,variant,repeat_id,fold_id,outer_split_signature,ik,y,d0_intercept,p_c0,p_d0,p_c1,p_d1
SR-MMP,HT29,standardized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,GMRQFYUYWCNGIN,1.0,-1.1408189327288836,0.6880500482232126,0.4134308930524807,0.7351966731429754,0.4662007300383475
SR-MMP,HT29,standardized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,HKXBNHCUPKIYDM,0.0,-1.1408189327288836,0.7198391058185402,0.4508702198541049,0.7344818570402727,0.46727820781082746
SR-MMP,HT29,standardized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,HPJKCIUCZWXJDR,0.0,-1.1408189327288836,0.7283416201327513,0.46142827507738327,0.665694305287224,0.35978673591610866
SR-MMP,HT29,standardized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,IPEHBUMCGVEMRF,0.0,-1.1408189327288836,0.11859893910555848,0.041226083490910136,0.1188473054865555,0.04068652940049591
SR-MMP,HT29,standardized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,IVQOFBKHQCTVQV,0.0,-1.1408189327288836,0.3616994201737091,0.15331751815533978,0.3229200928613831,0.12355887218477955
SR-MMP,HT29,standardized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,JIVZKJJQOZQXQB,0.0,-1.1408189327288836,0.2383299056231139,0.09090153063506642,0.20254109763611278,0.071691772667294
SR-MMP,HT29,standardized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,JSDRRTOADPPCHY,0.0,-1.1408189327288836,0.22443936617448257,0.08464859638303532,0.22543936920354662,0.08920308037028074
SR-MMP,HT29,standardized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,JWBOIMRXGHLCPP,1.0,-1.1408189327288836,0.9186230242685226,0.7829539814044378,0.9220341653905052,0.8032794805543096
SR-MMP,HT29,standardized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,JWUBBDSIWDLEOM,1.0,-1.1408189327288836,0.7191293668858822,0.44999971474339245,0.7555736648690227,0.5033147084698492
SR-MMP,HT29,standardized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,KBAFPSLPKGSANY,0.0,-1.1408189327288836,0.39605638987284353,0.17325337290887516,0.39224206852674853,0.18099493595291444
SR-MMP,HT29,standardized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,KHOITXIGCFIULA,1.0,-1.1408189327288836,0.772552226694172,0.520478546897414,0.7980346477097626,0.5632453162142934
SR-MMP,HT29,standardized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,KLSJWNVTNUYHDU,0.0,-1.1408189327288836,0.08563248090779688,0.029057606129830472,0.08012272989825678,0.02780713433199734
SR-MMP,HT29,standardized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,KVWDHTXUZHCGIO,0.0,-1.1408189327288836,0.5950299675724255,0.31951093960178195,0.5817230468137219,0.3096520225873
