task,cell,variant,repeat_id,fold_id,outer_split_signature,ik,y,d0_intercept,p_c0,p_d0,p_c1,p_d1
SR-p53,MCF7,standardized,0,0,4d08796e14c51e62cfeedddd5baf07c9097c0277f611ad4b2648dbb1d0e972c6,AADCDMQTJNYOSS,0.0,-1.7863271557979263,0.36466696432885354,0.08774441593393822,0.36466696272040244,0.08774441529271618
SR-p53,MCF7,standardized,0,0,4d08796e14c51e62cfeedddd5baf07c9097c0277f611ad4b2648dbb1d0e972c6,ACWBQPMHZXGDFX,0.0,-1.7863271557979263,0.32067345083919524,0.0733043137321913,0.32067345108301093,0.07330431382620294
SR-p53,MCF7,standardized,0,0,4d08796e14c51e62cfeedddd5baf07c9097c0277f611ad4b2648dbb1d0e972c6,AEMFNILZOJDQLW,0.0,-1.7863271557979263,0.18321121344087124,0.03622640846689259,0.183211212596861,0.036226408335258635
SR-p53,MCF7,standardized,0,0,4d08796e14c51e62cfeedddd5baf07c9097c0277f611ad4b2648dbb1d0e972c6,AEOCXXJPGCBFJA,0.0,-1.7863271557979263,0.2698828662035122,0.05832968447634582,0.2698828644457238,0.05832968380956376
SR-p53,MCF7,standardized,0,0,4d08796e14c51e62cfeedddd5baf07c9097c0277f611ad4b2648dbb1d0e972c6,ANGKOCUUWGHLCE,0.0,-1.7863271557979263,0.2415150374850353,0.05065576653012106,0.24151503861427526,0.0506557668560246
SR-p53,MCF7,standardized,0,0,4d08796e14c51e62cfeedddd5baf07c9097c0277f611ad4b2648dbb1d0e972c6,AQHHHDLHHXJYJD,0.0,-1.7863271557979263,0.372913515180687,0.09062189689553278,0.3729135174387503,0.09062189766792068
SR-p53,MCF7,standardized,0,0,4d08796e14c51e62cfeedddd5baf07c9097c0277f611ad4b2648dbb1d0e972c6,ARFHIAQFJWUCFH,0.0,-1.7863271557979263,0.3530684199751938,0.08379200329407033,0.35306842109466685,0.08379200424201033
SR-p53,MCF7,standardized,0,0,4d08796e14c51e62cfeedddd5baf07c9097c0277f611ad4b2648dbb1d0e972c6,AUVVAXYIELKVAI,0.0,-1.7863271557979263,0.44628754667949677,0.11899212997450972,0.4462875663263149,0.11899214030946784
SR-p53,MCF7,standardized,0,0,4d08796e14c51e62cfeedddd5baf07c9097c0277f611ad4b2648dbb1d0e972c6,AZFBLLCNOQPJGJ,0.0,-1.7863271557979263,0.7083028797302247,0.28922081251119663,0.7083028813292176,0.28922081358941154
SR-p53,MCF7,standardized,0,0,4d08796e14c51e62cfeedddd5baf07c9097c0277f611ad4b2648dbb1d0e972c6,BAWFJGJZGIEFAR,0.0,-1.7863271557979263,0.3769601817145157,0.09205496291701121,0.3769601829743534,0.09205496306168592
SR-p53,MCF7,standardized,0,0,4d08796e14c51e62cfeedddd5baf07c9097c0277f611ad4b2648dbb1d0e972c6,BCEHBSKCWLPMDN,0.0,-1.7863271557979263,0.2712745887472775,0.05871821282947125,0.2712745855155842,0.05871821169853678
SR-p53,MCF7,standardized,0,0,4d08796e14c51e62cfeedddd5baf07c9097c0277f611ad4b2648dbb1d0e972c6,BEZZFPOZAYTVHN,1.0,-1.7863271557979263,0.46862694964124674,0.12875807496481587,0.4686269458786727,0.12875807335941875
SR-p53,MCF7,standardized,0,0,4d08796e14c51e62cfeedddd5baf07c9097c0277f611ad4b2648dbb1d0e972c6,BFUJHVVEMMWLHC,0.0,-1.7863271557979263,0.28908634150696705,0.06379541292579852,0.2890863404190229,0.06379541270299215
SR-p53,MCF7,standardized,0,0,4d08796e14c51e62cfeedddd5baf07c9097c0277f611ad4b2648dbb1d0e972c6,BGRJTUBHPOOWDU,0.0,-1.7863271557979263,0.26204897405799854,0.05616417135279737,0.26204897484693396,0.05616417097308592
SR-p53,MCF7,standardized,0,0,4d08796e14c51e62cfeedddd5baf07c9097c0277f611ad4b2648dbb1d0e972c6,BHKPHCKISVSDGV,0.0,-1.7863271557979263,0.43984805601667404,0.11628342227317406,0.4398480554085344,0.11628342248349707
SR-p53,MCF7,standardized,0,0,4d08796e14c51e62cfeedddd5baf07c9097c0277f611ad4b2648dbb1d0e972c6,BIIVYFLTOXDAOV,0.0,-1.7863271557979263,0.5838543761365891,0.1903541236357303,0.5838544101509678,0.19035414822683916
SR-p53,MCF7,standardized,0,0,4d08796e14c51e62cfeedddd5baf07c9097c0277f611ad4b2648dbb1d0e972c6,BKYKPTRYDKTTJY,0.0,-1.7863271557979263,0.2897547548363125,0.0639898053007554,0.28975475082019236,0.06398980416846553
