ik,NR-AR_chem_logit,NR-AR-LBD_chem_logit,NR-AhR_chem_logit,NR-Aromatase_chem_logit,NR-ER_chem_logit,NR-ER-LBD_chem_logit,NR-PPAR-gamma_chem_logit,SR-ARE_chem_logit,SR-ATAD5_chem_logit,SR-HSE_chem_logit,SR-MMP_chem_logit,SR-p53_chem_logit
AADCDMQTJNYOSS,-1.6178027883613464,-1.9058867386140839,-0.4016062801674616,-0.790916968521142,-0.39065133092234583,-0.836038893536911,-0.9327272694873582,-0.32025812261941133,-0.7471327935197997,-0.2367320420577289,-0.5130691949832262,-0.6163969617904685
AAKJLRGGTJKAMG,-1.6777603434639305,-1.9565367961205697,-0.6539787673181303,-0.7696842907766241,-0.6329660013629188,-0.7871087948376244,-0.923797292059888,-0.8275198769222707,-0.7371322353653263,-0.42952261751159976,-0.9603904212544798,-0.7879235863434271
AAOVKJBEBIDNHE,-1.713728624091766,-1.9810819468553902,-0.774758557858723,-0.8993996290055466,-0.6797422165910664,-0.8626331143675665,-1.0205797683365783,-1.0661541832614145,-0.8620740883835786,-0.5358591346483825,-1.153266339298002,-0.9670778205659214
AAQOQKQBGPPFNS,-1.4062622017208557,-1.8472253178588443,-1.3790735550076405,-0.844445983083363,-0.6482725009588116,-0.7066197397048432,-0.9329429507600617,-0.9729242318750341,-1.2558393370637135,-0.7934390565291901,-1.1687110849502191,-0.8650746620264207
ABJKWBDEJIDSJZ,-1.483261071471465,-1.814891563050495,-0.8318642312799133,-0.8235622576003123,-0.4959925183952768,-0.5918984198695967,-0.7741706828052589,-0.15932046988706824,-1.1912330666992526,-0.5436668591779951,-0.44150337383675037,-0.858114974520816
ACSIXWWBWUQEHA,-1.7224882637746473,-1.93180070333383,0.07805882050135957,-0.6499247575205696,-0.3824499779617607,-0.8065689909129153,-0.9354364402107455,-0.219218857771858,-1.1718977274171247,-0.4942675108720906,-0.208292886940736,-1.0209654149276999
ACTRVOBWPAIOHC,-1.6794701514616766,-1.9392912113777891,-0.7507782358395101,-0.7106300626708547,-0.3362876326050458,-0.7541696789783467,-0.7066594569709621,-0.8791610905005033,-0.962950330997387,-0.5813045034589788,-1.0462448542118292,-0.6559181901166792
ACWBQPMHZXGDFX,-1.4012545218341594,-1.8790790999134919,-0.7451139508816957,-1.0739497454048264,-0.5715224206700551,-0.6900956026020216,-1.0628653687183192,-0.914575797095666,-0.9562408857069775,-0.684313278921388,-0.7606453706352849,-0.8891188977556034
ADEBPBSSDYVVLD,-1.705797518467901,-1.90343551545674,-0.3822110699581681,-0.23548957831576192,-0.2585889695705139,-0.7342945032576462,-0.9181957289476212,-0.6040444601351981,-1.2243272559242917,-0.6399641922133025,-0.1689254641698948,-0.8519896412659722
AELCINSCMGFISI,-1.6539945438604977,-1.9488778977766157,-0.09413389528110376,-0.7537507188519946,0.2795984769726926,-0.31519336507335416,-0.9253854435387974,-0.44076910400189606,-0.9895613656743381,-0.3088986120159405,-0.06094296351618374,-0.7125824935779064
AEMFNILZOJDQLW,-1.545438357959789,-1.8590317521406816,-0.3882679823996465,-0.9367192591100287,-0.5805587300481746,-0.6068245992197031,-0.9657158888427482,-0.3118425067258312,-0.9217916707323838,-0.49030427466117976,-0.2104886404569831,-0.917003239941099
AEOCXXJPGCBFJA,-1.5873518425420468,-1.883045646995101,-0.474948692808247,-0.2612374563251725,-0.3986379523262487,-0.7478733802009735,-0.9689406514953993,-0.21252606348649758,-0.8771465979052918,-0.5061445323775832,-0.6802070394919257,-0.9251280196009519
AEUTYOVWOVBAKS,-1.6965830308520256,-1.9132972582653351,-0.05072553216840431,-0.6441267180845023,-0.4467605147113437,-0.6951654108103317,-0.7542594189497649,-0.3306694427446545,-0.9952152632492131,-0.447881972782517,-0.5827491821835202,-0.6743503007013634
AFCGFAGUEYAMAO,-1.5807822837688286,-1.8826738451483398,-0.23307505847942792,-0.8299362842288667,-0.6592201805659259,-0.849649075892881,-1.0738216290759568,-0.4322950597697217,-0.9898363205832508,-0.7366020608566264,-1.0860612157560756,-0.7979590845586175
AFJYYKSVHJGXSN,-1.4806180857242213,-1.823656882850437,-1.4433761669558225,-0.9736174360742744,-0.5793123877149066,-0.7777143581994462,-1.0049060188454981,-1.2263257315341036,-1.1656813546550362,-0.8565190664386926,-1.289409891643696,-0.9254757899572518
AFNXATANNDIXLG,-1.6087993540362038,-1.7794440755061895,-0.5996171815445747,-1.179012503867126,-0.3528879894366012,-0.449766342939306,-0.7808078883000223,-0.20770380475283198,-0.5060354506783813,-0.32861374628859946,-0.9288956364659112,-0.7431235838203528
AFSOIHMEOKEZJF,-1.4211553770103984,-1.992447748309852,-0.7050168604529401,-0.892613670808803,-0.4434789738714724,-0.8257943589730722,-1.1191180314865206,-1.142032819491974,-1.0392793901735946,-0.6967442025852071,-1.0994925988788173,-0.8873239865651841
AGHANLSBXUWXTB,-1.6688876156984276,-1.9869073401180644,-0.7218355700225596,-1.221619247439814,-0.6591176236903183,-0.8533279119327013,-0.9304636293004485,-1.0853151912373615,-1.1388630466718597,-0.6282009398661103,-0.7186314060272875,-1.0618630532112587
AGMMTXLNIQSRCG,-1.676238624547762,-1.9748843225119428,-1.3950547889029523,-1.056957713068133,-0.8548389938727708,-0.9372810195620052,-0.9778362173081572,-1.1786012021728844,-1.1912107806023473,-0.6721204288001508,-0.9875898826854523,-1.3542234025307673
AGOYDEPGAOXOCK,-1.37330859512049,-1.670357756869234,0.18897386941674021,-0.8342764336959759,-0.34906056083968173,-0.2198564450016958,-0.8059271564522001,0.005641294907870475,-0.527213552896625,-0.3939701917077182,-0.36137577120527337,-0.30128808884551633
AHLBNYSZXLDEJQ,-1.592881270942235,-1.8506734428427545,-0.7768376680024535,-0.6529121566485022,0.40358502551765774,-0.40221350702457953,-0.7076887422866055,-0.9321184562886482,-0.7274477872482106,0.0945124776618276,-0.7557064409966315,-1.0932240065650385
AHOUBRCZNHFOSL,-1.5426770375197176,-1.9082442770155035,-1.1146353240141909,-0.8565690661071412,-0.43761302762184534,-0.6036709109172224,-0.9610906876868166,-0.5990885887308026,-1.006444484825911,-0.5517999834326573,-0.8068937326020381,-0.9363274973569548
AJLFOPYRIVGYMJ,-1.6661254179636842,-1.9829548523154998,-0.7550940745573512,-0.9599962182605353,-0.6293410032034841,-0.9516358985330517,-1.1036015087614621,-1.031072957032796,-1.154776642673933,-0.3939312201971727,-0.9335861433851919,-1.2916500985402721
