k,auprc_mean,auprc_std,auroc_mean,auroc_std
1,0.44279804399176803,0.1627169018913362,0.7601087793960607,0.07986898911666941
2,0.45931446513604185,0.1662924533240373,0.7661445800912784,0.08512270635440253
3,0.47505802955606596,0.16676696827931556,0.7718671746311866,0.0920412449071276
4,0.48282832266407477,0.16151356159480826,0.7787863060969485,0.09118680440563934
5,0.46981128452913307,0.1690188235522082,0.7789681853123621,0.09699668149402352
6,0.4686196743510478,0.1739888207470938,0.7746882581157016,0.09374889699454036
7,0.4698602024573309,0.170553177861391,0.7742614402513074,0.09384062446686561
8,0.46729869390893025,0.1681476938510547,0.774506013274879,0.09411944961633366
9,0.45703200845562025,0.16454115402709643,0.7723990591653238,0.09468229445161058
10,0.4488032770449885,0.16428682999893074,0.7684538254150511,0.09514464467608023
11,0.4391096849929388,0.16546623527237514,0.7639940180461441,0.09895697149781242
12,0.4313990454049333,0.17114181479257268,0.7578816190355425,0.1014151498963442
