ik,NR-AR_chem_logit,NR-AR-LBD_chem_logit,NR-AhR_chem_logit,NR-Aromatase_chem_logit,NR-ER_chem_logit,NR-ER-LBD_chem_logit,NR-PPAR-gamma_chem_logit,SR-ARE_chem_logit,SR-ATAD5_chem_logit,SR-HSE_chem_logit,SR-MMP_chem_logit,SR-p53_chem_logit
AADCDMQTJNYOSS,-1.4377298386069053,-1.7124497788606858,-1.0593642236269007,-1.0226770363682678,-0.725854427933252,-0.7154682022792124,-1.070730968038314,-0.27310463223362325,-1.2248408442446497,-0.9498914204987551,-1.0620409910611053,-0.8485460209149098
AAKJLRGGTJKAMG,-1.0623413438963405,-1.770567236543317,1.1110497789357168,-0.3813716556360726,-0.36426255241975014,-0.7289816465169323,-0.8770398215342461,-0.0062679855310490635,-0.331342513172738,-0.999273401141932,-0.7440943585051922,-0.5634316024365233
AAOVKJBEBIDNHE,-1.0670619337691782,-1.7763280869351932,-0.5840033844344975,-0.8036559411927034,-0.31587497879420706,-0.8230411176564973,-0.9935411268246345,0.16840608567526766,-0.527899748330664,-0.9042496302725375,-0.06192924424663521,0.05701012194935301
AAQOQKQBGPPFNS,-1.5783027522555948,-1.823217648067604,-0.8905156719142839,-1.0171139143081618,-0.6932505322446505,-1.0126285876099146,-1.0941368812443493,-0.46128717710764605,-1.2357799720846416,-0.3224225984236491,-0.4204264641122295,-0.842698502696974
ABJKWBDEJIDSJZ,-1.535182823872421,-1.7859049332694044,0.29502949497342756,-0.6297293248952952,-0.2082843491003065,-0.8358394039609156,-0.6242620118520056,-0.17947987454739006,-1.0229670804432076,-0.5258227080258969,0.7689849012522655,-0.49338347659821613
ACSIXWWBWUQEHA,-1.4854396568406263,-1.6818100614083198,-2.1280476960033727,-1.6017760940177086,-0.947137871255144,-0.8807524253937952,-1.1625948449322758,-0.8815362233759667,-1.4608201818121318,-0.6010174697855665,-1.5859327909498737,-1.3951945844296343
ACTRVOBWPAIOHC,-1.3691915208529342,-1.6700143844443776,-2.3896211712208975,-1.5438223571182148,-1.083716618460167,-0.9345988523898368,-1.1883569238494982,-0.9813613816540185,-1.4338273035454479,-0.5384144113181366,-1.97980395017707,-1.1202507268323492
ACWBQPMHZXGDFX,-1.3739396176555447,-1.8175469507547017,-1.2873062919533604,-0.9645532316812995,-0.5970328141000578,-0.8522291700052748,-0.7857510600176624,-0.4029499386493953,-1.319185736858752,-1.037920242103325,-0.8180046041424741,-0.8718175470954275
ADEBPBSSDYVVLD,-1.0440086486151883,-1.495738169697075,-0.6891790388865755,-1.1984011324836135,-0.5152202409134905,-0.6459359391142463,-0.9626638098586673,-0.19279412370681828,-0.9488117798262616,-0.7996848325735001,-0.8517101538486509,-0.8821952169907441
AELCINSCMGFISI,-1.267071044491086,-1.667408140402531,-0.3038983156635919,-1.1446764948157349,0.029737275045886025,-0.8885807222705708,-0.7800764141178105,-0.6244723851243489,-0.809979494420389,-0.536342094804664,-0.4879736965916358,-0.7109181667053946
AEMFNILZOJDQLW,1.4779691007609292,0.6051901068473142,-2.227615489220641,-1.2441510192426457,0.961693138886212,0.7882580299013611,-1.1917898825323934,0.17712312713918021,-1.3492285677129285,-0.8327951595768021,-1.2508155309024418,-1.0113186341256515
AEOCXXJPGCBFJA,-1.4320471017924143,-1.861439715510215,-0.16452557332106418,-0.7824244520010766,-0.7012054617904054,-0.9734088264229287,-1.111919774943042,-0.09774553045357533,-0.6373639754484249,-0.5649597534752868,-0.8059023178990927,-0.6072195811010094
AEUTYOVWOVBAKS,-1.5481058257953912,-1.7745968399297494,-2.3683759996125517,-1.400598678854315,-1.2232235958489617,-1.0836278455442285,-1.4388188136265163,-1.3256960417447736,-1.425083839976368,-0.8476113192783676,-2.2075750982307567,-1.331023449283487
AFCGFAGUEYAMAO,-1.5691184619560845,-1.8422732941871534,-2.4598584325128146,-1.7495086418141537,-0.7517041504924741,-0.9840983686221076,-1.4112741396171633,-1.4255094037235707,-1.6115110841122593,-0.96087188272581,-2.4098788799744946,-1.522459379286964
AFJYYKSVHJGXSN,-0.14298328618098763,-0.5605350485507721,-2.4369249512192037,0.03938097315889791,-0.18305177421476015,-0.22066393506720006,-0.6113472949568168,0.11513196528276842,-0.17414466738881842,-0.9911428525868352,0.15180665829587406,0.13222931203935828
AFNXATANNDIXLG,-1.5428324643019582,-1.882710249779622,0.8697825457224582,1.387705600778856,-0.30959101570626746,-0.8882580570523009,-0.8290554755168259,0.7464818190415534,-1.151825528151654,-0.5808660999877112,0.46115202400642574,-0.631125301039413
AFSOIHMEOKEZJF,-1.1648012753606545,-1.3988185808806415,-0.4477197826545575,-0.9799957111507905,-0.39555983192071004,-0.7028424350775251,-0.6208798897157215,0.05606572316223744,-1.0599181189254658,-0.4372629182081971,-0.9113966531844109,-0.7018565770748187
AGHANLSBXUWXTB,-1.20166819525032,-1.5780989670502694,-0.10954431726663079,-0.6927074262453605,-0.23951319746176716,-0.19370364807334958,-0.19727764809394055,0.4955465668937936,-0.691645851080026,-0.4480860070248775,-0.22022946666960336,-0.5611794849764018
AGMMTXLNIQSRCG,-1.3738919582351947,-1.7499833400742386,-1.0237670984829248,-1.3648215169540832,-0.9922052324108361,-0.8729628648881813,-1.0489022489507371,-0.43615097532279007,-1.0638188334125123,-1.092068321909196,-0.9592136711792423,-0.7415627214181669
