task,cell,variant,repeat_id,fold_id,inner_fold,branch,alpha,success,validation_deviance,d0_inner_intercept,warm_started,retry_used,n_iterations,gradient_inf_norm,objective,elapsed_seconds,message
NR-AR,HA1E,residualized,0,0,0,c1,100000000.0,True,0.754700047754034,-1.7770939761204156,False,False,1,5.912905801271073e-09,0.38073688066862227,0.003581860102713108,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HA1E,residualized,0,0,0,c1,31622776.60168379,True,0.7547000429622398,-1.7770939761204156,True,False,1,1.2770123524385654e-08,0.3807368790525663,0.002724308054894209,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HA1E,residualized,0,0,0,c1,10000000.0,True,0.7547000278092961,-1.7770939761204156,True,False,1,4.038984620998061e-08,0.3807368739421587,0.002718763891607523,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HA1E,residualized,0,0,0,c1,3162277.6601683795,True,0.7546999798918841,-1.7770939761204156,True,False,1,1.2772138590320947e-07,0.38073685778173016,0.0027088141068816185,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HA1E,residualized,0,0,0,c1,1000000.0,True,0.754699828367757,-1.7770939761204156,True,False,1,4.0388377959079975e-07,0.3807368066789617,0.0026973469648510218,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HA1E,residualized,0,0,0,c1,316227.7660168379,True,0.754699349284897,-1.7770939761204156,True,False,2,1.630009148489986e-11,0.38073664508775235,0.0033086498733609915,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HA1E,residualized,0,0,0,c1,100000.0,True,0.7546978349177107,-1.7770939761204156,True,False,2,1.6294410525724556e-10,0.3807361341907818,0.0033137660939246416,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HA1E,residualized,0,0,0,c1,31622.776601683796,True,0.7546930524371313,-1.7770939761204156,True,False,2,1.62768159627652e-09,0.38073451958444515,0.0033022561110556126,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HA1E,residualized,0,0,0,c1,10000.0,True,0.754677992275953,-1.7770939761204156,True,False,2,1.622138737483042e-08,0.380729423628454,0.0033262670040130615,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HA1E,residualized,0,0,0,c1,3162.277660168379,True,0.7546309916302586,-1.7770939761204156,True,False,2,1.6048175313383012e-07,0.38071340633296674,0.003315972164273262,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HA1E,residualized,0,0,0,c1,1000.0,True,0.7544883009861574,-1.7770939761204156,True,False,3,4.90305182053799e-08,0.3806636928017371,0.0038860610220581293,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HA1E,residualized,0,0,0,c1,316.2277660168379,True,0.7540883010818147,-1.7770939761204156,True,False,4,1.5240099442842547e-09,0.38051480878226634,0.004461048869416118,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HA1E,residualized,0,0,0,c1,100.0,True,0.7531645676245389,-1.7770939761204156,True,False,4,4.968108973015667e-07,0.3801038233390257,0.0044513551983982325,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HA1E,residualized,0,0,0,c1,31.622776601683796,True,0.7515860612855402,-1.7770939761204156,True,False,6,1.5813518974665264e-07,0.3790823154876122,0.005777793005108833,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HA1E,residualized,0,0,0,c1,10.0,True,0.7491921671157221,-1.7770939761204156,True,False,8,9.33580733851469e-07,0.37659152962905906,0.007203381974250078,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HA1E,residualized,0,0,0,c1,3.162277660168379,True,0.744884509377544,-1.7770939761204156,True,False,12,5.050972779613305e-07,0.37042005463471567,0.009679467882961035,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HA1E,residualized,0,0,0,c1,1.0,True,0.7371166065096924,-1.7770939761204156,True,False,15,9.25763831407557e-07,0.3564388147010778,0.012435229029506445,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HA1E,residualized,0,0,0,c1,0.31622776601683794,True,0.7288652383822936,-1.7770939761204156,True,False,26,4.7529126900413936e-07,0.3298535821593125,0.020942068891599774,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HA1E,residualized,0,0,0,c1,0.09999999999999999,True,0.7388977626189435,-1.7770939761204156,True,False,43,9.272041728708436e-07,0.28765160919008737,0.03310982510447502,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HA1E,residualized,0,0,0,c1,0.03162277660168379,True,0.8158110252171868,-1.7770939761204156,True,False,58,7.563319133108322e-07,0.22902510166900064,0.048844810109585524,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HA1E,residualized,0,0,0,c1,0.01,True,1.025156222962238,-1.7770939761204156,True,False,75,8.25221648608843e-07,0.16049640621968142,0.06355017307214439,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HA1E,residualized,0,0,0,c1,0.0031622776601683794,True,1.3794787728307203,-1.7770939761204156,True,False,90,7.297275124101366e-07,0.09804417302928921,0.07450674707069993,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HA1E,residualized,0,0,0,c1,0.001,True,1.7803494462867349,-1.7770939761204156,True,False,90,8.815887558859974e-07,0.053266351399797796,0.07777723204344511,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HA1E,residualized,0,0,0,c1,0.00031622776601683794,True,2.225380772124853,-1.7770939761204156,True,False,77,6.357444471585236e-07,0.026445359762500315,0.06423064996488392,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HA1E,residualized,0,0,0,c1,9.999999999999999e-05,True,2.7185838632376367,-1.7770939761204156,True,False,63,9.038719706799207e-07,0.012267383064982113,0.05327019304968417,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HA1E,residualized,0,0,1,c1,100000000.0,True,0.737665324475737,-1.9686101537225587,False,False,1,5.981303442120778e-09,0.38453048509086024,0.0037876679562032223,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HA1E,residualized,0,0,1,c1,31622776.60168379,True,0.7376653223651017,-1.9686101537225587,True,False,1,1.2890332610343558e-08,0.3845304834571429,0.0036423259880393744,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HA1E,residualized,0,0,1,c1,10000000.0,True,0.7376653156907207,-1.9686101537225587,True,False,1,4.078528948511101e-08,0.3845304782908845,0.0037384130991995335,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HA1E,residualized,0,0,1,c1,3162277.6601683795,True,0.7376652945848111,-1.9686101537225587,True,False,1,1.289658223260423e-07,0.3845304619538351,0.0034837659914046526,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HA1E,residualized,0,0,1,c1,1000000.0,True,0.7376652278454284,-1.9686101537225587,True,False,1,4.0782077076993717e-07,0.3845304102924938,0.004480105126276612,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HA1E,residualized,0,0,1,c1,316227.7660168379,True,0.7376650168409787,-1.9686101537225587,True,False,2,1.1862084231539782e-11,0.3845302469344358,0.006758343894034624,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HA1E,residualized,0,0,1,c1,100000.0,True,0.737664349982979,-1.9686101537225587,True,False,2,1.1863841506420947e-10,0.3845297304453383,0.006696690106764436,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HA1E,residualized,0,0,1,c1,31622.776601683796,True,0.7376622451846335,-1.9686101537225587,True,False,2,1.186604592362528e-09,0.38452809810671085,0.007237025070935488,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HA1E,residualized,0,0,1,c1,10000.0,True,0.7376556289074774,-1.9686101537225587,True,False,2,1.187275156314116e-08,0.3845229455974957,0.007169787073507905,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HA1E,residualized,0,0,1,c1,3162.277660168379,True,0.7376350957822854,-1.9686101537225587,True,False,2,1.1891326531787705e-07,0.38450674484802994,0.007012424990534782,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HA1E,residualized,0,0,1,c1,1000.0,True,0.7375738372453025,-1.9686101537225587,True,False,3,2.982805080709028e-08,0.3844564100721188,0.00822337786667049,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HA1E,residualized,0,0,1,c1,316.2277660168379,True,0.7374108606430964,-1.9686101537225587,True,False,3,8.141303545310119e-07,0.3843052808477271,0.00803204602561891,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
