task,cell,variant,repeat_id,fold_id,inner_fold,branch,alpha,success,validation_deviance,d0_inner_intercept,warm_started,retry_used,n_iterations,gradient_inf_norm,objective,elapsed_seconds,message
NR-AR,HEPG2,residualized,0,0,0,c1,100000000.0,True,0.8399665602231926,-1.9219137551619379,False,False,1,1.2644959211660645e-09,0.3574272961160464,0.0018915829714387655,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,0,c1,31622776.60168379,True,0.8399665599498369,-1.9219137551619379,True,False,1,2.6390357781014284e-09,0.3574272954386065,0.0017089599277824163,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,0,c1,10000000.0,True,0.8399665590854115,-1.9219137551619379,True,False,1,8.461988013075405e-09,0.35742729329635414,0.001678558997809887,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,0,c1,3162277.6601683795,True,0.8399665563518688,-1.9219137551619379,True,False,1,2.6775742548515447e-08,0.3574272865219625,0.001681444002315402,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,0,c1,1000000.0,True,0.8399665477077516,-1.9219137551619379,True,False,1,8.4675351799679e-08,0.3574272650995084,0.0016745079774409533,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,0,c1,316227.7660168379,True,0.8399665203736894,-1.9219137551619379,True,False,1,2.6776285765896246e-07,0.35742719735629197,0.001677767839282751,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,0,c1,100000.0,True,0.8399664339461643,-1.9219137551619379,True,False,1,8.466576634589412e-07,0.35742698313874705,0.0018030328210443258,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,0,c1,31622.776601683796,True,0.8399661607280404,-1.9219137551619379,True,False,2,2.1353287818492994e-09,0.3574263057764989,0.002112734131515026,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,0,c1,10000.0,True,0.8399652976860251,-1.9219137551619379,True,False,2,2.1328681350588075e-08,0.35742416429905616,0.0020813490264117718,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,0,c1,3162.277660168379,True,0.8399625778025482,-1.9219137551619379,True,False,2,2.12462001693281e-07,0.35741739762032254,0.00206259498372674,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,0,c1,1000.0,True,0.8399540638601505,-1.9219137551619379,True,False,3,1.546378728019271e-08,0.35739605116234646,0.0025016029831022024,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,0,c1,316.2277660168379,True,0.8399278645272578,-1.9219137551619379,True,False,3,4.318234420371686e-07,0.3573290348220641,0.002451092004776001,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,0,c1,100.0,True,0.8398489378597823,-1.9219137551619379,True,False,5,8.758874216197032e-09,0.35712125129250916,0.0032465190161019564,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,0,c1,31.622776601683796,True,0.8395991487343547,-1.9219137551619379,True,False,5,9.669973638527785e-07,0.35649297169940874,0.0032508301082998514,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,0,c1,10.0,True,0.8386952765080932,-1.9219137551619379,True,False,6,7.257062389822572e-07,0.3546683949374461,0.004019326064735651,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,0,c1,3.162277660168379,True,0.8356513519779695,-1.9219137551619379,True,False,10,1.542250128066039e-07,0.34973094121620263,0.0057986220344901085,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,0,c1,1.0,True,0.828276657421002,-1.9219137551619379,True,False,15,2.921880122336469e-07,0.33808904925450867,0.008497399976477027,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,0,c1,0.31622776601683794,True,0.8185210609485707,-1.9219137551619379,True,False,22,4.399972734149722e-07,0.31617602024932084,0.01174176880158484,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,0,c1,0.09999999999999999,True,0.8299592442503635,-1.9219137551619379,True,False,38,5.687851994716844e-07,0.28262171086737986,0.021745654055848718,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,0,c1,0.03162277660168379,True,0.9660623416045085,-1.9219137551619379,True,False,62,7.702686037079414e-07,0.2350456154951214,0.032865606946870685,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,0,c1,0.01,True,1.4073398880249428,-1.9219137551619379,True,False,79,7.323673134594161e-07,0.17337627173029,0.04214097000658512,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,0,c1,0.0031622776601683794,True,2.202183654134359,-1.9219137551619379,True,False,91,7.761436004215326e-07,0.11061197975371467,0.04897263483144343,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,0,c1,0.001,True,3.266396423333233,-1.9219137551619379,True,False,84,9.768111273170825e-07,0.062032162829756675,0.04527200688607991,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,0,c1,0.00031622776601683794,True,4.42705610429029,-1.9219137551619379,True,False,82,9.002578305802042e-07,0.03150131564926292,0.04602317698299885,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,0,c1,9.999999999999999e-05,True,5.632927810689616,-1.9219137551619379,True,False,53,6.598223834249132e-07,0.014854779041566606,0.031302252784371376,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,1,c1,100000000.0,True,0.6809660781897179,-2.3775847100609364,False,False,1,2.3443519434757087e-09,0.39532544418476195,0.0018591608386486769,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,1,c1,31622776.60168379,True,0.6809660804582427,-2.3775847100609364,True,False,1,4.966687113666657e-09,0.3953254429716721,0.001707941060885787,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,1,c1,10000000.0,True,0.6809660876319426,-2.3775847100609364,True,False,1,1.573156748098381e-08,0.39532543913554685,0.0016963952220976353,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,1,c1,3162277.6601683795,True,0.680966110317117,-2.3775847100609364,True,False,1,4.975505179215245e-08,0.3953254270046687,0.0016990071162581444,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,1,c1,1000000.0,True,0.6809661820533705,-2.3775847100609364,True,False,1,1.5734781534833264e-07,0.39532538864361094,0.0016652720514684916,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,1,c1,316227.7660168379,True,0.6809664088976607,-2.3775847100609364,True,False,1,4.975595050589476e-07,0.39532526733677087,0.0017167229671031237,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,1,c1,100000.0,True,0.6809671260099756,-2.3775847100609364,True,False,2,4.346549630634966e-10,0.3953248837456139,0.002031599869951606,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,1,c1,31622.776601683796,True,0.680969392127184,-2.3775847100609364,True,False,2,4.344479057755146e-09,0.3953236708712973,0.0020519299432635307,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,1,c1,10000.0,True,0.6809765417758018,-2.3775847100609364,True,False,2,4.337680592665649e-08,0.3953198368967567,0.00205535301938653,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,1,c1,3162.277660168379,True,0.6809989872403229,-2.3775847100609364,True,False,2,4.316305605971821e-07,0.39530772740404974,0.002065276028588414,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,1,c1,1000.0,True,0.6810683953238474,-2.3775847100609364,True,False,3,2.894557253781127e-08,0.39526957648783434,0.0024595551658421755,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,1,c1,316.2277660168379,True,0.6812734977512555,-2.3775847100609364,True,False,3,7.939890792818191e-07,0.3951502639097716,0.002537011867389083,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,1,c1,100.0,True,0.6818116859587589,-2.3775847100609364,True,False,5,6.928053054855443e-09,0.394783998689605,0.0033403621055185795,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,1,c1,31.622776601683796,True,0.6829418704888902,-2.3775847100609364,True,False,5,7.574675994267283e-07,0.3936996706486337,0.003346073906868696,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,1,c1,10.0,True,0.684932258743825,-2.3775847100609364,True,False,7,1.8141868944263062e-07,0.3906851303457705,0.0045178900472819805,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,1,c1,3.162277660168379,True,0.6883884650831026,-2.3775847100609364,True,False,10,2.3666545753047233e-07,0.3832698265301996,0.005810050060972571,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,1,c1,1.0,True,0.6936285705636006,-2.3775847100609364,True,False,16,1.6676069404444188e-07,0.36823428307452055,0.009030144894495606,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HEPG2,residualized,0,0,1,c1,0.31622776601683794,True,0.7027933736951577,-2.3775847100609364,True,False,25,6.629691207385349e-07,0.344143861944395,0.014043959090486169,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
