task,cell,variant,repeat_id,fold_id,inner_fold,branch,alpha,success,validation_deviance,d0_inner_intercept,warm_started,retry_used,n_iterations,gradient_inf_norm,objective,elapsed_seconds,message
NR-AR,HT29,residualized,0,0,0,c1,100000000.0,True,0.7806753695195876,-2.0147417626462016,False,False,1,3.2029281952367095e-09,0.37753235194161994,0.003167521907016635,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HT29,residualized,0,0,0,c1,31622776.60168379,True,0.7806753738740361,-2.0147417626462016,True,False,1,6.923175198056408e-09,0.37753235109376493,0.0023006729315966368,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HT29,residualized,0,0,0,c1,10000000.0,True,0.7806753876439969,-2.0147417626462016,True,False,1,2.1919269244281836e-08,0.3775323484126143,0.0021718258503824472,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HT29,residualized,0,0,0,c1,3162277.6601683795,True,0.780675431188286,-2.0147417626462016,True,False,1,6.929377994752822e-08,0.3775323399340954,0.0021690160501748323,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HT29,residualized,0,0,0,c1,1000000.0,True,0.780675568885912,-2.0147417626462016,True,False,1,2.1912277904569816e-07,0.3775323131229048,0.0021938770078122616,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HT29,residualized,0,0,0,c1,316227.7660168379,True,0.7806760043089763,-2.0147417626462016,True,False,1,6.929020658292054e-07,0.37753222834087696,0.0021765087731182575,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HT29,residualized,0,0,0,c1,100000.0,True,0.7806773806280489,-2.0147417626462016,True,False,2,3.082693753042598e-10,0.3775319602605695,0.00267770909704268,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HT29,residualized,0,0,0,c1,31622.776601683796,True,0.7806817287490267,-2.0147417626462016,True,False,2,3.079749164025536e-09,0.3775311127560495,0.0026686149649322033,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HT29,residualized,0,0,0,c1,10000.0,True,0.7806954355332532,-2.0147417626462016,True,False,2,3.0708080498570434e-08,0.377528435103334,0.002720573218539357,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HT29,residualized,0,0,0,c1,3162.277660168379,True,0.780738351229543,-2.0147417626462016,True,False,2,3.0427897738591336e-07,0.37751999133493336,0.0026753710117191076,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HT29,residualized,0,0,0,c1,1000.0,True,0.7808699141267672,-2.0147417626462016,True,False,3,1.259650570873197e-08,0.3774935205978216,0.0031922629568725824,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HT29,residualized,0,0,0,c1,316.2277660168379,True,0.781247834286771,-2.0147417626462016,True,False,3,3.5117171644487993e-07,0.377411937840622,0.003234259085729718,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HT29,residualized,0,0,0,c1,100.0,True,0.7821459150098513,-2.0147417626462016,True,False,5,2.505671963838607e-08,0.3771707275746813,0.004222162999212742,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HT29,residualized,0,0,0,c1,31.622776601683796,True,0.783402958425283,-2.0147417626462016,True,False,7,3.5512263045142656e-08,0.3765016906190045,0.005289819790050387,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AR,HT29,residualized,0,0,0,c1,10.0,True,0.7830649935664773,-2.0147417626462016,True,False,9,1.2990252869563013e-07,0.3746992957508801,0.0063688738737255335,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
