task,cell,variant,repeat_id,fold_id,inner_fold,branch,alpha,success,validation_deviance,d0_inner_intercept,warm_started,retry_used,n_iterations,gradient_inf_norm,objective,elapsed_seconds,message
NR-AhR,HT29,residualized,0,0,0,c1,100000000.0,True,0.6826885731100173,-1.3398914432373639,False,False,1,2.804675140678954e-09,0.3803189838719725,0.0025814208202064037,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HT29,residualized,0,0,0,c1,31622776.60168379,True,0.6826885708248264,-1.3398914432373639,True,False,1,6.231749762053429e-09,0.38031898214896376,0.0024269730783998966,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HT29,residualized,0,0,0,c1,10000000.0,True,0.6826885635984293,-1.3398914432373639,True,False,1,1.9802300571872267e-08,0.38031897670033415,0.0024000939447432756,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HT29,residualized,0,0,0,c1,3162277.6601683795,True,0.6826885407466722,-1.3398914432373639,True,False,1,6.256419242400835e-08,0.38031895947028205,0.0023871229495853186,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HT29,residualized,0,0,0,c1,1000000.0,True,0.6826884684842398,-1.3398914432373639,True,False,1,1.9783592497719937e-07,0.38031890498434573,0.0023722779005765915,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HT29,residualized,0,0,0,c1,316227.7660168379,True,0.6826882399820431,-1.3398914432373639,True,False,1,6.255921208529747e-07,0.38031873268741195,0.002488636877387762,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HT29,residualized,0,0,0,c1,100000.0,True,0.6826875176273917,-1.3398914432373639,True,False,2,3.5072222556720156e-10,0.38031818786391464,0.002925773849710822,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HT29,residualized,0,0,0,c1,31622.776601683796,True,0.6826852351844434,-1.3398914432373639,True,False,2,3.505335952058708e-09,0.380316465253041,0.002918713027611375,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HT29,residualized,0,0,0,c1,10000.0,True,0.6826780362141034,-1.3398914432373639,True,False,2,3.499276513690974e-08,0.3803110205965366,0.002915319986641407,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HT29,residualized,0,0,0,c1,3162.277660168379,True,0.6826554570100436,-1.3398914432373639,True,False,2,3.4802247979651146e-07,0.3802938300782741,0.0029050579760223627,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HT29,residualized,0,0,0,c1,1000.0,True,0.6825858457976948,-1.3398914432373639,True,False,3,2.077866646799098e-08,0.3802397334243039,0.0035278480499982834,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HT29,residualized,0,0,0,c1,316.2277660168379,True,0.682381941465585,-1.3398914432373639,True,False,3,5.877898153500843e-07,0.3800711514239054,0.003370594000443816,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HT29,residualized,0,0,0,c1,100.0,True,0.6818589733393222,-1.3398914432373639,True,False,5,4.913096906915271e-08,0.3795589268488018,0.0042561928275972605,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-AhR,HT29,residualized,0,0,0,c1,31.622776601683796,True,0.680811226902675,-1.3398914432373639,True,False,7,9.636042024203928e-08,0.37807736144799015,0.00558660994283855,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
