task,cell,variant,repeat_id,fold_id,inner_fold,branch,alpha,success,validation_deviance,d0_inner_intercept,warm_started,retry_used,n_iterations,gradient_inf_norm,objective,elapsed_seconds,message
NR-Aromatase,HT29,residualized,0,0,0,c1,100000000.0,True,0.9830739428151666,-1.9174955623250214,False,False,1,4.0073542678653595e-09,0.48393662878419785,0.003082053968682885,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,HT29,residualized,0,0,0,c1,31622776.60168379,True,0.9830739390361118,-1.9174955623250214,True,False,1,8.843197878832809e-09,0.483936627144055,0.0021401129197329283,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,HT29,residualized,0,0,0,c1,10000000.0,True,0.9830739270857047,-1.9174955623250214,True,False,1,2.8133478333428052e-08,0.48393662195747206,0.002228192053735256,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,HT29,residualized,0,0,0,c1,3162277.6601683795,True,0.9830738892953271,-1.9174955623250214,True,False,1,8.891412136419197e-08,0.48393660555609563,0.0022560080979019403,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,HT29,residualized,0,0,0,c1,1000000.0,True,0.9830737697929384,-1.9174955623250214,True,False,1,2.811564289700169e-07,0.48393655369077543,0.0021299058571457863,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,HT29,residualized,0,0,0,c1,316227.7660168379,True,0.983073391905989,-1.9174955623250214,True,False,1,8.890635767137833e-07,0.48393638968210045,0.0021946378983557224,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,HT29,residualized,0,0,0,c1,100000.0,True,0.9830721969953995,-1.9174955623250214,True,False,2,6.609386232758752e-10,0.4839358710797944,0.0025914409197866917,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,HT29,residualized,0,0,0,c1,31622.776601683796,True,0.9830684193114781,-1.9174955623250214,True,False,2,6.604389797201793e-09,0.48393423150154696,0.0026623159646987915,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,HT29,residualized,0,0,0,c1,10000.0,True,0.9830564825377084,-1.9174955623250214,True,False,2,6.588781756820816e-08,0.48392905054971097,0.0027282610535621643,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,HT29,residualized,0,0,0,c1,3162.277660168379,True,0.9830188262005692,-1.9174955623250214,True,False,2,6.539818115519624e-07,0.4839127050471017,0.002677947049960494,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
