task,cell,variant,repeat_id,fold_id,inner_fold,branch,alpha,success,validation_deviance,d0_inner_intercept,warm_started,retry_used,n_iterations,gradient_inf_norm,objective,elapsed_seconds,message
NR-Aromatase,MCF7,residualized,0,0,0,c1,100000000.0,True,0.9696157231771472,-2.1516133789510477,False,False,1,1.8535754042758867e-09,0.4542736402651127,0.0024624131619930267,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,residualized,0,0,0,c1,31622776.60168379,True,0.9696157211148279,-2.1516133789510477,True,False,1,3.953854992543027e-09,0.4542736381997375,0.0022161100059747696,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,residualized,0,0,0,c1,10000000.0,True,0.9696157145932061,-2.1516133789510477,True,False,1,1.2474726520435991e-08,0.4542736316684499,0.002163124969229102,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,residualized,0,0,0,c1,3162277.6601683795,True,0.9696156939700762,-2.1516133789510477,True,False,1,3.9445797519414155e-08,0.45427361101472824,0.002147334162145853,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,residualized,0,0,0,c1,1000000.0,True,0.9696156287544939,-2.1516133789510477,True,False,1,1.2473852629805993e-07,0.4542735457021624,0.0021937889978289604,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,residualized,0,0,0,c1,316227.7660168379,True,0.9696154225295315,-2.1516133789510477,True,False,1,3.944504499723764e-07,0.4542733391680595,0.002142081968486309,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,residualized,0,0,0,c1,100000.0,True,0.9696147704839678,-2.1516133789510477,True,False,2,1.6328487173478123e-10,0.4542726860735267,0.0026630160864442587,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,residualized,0,0,0,c1,31622.776601683796,True,0.9696127092896445,-2.1516133789510477,True,False,2,1.6323562050668539e-09,0.45427062104367705,0.002753445878624916,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,residualized,0,0,0,c1,10000.0,True,0.9696061989059865,-2.1516133789510477,True,False,2,1.6307221382266812e-08,0.4542640932078097,0.0026541929692029953,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,residualized,0,0,0,c1,3162.277660168379,True,0.9695856877664474,-2.1516133789510477,True,False,2,1.625568554833312e-07,0.45424347393045983,0.0026498869992792606,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,residualized,0,0,0,c1,1000.0,True,0.9695215731445747,-2.1516133789510477,True,False,3,1.0674372309671387e-08,0.45417850349271033,0.003164775902405381,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,residualized,0,0,0,c1,316.2277660168379,True,0.9693258680450508,-2.1516133789510477,True,False,3,3.144411321043261e-07,0.4539753205739116,0.0032218650449067354,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,residualized,0,0,0,c1,100.0,True,0.9687658505707254,-2.1516133789510477,True,False,4,8.451346677831872e-07,0.45335378287449474,0.003675190033391118,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,residualized,0,0,0,c1,31.622776601683796,True,0.9673634048996561,-2.1516133789510477,True,False,5,7.951576588630105e-07,0.4515594231308574,0.004445428028702736,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,residualized,0,0,0,c1,10.0,True,0.9643063510131066,-2.1516133789510477,True,False,9,6.001339544802267e-07,0.44698706561904555,0.006938511040061712,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,residualized,0,0,0,c1,3.162277660168379,True,0.9578525653908502,-2.1516133789510477,True,False,12,7.067993152958668e-07,0.43734473141413893,0.008987060049548745,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,residualized,0,0,0,c1,1.0,True,0.945939940498347,-2.1516133789510477,True,False,17,7.454087551719835e-07,0.4200232517143986,0.013724941993132234,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,residualized,0,0,0,c1,0.31622776601683794,True,0.9311206908709716,-2.1516133789510477,True,False,26,8.291553943288489e-07,0.3907765377557649,0.020743214059621096,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,residualized,0,0,0,c1,0.09999999999999999,True,0.9353701345174498,-2.1516133789510477,True,False,42,7.545477735957425e-07,0.34250170569613525,0.03564101899974048,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,residualized,0,0,0,c1,0.03162277660168379,True,1.0217692697550358,-2.1516133789510477,True,False,60,9.354357623672475e-07,0.27102240357176943,0.045683136908337474,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,residualized,0,0,0,c1,0.01,True,1.2517053247844663,-2.1516133789510477,True,False,75,8.995386238544543e-07,0.18706570489209046,0.05289660696871579,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,residualized,0,0,0,c1,0.0031622776601683794,True,1.6209993827424791,-2.1516133789510477,True,False,94,8.732794448177393e-07,0.11249116273317727,0.06899398285895586,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,residualized,0,0,0,c1,0.001,True,2.094290326721058,-2.1516133789510477,True,False,97,8.993257765537973e-07,0.06035189908328481,0.07453655800782144,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,residualized,0,0,0,c1,0.00031622776601683794,True,2.640107633851432,-2.1516133789510477,True,False,82,9.755833211257331e-07,0.029686031255106646,0.06539670494385064,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,residualized,0,0,0,c1,9.999999999999999e-05,True,3.233508332383464,-2.1516133789510477,True,False,75,8.104210691246434e-07,0.013677533332092201,0.060508124995976686,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,residualized,0,0,1,c1,100000000.0,True,0.949887919809499,-2.290577284192227,False,False,1,1.2206843112508856e-09,0.4564346252588164,0.003324636025354266,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,residualized,0,0,1,c1,31622776.60168379,True,0.9498879165713873,-2.290577284192227,True,False,1,2.6392351862793866e-09,0.4564346239287602,0.0031019989401102066,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-Aromatase,MCF7,residualized,0,0,1,c1,10000000.0,True,0.9498879063315824,-2.290577284192227,True,False,1,8.34590060589161e-09,0.4564346197227544,0.003022146876901388,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
