task,cell,variant,repeat_id,fold_id,inner_fold,branch,alpha,success,validation_deviance,d0_inner_intercept,warm_started,retry_used,n_iterations,gradient_inf_norm,objective,elapsed_seconds,message
NR-ER,HT29,residualized,0,0,0,c1,100000000.0,True,1.1991973965994092,-1.523097663036245,False,False,1,9.92356681897566e-09,0.5845037249756329,0.0031656648498028517,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,residualized,0,0,0,c1,31622776.60168379,True,1.1991973972897538,-1.523097663036245,True,False,1,2.1562964636068216e-08,0.5845037198861188,0.002528528915718198,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,residualized,0,0,0,c1,10000000.0,True,1.1991973994728653,-1.523097663036245,True,False,1,6.824568504412709e-08,0.5845037037916964,0.002452261047437787,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,residualized,0,0,0,c1,3162277.6601683795,True,1.1991974063769717,-1.523097663036245,True,False,1,2.1584327724796792e-07,0.584503652896999,0.0024709999561309814,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,residualized,0,0,0,c1,1000000.0,True,1.1991974282146813,-1.523097663036245,True,False,1,6.825432389660768e-07,0.5845034919571886,0.0024451001081615686,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,residualized,0,0,0,c1,316227.7660168379,True,1.1991974973185113,-1.523097663036245,True,False,2,6.383663042619503e-11,0.5845029830543581,0.0030367870349437,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,residualized,0,0,0,c1,100000.0,True,1.1991977163260032,-1.523097663036245,True,False,2,6.382802272830723e-10,0.5845013740975451,0.003088679164648056,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,residualized,0,0,0,c1,31622.776601683796,True,1.1991984136861709,-1.523097663036245,True,False,2,6.379254000044021e-09,0.5844962894777396,0.0031167338602244854,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,residualized,0,0,0,c1,10000.0,True,1.1992006665219916,-1.523097663036245,True,False,2,6.368002049977894e-08,0.5844802438557319,0.0029965320136398077,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,residualized,0,0,0,c1,3162.277660168379,True,1.199208254496224,-1.523097663036245,True,False,2,6.332121797875123e-07,0.5844298327791299,0.0029424650128930807,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,residualized,0,0,0,c1,1000.0,True,1.1992365151990023,-1.523097663036245,True,False,3,1.5246372329913438e-07,0.5842735954994958,0.003482053056359291,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,residualized,0,0,0,c1,316.2277660168379,True,1.199358893748019,-1.523097663036245,True,False,4,2.167932547543494e-08,0.5838079326595426,0.0040513158310204744,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,residualized,0,0,0,c1,100.0,True,1.199893964131762,-1.523097663036245,True,False,5,1.1316312066144557e-07,0.5825434313930222,0.00464033312164247,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,residualized,0,0,0,c1,31.622776601683796,True,1.2014780486474819,-1.523097663036245,True,False,7,2.7111568205381853e-07,0.579554297893339,0.005247317953035235,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,residualized,0,0,0,c1,10.0,True,1.2036859720297355,-1.523097663036245,True,False,10,4.964671840995694e-07,0.572959419864731,0.007025278871878982,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,residualized,0,0,0,c1,3.162277660168379,True,1.2042350801757555,-1.523097663036245,True,False,16,2.863156110333512e-07,0.5582248192537576,0.010582958115264773,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,residualized,0,0,0,c1,1.0,True,1.200184998173038,-1.523097663036245,True,False,19,4.006168713224789e-07,0.5264625493385664,0.013717028079554439,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,residualized,0,0,0,c1,0.31622776601683794,True,1.192465958200836,-1.523097663036245,True,False,26,9.896203776700932e-07,0.46556593992001394,0.020142822060734034,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,residualized,0,0,0,c1,0.09999999999999999,True,1.2214745510387202,-1.523097663036245,True,False,42,8.124714996309967e-07,0.3701972081427441,0.031211995985358953,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,residualized,0,0,0,c1,0.03162277660168379,True,1.3770184843485929,-1.523097663036245,True,False,62,5.167504923914244e-07,0.2567167985097589,0.04675613809376955,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,residualized,0,0,0,c1,0.01,True,1.6955036962549563,-1.523097663036245,True,False,66,6.883704337299051e-07,0.1551437725596777,0.05550738703459501,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,residualized,0,0,0,c1,0.0031622776601683794,True,2.139052260470002,-1.523097663036245,True,False,63,9.518277269113294e-07,0.0835563758460418,0.051477886037901044,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,residualized,0,0,0,c1,0.001,True,2.655754284368496,-1.523097663036245,True,False,70,9.231489521566302e-07,0.041214157613668145,0.06009201891720295,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,residualized,0,0,0,c1,0.00031622776601683794,True,3.1466747941616777,-1.523097663036245,True,False,57,9.954520211353385e-07,0.01903123039084717,0.0524061219766736,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,residualized,0,0,0,c1,9.999999999999999e-05,True,3.6366630341558563,-1.523097663036245,True,False,44,8.544976554027427e-07,0.008356008120149137,0.04021266498602927,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,residualized,0,0,1,c1,100000000.0,True,1.2100810785117564,-1.5069850396697908,False,False,1,6.337175277593143e-09,0.5805647861722422,0.005327275954186916,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,residualized,0,0,1,c1,31622776.60168379,True,1.2100810699312996,-1.5069850396697908,True,False,1,1.3190380239447297e-08,0.5805647835175335,0.004123033955693245,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,residualized,0,0,1,c1,10000000.0,True,1.2100810427975737,-1.5069850396697908,True,False,1,4.181652769885691e-08,0.5805647751226176,0.004039915977045894,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,residualized,0,0,1,c1,3162277.6601683795,True,1.210080956993817,-1.5069850396697908,True,False,1,1.3228768999673512e-07,0.5805647485756631,0.0033877110108733177,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,residualized,0,0,1,c1,1000000.0,True,1.2100806856647015,-1.5069850396697908,True,False,1,4.1832688134346707e-07,0.5805646646278257,0.003931587794795632,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,residualized,0,0,1,c1,316227.7660168379,True,1.210079827782402,-1.5069850396697908,True,False,2,7.602500573522519e-11,0.580564399171493,0.004692319082096219,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,residualized,0,0,1,c1,100000.0,True,1.2100771159696297,-1.5069850396697908,True,False,2,7.599443296868458e-10,0.5805635598252108,0.004456298891454935,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,residualized,0,0,1,c1,31622.776601683796,True,1.210068551177219,-1.5069850396697908,True,False,2,7.590177840410828e-09,0.5805609065815573,0.004956641001626849,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,residualized,0,0,1,c1,10000.0,True,1.210041573624718,-1.5069850396697908,True,False,2,7.560987144716869e-08,0.5805525262761426,0.005327543942257762,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,residualized,0,0,1,c1,3162.277660168379,True,1.209957316786815,-1.5069850396697908,True,False,2,7.469762141748548e-07,0.5805261241849026,0.011080097872763872,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,residualized,0,0,1,c1,1000.0,True,1.2097009238957608,-1.5069850396697908,True,False,3,5.644913834632059e-08,0.5804435870998571,0.006182563956826925,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,residualized,0,0,1,c1,316.2277660168379,True,1.2089782651129393,-1.5069850396697908,True,False,4,9.674221021147011e-08,0.580191162962022,0.00643247808329761,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
NR-ER,HT29,residualized,0,0,1,c1,100.0,True,1.207302050507185,-1.5069850396697908,True,False,5,5.119254099621162e-08,0.5794569853315145,0.00725512090139091,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
