task,cell,variant,repeat_id,fold_id,inner_fold,branch,alpha,success,validation_deviance,d0_inner_intercept,warm_started,retry_used,n_iterations,gradient_inf_norm,objective,elapsed_seconds,message
SR-ARE,HA1E,residualized,0,0,0,c1,100000000.0,True,0.9663576135217301,-1.04486711431054,False,False,1,2.0555807701827522e-08,0.5318126991556053,0.002056725090369582,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HA1E,residualized,0,0,0,c1,31622776.60168379,True,0.9663575963276825,-1.04486711431054,True,False,1,4.479527061090893e-08,0.5318126854046732,0.0016201850958168507,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HA1E,residualized,0,0,0,c1,10000000.0,True,0.9663575419556232,-1.04486711431054,True,False,1,1.4150296757248215e-07,0.5318126419205409,0.001732337987050414,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HA1E,residualized,0,0,0,c1,3162277.6601683795,True,0.9663573700190417,-1.04486711431054,True,False,1,4.4750722275749277e-07,0.5318125044129741,0.0017224010080099106,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HA1E,residualized,0,0,0,c1,1000000.0,True,0.9663568263559258,-1.04486711431054,True,False,2,2.958266617780758e-11,0.5318120695891951,0.001985986949875951,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HA1E,residualized,0,0,0,c1,316227.7660168379,True,0.9663551075463613,-1.04486711431054,True,False,2,2.9578935481500146e-10,0.5318106946889365,0.00195490219630301,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HA1E,residualized,0,0,0,c1,100000.0,True,0.9663496762903266,-1.04486711431054,True,False,2,2.9566524350349566e-09,0.5318063482046065,0.0020726921502500772,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HA1E,residualized,0,0,0,c1,31622.776601683796,True,0.9663325420319157,-1.04486711431054,True,False,2,2.952731340162551e-08,0.5317926167160352,0.0019561199005693197,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HA1E,residualized,0,0,0,c1,10000.0,True,0.9662787647553859,-1.04486711431054,True,False,2,2.94037171002029e-07,0.531749326365109,0.0019603190012276173,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HA1E,residualized,0,0,0,c1,3162.277660168379,True,0.9661126819467145,-1.04486711431054,True,False,3,2.0705702499790313e-08,0.5316137361977067,0.002322498010471463,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
