task,cell,variant,repeat_id,fold_id,inner_fold,branch,alpha,success,validation_deviance,d0_inner_intercept,warm_started,retry_used,n_iterations,gradient_inf_norm,objective,elapsed_seconds,message
SR-ARE,HEPG2,residualized,0,0,0,c1,100000000.0,True,1.1322711629149007,-0.8456831863076104,False,False,1,6.669824331728691e-09,0.5550766694609072,0.0017308189999312162,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HEPG2,residualized,0,0,0,c1,31622776.60168379,True,1.1322711364348397,-0.8456831863076104,True,False,1,1.4613028731513822e-08,0.555076653624027,0.0014506320003420115,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HEPG2,residualized,0,0,0,c1,10000000.0,True,1.1322710526975974,-0.8456831863076104,True,False,1,4.585710555726763e-08,0.5550766035434413,0.0014400379732251167,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HEPG2,residualized,0,0,0,c1,3162277.6601683795,True,1.1322707878978289,-0.8456831863076104,True,False,1,1.4492992991832487e-07,0.5550764451749971,0.0014191840309649706,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HEPG2,residualized,0,0,0,c1,1000000.0,True,1.1322699505338463,-0.8456831863076104,True,False,1,4.5830409589608934e-07,0.5550759443727233,0.001419055974110961,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HEPG2,residualized,0,0,0,c1,316227.7660168379,True,1.1322673026556163,-0.8456831863076104,True,False,2,1.1741489724936827e-11,0.5550743607240826,0.0017065310385078192,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HEPG2,residualized,0,0,0,c1,100000.0,True,1.1322589301751536,-0.8456831863076104,True,False,2,1.1739615182748686e-10,0.5550693530593677,0.001710353884845972,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HEPG2,residualized,0,0,0,c1,31622.776601683796,True,1.1322324626327727,-0.8456831863076104,True,False,2,1.1733464824748019e-09,0.555053520152556,0.0016908838879317045,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HEPG2,residualized,0,0,0,c1,10000.0,True,1.1321488504899182,-0.8456831863076104,True,False,2,1.1714052301076139e-08,0.5550034792811683,0.0017363049555569887,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ARE,HEPG2,residualized,0,0,0,c1,3162.277660168379,True,1.1318852988946204,-0.8456831863076104,True,False,2,1.1652997164435241e-07,0.5548455073334231,0.0017093359492719173,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
